U' L' B' L F R
B' R' U' F L R
B' R' U' F R L
D2 U' F L' R B'
D2 U' F L' B' R
D2 U' F R L' B'
U' D2 F L' R B'
U' D2 F L' B' R
U' D2 F R L' B'
U' F L' R B' L
U' F L' B' L R
U' F L' B' R L
U' F R L' B' L
D2 L F U' L' F B'
D2 L F U' L' B' F
U' L' R B' L F R
U' L' R' B' L F R
U' L' R2 B' L F R
U' L' U2 B' L R' F'
U' L' U2 B' R' L F'
U' L' U2 B' R' F' L
U' L' F R B' L F
U' L' F B' L R F
U' L' F B' R L F
U' L' B' L R F R
U' L' B' L R' F R
U' L' B' L R2 F R
U' L' B' L D F R
U' L' B' L D' F R
U' L' B' L D2 F R
U' L' B' L F R D
U' L' B' L F R D'
U' L' B' L F R D2
U' L' B' L F D R
U' L' B' L F D' R
U' L' B' L F D2 R
U' L' B' R L F R
U' L' B' R' L F R
U' L' B' R2 L F R
U' L' B' D L F R
U' L' B' D' L F R
U' L' B' D2 L F R
U' L' B' F L R F
U' L' B' F R L F
U' L2 B' U2 L B' R'
U' R L' B' L F R
D2 R U' F L' R B'
D2 R U' F L' B' R
D2 R U' F R L' B'
U' R D2 F L' R B'
U' R D2 F L' B' R
U' R D2 F R L' B'
U' R F L' R B' L
U' R F L' B' L R
U' R F L' B' R L
R' U' L' B' L F R
U' R F R L' B' L
R2 U' L' B' L F R
R U' L' B' L F R
U R F B' L R' B2
U R F B' R' L B2
U R B' R' F L B2
U R B' F L R' B2
U R B' F R' L B2
R' U' D2 F L' R B'
R' U' D2 F L' B' R
R' U' D2 F R L' B'
R' U' F L' R B' L
R' U' F L' B' L R
R' U' F L' B' R L
R' U' F R L' B' L
R2 U' D2 F L' R B'
R2 U' D2 F L' B' R
R2 U' D2 F R L' B'
R U' D2 F L' R B'
R U' D2 F L' B' R
R U' D2 F R L' B'
R2 U' F L' R B' L
U' R' L' B' L F R
R2 U' F L' B' L R
R2 U' F L' B' R L
R2 U' F R L' B' L
R U' F L' R B' L
R U' F L' B' L R
R U' F L' B' R L
R U' F R L' B' L
B' R' U' R F L R
B' R' U' R F R L
B' R' U' R' F L R
B' R' U' R' F R L
B' R' U' R2 F L R
B' R' U' R2 F R L
B' R' U' D F L R
B' R' U' D F R L
D2 R' U' F L' R B'
B' R' U' D' F L R
B' R' U' D' F R L
D2 R' U' F L' B' R
D2 R' U' F R L' B'
B' R' U' D2 F L R
B' R' U' D2 F R L
B' R' U' F L R D
B' R' U' F L R D'
B' R' U' F L R D2
B' R' U' F L D R
B' R' U' F L D' R
B' R' U' F L D2 R
B' R' U' F R L D
B' R' U' F R L D'
B' R' U' F R L D2
B' R' U' F R D L
B' R' U' F R D' L
B' R' U' F R D2 L
B' R' U' F D L R
B' R' U' F D R L
B' R' U' F D' L R
B' R' U' F D' R L
B' R' U' F D2 L R
B' R' U' F D2 R L
B' R' U' F2 L F' R
B' R' D U' F L R
B' R' D U' F R L
B' R' D' U' F L R
B' R' D' U' F R L
B' R' D2 U' F L R
B' R' D2 U' F R L
U' R' D2 F L' R B'
U' R' D2 F L' B' R
U' R' D2 F R L' B'
U' R' F L' R B' L
U' R' F L' B' L R
U' R' F L' B' R L
U' R' F R L' B' L
U' R2 L' B' L F R
D2 R2 U' F L' R B'
D2 R2 U' F L' B' R
D2 R2 U' F R L' B'
U' R2 D2 F L' R B'
U' R2 D2 F L' B' R
U' R2 D2 F R L' B'
U' R2 F L' R B' L
U' R2 F L' B' L R
U' R2 F L' B' R L
U' R2 F R L' B' L
U R2 F B' L R' B
U R2 F B' R' L B
U R2 B' R' F L B
U R2 B' F L R' B
U R2 B' F R' L B
D2 U' R F L' R B'
D2 U' R F L' B' R
D2 U' R F R L' B'
D2 U' R' F L' R B'
D2 U' R' F L' B' R
D2 U' R' F R L' B'
D2 U' R2 F L' R B'
D2 U' R2 F L' B' R
D2 U' R2 F R L' B'
D2 U' F L' R D B'
D2 U' F L' R D' B'
D2 U' F L' R D2 B'
D2 U' F L' R B' D
D2 U' F L' R B' D'
D2 U' F L' R B' D2
D2 U' F L' R' B' R2
D2 U' F L' D R B'
D2 U' F L' D B' R
D2 U' F L' D' R B'
D2 U' F L' D' B' R
D2 U' F L' D2 R B'
D2 U' F L' D2 B' R
D2 U' F L' B R B2
D2 U' F L' B' R D
D2 U' F L' B' R D'
D2 U' F L' B' R D2
D2 U' F L' B' D R
D2 U' F L' B' D' R
D2 U' F L' B' D2 R
D2 U' F R L' D B'
D2 U' F R L' D' B'
D2 U' F R L' D2 B'
D2 U' F R L' B' D
D2 U' F R L' B' D'
D2 U' F R L' B' D2
D2 U' F R D L' B'
D2 U' F R D' L' B'
D2 U' F R D2 L' B'
D2 U' F R B L' B'
D2 U' F R B' L' B'
D2 U' F R B2 L' B'
D2 U' F R' L' B' R2
D2 U' F D L' R B'
D2 U' F D L' B' R
D2 U' F D R L' B'
D2 U' F D' L' R B'
D2 U' F D' L' B' R
D2 U' F D' R L' B'
D2 U' F D2 L' R B'
D2 U' F D2 L' B' R
D2 U' F D2 R L' B'
D2 U' F B L' R B'
D2 U' F B L' B' R
D2 U' F B R L' B'
D2 U' F B' L' R B'
D2 U' F B' L' B' R
D2 U' F B' R L' B'
D2 U' F B2 L' R B'
D2 U' F B2 L' B' R
D2 U' F B2 R L' B'
D2 U' B F L' R B'
D2 U' B F L' B' R
D2 U' B F R L' B'
D2 U' B' F L' R B'
D2 U' B' F L' B' R
D2 U' B' F R L' B'
B' U' F L R D B2
B' U' F R L D B2
B' U' F R D L B2
D2 U' B2 F L' R B'
D2 U' B2 F L' B' R
D2 U' B2 F R L' B'
U' D2 R F L' R B'
U' D2 R F L' B' R
U' D2 R F R L' B'
U' D2 R' F L' R B'
U' D2 R' F L' B' R
U' D2 R' F R L' B'
R' D2 U' F L' R B'
R' D2 U' F L' B' R
R' D2 U' F R L' B'
U' D2 R2 F L' R B'
U' D2 R2 F L' B' R
U' D2 R2 F R L' B'
R2 D2 U' F L' R B'
R2 D2 U' F L' B' R
R2 D2 U' F R L' B'
U' D2 F L' R D B'
U' D2 F L' R D' B'
U' D2 F L' R D2 B'
U' D2 F L' R B' D
U' D2 F L' R B' D'
U' D2 F L' R B' D2
U' D2 F L' R' B' R2
U' D2 F L' D R B'
U' D2 F L' D B' R
U' D2 F L' D' R B'
U' D2 F L' D' B' R
U' D2 F L' D2 R B'
U' D2 F L' D2 B' R
U' D2 F L' B R B2
U' D2 F L' B' R D
U' D2 F L' B' R D'
U' D2 F L' B' R D2
U' D2 F L' B' D R
U' D2 F L' B' D' R
U' D2 F L' B' D2 R
U' D2 F R L' D B'
U' D2 F R L' D' B'
U' D2 F R L' D2 B'
U' D2 F R L' B' D
U' D2 F R L' B' D'
U' D2 F R L' B' D2
U' D2 F R D L' B'
U' D2 F R D' L' B'
U' D2 F R D2 L' B'
U' D2 F R B L' B'
U' D2 F R B' L' B'
U' D2 F R B2 L' B'
U' D2 F R' L' B' R2
U' D2 F D L' R B'
U' D2 F D L' B' R
U' D2 F D R L' B'
U' D2 F D' L' R B'
