F U' F2 L' R
F U' F2 R L'
F' L' R U R' U'
F' L' R2 D R' B2
D' L' F U' F2 L'
F' R L' U R' U'
F' R U R' U' L'
F' R B2 L' D' B2
F' R2 L' D R' B2
F' R2 D L' R' B2
F' R2 D R' L' B2
F' R2 D R' B2 L'
F U L' R U2 F2
F U L' U2 F2 L'
F U R L' U2 F2
F U R U2 F2 R
F U' F2 L' R D
F U' F2 L' R D'
F U' F2 L' R D2
F U' F2 L' D R
F U' F2 L' D' R
F U' F2 L' D2 R
F U' F2 R L' D
F U' F2 R L' D'
F U' F2 R L' D2
F U' F2 R D L'
F U' F2 R D' L'
F U' F2 R D2 L'
F U' F2 D L' R
F U' F2 D R L'
F U' F2 D' L' R
F U' F2 D' R L'
F U' F2 D2 L' R
F U' F2 D2 R L'
L' F U' F2 L' R
L' F U' F2 R L'
L2 F U' F2 L' R
L2 F U' F2 R L'
L F U' F2 L' R
L F U' F2 R L'
U' F' R U B U'
U2 B U L F' R
U2 B U F' L R
U2 B U F' R L
B' F U' F2 L' R
B' F U' F2 R L'
B2 F U' F2 L' R
B2 F U' F2 R L'
B F U' F2 L' R
B F U' F2 R L'
F B U' F2 L' R
F B U' F2 R L'
F B' U' F2 L' R
F B' U' F2 R L'
F B2 U' F2 L' R
F B2 U' F2 R L'
F' L R U R' U' L2
F L U L2 R U2 F2
F L U L2 U2 F2 L'
F L U R L2 U2 F2
U L U F U F2 R
F L U' L' F2 L' R
F L U' L' F2 R L'
F L U' F2 D2 L' R2
F L U' F2 D2 R2 L'
U L U2 F' R D' L2
U L U2 F' D' L2 R
U L U2 F' D' R L2
F' L F U' L2 F' R
F' L F U' F' L2 R
F' L F U' F' R L2
F2 L F U' L' R F
F2 L F U' R L' F
B' L F U' F2 L' R
B' L F U' F2 R L'
B2 L F U' F2 L' R
B2 L F U' F2 R L'
B L F U' F2 L' R
B L F U' F2 R L'
U' L F' R U B U'
U L F' R D' L2 B'
U L F' D' L2 R B'
U L F' D' L2 B' R
U L F' D' R L2 B'
F' L F2 U' F2 L2 R
F' L F2 U' F2 R L2
F' L' R U R' U' D
F' L' R U R' U' D'
F' L' R U R' U' D2
F' L' R U R' D U'
F' L' R U R' D' U'
F' L' R U R' D2 U'
F' L' R U D R' U'
F' L' R U D' R' U'
F' L' R U D2 R' U'
F' L' R D U R' U'
F' L' R D' U R' U'
F L' R U' R' U' F2
F' L' R D2 U R' U'
F' L' R B2 U' L U
F' L' R' U R U' R
F' L' R2 U R2 U' R
F' L' R2 D R B2 R2
F' L' R2 D R' B2 D
F' L' R2 D R' B2 D'
F' L' R2 D R' B2 D2
F' L' R2 D R2 B2 R
F' L' R2 D' R' D2 B2
F' L' R2 D2 R' D' B2
F' L' R2 B2 D B2 R'
F' L' U' B U R B'
F' L' U' B U B' R
F' L' U' B' U B R
F' L' U' B2 U R B2
F' L' U' B2 U B2 R
F L' U' F2 L' D R2
F L' U' F2 D L' R2
F L' U' F2 D R2 L'
U L' U' B' U' F' R
F' L' D R U R' U'
F' L' D R2 D R' B2
D' L' D F U' F2 L'
F' L' D' R U R' U'
F' L' D' R2 D R' B2
D' L' D' F U' F2 L'
F' L' D2 R U R' U'
F' L' D2 R2 D R' B2
D' L' D2 F U' F2 L'
D' L' F L U' F2 L'
D' L' F L' U' F2 L'
D' L' F L2 U' F2 L'
D' L' F U R U2 F2
D' L' F U' L F2 L'
D' L' F U' L' F2 L'
D' L' F U' L2 F2 L'
D' L' F U' F2 L' D
D' L' F U' F2 L' D'
D' L' F U' F2 L' D2
D' L' F U' F2 D L'
D' L' F U' F2 D' L'
D' L' F U' F2 D2 L'
B' L' F U' F2 L' R
B' L' F U' F2 R L'
B2 L' F U' F2 L' R
B2 L' F U' F2 R L'
D' L' F B U' F2 L'
B L' F U' F2 L' R
B L' F U' F2 R L'
D' L' F B' U' F2 L'
D' L' F B2 U' F2 L'
U' L' F' R U B U'
F' L' B R U R' U'
F' L' B R2 D R' B2
D' L' B F U' F2 L'
F' L' B' R U R' U'
F' L' B' R2 D R' B2
D' L' B' F U' F2 L'
F' L' B2 R U R' U'
F' L' B2 R2 D R' B2
D' L' B2 F U' F2 L'
F' L2 R U R' U' L
F' L2 R2 D L R' B2
F' L2 R2 D R' L B2
F L2 U L R U2 F2
F L2 U L U2 F2 L'
F L2 U R L U2 F2
F L2 U' L2 F2 L' R
F L2 U' L2 F2 R L'
F L2 U' F2 L' D2 R2
F' L2 F U' L F' R
B' L2 F U' F2 L' R
B' L2 F U' F2 R L'
F' L2 F U' F' L R
F' L2 F U' F' R L
B2 L2 F U' F2 L' R
B2 L2 F U' F2 R L'
B L2 F U' F2 L' R
B L2 F U' F2 R L'
U' L2 F' R U B U'
R' U R U' F' L' R
R' U R U' F' R L'
D' L2 F2 U' F L' R
D' L2 F2 U' F R L'
F' L2 F2 U' F2 L R
F' L2 F2 U' F2 R L
R2 U R2 U' F' L' R
R2 U R2 U' F' R L'
F' R L U R' U' L2
F L2 B2 U' F2 L' R'
F L2 B2 U' F2 R' L'
F' R L' U R' U' D
F' R L' U R' U' D'
F' R L' U R' U' D2
F' R L' U R' D U'
F' R L' U R' D' U'
F' R L' U R' D2 U'
F' R L' U D R' U'
F' R L' U D' R' U'
F' R L' U D2 R' U'
F' R L' D U R' U'
F' R L' D' U R' U'
F' R L' D2 U R' U'
F R L' U' R' U' F2
F' R L' B2 U' L U
F' R L2 U R' U' L
F' R U R' U' L' D
F' R U R' U' L' D'
F' R U R' U' L' D2
F' R U R' U' D L'
F' R U R' U' D' L'
F' R U R' U' D2 L'
F' R U R' D U' L'
F' R U R' D' U' L'
F' R U R' D2 U' L'
F' R U R' B U' L'
F' R U R' B' U' L'
F' R U R' B2 U' L'
F' R U D R' U' L'
F' R U D' R' U' L'
F' R U D2 R' U' L'
F' R U B U' L' B'
F R U' R' U' F2 R
F' R D L' U R' U'
F R U2 F2 R D B2
F' R D U R' U' L'
F' R D B2 L' D' B2
F' R D' L' U R' U'
F' R D' U R' U' L'
F' R D' B2 L' D' B2
F' R D2 L' U R' U'
F' R D2 U R' U' L'
F' R D2 B2 L' D' B2
F2 R F L' R D B2
F2 R F R L' D B2
F2 R F R D L' B2
F2 R F R D B2 L'
D R F' R' U' L' F'
R' U' R B U' F' R
F R F2 R D B2 L
F' R B' L2 D L B'
F' R B' D L B' L2
F' R B2 L' U' L2 U
F' R B2 L' D' B2 D
F' R B2 L' D' B2 D'
F' R B2 L' D' B2 D2
F' R B2 L' B D' B2
F' R B2 L' B' D' B2
F' R B2 L' B2 D' B2
F' R B2 U' L U L2
F' R B2 D L' D' B2
F' R B2 D' L' D' B2
F' R B2 D2 L' D' B2
F' R' L' U R U' R
L' U' F' R U B U'
L2 U' F' R U B U'
F' R' U R U' L' R
F' R' U R U' R L'
L U' F' R U B U'
U' R' U' F' U R F'
F' R2 L' U R2 U' R
F' R2 L' D R B2 R2
F' R2 L' D R' B2 D
F' R2 L' D R' B2 D'
