R' F' U' L' F2
R' L F' U' L' F
L R' F' U' L' F
D' R' F' U' L' F2
D2 R' F' U' L' F2
D R' F' U' L' F2
R' D F' U' L' F2
R' D' F' U' L' F2
R' D2 F' U' L' F2
R' F' L U' L2 F2
R' F' L U' F2 L2
R' F' L2 U' L F2
R' F' L2 U' F2 L
R' F' U' L F2 L2
R' F' U' L' F2 D
R' F' U' L' F2 D'
R' F' U' L' F2 D2
R' F' U' L2 F2 L
R' F' D' L2 U' L
R' F' B U' L' F2
R' F' B' U' L' F2
R' F' B2 U' L' F2
R' B F' U' L' F2
R' B' F' U' L' F2
R' B2 F' U' L' F2
F' L R' F' U' L2 F'
F' L R' F' U' F' L2
D' L R' F' U' L' F
D2 L R' F' U' L' F
D L R' F' U' L' F
R' L F' L U' L2 F
R' L F' U' L' D F
R' L F' U' L' D' F
R' L F' U' L' D2 F
R' L F' U' L' F D
R' L F' U' L' F D'
R' L F' U' L' F D2
R' L F' B U' L' F
R' L F' B' U' L' F
R' L F' B2 U' L' F
R' L B F' U' L' F
B2 L F' U L' F R
R' L B' F' U' L' F
R' L B2 F' U' L' F
R' L' F' L U' F L2
L' R' F' L U' F L2
L R' F' L U' L2 F
L2 R' F' L2 U' F L
L2 R' F' U B' U2 L'
L2 R' F' U' L2 F L
L R' F' U' L' D F
L R' F' U' L' D' F
L R' F' U' L' D2 F
L R' F' U' L' F D
L R' F' U' L' F D'
L R' F' U' L' F D2
L R' F' B U' L' F
L R' F' B' U' L' F
L R' F' B2 U' L' F
L R' B F' U' L' F
L R' B' F' U' L' F
L R' B2 F' U' L' F
F' L2 R' F' U' L F'
F' L2 R' F' U' F' L
R' L2 F' L2 U' F L
R' L2 F' U B' U2 L'
R' L2 F' U' L2 F L
R2 U' R F' B U' F2
R2 U' R B F' U' F2
D2 R' L F' U' L' F
D' R' L F' U' L' F
F' R' L F' U' L2 F'
F' R' L F' U' F' L2
D R' L F' U' L' F
F' R' L2 F' U' L F'
F' R' L2 F' U' F' L
U' R' U2 F' U F2 R
D2 R' D F' U' L' F2
D' R' D F' U' L' F2
F' R' D' L2 F' U' L
D R' D F' U' L' F2
D2 R' D' F' U' L' F2
D' R' D' F' U' L' F2
F R' D F' B2 U' F
F R' D B2 F' U' F
D R' D' F' U' L' F2
D2 R' D2 F' U' L' F2
D' R' D2 F' U' L' F2
D R' D2 F' U' L' F2
F R' D2 F' U' F L2
D2 R' F' L U' L2 F2
D2 R' F' L U' F2 L2
D' R' F' L U' L2 F2
D' R' F' L U' F2 L2
D2 R' F' L2 U' L F2
D2 R' F' L2 U' F2 L
D' R' F' L2 U' L F2
D' R' F' L2 U' F2 L
D2 R' F' U' L F2 L2
D2 R' F' U' L' F2 D
D2 R' F' U' L' F2 D'
D2 R' F' U' L' F2 D2
D2 R' F' U' L2 F2 L
D' R' F' U' L F2 L2
D' R' F' U' L' F2 D
D' R' F' U' L' F2 D'
D' R' F' U' L' F2 D2
D' R' F' U' L2 F2 L
F' R' F' U' F L' F2
D2 R' F' D' L2 U' L
D R' F' L U' L2 F2
D R' F' L U' F2 L2
D' R' F' D' L2 U' L
D R' F' L2 U' L F2
D R' F' L2 U' F2 L
D2 R' F' B U' L' F2
D' R' F' B U' L' F2
F2 R' F' U R U2 F'
D2 R' F' B' U' L' F2
D' R' F' B' U' L' F2
D2 R' F' B2 U' L' F2
D' R' F' B2 U' L' F2
D R' F' U' L F2 L2
D R' F' U' L' F2 D
D R' F' U' L' F2 D'
D R' F' U' L' F2 D2
D R' F' U' L2 F2 L
B R' F' U' L' F2 B'
B R' F' U' L' B' F2
D R' F' D' L2 U' L
F R' F' U R2 U2 F
F R' F' U' D2 F L2
F R' F' U' F D2 L2
D R' F' B U' L' F2
D R' F' B' U' L' F2
D R' F' B2 U' L' F2
F R' F' D B2 U' F
F R' F' D2 U' F L2
U R' F2 U' F' L' R
U R' F2 U' F' R L'
D2 R' B F' U' L' F2
D' R' B F' U' L' F2
U2 R' B U' F L R
U2 R' B U' F R L
R' U2 R2 B U F L
D R' B F' U' L' F2
D2 R' B' F' U' L' F2
D' R' B' F' U' L' F2
D R' B' F' U' L' F2
D2 R' B2 F' U' L' F2
D' R' B2 F' U' L' F2
D R' B2 F' U' L' F2
R' D L F' U' L' F
R' D F' L U' L2 F2
R' D F' L U' F2 L2
R' D F' L2 U' L F2
R' D F' L2 U' F2 L
R' D F' U' L F2 L2
R' D F' U' L' F2 D
R' D F' U' L' F2 D'
R' D F' U' L' F2 D2
R' D F' U' L2 F2 L
R' D F' D' L2 U' L
R' D F' B U' L' F2
R' D F' B' U' L' F2
R' D F' B2 U' L' F2
R' D B F' U' L' F2
R' D B' F' U' L' F2
R' D B2 F' U' L' F2
R' D' L F' U' L' F
R' D' F' L U' L2 F2
R' D' F' L U' F2 L2
R' D' F' L2 U' L F2
R' D' F' L2 U' F2 L
R' D' F' U' L F2 L2
R' D' F' U' L' F2 D
R' D' F' U' L' F2 D'
R' D' F' U' L' F2 D2
R' D' F' U' L2 F2 L
R' D' F' D' L2 U' L
R' D' F' B U' L' F2
R' D' F' B' U' L' F2
R' D' F' B2 U' L' F2
R' D' B F' U' L' F2
R' D' B' F' U' L' F2
R' D' B2 F' U' L' F2
R' D2 L F' U' L' F
R' D2 F' L U' L2 F2
R' D2 F' L U' F2 L2
R' D2 F' L2 U' L F2
R' D2 F' L2 U' F2 L
R' D2 F' U' L F2 L2
R' D2 F' U' L' F2 D
R' D2 F' U' L' F2 D'
R' D2 F' U' L' F2 D2
R' D2 F' U' L2 F2 L
R' D2 F' D' L2 U' L
R' D2 F' B U' L' F2
R' D2 F' B' U' L' F2
R' D2 F' B2 U' L' F2
R' D2 B F' U' L' F2
R' D2 B' F' U' L' F2
R' D2 B2 F' U' L' F2
R' F L F2 U' L' F2
R' F L' F2 U' L' F2
R' F L2 F2 U' L' F2
R' F R2 D B2 L R2
R' F R2 D B2 R2 L
U' F U R' F' U' L'
R' F D R2 D B2 L
R' F' L U' L F2 L
R' F' L U' L2 F2 D
R' F' L U' L2 F2 D'
R' F' L U' L2 F2 D2
R' F' L U' F' L2 F'
R' F' L U' F2 L2 D
R' F' L U' F2 L2 D'
R' F' L U' F2 L2 D2
R' F' L D' L2 B2 U'
R' F' L D' B2 L2 U'
R' F' L B U' L2 F2
R' F' L B U' F2 L2
R' F' L B' U' L2 F2
R' F' L B' U' F2 L2
R' F' L B2 U' L2 F2
R' F' L B2 U' F2 L2
R' F' L' U' F2 D' L2
R' F' L' D' L2 U' L2
R' F' L2 U' L F2 D
R' F' L2 U' L F2 D'
R' F' L2 U' L F2 D2
R' F' L2 U' L' F2 L2
R' F' L2 U' F' L F'
R' F' L2 U' F2 L D
R' F' L2 U' F2 L D'
R' F' L2 U' F2 L D2
R' F' L2 U' F2 D L
R' F' L2 U' F2 D' L
R' F' L2 U' F2 D2 L
R' F' L2 D' L2 U' L'
R' F' U R U2 L' F2
R' F' U R' U2 L' F2
R' F' U R2 U2 L' F2
R' F' U D2 B2 U2 L'
R' F' U B U2 L' F2
R' F' U B' U2 L' F2
R' F' U B2 U2 L' F2
R' F' U' L F' L2 F'
R' F' U' L F2 L2 D
R' F' U' L F2 L2 D'
R' F' U' L F2 L2 D2
R' F' U' L' R F2 R'
R' F' U' L' R2 F2 R2
R' F' U' L' F D F
R' F' U' L' F D' F
R' F' U' L' F D2 F
R' F' U' L' F' D F'
R' F' U' L' F' D' F'
R' F' U' L' F' D2 F'
R' F' U' L2 F' L F'
R' F' U' L2 F2 L D
R' F' U' L2 F2 L D'
R' F' U' L2 F2 L D2
R' F' U' L2 F2 D L
R' F' U' L2 F2 D' L
R' F' U' L2 F2 D2 L
R' F' U' R L' F2 R'
R' F' U' R2 L' F2 R2
R' F' U' D L' D' F2
R' F' U' D2 L' D2 F2
R' F' U' F2 U2 R U2
R' F' U' B' L' F2 B
R' F' U' B' L' B F2
R' F' U' B2 L' F2 B2
R' F' U' B2 L' B2 F2
R' F' U2 R U L' F2
R' F' U2 R' U L' F2
R' F' U2 R2 U L' F2
R' F' U2 D R2 U L'
R' F' D U' L' D' F2
R' F' D U2 R2 U L'
F' D' L2 R' F' U' L
R' F' D' L2 U' L D
R' F' D' L2 U' L D'
R' F' D' L2 U' L D2
R' F' D' L2 U' D L
R' F' D' L2 U' D' L
R' F' D' L2 U' D2 L
R' F' D' L2 D U' L
R' F' D' L2 D' U' L
R' F' D' L2 D2 U' L
R' F' D' B L2 U' L
R' F' D' B' L2 U' L
R' F' D' B2 L2 U' L
R' F' D2 U B2 U2 L'
R' F' D2 U' L' D2 F2
F' D' R' L2 F' U' L
R' F' B L U' L2 F2
R' F' B L U' F2 L2
R' F' B L2 U' L F2
R' F' B L2 U' F2 L
R' F' B U' L F2 L2
R' F' B U' L' F2 D
R' F' B U' L' F2 D'
R' F' B U' L' F2 D2
R' F' B U' L2 F2 L
R' F' B D' L2 U' L
R' F' B' L U' L2 F2
R' F' B' L U' F2 L2
R' F' B' L2 U' L F2
R' F' B' L2 U' F2 L
R' F' B' U' L F2 L2
R' F' B' U' L' F2 D
R' F' B' U' L' F2 D'
R' F' B' U' L' F2 D2
R' F' B' U' L2 F2 L
R' F' B' D' L2 U' L
R' F' B2 L U' L2 F2
R' F' B2 L U' F2 L2
R' F' B2 L2 U' L F2
R' F' B2 L2 U' F2 L
R' F' B2 U' L F2 L2
R' F' B2 U' L' F2 D
R' F' B2 U' L' F2 D'
R' F' B2 U' L' F2 D2
R' F' B2 U' L2 F2 L
R' F' B2 D' L2 U' L
R' B L F' U' L' F
R2 B R F' U' L' F2
R' B D F' U' L' F2
R' B D' F' U' L' F2
R' B D2 F' U' L' F2
R' B F' L U' L2 F2
R' B F' L U' F2 L2
R' B F' L2 U' L F2
R' B F' L2 U' F2 L
R' B F' U' L F2 L2
R' B F' U' L' F2 D
R' B F' U' L' F2 D'
R' B F' U' L' F2 D2
R' B F' U' L2 F2 L
R' B F' D' L2 U' L
F' B U' L' F2 B' R'
F' B U' L' B' R' F2
F' B U' L' B' F2 R'
R' B' L F' U' L' F
R2 B' R F' U' L' F2
R' B' D F' U' L' F2
R' B' D' F' U' L' F2
R' B' D2 F' U' L' F2
R' B' F' L U' L2 F2
R' B' F' L U' F2 L2
R' B' F' L2 U' L F2
R' B' F' L2 U' F2 L
R' B' F' U' L F2 L2
R' B' F' U' L' F2 D
R' B' F' U' L' F2 D'
R' B' F' U' L' F2 D2
R' B' F' U' L2 F2 L
R' B' F' D' L2 U' L
B F' U' L' F2 B' R'
B F' U' L' B' R' F2
B F' U' L' B' F2 R'
R' B2 L F' U' L' F
R2 B2 R F' U' L' F2
R' B2 D F' U' L' F2
R' B2 D' F' U' L' F2
R' B2 D2 F' U' L' F2
R' B2 F' L U' L2 F2
R' B2 F' L U' F2 L2
R' B2 F' L2 U' L F2
R' B2 F' L2 U' F2 L
R' B2 F' U' L F2 L2
R' B2 F' U' L' F2 D
R' B2 F' U' L' F2 D'
R' B2 F' U' L' F2 D2
R' B2 F' U' L2 F2 L
R' B2 F' D' L2 U' L
