B L R' F U' R
B L F R' U' R2
B R' L F U' R
B R' F L U' R
B F L R' U' R2
F B L R' U' R2
B F R' L U' R2
F B R' L U' R2
B L R F R2 U' R'
B L R' U2 B' U R'
B L R' D F U' R
B L R' D' F U' R
B L R' D2 F U' R
B L R' F U' R D
B L R' F U' R D'
B L R' F U' R D2
B L R' F U' D R
B L R' F U' D' R
B L R' F U' D2 R
B L R' F D U' R
B L R' F D' U' R
B L R' F D2 U' R
B L R' F' U L' U2
B L D R' F U' R
B L D F R' U' R2
B L D' R' F U' R
B L D' F R' U' R2
B L D2 R' F U' R
B L D2 F R' U' R2
B L F R' U' R2 D
B L F R' U' R2 D'
B L F R' U' R2 D2
B L F R' D' F2 U'
B L F R' F U' R2
B L F R' F' U' R2
B L F R' F2 U' R2
B L F U' R D B2
B L F D R' U' R2
B L F D' R' U' R2
B L F D2 R' U' R2
U L F B R' U' F'
B L F' R' U L' U2
B L F' R' F2 U' R
B L F2 R' F' U' R
F L B L R' U' R2
U' L B R' F' U' F2
F L B R' L U' R2
U L B R' F U' F2
U L B F R' U' F'
B L' R' F L2 U' R
B L' F L2 R' U' R2
B L' F R' L2 U' R2
F L' B L R' U' R2
F L' B R' L U' R2
F L2 B L R' U' R2
F L2 B R' L U' R2
B R L F R2 U' R'
B R F L R2 U' R'
B R F R2 L U' R'
B R' L U2 B' U R'
B R' L D F U' R
B R' L D' F U' R
B R' L D2 F U' R
B R' L F U' R D
B R' L F U' R D'
B R' L F U' R D2
B R' L F U' D R
B R' L F U' D' R
B R' L F U' D2 R
B R' L F D U' R
B R' L F D' U' R
B R' L F D2 U' R
B R' L F' U L' U2
B R' L' F L2 U' R
B R' U2 B' U R' F'
B R' D L F U' R
B R' D F L U' R
B R' D' L F U' R
B R' D' F L U' R
B R' D2 L F U' R
B R' D2 F L U' R
B R' F L U' R D
B R' F L U' R D'
B R' F L U' R D2
B R' F L U' D R
B R' F L U' D' R
B R' F L U' D2 R
B R' F L D U' R
B R' F L D' U' R
B R' F L D2 U' R
B R' F D L U' R
B R' F D' L U' R
B R' F D2 L U' R
B R' F' L U L2 U2
B R' F' L U' D2 R2
B R' F' L D F2 U'
B R' F' L D2 U' R2
B R' F2 L F' U' R
F2 U B R' U' F' R
F U B R' U' F' R2
B' U B2 L R' F U'
B' U B2 L F R' U'
B' U B2 R' L F U'
B U' R' F' L U' L'
