B' L' U' F' U F2 R
D R2 F B L' U' B2
D R2 B F L' U' B2
R2 D F B L' U' B2
R2 D B F L' U' B2
F U' B' L D' L2 F
F U' B' L' D' F L2
L2 F U F2 B' R' U
L2 F U B' R' F2 U
L2 F U B' F2 R' U
D F U2 F2 R U B'
B D L2 F' R B' U
B D L2 F' B' R U
B D L2 B' F' R U
R2 F B L' U' F B2
R2 F B L' U' B2 F
D F D2 B2 L' U' B
D F' R U D R2 B'
D F' R U D B' R2
D F' R U B' D R2
D F' R U2 F2 U' B'
D F' R D U R2 B'
D F' R D U B' R2
D F' R D2 B2 U B
D F' D R U R B'
D F' D R U B' R
D F' D2 R B2 U B
F' D2 R B2 U F' B
F' D2 R B2 U B F'
F D2 R B2 U' F' B
F D2 R B2 U' B F'
R2 B L' U' F R B2
R2 B L' U' F B2 R
R2 B L' U' B2 F R
R2 B F L' U' F B2
R2 B F L' U' B2 F
