D R' B U L' B'
R' L F' L' U L' R
R' L F' L' U R L'
F' L' R' F U L' R2
F' L' R' F U R2 L'
R' L' F' L' U L R
R' L' F' L' U R L
L' R' F' L' U L R
L' R' F' L' U R L
L2 R' F' L' U L2 R
L2 R' F' L' U R L2
L R' F' L' U L' R
L R' F' L' U R L'
U' L' F' R D' F2 B
U' L' F' R D' B F2
U' L' F' R B D' F2
U L' F' R D' F2 B'
U L' F' R D' B' F2
U L' F' R B' D' F2
U L' F' B' D' R F'
U L' B' F' D' R F'
R' L2 F' L' U L2 R
R' L2 F' L' U R L2
R' U L' D2 B R' B2
R' U L' F' R F B'
R' U L' F' R B' F
R' U L' F' B' R F
R' U L' B' F' R F
R' U L' B2 D2 B R'
R' U D2 L' B R' B2
R' U D2 B L' R' B'
R' U D2 B R' L' B'
R' U D2 B2 L' B' R'
R' U F' R F L' B'
L' U' R' U' F' U2 R
F' R' L' F U L' R2
F' R' L' F U R2 L'
D2 R' U L' B R' B2
D R' U L' B' D' R2
D2 R' U B L' R' B'
D2 R' U B R' L' B'
D2 R' U B2 L' B' R'
D R' D B U L' B'
D R' D' B U L' B'
D R' D2 B U L' B'
F' R' F U L' R2 B'
F' R' F U L' B' R2
F' R' F U R2 L' B'
D2 R' B U L' R' B'
D2 R' B U R' L' B'
D R' B U L' D B'
D R' B U L' D' B'
D R' B U L' D2 B'
D R' B U L' B' D
D R' B U L' B' D'
D R' B U L' B' D2
D R' B U D L' B'
D R' B U D' L' B'
D R' B U D2 L' B'
D R' B U B L' B'
D R' B U B' L' B'
D R' B U B2 L' B'
D R' B D U L' B'
D R' B D' U L' B'
D R' B D2 U L' B'
B U L' R' F' R B'
B U L' R' F' B' R
B U L' R' B' F' R
B U L' B' R' F' R
B U R' L' F' R B'
B U R' L' F' B' R
B U R' L' B' F' R
U2 D R' B L U L2
R' D2 U L' B R' B2
R' D2 U B L' R' B'
R' D2 U B R' L' B'
R' D2 U B2 L' B' R'
D U2 R' B L U L2
R' D2 B U L' R' B'
R' D2 B U R' L' B'
L2 F' L R D' F2 B2
L2 F' L R D' B2 F2
L' F' L' R' U L R2
L' F' L' R' U R2 L
L2 F' L' R' U L2 R2
L2 F' L' R' U R2 L2
L F' L' R' U L' R2
L F' L' R' U R2 L'
L' F' R U' L' R2 U
L' F' R U' R2 L' U
L2 F' R L D' F2 B2
L2 F' R L D' B2 F2
L' F' R' L' U L R2
L' F' R' L' U R2 L
L2 F' R' L' U L2 R2
L2 F' R' L' U R2 L2
L F' R' L' U L' R2
L F' R' L' U R2 L'
L' F' U' L' R' U R2
L' F' U' R' L' U R2
F' D' L' R' F U R2
F' D' R' L' F U R2
D2 B U L' R' F' B'
D2 B U L' R' B' F'
D2 B U R' L' F' B'
D2 B U R' L' B' F'
