L U R F U B'
R' L U R2 F U B'
R2 L U R' F U B'
B2 L R F U R2 B'
B2 L R F U B' R2
R' L U F R2 U B'
R2 L U F R' U B'
L R U F U F' B'
L R U F U B' F'
R L U F U F' B'
R L U F U B' F'
D L U R F L' U
L R' U R2 F U B'
L R' U F R2 U B'
L R2 U R' F U B'
L R2 U F R' U B'
F2 L' B' U L2 U2 B'
F2 L' B' U F L2 U2
L U R D F U B'
L U R D' F U B'
L U R D2 F U B'
L U R F U D B'
L U R F U D' B'
L U R F U D2 B'
L U R F U B' D
L U R F U B' D'
L U R F U B' D2
L U R F D U B'
L U R F D' U B'
L U R F D2 U B'
L U R' F R2 U B'
L U R2 F R' U B'
L U D R F U B'
L U D' R F U B'
B2 R L F U R2 B'
B2 R L F U B' R2
L U D2 R F U B'
B2 R U R2 B L B'
D2 R U' L F' U2 L'
B2 R U B L R2 B'
B2 R U B L B' R2
B2 R U B R2 L B'
B R U B L R' B'
B R U B R' L B'
D2 R U' F' L U2 L2
R U B L B R' B2
R U B2 L R' B' L
R U B2 R' L B' L
R U B2 R' B' L B'
R U' L U2 B L B2
R U' L F R U2 B'
R U' L F' U2 B' L'
R U' L' F L2 R U2
R U' L' F R L2 U2
R U' F L R U2 B'
R U' F R L U2 B'
R U' F' L U2 B' L2
L U2 R F U R' B'
L U2 B' U' R F U
L D U R F U B'
B' U R B U L B'
L D' U R F U B'
L D2 U R F U B'
R D2 B2 U R' B L
B2 D2 R U R2 B L
L B U R F U B2
R B U B L R' B'
R B U B R' L B'
D2 B2 R U R2 B L
R B2 L F U R' B'
R B2 U R' B L B'
R B2 U D2 R' B L
R B2 U B L B' R'
R B2 D2 U R' B L
