F R' B U F2
D' F U F2 R
F R U2 F' U' F'
F R D R2 B U
F R' D B R2 U
F' R' F2 B U F2
F' R' B F2 U F2
F R' B R U F2
F R' B R' U F2
F R' B R2 U F2
F R' B U F2 D
F R' B U F2 D'
F R' B U F2 D2
F R' B D R2 U
F R2 U F R F
R' D F B R' U
R' D B R' F U
R' D B F R' U
D' U F' R D' L2
D' U F' D' L2 R
D' U F' D' R L2
F U F' D' F' R
U D' F' R D' L2
U D' F' D' L2 R
U D' F' D' R L2
D' F R U F2 R
D' F R' U F2 R
D' F R2 U F2 R
D' F U R F2 R
D' F U R' F2 R
D' F U R2 F2 R
D' F U F2 R D
D' F U F2 R D'
D' F U F2 R D2
D' F U F2 D R
D' F U F2 D' R
D' F U F2 D2 R
D' F U' L' U2 F2
R2 F U' B L U2
R' F D B R' U
R' F B R U F'
D' F B U F2 R
D' F B' U F2 R
D F B U R' F2
D F B U F2 R'
D' F B2 U F2 R
F D R2 B U R'
F D B R2 U R
B2 D' F U F2 R
B' D' F U F2 R
F2 D' F' U R F2
B D' F U F2 R
R' B R F U F2
R' B F R U F'
B' F R' B U F2
B2 F R' B U F2
D' B F U F2 R
D B F U R' F2
D B F U F2 R'
B F R' B U F2
F B R' B U F2
F B' R' B U F2
D' B' F U F2 R
F B2 R' B U F2
D' B2 F U F2 R
F L R' B L' U F2
D2 L B' L' F U F2
U2 L' U' D' F' L' R
U2 L' U' D' F' R L'
U2 L' D' U' F' L' R
U2 L' D' U' F' R L'
F L2 R' B L2 U F2
U2 L2 D' B' U' F' R
U2 L2 B' U' D' F' R
U2 L2 B' D' U' F' R
F R U F D R2 F
F R U F D F R2
F R U F2 U F U'
F R U2 L F' U' F'
F R U2 L' F' U' F'
F R U2 L2 F' U' F'
F R U2 D' L2 F' U'
F R U2 D' F' L2 U'
F R U2 F' L U' F'
F R U2 F' L' U' F'
F R U2 F' L2 U' F'
F R U2 F' U' D F'
F R U2 F' U' D' F'
F R U2 F' U' D2 F'
F R U2 F' U' F' D
F R U2 F' U' F' D'
F R U2 F' U' F' D2
F R U2 F' D U' F'
F R U2 F' D' U' F'
F R U2 F' D2 U' F'
F R D R2 D B U
F R D R2 D' B U
F R D R2 D2 B U
F R D R2 B U D
F R D R2 B U D'
F R D R2 B U D2
F R D R2 B D U
F R D R2 B D' U
F R D R2 B D2 U
F R D B R2 B U
F R D B' R2 B U
F R D B2 R2 B U
F R D' U2 L2 F' U'
F R D' U2 F' L2 U'
F' R F2 U2 F U' F
F R B R2 B U F2
F R B U2 F' U' F'
F R B D R2 B U
F R B' R2 B U F2
F R B' U2 F' U' F'
F R B' D R2 B U
F R B2 R2 B U F2
F R B2 U2 F' U' F'
F R B2 D R2 B U
F R' L B L' U F2
F R' L2 B L2 U F2
F R' U F2 U' B U
B' R' D F B R' U
B' R' D B R' F U
B' R' D B F R' U
B2 R' D F B R' U
B2 R' D B R' F U
B2 R' D B F R' U
F R' D R2 U2 F' U'
B R' D F B R' U
B R' D B R' F U
B R' D B F R' U
F R' D B R2 U D
F R' D B R2 U D'
F R' D B R2 U D2
F R' D B R2 D U
F R' D B R2 D' U
F R' D B R2 D2 U
F R' D B U D' F2
F R' D B D' U F2
F R' D B' R2 B2 U
F R' D B2 R2 B' U
F2 R' D' B U F L'
F R' D' B U D F2
F R' D' B U2 L2 U'
F R' D' B D U F2
F R' D' B D2 R2 U
D' R' F U F2 R F'
B' R' F D B R' U
F R' D2 B R2 U F'
F R' D2 B U' B U2
B' R' F B R U F'
B2 R' F D B R' U
B2 R' F B R U F'
B R' F D B R' U
B R' F B R U F'
F' R' F2 D B R2 U
F' R' F2 B R U F2
F' R' F2 B R' U F2
F' R' F2 B R2 U F2
F' R' F2 B U F2 D
F' R' F2 B U F2 D'
F' R' F2 B U F2 D2
F' R' F2 B D R2 U
B' R' B R F U F2
F' R' B R F2 U F2
F' R' B R' F2 U F2
F' R' B R2 F2 U F2
B2 R' B R F U F2
F2 R' B R F' U F2
F2 R' B U D' F L'
B' R' B F R U F'
B R' B R F U F2
F' R' B F2 R U F2
F' R' B F2 R' U F2
F' R' B F2 R2 U F2
F' R' B F2 U F2 D
F' R' B F2 U F2 D'
F' R' B F2 U F2 D2
F' R' B F2 D R2 U
F2 R' B D' U F L'
B2 R' B F R U F'
F R' B R U F2 D
F R' B R U F2 D'
F R' B R U F2 D2
F R' B R D R2 U
F R' B R' U F2 D
F R' B R' U F2 D'
F R' B R' U F2 D2
F R' B R' D R2 U
F R' B R2 U F2 D
F R' B R2 U F2 D'
F R' B R2 U F2 D2
F R' B R2 D R2 U
F R' B U L' F2 L
F R' B U L2 F2 L2
F R' B U R F2 R'
F R' B U R2 F2 R2
F R' B U F D F
F R' B U F D' F
F R' B U F D2 F
F R' B U F' D F'
F R' B U F' D' F'
F R' B U F' D2 F'
F R' B U' D2 B2 U2
F R' B U' B U2 F2
F R' B U' B' U2 F2
F R' B U' B2 U2 F2
F R' B U2 L U' F2
F R' B U2 L' U' F2
F R' B U2 L2 U' F2
B R' B F R U F'
F R' B U2 D' L2 U'
F R' B D R2 U D
F R' B D R2 U D'
F R' B D R2 U D2
F R' B D R2 D U
F R' B D R2 D' U
F R' B D R2 D2 U
F R' B D' U2 L2 U'
F R' B D2 U' B2 U2
F R' B' R B2 U F2
F R' B' R' B2 U F2
F R' B' R2 B2 U F2
F R' B' U F2 D' R2
F R' B2 R B' U F2
F R' B2 R' B' U F2
F R' B2 R2 B' U F2
F R' B2 D R2 B' U
F R' B2 D B' R2 U
F R2 U R F R F
F R2 U R' F R F
F R2 U R2 F R F
F R2 U F R D F
F R2 U F R D' F
F R2 U F R D2 F
F R2 U F R F D
F R2 U F R F D'
F R2 U F R F D2
F R2 U F R' F R2
F R2 U F R2 F R'
F R2 U F D R F
F R2 U F D' R F
F R2 U F D2 R F
F R2 U' B L U2 F2
F R2 U' B' U2 R' F2
F R2 U' B' U2 F2 R'
F R2 U2 L F U' F
F2 R2 U2 B U' F R
F R2 U2 F U' F R
F R2 D R B R U
D' R2 F U' L' B U2
D' R2 F U' B L' U2
B' R2 F U' B L U2
B2 R2 F U' B L U2
B R2 F U' B L U2
D R2 F U' B U2 R'
F' R2 F2 R B U F2
F' R2 F2 U F R F
U' R2 B U F U R
F R2 B R B U F2
F R2 B U F R F
F R2 B' R B U F2
F R2 B' U F R F
F R2 B2 R B U F2
F R2 B2 U F R F
R' D F B R' U D
R' D F B R' U D'
R' D F B R' U D2
R' D F B R' D U
R' D F B R' D' U
R' D F B R' D2 U
R' D F B D R' U
R' D F B D' R' U
R' D F B D2 R' U
R2 D F U' B L U2
R' D F' B R' F2 U
R' D B R F R2 U
R' D B R' D F U
R' D B R' D' F U
R' D B R' D2 F U
R' D B R' F U D
R' D B R' F U D'
R' D B R' F U D2
R' D B R' F D U
R' D B R' F D' U
R' D B R' F D2 U
F U R U F' U' F'
R' D B D R' F U
R' D B D F R' U
R' D B D' R' F U
R' D B D' F R' U
R' D B D2 R' F U
R' D B D2 F R' U
R' D B F R' U D
R' D B F R' U D'
R' D B F R' U D2
R' D B F R' D U
R' D B F R' D' U
R' D B F R' D2 U
R' D B F D R' U
R' D B F D' R' U
R' D B F D2 R' U
R' D B F' R' F2 U
F U R F D R2 F
F U R F D F R2
F U R F2 U F U'
F U R' U' B U F2
F U R' F2 U' B U
D' U F' L R D' L2
D' U F' L D' L2 R
D' U F' L D' R L2
D' U F' L' R D' L2
D' U F' L' D' L2 R
D' U F' L' D' R L2
D' U F' L2 R D' L2
D' U F' L2 D' L2 R
D' U F' L2 D' R L2
D' U F' R L D' L2
D' U F' R L' D' L2
D' U F' R L2 D' L2
D' U F' R U' F2 U
D' U F' R D' L2 D
D' U F' R D' L2 D'
D' U F' R D' L2 D2
D' U F' R2 D' L2 R'
D' U F' R2 D' R' L2
B' U D' F' R D' L2
B' U D' F' D' L2 R
B' U D' F' D' R L2
B2 U D' F' R D' L2
D' U F' D' L2 R D
D' U F' D' L2 R D'
D' U F' D' L2 R D2
D' U F' D' L2 D R
D' U F' D' L2 D' R
D' U F' D' L2 D2 R
B2 U D' F' D' L2 R
B2 U D' F' D' R L2
D' U F' D' R L2 D
D' U F' D' R L2 D'
D' U F' D' R L2 D2
L' D' L F U F2 R
D' U F' D2 R D L2
B U D' F' R D' L2
B U D' F' D' L2 R
B U D' F' D' R L2
F U D' F D F2 R
F U D' F' R D F2
F U D' F' D R F2
F U F R F D R2
F U F D' F' R F2
F U F' D' F' R D
F U F' D' F' R D'
F U F' D' F' R D2
F U F' D' F' D R
F U F' D' F' D' R
F U F' D' F' D2 R
F U F2 R U F' U'
F U F2 R' U' B U
F U F2 D B R' B'
F U F2 D' F' R F
F U F2 B' D B R'
U2 D' L' U' F' L' R
U2 D' L' U' F' R L'
F U B' F2 D B R'
U2 D' L2 B' U' F' R
R' D' F B U2 L' U'
R2 D' F U' B L U2
R' D' F' B R F2 U
U' D' F' R D' L2 B'
D' U' F' R D' L2 B'
R' D' B F U2 L' U'
R' D' B F' R F2 U
D' U' F' D' L2 R B'
U' D' F' D' L2 R B'
D' U' F' D' L2 B' R
D' U' F' D' R L2 B'
U' D' F' D' L2 B' R
U' D' F' D' R L2 B'
U D' F' L R D' L2
U D' F' L D' L2 R
U D' F' L D' R L2
U D' F' L' R D' L2
U D' F' L' D' L2 R
U D' F' L' D' R L2
U D' F' L2 R D' L2
U D' F' L2 D' L2 R
U D' F' L2 D' R L2
L2 D' B' U' F' R B'
L2 D' B' U' F' B' R
L2 D' B' U' B' F' R
U D' F' R L D' L2
U D' F' R L' D' L2
U D' F' R L2 D' L2
U D' F' R U' F2 U
U D' F' R D' L2 D
U D' F' R D' L2 D'
U D' F' R D' L2 D2
U D' F' R2 D' L2 R'
U D' F' R2 D' R' L2
U D' F' D' L2 R D
U D' F' D' L2 R D'
U D' F' D' L2 R D2
U D' F' D' L2 D R
U D' F' D' L2 D' R
U D' F' D' L2 D2 R
U D' F' D' R L2 D
U D' F' D' R L2 D'
U D' F' D' R L2 D2
U D' F' D2 R D L2
L' D2 L F B' U F2
L' D2 L B' F U F2
D' U2 L' U' F' L' R
D' U2 L' U' F' R L'
D' U2 L2 B' U' F' R
R' D2 F D' B R' U
R2 D2 F U' B L U2
D2 F L B' L' U F2
F U2 D' L2 F' U' R
F U2 D' F' L2 U' R
R' F R U D' F' R
D' F R U R F2 R
D' F R U R' F2 R
D' F R U R2 F2 R
D' F R U F2 R D
D' F R U F2 R D'
D' F R U F2 R D2
D' F R U F2 D R
D' F R U F2 D' R
D' F R U F2 D2 R
D' F R U' L' U2 F2
R' F R D' U F' R
D' F R B U F2 R
D' F R B' U F2 R
D' F R B2 U F2 R
D' F R' U R F2 R
D' F R' U R' F2 R
D' F R' U R2 F2 R
D' F R' U F2 R D
D' F R' U F2 R D'
D' F R' U F2 R D2
D' F R' U F2 D R
D' F R' U F2 D' R
D' F R' U F2 D2 R
R' F R' U' B L U2
D' F R' U' L' U2 F2
R2 F R D B R' U
F U2 F' U' D' F' R
D' F R' B U F2 R
D' F R' B' U F2 R
R2 F R B R U F'
F U2 F' D' U' F' R
D' F R' B2 U F2 R
D F R B U R' F2
D F R B U F2 R'
D' F R2 U R F2 R
D' F R2 U R' F2 R
D' F R2 U R2 F2 R
D' F R2 U F2 R D
D' F R2 U F2 R D'
D' F R2 U F2 R D2
D' F R2 U F2 D R
D' F R2 U F2 D' R
D' F R2 U F2 D2 R
R F R U D R2 F'
D' F R2 U' L' U2 F2
R F R D U R2 F'
D' F R2 B U F2 R
D' F R2 B' U F2 R
D' F R2 B2 U F2 R
D F R' B U R' F2
D F R' B U F2 R'
R' F U R D' F' R
R F R' U D F' R2
D' F U R F2 R D
D' F U R F2 R D'
D' F U R F2 R D2
D' F U R F2 D R
D' F U R F2 D' R
D' F U R F2 D2 R
R2 F R2 U D' F' R
D' F U R' F2 R D
D' F U R' F2 R D'
D' F U R' F2 R D2
D' F U R' F2 D R
D' F U R' F2 D' R
D' F U R' F2 D2 R
D' F U R2 F2 R D
D' F U R2 F2 R D'
D' F U R2 F2 R D2
D' F U R2 F2 D R
D' F U R2 F2 D' R
D' F U R2 F2 D2 R
R F R' U2 F2 U' F
R F R' D U F' R2
R2 F R2 D' U F' R
D' F U F R F R
U F R' B U F2 B'
U F R' B U B' F2
D' F U F R' F R
D' F U F R2 F R
D' F U F D F R
D' F U F D' F R
R F R' D2 B2 U F'
D' F U F D2 F R
D' F U F2 R2 D R'
D' F U F2 R2 D' R'
D' F U F2 R2 D2 R'
D' F U F2 D R D
D' F U F2 D R D'
D' F U F2 D R D2
D2 F U F' D F' R
D' F U F2 D' R D
D' F U F2 D' R D'
D' F U F2 D' R D2
D' F U F2 D2 R D
D' F U F2 D2 R D'
D' F U F2 D2 R D2
D' F U F2 B R B'
D' F U F2 B2 R B2
D' F U B F2 R B'
D' F U B2 F2 R B2
D' F U' L' U2 F2 D
D' F U' L' U2 F2 D'
D' F U' L' U2 F2 D2
D' F U' L' D2 B2 U2
D' F U' L' B U2 F2
D' F U' L' B' U2 F2
D' F U' L' B2 U2 F2
D F R2 B U R' F2
D F R2 B U F2 R'
R2 F U R F R F'
R2 F U R2 F R F2
D' F U' D2 L' B2 U2
D' F U' D2 B2 L' U2
R2 F U F R2 F' R'
D' F U' B L' U2 F2
D' F U' B U2 F2 R
R2 F U F2 R2 F' R
D' F U' B' L' U2 F2
D' F U' B' U2 F2 R
D' F U' B2 L' U2 F2
D' F U' B2 U2 F2 R
D F U F' D2 F' R
D F U F2 B R' B'
R2 F U' L B L U2
D2 F U2 L' F U' F
D F U B R' F2 B'
D F U B R' B' F2
D F U B F2 R' B'
R2 F U' L' B L U2
R2 F U' L2 B L U2
R2 F U' D B L U2
R2 F U' D' B L U2
D' F U2 F' U' F' R
R2 F U' D2 B L U2
R2 F U' B L U2 D
R2 F U' B L U2 D'
R2 F U' B L U2 D2
R2 F U' B L D U2
R2 F U' B L D' U2
R2 F U' B L D2 U2
R2 F U' B D L U2
R2 F U' B D' L U2
R2 F U' B D2 L U2
D F U' B U2 R' F2
D F U' B U2 F2 R'
U' F D R2 U B R'
D F U' B' L U2 F2
D' F D R2 U' L' U2
R' F D B R' U D
R' F D B R' U D'
R' F D B R' U D2
R' F D B R' D U
R' F D B R' D' U
R' F D B R' D2 U
R' F D B D R' U
R' F D B D' R' U
R' F D B D2 R' U
R F U2 L F2 U' F'
R2 F D U' B L U2
R F U2 F2 L U' F
R F D R' U F' R'
D' F D2 U' L' B2 U2
D' F D2 U' B2 L' U2
R2 F D' U' B L U2
R' F B R U D F'
R' F B R U D' F'
R' F B R U D2 F'
R' F B R U F' D
R' F B R U F' D'
R' F B R U F' D2
R' F B R D U F'
R' F B R D' U F'
R' F B R D2 U F'
D' F B R U F2 R
R' F B R' U' B U2
D' F B R' U F2 R
D' F B R2 U F2 R
R' F B U R F' R'
D' F B U R F2 R
D' F B U R' F2 R
D' F B U R2 F2 R
D' F B U F2 R D
D' F B U F2 R D'
D' F B U F2 R D2
D' F B U F2 D R
D' F B U F2 D' R
D' F B U F2 D2 R
D' F B U' L' U2 F2
R2 F D2 U' B L U2
F D R B R U R2
R' F B' R B2 U F'
D' F B' R U F2 R
D' F B' R' U F2 R
D' F B' R2 U F2 R
D' F B' U R F2 R
D' F B' U R' F2 R
D' F B' U R2 F2 R
D' F B' U F2 R D
D' F B' U F2 R D'
D' F B' U F2 R D2
D' F B' U F2 D R
D' F B' U F2 D' R
D' F B' U F2 D2 R
D' F B' U' L' U2 F2
R F D2 R' B2 U F'
D F B R U R2 F2
D F B R U F2 R2
F D R' D' R' B U
D F B R2 U R F2
D F B U R F2 R2
D F B U R' F2 D
D F B U R' F2 D'
D F B U R' F2 D2
D F B U F R' F
D F B U F2 R' D
D F B U F2 R' D'
D F B U F2 R' D2
D F B U F2 D R'
D F B U F2 D' R'
D F B U F2 D2 R'
R' F B2 R B' U F'
D' F B2 R U F2 R
D' F B2 R' U F2 R
D F B D R2 U R
D' F B2 R2 U F2 R
R F D2 B2 R' U F'
F D R' B U R' F'
D' F B2 U R F2 R
D' F B2 U R' F2 R
D' F B2 U R2 F2 R
D' F B2 U F2 R D
D' F B2 U F2 R D'
D' F B2 U F2 R D2
D' F B2 U F2 D R
D' F B2 U F2 D' R
D' F B2 U F2 D2 R
D' F B2 U' L' U2 F2
F D R2 U B R' B'
D F B' U' L U2 F2
F D R2 B U R' D
F D R2 B U R' D'
F D R2 B U R' D2
F D R2 B U D R'
F D R2 B U D' R'
F D R2 B U D2 R'
F D R2 B D U R'
F D R2 B D' U R'
F D R2 B D2 U R'
F D R2 B' U' L U2
R2 F B2 U' B' U2 R'
D' F' L2 R D' L2 B2
D' F' L2 R D' B2 L2
B' D F B U R' F2
B' D F B U F2 R'
D' F' L2 D' L2 R B2
D' F' L2 D' L2 B2 R
D' F' L2 D' R L2 B2
D' F' L2 D' R B2 L2
D' F' L2 D' B2 L2 R
D' F' L2 D' B2 R L2
B2 D F B U R' F2
B2 D F B U F2 R'
D' F' R L2 D' L2 B2
D' F' R L2 D' B2 L2
D' F' R D' L2 D' B2
B D F B U R' F2
B D F B U F2 R'
F2 D F' B U R' F2
F2 D F' B U F2 R'
D' F' R' F2 U R2 F2
D' F' R' F2 U F2 R2
B' D B F U R' F2
B' D B F U F2 R'
D' F' R2 F2 U R' F2
D' F' R2 F2 U F2 R'
B2 D B F U R' F2
B2 D B F U F2 R'
F2 D B F' U R' F2
F2 D B F' U F2 R'
U F' R' U' F2 B U
U F' R' U' B F2 U
F D B R2 U R D
F D B R2 U R D'
F D B R2 U R D2
F D B R2 U D R
F D B R2 U D' R
F D B R2 U D2 R
F D B R2 D U R
F D B R2 D' U R
F D B R2 D2 U R
F D B R2 B U R
F D B R2 B' U R
F D B R2 B2 U R
F D B U D' R' F2
F D B U D' F2 R'
B D B F U R' F2
B D B F U F2 R'
F D B D' U R' F2
F D B D' U F2 R'
F D B' R2 U' L U2
F D B' R2 B2 U R'
