B' L D2 B2 U L
B R' F2 L' U' L2
B U2 R' F2 U' L
B U2 F2 R' U' L
B' D2 L B2 U L
D B U L R2 B'
D B U L B' R2
D B U R2 L B'
B L R' F2 L' U' L
B L U R' F2 U' F2
D L U R2 D B' L
B L U F2 R' U' F2
B' L U' R' U' F2 U'
B' L U' R' U2 D R2
B' L U' R' D U2 R2
B' L U' R' D' L2 U2
B' L U' D R' U2 R'
B' L U' D' L2 R' U2
B' L U' D' R' L2 U2
B L U2 R' F2 U' L'
B' L U2 F2 U R' U2
B' L U2 F2 B2 U' L
B' L U2 B2 F2 U' L
B' L D U' R' U2 R'
B' L D B2 U L R2
B' L D B2 U R2 L
B' L D' U' L2 R' U2
B' L D' U' R' L2 U2
B' L D2 F B2 U L
B' L D2 F' B2 U L
B' L D2 F2 B2 U L
B' L D2 B2 U L D
B' L D2 B2 U L D'
B' L D2 B2 U L D2
B' L D2 B2 U D L
B' L D2 B2 U D' L
B' L D2 B2 U D2 L
B' L D2 B2 D U L
B' L D2 B2 D' U L
B' L D2 B2 D2 U L
B' L D2 B2 F U L
B' L D2 B2 F' U L
B' L D2 B2 F2 U L
B L D2 B2 L U L'
B' L F2 U' R' U2 R
D L B U L R2 B2
D L B U L B2 R2
D L B U R2 L B2
D L B' R2 D' F2 L'
B' L B2 U L D R2
B' L B2 U D L R2
B' L B2 U D R2 L
B' L B2 U2 F2 U' L
B' L B2 D U L R2
B' L B2 D U R2 L
B L' R' F2 L' U' L'
B L' U2 R' F2 U' L2
B L' U2 F2 R' U' L2
B' L2 D2 L' B2 U L
B' L2 D2 B2 L' U L2
B L2 D2 B2 L U L2
F L2 B' L U' R' U2
U R U F2 B R' U'
U R U B R' F2 U'
U R U B F2 R' U'
F2 R B R' U' L F
U R F2 B R' U' F2
U R B R' F2 U' F2
U R B F2 R' U' F2
B R' L F2 L' U' L
B R' L' F2 L' U' L'
B R' F2 L' U' L2 D
B R' F2 L' U' L2 D'
B R' F2 L' U' L2 D2
B R' F2 L' D' B2 U'
B R' F2 L' B U' L2
B R' F2 L' B' U' L2
B R' F2 L' B2 U' L2
B R' F2 U' L D F2
B R' F2 D L' U' L2
B R' F2 D' L' U' L2
B R' F2 D2 L' U' L2
U R2 D L R2 B' L
U R2 D L B' L R2
U R2 D L B' R2 L
U R2 D R2 L B' L
U R2 D R2 B' L B'
U R2 D B' L R2 B'
U R2 D B' L B' R2
U R2 D B' R2 L B'
D R2 B L D' F2 B'
D R2 B L D' B' F2
D R2 B L B' D' F2
B U L R D R2 B2
B U L R D B2 R2
D U L R2 D B' L
B U L U R' F2 U'
B U L U F2 R' U'
U D L R2 D B' L
B U R L D R2 B2
B U R L D B2 R2
B U R D L R2 B2
B U R D L B2 R2
B U R D R2 L B2
L' D B U L R2 B'
L' D B U L B' R2
L' D B U R2 L B'
R2 D B L R2 F' B'
R2 D B L R2 B' F'
L2 D B U L R2 B'
L2 D B U L B' R2
L2 D B U R2 L B'
R2 D B R2 L F' B'
R2 D B R2 L B' F'
R2 D B R2 F' L B'
B U R' F2 U' L F2
B U R' F2 U' F2 L
L D B U L R2 B'
L D B U L B' R2
L D B U R2 L B'
D U R2 L D B' L
U D R2 L D B' L
B U F2 R' U' L F2
B U F2 R' U' F2 L
B U2 R F2 R2 U' L
B U2 R' U' L D R2
B U2 R' U' D L R2
B U2 R' U' D R2 L
B U2 R' D U' L R2
B U2 R' D U' R2 L
B U2 R' F2 U' L D
B U2 R' F2 U' L D'
B U2 R' F2 U' L D2
B U2 R' F2 U' D L
B U2 R' F2 U' D' L
B U2 R' F2 U' D2 L
B U2 R' F2 D U' L
B U2 R' F2 D' U' L
B U2 R' F2 D2 U' L
B U2 D R' U' L R'
B U2 D R' U' R' L
F' U2 D2 F' R U' L'
B U2 F R' F U' L
F' U2 F' B R' U' L'
F' U2 F' B2 U' L' B'
B' U2 F2 B2 R' U' L
B U2 F2 R' U' L D
B U2 F2 R' U' L D'
B U2 F2 R' U' L D2
B U2 F2 R' U' D L
B U2 F2 R' U' D' L
B U2 F2 R' U' D2 L
B U2 F2 R' D U' L
B U2 F2 R' D' U' L
B U2 F2 R' D2 U' L
B U2 F2 D R' U' L
B U2 F2 D' R' U' L
B U2 F2 D2 R' U' L
F' U2 B F' R' U' L'
B' U2 B2 R' F2 U' L
B' U2 B2 F2 R' U' L
F' U2 B2 F' U' L' B'
B' D L U' R' U2 R'
B' D L D B2 U L
B' D L B2 U L R2
B' D L B2 U R2 L
D2 F B L' B U L2
D F B U L R2 B'
D F B U L B' R2
D F B U R2 L B'
D2 F B2 D L' F U
B D U2 R' U' L R'
B D U2 R' U' R' L
B' D' L U' L R' U2
B' D' L U' R' L U2
B' D' L B2 U L R'
B' D' L B2 U R' L
D F' B U L R2 B'
D F' B U L B' R2
D F' B U R2 L B'
R' F2 L' B R' U' L
U F2 R B R' U' F2
B' D2 L F B2 U L
B' D2 L F' B2 U L
B' D2 L F2 B2 U L
B' D2 L B2 U L D
B' D2 L B2 U L D'
B' D2 L B2 U L D2
B' D2 L B2 U D L
B' D2 L B2 U D' L
B' D2 L B2 U D2 L
B' D2 L B2 D U L
B' D2 L B2 D' U L
B' D2 L B2 D2 U L
B' D2 L B2 F U L
B' D2 L B2 F' U L
B' D2 L B2 F2 U L
B' D2 L' B2 L2 U L'
B D2 L B2 L U L'
B' D2 L2 B2 L' U L2
B D2 L' B2 L U L
B D2 L2 B2 L U L2
R' F2 B L' R' U' L2
R' F2 B R' L' U' L2
U2 F2 B D R' B U'
D F2 B U L R2 B'
D F2 B U L B' R2
D F2 B U R2 L B'
D2 F2 B2 U L' B' L
R F2 B R' U' L F
F' D2 U2 F' R U' L'
B' D2 F L B2 U L
D B L R2 D' F2 B'
D B L R2 D' B' F2
D B L R2 B' D' F2
D B L B' R2 D' F2
B' D2 F' L B2 U L
D B L' U L2 R2 B'
D B L' U L2 B' R2
D B L' U R2 L2 B'
B' D2 F2 L B2 U L
L' B R' F2 L' U' L2
L2 B R' F2 L' U' L2
D' B U L B2 R' B
D B R2 L D' F2 B'
D B R2 L D' B' F2
D B R2 L B' D' F2
D' B U D2 L R2 B'
D' B U D2 L B' R2
D' B U D2 R2 L B'
L B R' F2 L' U' L2
B' D2 B2 U2 R' U' L
R B R' F2 U' L F
D B U L R B' R
D B U L R2 D B'
D B U L R2 D' B'
D B U L R2 D2 B'
D B U L R2 B' D
D B U L R2 B' D'
D B U L R2 B' D2
D B U L B R2 B2
D B U L B' R2 D
D B U L B' R2 D'
D B U L B' R2 D2
D B U R L B' R
D B U R2 L D B'
D B U R2 L D' B'
D B U R2 L D2 B'
D B U R2 L B' D
D B U R2 L B' D'
D B U R2 L B' D2
B D2 B2 L U' R' U2
L' B U2 R' F2 U' L
D B U' L B' R2 F'
L' B U2 F2 R' U' L
L2 B U2 R' F2 U' L
L2 B U2 F2 R' U' L
L B U2 R' F2 U' L
L B U2 F2 R' U' L
D' B D2 U L R2 B'
D' B D2 U L B' R2
D' B D2 U R2 L B'
D2 B F L' B U L2
F2 B R' U2 R U L
R' B F2 L' R' U' L2
R' B F2 R' L' U' L2
D B F U L R2 B'
D B F U L B' R2
D B F U R2 L B'
D B F' U L R2 B'
D B F' U L B' R2
D B F' U R2 L B'
U2 B F2 D R' B U'
L' B' L D2 B2 U L
D B F2 U L R2 B'
D B F2 U L B' R2
D B F2 U R2 L B'
L2 B' L D2 B2 U L
F' B U2 F' R' U' L
R B F2 R' U' L F
B F U2 R' F U' L
