B' L U2 R B'
B' L U2 B' R
B' L2 U2 R B
L2 U2 R F B
L2 U2 R B F
F2 B' L' F U2
B' F2 L' F U2
B' L U2 R D B'
B' L U2 R D' B'
B' L U2 R D2 B'
B' L U2 R B' D
B' L U2 R B' D'
B' L U2 R B' D2
B' L U2 R' B' R2
B' L U2 D R B'
B' L U2 D B' R
B' L U2 D' R B'
B' L U2 D' B' R
B' L U2 D2 R B'
B' L U2 D2 B' R
B' L U2 B R B2
B' L U2 B' R D
B' L U2 B' R D'
B' L U2 B' R D2
F' L U2 B' R' F'
B' L U2 B' D R
B' L U2 B' D' R
B' L U2 B' D2 R
B' L D U2 R B'
B' L D U2 B' R
B' L D' U2 R B'
B' L D' U2 B' R
B' L D2 U2 R B'
B' L D2 U2 B' R
B' L F' U2 B' R'
L R B2 L F B
L R B2 L B F
R L B2 L F B
R L B2 L B F
B2 L B U2 R B2
B2 L B U2 B2 R
B L B2 U2 B R
F L' F L' U2 F
B' L' F2 L' F' U2
B' L2 U2 R D B
B' L2 U2 R D' B
B' L2 U2 R D2 B
B' L2 U2 R B D
B' L2 U2 R B D'
B' L2 U2 R B D2
B' L2 U2 D R B
B' L2 U2 D' R B
B' L2 U2 D2 R B
B' L2 U2 B R B
B' L2 U2 B' R B
B' L2 U2 B2 R B
B' L2 D U2 R B
B' L2 D' U2 R B
B' L2 D2 U2 R B
B' L2 F2 L' U2 B'
B2 L2 B U2 R B
B L2 B2 U2 R B
L2 U2 R D F B
L2 U2 R D B F
L2 U2 R D' F B
L2 U2 R D' B F
L2 U2 R D2 F B
L2 U2 R D2 B F
L2 U2 R F D B
L2 U2 R F D' B
L2 U2 R F D2 B
L2 U2 R F B D
L2 U2 R F B D'
L2 U2 R F B D2
L2 U2 R B D F
L2 U2 R B D' F
L2 U2 R B D2 F
L2 U2 R B F D
L2 U2 R B F D'
L2 U2 R B F D2
L U2 R B' D2 F2
L U2 R' F' R2 B'
L U2 R' F' B' R2
L U2 R' B' F' R2
L2 U2 R2 F R' B
L2 U2 D R F B
L2 U2 D R B F
L2 U2 D' R F B
L2 U2 D' R B F
L2 U2 D' R B F
L2 U2 D2 R F B
L2 U2 D2 R B F
L2 U2 B R F B
L2 U2 B R B F
L2 U2 B' R F B
L2 U2 B' R B F
L U2 B' R' F' R2
L2 U2 B2 R F B
L2 U2 B2 R B F
B' U L U R B'
B' U L U B' R
L2 D U2 R F B
L2 D U2 R B F
L2 D' U2 R F B
L2 D' U2 R B F
R2 D2 L2 R' F B
R2 D2 L2 R' B F
R2 D2 L2 F R' B
R2 D2 R' L2 F B
R2 D2 R' L2 B F
B' U2 L R B' L'
B' U2 L B' L' R
B' U2 L B' R L'
L2 D2 U2 R F B
L2 D2 U2 R B F
B' U2 R L B' L'
B' U2 R2 D2 R' B
B' U2 D2 R' B R2
L F' U2 B' R' F'
L' F2 L' F' U2 F2
L2 F2 L' U2 F' B'
L2 F2 L' U2 B' F'
B' D2 U2 R' B R2
B' D2 U2 R' B R2
L B R B2 L F
L2 B U2 R F B
L2 B U2 R B F
B' F L' F L' U2
F2 B L' F B2 U2
F2 B L' B2 F U2
F' B' L U2 B' R'
B' F' L U2 B' R'
F' B' L' F U2 R
D' B' U L U R
B' F' L' F U2 R
F2 B' L' D F U2
F2 B' L' D' F U2
F2 B' L' D2 F U2
F2 B' L' F U2 D
F2 B' L' F U2 D'
F2 B' L' F U2 D2
F2 B' L' F D U2
F2 B' L' F D' U2
F2 B' L' F D2 U2
D2 B' U2 R' B R2
L2 B' U2 R F B
L2 B' U2 R B F
F B' L' F L' U2
B' F2 L' D F U2
B' F2 L' D' F U2
B' F2 L' D2 F U2
B' F2 L' F U2 D
B' F2 L' F U2 D'
B' F2 L' F U2 D2
B' F2 L' F D U2
B' F2 L' F D' U2
B' F2 L' F D2 U2
B2 F2 L' F B U2
R B2 L B' D2 F2
F2 B2 L' F B U2
B2 F2 L' B F U2
F2 B2 L' B F U2
B F2 L' F B2 U2
B F2 L' B2 F U2
L2 B2 U2 R F B
L2 B2 U2 R B F
U2 L R B' L F L2
L R U2 R' U2 F' B'
L R U2 R' U2 B' F'
L2 R U2 R' F' U2 F2
R L U2 R' U2 F' B'
R L U2 R' U2 B' F'
B' L U B U R B2
B' L U B U B2 R
B' L U B2 U B R
U L U B' R D' F2
B' L U' R' U' R2 B'
B' L U' R' U' B' R2
B' L U' R2 U' R' B'
L R D B2 L F B
L R D B2 L B F
R L D B2 L F B
R L D B2 L B F
B' L U2 R D B' D
B' L U2 R D B' D'
B' L U2 R D B' D2
B' L U2 R D' B' D
B' L U2 R D' B' D'
B' L U2 R D' B' D2
B' L U2 R D2 B' D
B' L U2 R D2 B' D'
B' L U2 R D2 B' D2
B' L U2 R B2 D B
B' L U2 R B2 D' B
B' L U2 R B2 D2 B
F' L U2 R' F' B' R'
B' L U2 R' B R2 B2
B' L U2 R' B' R2 D
B' L U2 R' B' R2 D'
B' L U2 R' B' R2 D2
F' L U2 R' B' F' R'
D2 L U2 R' F' B R2
D2 L U2 R' B F' R2
B' L U2 R2 D R' B'
B' L U2 R2 D' R' B'
B' L U2 R2 D2 R' B'
B' L U2 D R D B'
B' L U2 D R D' B'
B' L U2 D R D2 B'
B' L U2 D R B' D
B' L U2 D R B' D'
B' L U2 D R B' D2
B L U2 R D2 F2 B'
B L U2 R D2 B' F2
B' L U2 D R' B' R2
B' L U2 D B R B2
B' L U2 D B' R D
B' L U2 D B' R D'
B' L U2 D B' R D2
B' L U2 D B' D R
F' L U2 D B' R' F'
B' L U2 D B' D' R
B' L U2 D B' D2 R
B2 L U2 R2 F' R' B'
B' L U2 D' R D B'
B' L U2 D' R D' B'
B' L U2 D' R D2 B'
B' L U2 D' R B' D
B' L U2 D' R B' D'
B' L U2 D' R B' D2
B' L U2 D' R' B' R2
B' L U2 D' B R B2
F L U2 R' F' R B'
B' L U2 D' B' R D
B' L U2 D' B' R D'
B' L U2 D' B' R D2
B' L U2 D' B' D R
B' L U2 D' B' D' R
B' L U2 D' B' D2 R
F L U2 R' F' B' R
F' L U2 D' B' R' F'
F L U2 R' B' F' R
B' L U2 D2 R D B'
B' L U2 D2 R D' B'
B' L U2 D2 R D2 B'
B' L U2 D2 R B' D
B' L U2 D2 R B' D'
B' L U2 D2 R B' D2
L R D' B2 L F B
L R D' B2 L B F
B' L U2 D2 R' B' R2
B' L U2 D2 B R B2
B' L U2 D2 B' R D
B' L U2 D2 B' R D'
