U2 L' B2 U F B'
U2 L' B2 U B' F
L' U' D' F B R2
L' U' D' B R2 F
L' U' D' B F R2
L' U' F D' B R2
L' U2 B2 U F B'
L' U2 B2 U B' F
L' D' U' F B R2
L' D' U' B R2 F
L' D' U' B F R2
L' D2 F2 U' F' B
L' D2 F2 U' B F'
U L D L2 U2 F B
U L D L2 U2 B F
U L D B' L2 U2 B2
U L D' B' U2 R2 B2
U L D' B' U2 B2 R2
U L B' U B' U B'
R2 L' U' D' R2 F B
R2 L' U' D' R2 B F
U2 L B2 R2 U F' B'
U2 L B2 R2 U B' F'
U2 L B2 U B' D2 F2
U2 L B2 U' B U2 B2
R2 L' D' U' R2 F B
R2 L' D' U' R2 B F
U2 L' U D' F B R2
U2 L' U D' B R2 F
U2 L' U D' B F R2
U2 L' U F D' B R2
U L' U B2 U F B'
U L' U B2 U B' F
F' L' U' D' F B R2
F' L' U' D' B R2 F
F' L' U' D' B F R2
F2 L' U' D' F B R2
F' L' U' F D' B R2
F2 L' U' D' B R2 F
F2 L' U' D' B F R2
F2 L' U' F D' B R2
F L' U' D' F B R2
F L' U' D' B R2 F
F L' U' D' B F R2
F L' U' F D' B R2
U L' U2 D' F B R2
U L' U2 D' B R2 F
U L' U2 D' B F R2
F' L' U2 B2 U F B'
F' L' U2 B2 U B' F
U L' U2 F D' B R2
F2 L' U2 B2 U F B'
F2 L' U2 B2 U B' F
F L' U2 B2 U F B'
F L' U2 B2 U B' F
U L' D L2 B' U2 B2
F' L' D' U' F B R2
F' L' D' U' B R2 F
F' L' D' U' B F R2
U2 L' D' U F B R2
F2 L' D' U' F B R2
U2 L' D' U B R2 F
U2 L' D' U B F R2
F2 L' D' U' B R2 F
F2 L' D' U' B F R2
U' L' D' F L B R2
F L' D' U' F B R2
F L' D' U' B R2 F
F L' D' U' B F R2
U L' D' U2 F B R2
U L' D' U2 B R2 F
U L' D' U2 B F R2
F' L' D2 F2 U' F' B
F' L' D2 F2 U' B F'
F2 L' D2 F2 U' F' B
F2 L' D2 F2 U' B F'
U' L' F L D' B R2
F L' D2 F2 U' F' B
F L' D2 F2 U' B F'
U' L' F D' L B R2
L' R2 U' D' R2 F B
L' R2 U' D' R2 B F
L' R2 D' U' R2 F B
L' R2 D' U' R2 B F
U2 L' B2 R U F B'
U2 L' B2 R U B' F
U2 L' B2 R' U F B'
U2 L' B2 R' U B' F
U2 L' B2 R2 U F B'
U2 L' B2 R2 U B' F
U2 L' B2 U D F B'
U2 L' B2 U D B' F
U2 L' B2 U D' F B'
U2 L' B2 U D' B' F
U2 L' B2 U D2 F B'
U2 L' B2 U D2 B' F
U2 L' B2 U F D B'
U2 L' B2 U F D' B'
U2 L' B2 U F D2 B'
U2 L' B2 U F B' D
U2 L' B2 U F B' D'
U2 L' B2 U F B' D2
U2 L' B2 U B' D F
U2 L' B2 U B' D' F
U2 L' B2 U B' D2 F
U2 L' B2 U B' F D
U2 L' B2 U B' F D'
U2 L' B2 U B' F D2
U2 L' B2 D U F B'
U2 L' B2 D U B' F
U2 L' B2 D' U F B'
U2 L' B2 D' U B' F
U2 L' B2 D2 U F B'
U2 L' B2 D2 U B' F
B L2 U' F B R U
B L2 U' B F R U
L' U D L2 B' U2 B2
L U D L2 U2 F B
L U D L2 U2 B F
L U D B' L2 U2 B2
L U D' B' U2 R2 B2
L U D' B' U2 B2 R2
L U B' U B' U B'
D2 R F2 R' U' F B
D2 R F2 R' U' B F
L' U' R2 D' R2 F B
L' U' R2 D' R2 B F
L' U' D F D2 B R2
L' U' D F B D2 R2
L' U' D B D2 R2 F
L' U' D B D2 F R2
L' U' D B F D2 R2
L' U' D' R2 F D2 B2
L' U' D' F B R2 D
L' U' D' F B R2 D'
L' U' D' F B R2 D2
L' U' D' F B' R2 B2
L' U' D' F B2 R2 B'
L' U' D' F' B R2 F2
L U' D B D2 R2 F2
L U' D B D2 F2 R2
L' U' D' B R' F R'
L' U' D' B R2 D F
L' U' D' B R2 D' F
L' U' D' B R2 D2 F
L' U' D' B R2 F D
L' U' D' B R2 F D'
L' U' D' B R2 F D2
L' U' D' B F R2 D
L' U' D' B F R2 D'
L' U' D' B F R2 D2
L' U' D' B F' R2 F2
L' U' D' B' R2 F B2
L' U' D' B' R2 B2 F
L' U' D' B' F R2 B2
L' U' D' B2 R2 F B'
L' U' D' B2 R2 B' F
L' U' D' B2 F R2 B'
L U' D' B R2 D2 F2
L' U' D2 B D R2 F
L' U' D2 B D F R2
L U' D' B2 R2 F' B'
L U' D' B2 R2 B' F'
L' U' F R2 D' R2 B
L' U' F U' B2 U B'
L' U' F D B D2 R2
L' U' F D' B R2 D
L' U' F D' B R2 D'
