L' R F2 U2 F' R
F L' R F L' B'
R L' F2 U2 F' R
F' L' F' U2 L' F2
F R L' F L' B'
F2 U2 L' F' R F2
R F' L' F' U2 F2
L' F2 U2 L' F' R
U2 F2 U2 L' F R
U2 L R F2 B' U2 R'
U2 L R B' F2 U2 R'
F2 L U2 L2 F' R F2
R' L D2 L2 F R B2
R' L D2 L2 F B2 R
R' L D2 L2 B2 F R
F2 L U2 F' L2 R F
F2 L U2 F' R L2 F
F2 L U2 F2 L2 F R
L' R D2 F R B2 L
L R D2 B' U2 B' R'
R L D2 B' U2 B' R'
L' R F' L' F' U2 F'
L2 R F' L' F' B' U2
L2 R F' L' B' F' U2
L' R F2 L U2 F' R
L R F' B' L' F' U2
L' R F2 L' U2 F' R
F2 L D2 R2 B' L U2
L' R F2 L2 U2 F' R
R L F' B' L' F' U2
F2 L D2 B' L R2 U2
L' R F2 U2 F' R D
L' R F2 U2 F' R D'
L' R F2 U2 F' R D2
L' R F2 U2 F' D R
L' R F2 U2 F' D' R
L' R F2 U2 F' D2 R
F2 L D2 B' R2 L U2
L2 R F2 U2 R' F' R
L' R F2 B U2 F' R
L' R F2 B' U2 F' R
L' R F2 B2 U2 F' R
L R F2 D2 B' L U2
R L F2 D2 B' L U2
F' L F' L2 U2 F L
F2 L F' L2 R F B'
F2 L F' L2 R B' F
F2 L F' L2 B' R F
F2 L F' R L2 F B'
F2 L F' R L2 B' F
L' R B F2 U2 F' R
F' L F' B' L2 U2 L
L' R B' F2 U2 F' R
L R B' F' L' F' U2
R L B' F' L' F' U2
U2 L F2 B' U2 L' R'
U2 L F2 B' U2 R' L'
L' R B2 F2 U2 F' R
F' L B' L2 F' U2 L'
U2 L B' R F2 U2 R2
F' L B' F' L2 U2 L
U2 L B' F2 U2 L' R'
U2 L B' F2 U2 R' L'
F L' R F L' D B'
F L' R F L' D' B'
F L' R F L' D2 B'
F L' R F L' B' D
F L' R F L' B' D'
F L' R F L' B' D2
B' L' R F2 U2 F' R
F L' R F D L' B'
F L' R F D' L' B'
F L' R F D2 L' B'
F L' R F B L' B'
F L' R F B' L' B'
F L' R F B2 L' B'
B2 L' R F2 U2 F' R
B L' R F2 U2 F' R
F L' R B F L' B'
F L' R B' F L' B'
F L' R B2 F L' B'
F L' R' F L' R2 B'
F L' R' F L' B' R2
F L' R' F R2 L' B'
F' L' R2 U2 F B L
F' L' R2 U2 B F L
F L' R2 F L' R' B'
F L' R2 F R' L' B'
L R' D2 L2 F R B2
L R' D2 L2 F B2 R
L R' D2 L2 B2 F R
R' L' D2 F L2 R B2
R' L' D2 F L2 B2 R
R' L' D2 F R L2 B2
R' L' D2 F R B2 L2
R' L' D2 F B2 L2 R
R' L' D2 F B2 R L2
L' R' D2 F L2 R B2
L' R' D2 F L2 B2 R
L' R' D2 F R L2 B2
L' R' D2 F R B2 L2
L' R' D2 F B2 L2 R
L' R' D2 F B2 R L2
R2 L' D2 F B2 L R
R2 L' D2 F B2 R L
R' L' D2 B2 F L2 R
R' L' D2 B2 F R L2
R L' D2 F R B2 L
L' R' D2 B2 F L2 R
L' R' D2 B2 F R L2
R2 L' D2 B2 F L R
R2 L' D2 B2 F R L
R2 L' F R D2 L2 B'
R' L' F D2 L2 R B'
R' L' F D2 L2 B' R
R' L' F D2 R L2 B'
L' R' F D2 L2 R B'
L' R' F D2 L2 B' R
L' R' F D2 R L2 B'
R L' F' L' F' U2 F'
F L' U2 R F L' B
F L' U2 R F B L'
F L' U2 R B F L'
R L' F2 L U2 F' R
R L' F2 L' U2 F' R
R L' F2 L2 U2 F' R
F' L' D F' U2 L' F2
R L' F2 U2 F' R D
R L' F2 U2 F' R D'
R L' F2 U2 F' R D2
R L' F2 U2 F' D R
R L' F2 U2 F' D' R
R L' F2 U2 F' D2 R
R L' F2 B U2 F' R
R L' F2 B' U2 F' R
R L' F2 B2 U2 F' R
F' L' D' F' U2 L' F2
R L' B F2 U2 F' R
F' L' D2 F' U2 L' F2
F2 L' D2 F R2 B R'
F' L' F R F2 U2 F2
R L' B' F2 U2 F' R
F2 L' F U2 L' F' U2
F' L' F' R U2 L' F2
F' L' F' R' U2 L' F2
R L' B2 F2 U2 F' R
F' L' F' R2 U2 L' F2
F2 L' F' R' F2 R2 B
F' L' F' U2 L F2 L2
F' L' F' U2 L' F2 D
F' L' F' U2 L' F2 D'
F' L' F' U2 L' F2 D2
F' L' F' U2 L2 F2 L
F' L' F' D2 B2 U2 L'
F' L' F' B U2 L' F2
F' L' F' B' U2 L' F2
F' L' F' B2 U2 L' F2
B' L' F2 U2 L' F' R
B2 L' F2 U2 L' F' R
B L' F2 U2 L' F' R
F L' B R F L' B'
F' L' B F' U2 L' F2
F L' B' R F L' B'
F' L' B' F' U2 L' F2
F L' B2 R F L' B'
F' L' B2 F' U2 L' F2
L' R2 D2 F B2 L R
L' R2 D2 F B2 R L
F L2 R D2 B' L F
L' R2 D2 B2 F L R
L' R2 D2 B2 F R L
L' R2 F R D2 L2 B'
L2 R2 D2 B2 L F R
F L2 R B' L F L'
R2 L2 D2 B2 L F R
R L2 F' L' F' B' U2
R L2 F' L' B' F' U2
R L2 F2 U2 R' F' R
F2 L2 U2 L R' F' R
F2 L2 U2 R' L F' R
F2 L2 U2 R' F' L R
F2 L2 U2 R' F' R L
F L2 D2 R B' L F
F L2 D2 B' L R F
F L2 D2 B' R L F
F' L2 F' L U2 F L2
F L2 B' L R F L'
F L2 B' R L F L'
U2 R L F2 B' U2 R'
U2 R L B' F2 U2 R'
B' R L' F2 U2 F' R
