U' L F' U2 F2
U' F' L U2 F
U' L U2 F D2 B2
U' L D F' U2 F2
U' L D' F' U2 F2
U' L D2 F' U2 F2
U' L F' U2 F2 D
U' L F' U2 F2 D'
U' L F' U2 F2 D2
U' L F' D2 B2 U2
U' L F' B U2 F2
U' L F' B' U2 F2
U' L F' B2 U2 F2
U' L B F' U2 F2
U' L B' F' U2 F2
U' L B2 F' U2 F2
U' L' F' L2 U2 F
U' L' F' B' L2 U2
U' L' B' L2 F' U2
U' L' B' F' L2 U2
R' U B2 R' F' B
R' U B2 R' B F'
R2 U B2 R' F' B'
R2 U B2 R' B' F'
R2 U' L U2 F B
R2 U' L U2 B F
L2 U' L' F' B' U2
L2 U' L' B' F' U2
U R' F' B2 R' B
B' R' B' U R' B
U R' B2 F' R' B
U' D L F' U2 F2
U' D F' L U2 F
U' D' L F' U2 F2
D2 U' L F' U2 F2
D' U' L F' U2 F2
D U' L F' U2 F2
U' D' F' L U2 F
D2 U' F' L U2 F
D' U' F' L U2 F
D U' F' L U2 F
U' D2 L F' U2 F2
U' D2 F' L U2 F
U' F L F2 U2 F'
U F D2 B2 R' F'
U' F' L U2 D F
U' F' L U2 D' F
U' F' L U2 D2 F
U' F' L U2 F D
U' F' L U2 F D'
U' F' L U2 F D2
U' F' L D U2 F
U' F' L D' U2 F
U' F' L D2 U2 F
U' F' L B U2 F
U' F' L B' U2 F
U' F' L B2 U2 F
U' F' L' B' L2 U2
U' F' D L U2 F
U' F' D' L U2 F
U' F' D2 L U2 F
U' F' B2 U2 R' F'
U B2 R2 B R F'
U' B2 F' U2 R' F'
U L R B U2 L' B'
B' L R' B' U R' B
U' L U R2 U F B
U' L U R2 U B F
F' L U' L B' U' F
U' L U' R2 U' F B
U' L U' R2 U' B F
U' L U2 R2 F B R2
U' L U2 R2 B R2 F
U' L U2 R2 B F R2
U' L U2 D F D2 B2
U' L U2 D' F D2 B2
U' L U2 D2 F D2 B2
U' L U2 F U2 F2 U2
U' L U2 F D2 B2 D
U' L U2 F D2 B2 D'
U' L U2 F D2 B2 D2
U' L U2 F B D2 B2
U' L U2 F B' D2 B2
U' L U2 F B2 D2 B2
U' L U2 B F D2 B2
U' L U2 B' F D2 B2
U' L U2 B2 F D2 B2
U' L D U2 F D2 B2
U' L D F' U2 F2 D
U' L D F' U2 F2 D'
U' L D F' U2 F2 D2
U' L D F' D2 B2 U2
U' L D F' B U2 F2
U' L D F' B' U2 F2
U' L D F' B2 U2 F2
U' L D B F' U2 F2
U' L D B' F' U2 F2
U' L D B2 F' U2 F2
U' L D' U2 F D2 B2
U' L D' F' U2 F2 D
U' L D' F' U2 F2 D'
U' L D' F' U2 F2 D2
U' L D' F' D2 B2 U2
U' L D' F' B U2 F2
U' L D' F' B' U2 F2
U' L D' F' B2 U2 F2
U' L D' B F' U2 F2
U' L D' B' F' U2 F2
U' L D' B2 F' U2 F2
U' L D2 U2 F D2 B2
U' L D2 F' U2 F2 D
U' L D2 F' U2 F2 D'
U' L D2 F' U2 F2 D2
U' L D2 F' D2 B2 U2
U' L D2 F' B U2 F2
U' L D2 F' B U2 F2
U' L D2 F' B' U2 F2
U' L D2 F' B2 U2 F2
U' L D2 B F' U2 F2
U' L D2 B' F' U2 F2
U' L D2 B2 F' U2 F2
U' L F' L U2 F2 R
U' L F' R' U2 F2 L'
U' L F' U R U F2
U' L F' U R' U F2
U' L F' U R2 U F2
U' L F' U D R2 U
U2 L F' U' L' U' L
U' L F' U' L U' F2
U' L F' U' L' U' F2
U' L F' U' L2 U' F2
U' L F' U' D' L2 U'
U' L F' U2 L' F2 L
U' L F' U2 L2 F2 L2
U' L F' U2 R F2 R'
U' L F' U2 R2 F2 R2
U' L F' U2 F D F
U' L F' U2 F D' F
U' L F' U2 F D2 F
U' L F' U2 F' D F'
U' L F' U2 F' D' F'
U' L F' U2 F' D2 F'
U' L F' D U R2 U
U' L F' D' U' L2 U'
U L F' U2 L F L'
U' L F' D2 B2 U2 D
U' L F' D2 B2 U2 D'
U' L F' D2 B2 U2 D2
U' L F' D2 B2 D U2
U' L F' D2 B2 D' U2
U' L F' D2 B2 D2 U2
U' L F' B U2 F2 D
U' L F' B U2 F2 D'
U' L F' B U2 F2 D2
U' L F' B D2 B2 U2
U' L F' B' U2 F2 D
U' L F' B' U2 F2 D'
U' L F' B' U2 F2 D2
U' L F' B' D2 B2 U2
U' L F' B2 U2 F2 D
U' L F' B2 U2 F2 D'
U' L F' B2 U2 F2 D2
U' L F' B2 D2 B2 U2
U L F2 R F B U2
U L F2 R B F U2
U' L F2 U2 F' D2 B2
U' L F2 D F U2 F2
U' L F2 D' F U2 F2
U' L F2 D2 F U2 F2
F' L B U' L B' U'
U' L B U2 F D2 B2
U' L B D F' U2 F2
U' L B D' F' U2 F2
U' L B D2 F' U2 F2
U' L B F' U2 F2 D
U' L B F' U2 F2 D'
U' L B F' U2 F2 D2
U' L B F' D2 B2 U2
U' L B' U2 F D2 B2
U' L B' D F' U2 F2
U' L B' D' F' U2 F2
U' L B' D2 F' U2 F2
U' L B' F' U2 F2 D
U' L B' F' U2 F2 D'
U' L B' F' U2 F2 D2
U' L B' F' D2 B2 U2
U' L B2 U2 F D2 B2
U' L B2 D F' U2 F2
U' L B2 D' F' U2 F2
U' L B2 D2 F' U2 F2
U' L B2 F' U2 F2 D
U' L B2 F' U2 F2 D'
U' L B2 F' U2 F2 D2
U' L B2 F' D2 B2 U2
B' L' R' B' U R' B
U' L' D2 F' B' U2 R2
U' L' D2 B' U2 R2 B
U' L' D2 B' F' U2 R2
U' L' F L2 F2 U2 F'
U' L' F B' L2 F2 U2
U' L' F' L2 U2 D F
U' L' F' L2 U2 D' F
U' L' F' L2 U2 D2 F
U' L' F' L2 U2 F D
U' L' F' L2 U2 F D'
U' L' F' L2 U2 F D2
U' L' F' L2 D U2 F
U' L' F' L2 D' U2 F
U' L' F' L2 D2 U2 F
U' L' F' L2 B U2 F
U' L' F' L2 B' U2 F
U' L' F' L2 B2 U2 F
U' L' F' D2 B' U2 R2
U' L' F' B L2 B2 U2
U' L' F' B' L2 U2 D
U' L' F' B' L2 U2 D'
U' L' F' B' L2 U2 D2
U' L' F' B' L2 D U2
U' L' F' B' L2 D' U2
U' L' F' B' L2 D2 U2
U' L' F' B' U2 D2 R2
U' L' F' B' D2 U2 R2
U' L' F' B2 L2 B U2
U' L' F2 L2 U2 F B'
U' L' F2 L2 U2 B' F
L2 R2 U' L' B' U2 B2
R2 L2 U' L' B' U2 B2
U' L' F2 B' L2 U2 B'
