B2 U' F B U
B2 U' B F U
U' F B' U B'
B' F U F' B'
B' F U B' F'
F B' U F' B'
F B' U B' F'
U' B' F U B'
L2 U F B' U' B'
L2 U B' F U' B'
B' R F U F' B'
B' R F U B' F'
R' U' F B' U B'
R2 U' F B' U B'
R U' F B' U B'
R' U' B' F U B'
R2 U' B' F U B'
R U' B' F U B'
B' R' F U F' B'
B' R' F U B' F'
B' R2 F U F' B'
B' R2 F U B' F'
U' D F B' L2 U
U' D B' F L2 U
D U' F B' L2 U
B2 U' D F B U
B2 U' D B F U
B2 U' D' F B U
B2 U' D' B F U
B2 U' D2 F B U
B2 U' D2 B F U
B2 U' F D B U
B2 U' F D' B U
B2 U' F D2 B U
B2 U' F B U D
B2 U' F B U D
B2 U' F B U D'
B2 U' F B U D2
B2 U' F B D U
B2 U' F B D' U
B2 U' F B D2 U
D U' B' F L2 U
B U' F B2 U B'
B2 U' B D F U
B2 U' B D' F U
B2 U' B D' F U
B2 U' B D2 F U
B2 U' B F U D
B2 U' B F U D'
B2 U' B F U D2
B2 U' B F D U
B2 U' B F D' U
B2 U' B F D2 U
B U' B2 F U B'
U' F D B' L2 U
R' F B' U F' B'
R' F B' U B' F'
U' F B' U D B'
U' F B' U D' B'
U' F B' U D2 B'
U' F B' U B' D
U' F B' U B' D'
U' F B' U B' D2
U' F B' D U B'
U' F B' D' U B'
U' F B' D2 U B'
R2 F B' U F' B'
R2 F B' U B' F'
L2 F B' U' F' B'
L2 F B' U' B' F'
D F B' L2 U F'
B2 D U' F B U
B2 D U' B F U
R F B' U F' B'
R F B' U B' F'
B' D F U F' B'
B' D F U B' F'
F D B' L2 U F'
B2 D' U' F B U
B2 D' U' B F U
B' D' F U F' B'
B' D' F U B' F'
B2 D2 U' F B U
B2 D2 U' B F U
B' D2 F U F' B'
B' D2 F U B' F'
B' F U D F' B'
B' F U D B' F'
B' F U D' F' B'
B' F U D' B' F'
B' F U D2 F' B'
B' F U D2 B' F'
B' F U F' D B'
B' F U F' D' B'
B' F U F' D2 B'
B' F U F' B' D
B' F U F' B' D'
B' F U F' B' D2
B' F U B' D F'
B' F U B' D' F'
B' F U B' D2 F'
B' F U B' F' D
B' F U B' F' D'
B' F U B' F' D2
B' F D U F' B'
B' F D U B' F'
B' F D' U F' B'
B' F D' U B' F'
B' F D2 U F' B'
B' F D2 U B' F'
U' B' D F U B'
U' B' D' F U B'
U' B' D2 F U B'
R' B' F U F' B'
R' B' F U B' F'
U' B' F U D B'
U' B' F U D' B'
U' B' F U D2 B'
U' B' F U B' D
U' B' F U B' D'
U' B' F U B' D2
U' B' F D U B'
U' B' F D' U B'
U' B' F D2 U B'
R2 B' F U F' B'
R2 B' F U B' F'
L2 B' F U' F' B'
L2 B' F U' B' F'
F B' U D F' B'
F B' U D B' F'
F B' U D' F' B'
F B' U D' B' F'
F B' U D2 F' B'
F B' U D2 B' F'
D B' F L2 U F'
F B' U F' D B'
F B' U F' D' B'
F B' U F' D2 B'
F B' U F' B' D
F B' U F' B' D'
F B' U F' B' D2
F B' U B' D F'
F B' U B' D' F'
F B' U B' D2 F'
F B' U B' F' D
F B' U B' F' D'
F B' U B' F' D2
R B' F U F' B'
R B' F U B' F'
F B' D U F' B'
F B' D U B' F'
F B' D' U F' B'
F B' D' U B' F'
F B' D2 U F' B'
F B' D2 U B' F'
R' B2 U' F B U
R' B2 U' B F U
L2 B2 U F B U'
L2 B2 U B F U'
R2 B2 U' F B U
R2 B2 U' B F U
R B2 U' F B U
R B2 U' B F U
L2 R U F B' U' B'
L2 R U B' F U' B'
F L U F' B' R' B'
F L U B' F' R' B'
F L U B2 D2 F' R
L2 R F B' U' F' B'
L2 R F B' U' B' F'
B L D' B' L R2 B2
B L D' B' L B2 R2
B L D' B' R2 L B2
L2 R B' F U' F' B'
L2 R B' F U' B' F'
L2 R B2 U F B U'
L2 R B2 U B F U'
L2 R' U F B' U' B'
L2 R' U B' F U' B'
F L B' U F' B' R'
F L B' U B' F' R'
F L' U B2 D F' R
B2 L' U' F' B U L'
B2 L' U' B F' U L'
L2 R' F B' U' F' B'
L2 R' F B' U' B' F'
F L' D L2 U F' R
L2 R' B' F U' F' B'
L2 R' B' F U' B' F'
L2 R' B2 U F B U'
L2 R' B2 U B F U'
R' L2 U F B' U' B'
R' L2 U B' F U' B'
L2 R2 U F B' U' B'
R2 L2 U F B' U' B'
R L2 U F B' U' B'
L2 R2 U B' F U' B'
R2 L2 U B' F U' B'
R L2 U B' F U' B'
R' L2 F B' U' F' B'
R' L2 F B' U' B' F'
B2 L2 R2 U F' B' U'
B2 L2 R2 U B' F' U'
D' L2 R2 F B' U' F'
L2 R2 F B' U' F' B'
L2 R2 F B' U' B' F'
R2 L2 F B' U' F' B'
R2 L2 F B' U' B' F'
D' L2 R2 B' F U' F'
R L2 F B' U' F' B'
R L2 F B' U' B' F'
D' L2 U R2 F B' U'
D' L2 U R2 B' F U'
D' L2 U F R2 B' U'
D' L2 U F B' R2 U'
D' L2 U B' R2 F U'
D' L2 U B' F R2 U'
D L2 U F B' U' B
B2 L2 U B' U' D' R2
B2 L2 U B' U2 B2 U
B2 L2 U B' D' U' R2
B2 L2 U B' D2 F2 U'
F L2 U F' B2 D R2
D L2 U B' F U' B
F L2 U B2 F' D R2
U2 L2 U' F B' U' B'
B2 L2 U' B U D L2
B2 L2 U' B U2 B2 U'
B2 L2 U' B D U L2
B2 L2 U' B D2 F2 U
U2 L2 U' B' F U' B'
U' L2 U2 F B' U' B'
U' L2 U2 B' F U' B'
F L2 U2 F U' F2 B2
F L2 U2 F U' B2 F2
R' L2 B' F U' F' B'
R' L2 B' F U' B' F'
U' L2 D L2 F B' U
U' L2 D L2 B' F U
L2 R2 B' F U' F' B'
L2 R2 B' F U' B' F'
R2 L2 B' F U' F' B'
R2 L2 B' F U' B' F'
F L2 D L2 B' U F'
R' L2 B2 U F B U'
R' L2 B2 U B F U'
R L2 B' F U' F' B'
R L2 B' F U' B' F'
L2 R2 B2 U F B U'
L2 R2 B2 U B F U'
R2 L2 B2 U F B U'
R2 L2 B2 U B F U'
R L2 B2 U F B U'
R L2 B2 U B F U'
B L2 D' B R2 D L2
B L2 D2 B D L2 R2
B L2 D2 B D R2 L2
L2 U R F B' U' B'
L2 U R B' F U' B'
L2 U R' F B' U' B'
L2 U R' B' F U' B'
D' L2 B' R2 F U' F'
L2 U R2 F B' U' B'
L2 U R2 B' F U' B'
L2 U D' R2 F B' U'
L2 U D' R2 B' F U'
L2 U D' F R2 B' U'
L2 U D' F B' R2 U'
L2 U D' B' R2 F U'
L2 U D' B' F R2 U'
L2 U F R B' U' B'
L2 U F R' B' U' B'
L2 U F R2 B' U' B'
L2 U F D' R2 B' U'
L2 U F D' B' R2 U'
L2 U F B' R U' B'
L2 U F B' R' U' B'
L2 U F B' R2 U' B'
L2 U F B' U' D B'
L2 U F B' U' D' B'
L2 U F B' U' D2 B'
L2 U F B' U' B' D
L2 U F B' U' B' D'
L2 U F B' U' B' D2
L2 U F B' D U' B'
L2 U F B' D' U' B'
L2 U F B' D2 U' B'
U2 R U F B' U B'
U2 R U B' F U B'
D R U' F B' L2 U
D R U' B' F L2 U
L2 U B' R F U' B'
L2 U B' R' F U' B'
L2 U B' R2 F U' B'
U R U2 F B' U B'
L2 U B' D F U' B'
L2 U B' D' F U' B'
B' R D F U F' B'
B' R D F U B' F'
L2 U B' D2 F U' B'
L2 U B' F R U' B'
L2 U B' F R' U' B'
L2 U B' F R2 U' B'
U R U2 B' F U B'
L2 U B' F U' D B'
L2 U B' F U' D' B'
L2 U B' F U' D2 B'
L2 U B' F U' B' D
L2 U B' F U' B' D'
L2 U B' F U' B' D2
L2 U B' F D U' B'
L2 U B' F D' U' B'
L2 U B' F D2 U' B'
B' R D' F U F' B'
B' R D' F U B' F'
B' R D2 F U F' B'
B' R D2 F U B' F'
U' R F R' B' U B'
B' R F U D F' B'
B' R F U D B' F'
B' R F U D' F' B'
B' R F U D' B' F'
B' R F U D2 F' B'
B' R F U D2 B' F'
B' R F U F' D B'
B' R F U F' D' B'
B' R F U F' D2 B'
B' R F U F' B' D
B' R F U F' B' D'
B' R F U F' B' D2
B' R F U B' D F'
B' R F U B' D' F'
B' R F U B' D2 F'
B' R F U B' F' D
B' R F U B' F' D'
B' R F U B' F' D2
B' R F D U F' B'
B' R F D U B' F'
B' R F D' U F' B'
B' R F D' U B' F'
B' R F D2 U F' B'
B' R F D2 U B' F'
L U' L' F U R B2
L U' L' F U B2 R
D R F B' L2 U F'
L2 U' L2 F B' U B'
L2 U' L2 B' F U B'
F' R F2 B' U F' B'
F' R F2 B' U B' F'
B' R B' U' F B U
B' R B' U' B F U
R' U' D F B' L2 U
L2 U' D L2 F B' U
L2 U' D L2 B' F U
F' R B' F2 U F' B'
F' R B' F2 U B' F'
R' U' D B' F L2 U
F R B' R' U F' B'
F R B' R' U B' F'
D R B' F L2 U F'
R2 U' D F B' L2 U
R2 U' D B' F L2 U
R U' D F B' L2 U
R U' D B' F L2 U
R' U' F D B' L2 U
R' U' F B' U D B'
R' U' F B' U D' B'
R' U' F B' U D2 B'
R' U' F B' U B' D
R' U' F B' U B' D'
R' U' F B' U B' D2
R' U' F B' D U B'
R' U' F B' D' U B'
R' U' F B' D2 U B'
R2 U' F D B' L2 U
R2 U' F B' U D B'
R2 U' F B' U D' B'
R2 U' F B' U D2 B'
R2 U' F B' U B' D
R2 U' F B' U B' D'
R2 U' F B' U B' D2
