R U' B L U F
U2 L F' U' L' F2 U'
U2 L2 F' U' L' F U'
R' U F' R' U' F' B
R' U F' R' U' B F'
D2 R U' B L U F
D' R U' B L U F
B' R U' B L R2 U
B' R U' B R2 L U
B2 R U' B L R' U
B2 R U' B R' L U
D R U' B L U F
R U' D B L U F
R U' D' B L U F
R U' D2 B L U F
R U' B L R U F
R U' B L R' U F
R U' B L R2 U F
R U' B L U D F
R U' B L U D' F
R U' B L U D2 F
R U' B L U F D
R U' B L U F D'
R U' B L U F D2
R U' B L D U F
R U' B L D' U F
R U' B L D2 U F
R U' B R L U F
R U' B R' L U F
R U' B R2 L U F
R U' B D L U F
R U' B D' L U F
R U' B D2 L U F
B' R2 D B R' D' F2
B2 R2 D' F' B R F'
B2 R2 D' B R F' R
B2 R2 D' B F' R F'
U R2 F U' B R F'
B2 R2 B U' R' B U
B R2 B D' R F' R
B R2 B D' F' R F'
R D U' B L U F
R2 D B R' U L U'
R2 D B U L U' R'
R D' U' B L U F
B' U' R' B' U R' B
R D2 U' B L U F
U F R' U' F' R2 B
R F U' B L U F
U2 F' L U' F L2 U'
U2 F' U' L' F U' R
R F' U' B L U F
B2 D' R2 D B R' F'
R F2 U' B L U F
R2 B R U L F' U'
R2 B R U F' L U'
R2 B U' B2 R' B U
R B' R D' F2 B R2
R B' R D' B R2 F2
R B' R D' B F2 R2
R2 B' U' R' B U B
R2 B2 D' R F' R B'
R2 B2 D' R F' B' R
R2 B2 D' R B' F' R
R2 B2 D' F' R F' B'
R2 B2 D' F' R B' F'
R2 B2 D' F' B' R F'
R2 B2 D' B' R F' R
R2 B2 D' B' F' R F'
