L U R F L U
R' L U R2 F L U
R2 L U R' F L U
B2 L R F L U R2
R' L U F L R2 U
R' L U F R2 L U
R2 L U F L R' U
R2 L U F R' L U
L R U F L U F'
R L U F L U F'
L2 R U' L' U F U
U' L U L R F U
U' L U R L F U
D' L U R F U B2
F' L U F L U F
L R F L U' L' U2
R L F L U' L' U2
L R F' L F2 U R
R L F' L F2 U R
L R' U R2 F L U
L R' U F L R2 U
L R' U F R2 L U
F2 L' D F2 R B' U'
F2 L' D F2 B' R U'
F2 L' D B' F2 R U'
L R2 U R' F L U
L R2 U F L R' U
L R2 U F R' L U
R L2 U' L' U F U
F2 L' B' D F2 R U'
B2 L2 D2 R F' U R2
L U L D2 R F' U
B L2 D2 R F' U R
L U R D F L U
L U R D' F L U
L U R D2 F L U
L U R F L U D
L U R F L U D'
L U R F L U D2
L U R F L D U
L U R F L D' U
L U R F L D2 U
L U R F D L U
L U R F D' L U
L U R F D2 L U
L U R F' L F2 U
L U R F2 L F' U
L U R' F L R2 U
L U R' F R2 L U
L U R2 F L R' U
L U R2 F R' L U
L U D R F L U
L U D' R F L U
B2 R L F L U R2
R U D' B L B R'
L U D2 R F L U
D' R U B L B R'
R U' L U L F U
L2 U' L' U R F U
D' R B U B L R'
D' R B U B R' L
U2 R B2 L2 F U R'
L U2 R F L U R'
L D U R F L U
B' U L2 R B U L
B' U R L2 B U L
L' D F2 R B' L' U'
B' U R B L2 U L'
L' D F2 B' L' R U'
L' D F2 B' R L' U'
L' D B' F2 L' R U'
L' D B' F2 R L' U'
L D' U R F L U
R D' U B L B R'
R D' B U B L R'
R D' B U B R' L
F' U' D' B2 R' F' L'
L D2 U R F L U
D' F' U' B2 R' F' L'
L F' U L F2 U F'
L F' U F2 L U F
F' D' U' B2 R' F' L'
D F2 L U' L2 B' U'
L B' U R F U B
L' B' D F2 L' R U'
L' B' D F2 R L' U'
R B2 L F L U R'
