F2 L U D F B2
F2 L U D F B2
F2 L U D B2 F
F2 L U F D B2
F2 L U2 R2 U' F
F2 L D U F B2
F2 L D U B2 F
L R F2 L' U F'
L2 R F2 L' U F
R L F2 L' U F'
F2 L' D2 L2 U F
R L2 F2 L' U F
L U D' F L2 B'
F2 R' U2 R' U' F'
L D' U F L2 B'
F2 D L U F B2
F2 D L U B2 F
R F2 L' U' B' U2
R' F2 U2 R' U' F'
L F2 U D F' B2
L F2 U D B2 F'
L F2 U F' D B2
L' F2 D2 L2 U F
L F2 D U F' B2
L F2 D U B2 F'
L F2 D2 L2 U F'
F2 L R U2 R U' F
D L R' U F B2 L
D L R' U B2 F L
F2 L R' U2 R' U' F
F2 L U D F B2 D
F2 L U D F B2 D'
F2 L U D F B2 D2
F2 L U D B2 D F
F2 L U D B2 D' F
F2 L U D B2 D2 F
F2 L U D B2 F D
F2 L U D B2 F D'
F2 L U D B2 F D2
D' L U D2 F L B2
D' L U F L2 B' L'
F L U D F L' B2
F L U D F B2 L'
F L U D F B2 L'
F L U D B2 F L'
F2 L U D2 F D' B2
D L U D2 F L2 B'
F2 L U F U R2 U'
F2 L U F D B2 D
F2 L U F D B2 D'
F2 L U F D B2 D2
F2 L U F B D B2
F2 L U F B' D B2
F2 L U F B2 D B2
D L U F B2 D2 L2
F2 L U F2 D F' B2
F2 L U F2 D B2 F'
F2 L U B D F B2
F2 L U B D B2 F
F2 L U B F D B2
F2 L U B' D F B2
F2 L U B' D B2 F
F2 L U B' F D B2
F2 L U B2 D F B2
F2 L U B2 D B2 F
F2 L U B2 F D B2
D L U B2 D2 F L2
D L U B2 F D2 L2
D L U' R2 U2 F B2
D L U' R2 U2 B2 F
F2 L U' D' F2 U2 F'
D' L U' F2 U2 L F'
D' L U' F2 U2 F' L
F' L U2 R2 B U' F
F2 L U2 R2 U' D F
F2 L U2 R2 U' D' F
F2 L U2 R2 U' D2 F
F2 L U2 R2 U' F D
F2 L U2 R2 U' F D'
F2 L U2 R2 U' F D2
F2 L U2 R2 D U' F
F2 L U2 R2 D' U' F
F2 L U2 R2 D2 U' F
D2 L U2 B2 R' U' F
F2 L D R U F B2
F2 L D R U B2 F
F2 L D R' U F B2
F2 L D R' U B2 F
F2 L D R2 U F B2
F2 L D R2 U B2 F
F2 L D U F B2 D
F2 L D U F B2 D'
F2 L D U F B2 D2
F2 L D U B2 D F
F2 L D U B2 D' F
F2 L D U B2 D2 F
F2 L D U B2 F D
F2 L D U B2 F D'
F2 L D U B2 F D2
F L D U F L' B2
F L D U F B2 L'
F L D U B2 F L'
F' L D F' U F2 B2
F' L D F' U B2 F2
B2 L D' R2 F L2 B'
F2 L D' U' F2 U2 F'
B2 L D' F L2 R2 B'
B2 L D' F L2 B' R2
B2 L D' F R2 L2 B'
F2 L D2 L2 U' B' U2
D' L D2 U F L B2
F2 L D2 U F D' B2
D L D2 U F L2 B'
L R F2 L' U D F'
L R F2 L' U D' F'
L R F2 L' U D2 F'
L R F2 L' U F' D
L R F2 L' U F' D'
L R F2 L' U F' D2
L2 R F2 L' R U F
L R F2 L' D U F'
L2 R F2 L' R' U F
L R F2 L' D' U F'
L2 R F2 L' R2 U F
L R F2 L' D2 U F'
L2 R F2 L' U D F
L2 R F2 L' U D' F
L2 R F2 L' U D2 F
L2 R F2 L' U F D
L2 R F2 L' U F D'
L2 R F2 L' U F D2
F' L D2 F' L2 U F2
L2 R F2 L' D U F
L2 R F2 L' D' U F
L2 R F2 L' D2 U F
D2 L D2 F2 L U F'
R L F2 L' U D F'
R L F2 L' U D' F'
R L F2 L' U D2 F'
R L F2 L' U F' D
R L F2 L' U F' D'
R L F2 L' U F' D2
R L F2 L' D U F'
R L F2 L' D' U F'
R L F2 L' D2 U F'
L2 R F2 R L' U F
L2 R F2 R' L' U F
L2 R F2 R2 L' U F
L R F2 D L' U F'
L R F2 D' L' U F'
R L F2 D L' U F'
L R F2 D2 L' U F'
R L F2 D' L' U F'
R L F2 D2 L' U F'
F' L F' U F2 D B2
F' L F' U2 R2 U' F2
F' L F' D R2 U B2
F2 L' R2 U' B' U2 B
F2 L' U' D B' U2 B'
D L' U' R2 B' U2 B'
F2 L' U' D' F2 B' U2
F2 L' U' D' B' F2 U2
D' L' U' F2 R B' U2
D' L' U' F2 B' R U2
D' L' U' B' F2 R U2
F2 L' U' B' U' R2 U'
F2 L' U' B' U2 D B2
F2 L' U' B' D U2 B2
F2 L' U' B' D' F2 U2
D L' U' B' R2 U2 B'
F2 L' U2 L2 R2 U' F
F2 L' U2 R2 L2 U' F
F2 L' U2 R2 U B' U2
D2 L' D L' U L' F
F2 L' D L2 U F B2
F2 L' D L2 U B2 F
F2 L' D U' B' U2 B'
R2 L' F2 U' B' U2 B
D' L' D' L2 U F L
F2 L' D' U' F2 B' U2
F2 L' D' U' B' F2 U2
F' L' D2 L2 F' U F2
F2 L' D2 L2 R U F
F2 L' D2 L2 R' U F
F2 L' D2 L2 R2 U F
F2 L' D2 L2 U D F
F2 L' D2 L2 U D' F
F2 L' D2 L2 U D2 F
F2 L' D2 L2 U F D
F2 L' D2 L2 U F D'
F2 L' D2 L2 U F D2
F2 L' D2 L2 D U F
F2 L' D2 L2 D' U F
F2 L' D2 L2 D2 U F
F2 L' D2 R L2 U F
F2 L' D2 R' L2 U F
F2 L' D2 R2 L2 U F
F' L' D2 F' L2 U F
F' L' F' D2 L2 U F
D2 L2 U L D L2 F
D2 L2 U L' D F L2
D2 L2 U L' F D L2
L' R2 F2 U' B' U2 B
R L2 F2 L' R U F
R L2 F2 L' R' U F
R L2 F2 L' R2 U F
R L2 F2 L' U D F
R L2 F2 L' U D' F
R L2 F2 L' U D2 F
R L2 F2 L' U F D
R L2 F2 L' U F D'
R L2 F2 L' U F D2
R L2 F2 L' D U F
R L2 F2 L' D' U F
R L2 F2 L' D2 U F
R L2 F2 R L' U F
R L2 F2 R' L' U F
R L2 F2 R2 L' U F
D2 L2 U2 L' B2 U' F
F2 L2 U2 L' R2 U' F
F2 L2 U2 R2 L' U' F
D2 L2 U2 B2 L' U' F
D2 L2 D F' R U L2
F' L2 D F' R U B2
D2 L2 D2 R F2 U F
F2 L2 D2 L2 R U F'
F2 L2 D2 R L2 U F'
D2 L2 D2 F2 R U F'
L2 U L' D' F L2 B'
L' U L2 D' F L2 B'
L' U D' L2 D2 F B2
L' U D' L2 D2 B2 F
L U D F B2 D2 L2
L' U D' F L2 F B'
L' U D' F L2 B' F
L U D B2 D2 F L2
L U D B2 F D2 L2
L U D' F L2 D B'
L U D' F L2 D' B'
L U D' F L2 D2 B'
L U D' F L2 B' D
L U D' F L2 B' D'
L U D' F L2 B' D2
F2 R L U2 R U' F
L U D' F B L2 B'
L U D' F B' L2 B'
L U D' F B2 L2 B'
L U D' B F L2 B'
L U D' B' F L2 B'
L U D' B2 F L2 B'
F2 R U2 R U B U2
L U B D' F L2 B'
L U B' D' F L2 B'
L U B2 D' F L2 B'
U R F2 L' U R' F'
L' U' D R2 B' U2 B'
L' U' D B' R2 U2 B'
L U' D R2 U2 F B2
L U' D R2 U2 B2 F
L' U' D' F2 U2 L2 F
L' U' D' F2 B' U2 L2
L' U' D' B' F2 U2 L2
F2 R' L U2 R' U' F
D R' L U F B2 L
D R' L U B2 F L
L U' D' F2 U2 L2 F'
L U' D' F2 U2 F' L2
F2 R' U2 L R' U' F'
F2 R' U2 L' R' U' F'
F' R' U2 R' B U' F'
F2 R' U2 L2 R' U' F'
F2 R' U2 R' L U' F'
F2 R' U2 R' L' U' F'
F2 R' U2 R' L2 U' F'
F2 R' U2 R' U' D F'
F2 R' U2 R' U' D' F'
F2 R' U2 R' U' D2 F'
F2 R' U2 R' U' F' D
F2 R' U2 R' U' F' D'
F2 R' U2 R' U' F' D2
F2 R' U2 R' D U' F'
F2 R' U2 R' D' U' F'
F2 R' U2 R' D2 U' F'
F2 R' U2 D R' U' F'
F2 R' U2 D' R' U' F'
F2 R' U2 D2 R' U' F'
L' U' B' D R2 U2 B2
L' U' B' D' F2 U2 L2
F2 R' D U2 R' U' F'
F2 R' D' U2 R' U' F'
F2 R' D2 U2 R' U' F'
F R' F U2 R' U' F'
R' U2 R' U' D' L2 F'
R' U2 R' U' D' F' L2
R' U2 R' U2 F2 U F
R' U2 R' D' U' L2 F'
R' U2 R' D' U' F' L2
R' U2 R' D2 B2 U' F'
B2 R' F2 B2 L U F
L' U2 R2 U' D' L2 F
L' U2 R2 D' U' L2 F
L U2 R2 U' D' F L2
L U2 R2 U2 F2 U F'
L U2 R2 D' U' F L2
L U2 R2 D2 B2 U' F
B2 R' B2 L F2 U F'
F2 R' B2 L B2 U F
R' U2 D' R' U' L2 F'
R' U2 D' R' U' F' L2
D R' B2 L D' R2 F
D R' B2 L D' F R2
D R' B2 L F D' R2
B2 R' B2 F2 L U F
R' U2 D2 R' B2 U' F'
D R' B2 D' L R2 F
D R' B2 D' L F R2
D R' B2 D' R2 L F
F2 R2 L' U' B' U2 B
U2 R2 U2 R F2 U F
U2 R2 U2 F2 R U F'
U2 R2 D2 L' B2 U' F
U2 R2 D2 B2 L' U' F
F' R2 B L U' F R
L D R' U F B2 L
L D R' U B2 F L
L' D U' R2 B' U2 B'
L' D U' B' R2 U2 B'
L D U F B2 D2 L2
L D U B2 D2 F L2
L D U B2 F D2 L2
L D U' R2 U2 F B2
L D U' R2 U2 B2 F
U2 D R' U' F' B2 L
U2 D R' U' B2 L F'
U2 D R' U' B2 F' L
F' U R2 B L U' R2
L D' R U F L2 B'
F2 U B U L R2 U'
F2 U B U R2 L U'
L D' R' U F L2 B'
L' D' U L2 D2 F B2
L' D' U L2 D2 B2 F
L' D' U F L2 F B'
L' D' U F L2 B' F
L D' R2 U F L2 B'
L' D' U' F2 U2 L2 F
L' D' U' F2 B' U2 L2
L' D' U' B' F2 U2 L2
R' D' U2 R' U' L2 F'
R' D' U2 R' U' F' L2
L D' U F L2 D B'
L D' U F L2 D' B'
L D' U F L2 D2 B'
L D' U F L2 B' D
L D' U F L2 B' D'
L D' U F L2 B' D2
L D' U F B L2 B'
L D' U F B' L2 B'
L D' U F B2 L2 B'
L D' U B F L2 B'
L D' U B' F L2 B'
L D' U B2 F L2 B'
L D' U' F2 U2 L2 F'
L D' U' F2 U2 F' L2
L' D' F U L2 F B'
L' D' F U L2 B' F
L D' F' U F2 L2 B'
L' D2 L2 U D F L2
L' D2 L2 U F D L2
L' D2 L2 U2 B2 U' F
L' D2 L2 D U F L2
L' D2 L2 D2 F2 U F'
F2 U' F' U' L' R2 U'
F2 U' F' U' R2 L' U'
D2 U2 L B2 R' U' F'
L D2 L2 U D L2 F
L D2 L2 D U L2 F
U2 D2 L B2 R' U' F'
R' D2 U2 R' B2 U' F'
D U2 R' U' F' B2 L
D U2 R' U' B2 L F'
D U2 R' U' B2 F' L
F2 U2 R2 U' R F' R'
F2 U2 R2 U2 R U F'
F2 U2 R2 D2 L' U' F
F2 U2 D R' U' F' B2
F2 U2 D R' U' B2 F'
D' F L U F L B'
F2 D L R U F B2
F2 D L R U B2 F
F2 D L R' U F B2
F2 D L R' U B2 F
F2 D L R2 U F B2
F2 D L R2 U B2 F
F2 D L U F B2 D
F2 D L U F B2 D'
F2 D L U F B2 D2
F2 D L U B2 D F
F2 D L U B2 D' F
F2 D L U B2 D2 F
F2 D L U B2 F D
F2 D L U B2 F D'
F2 D L U B2 F D2
F' D L F' U F2 B2
F' D L F' U B2 F2
F2 D L' U' B' U2 B'
F2 D L' D L2 U F
F2 D R L U F B2
F2 D R L U B2 F
L F D F U F' B2
L F D F U B2 F'
L' F D2 F L2 U F
F2 D R' L U F B2
F2 D R' L U B2 F
F2 D R2 L U F B2
F2 D R2 L U B2 F
L F D2 F L2 U F'
F2 D U2 R' U' F' B2
F2 D U2 R' U' B2 F'
F' D F' L U F B2
F' D F' L U B2 F
R F' L F' L' U F2
F D F L U F B2
F D F L U B2 F
R F' L2 F' L' U F
U' F' U' L' R2 B U'
U' F' U' R2 L' B U'
U' F' U' R2 B L' U'
U F' R2 B L U' R2
F2 D' L U D2 F B2
F2 D' L U D2 B2 F
F2 D' L U' F2 U2 F'
F2 D' L D2 U F B2
F2 D' L D2 U B2 F
F2 D' L' U' F2 B' U2
F2 D' L' U' B' F2 U2
F2 D' L' D' L2 U F
L F' U2 R2 B U' F2
L2 F' D F' R U B2
L' F' D2 L2 F' U F2
L F' D F' R2 U B2
L' F' D2 F' L2 U F
R' F2 L U2 R' U' F
L2 F2 L D2 L2 U F
L2 F2 L' U D F B2
L2 F2 L' U D B2 F
L2 F2 L' U F D B2
L2 F2 L' U2 R2 U' F
L2 F2 L' D U F B2
L2 F2 L' D U B2 F
L F2 L U D F' B2
L F2 L U D B2 F'
L F2 L U F' D B2
L' F2 L2 U D F B2
L' F2 L2 U D B2 F
L' F2 L2 U F D B2
L F2 L D U F' B2
L F2 L D U B2 F'
L' F2 L2 U2 R2 U' F
R2 F2 L' U' B' U2 B
R F2 L U D' F B2
R F2 L U D' B2 F
R F2 L U F D' B2
L F2 L D2 L2 U F'
L' F2 L2 D U F B2
L' F2 L2 D U B2 F
R F2 L D' U F B2
R F2 L D' U B2 F
L F2 L' U D F' B2
L F2 L' U D B2 F'
L F2 L' U F' D B2
R F2 L' R U' B' U2
R F2 L' R' U' B' U2
L F2 L' D U F' B2
L F2 L' D U B2 F'
R F2 L' R2 U' B' U2
R F2 L' U L2 F L2
L F2 L' D2 L2 U F'
R F2 L' U' D B' U2
R F2 L' U' D' B' U2
R F2 L' U' D2 B' U2
R F2 L' U' B' U2 D
R F2 L' U' B' U2 D'
R F2 L' U' B' U2 D2
R F2 L' U' B' D U2
R F2 L' U' B' D' U2
R F2 L' U' B' D2 U2
R F2 L' U2 L2 U' F
R F2 L' D U' B' U2
R F2 L' D' U' B' U2
R F2 L' D2 U' B' U2
L F2 L2 U D F' B2
L F2 L2 U D B2 F'
L F2 L2 U F' D B2
L F2 L2 D U F' B2
L F2 L2 D U B2 F'
R2 F2 R U2 R' U' F'
L F2 L2 D2 L2 U F'
R F2 R L' U' B' U2
L' F2 R2 U' B' U2 B
R F2 R' L' U' B' U2
L F2 R2 U' B U2 B'
R F2 R2 L' U' B' U2
L' F2 U' D B' U2 B'
L' F2 U' D' F2 B' U2
L' F2 U' D' B' F2 U2
R' F2 U2 L R' U' F'
R' F2 U2 L' R' U' F'
R' F2 U2 L2 R' U' F'
L' F2 U' B' U' R2 U'
L' F2 U' B' U2 D B2
L' F2 U' B' D U2 B2
L' F2 U' B' D' F2 U2
R' F2 U2 R' L U' F'
R' F2 U2 R' L' U' F'
R' F2 U2 R' L2 U' F'
R' F2 U2 R' U' D F'
R' F2 U2 R' U' D' F'
R' F2 U2 R' U' D2 F'
R' F2 U2 R' U' F' D
R' F2 U2 R' U' F' D'
R' F2 U2 R' U' F' D2
R' F2 U2 R' D U' F'
R' F2 U2 R' D' U' F'
R' F2 U2 R' D2 U' F'
L' F2 U2 L2 R2 U' F
R' F2 U2 D R' U' F'
F' D2 L F' L U F2
R' F2 U2 D' R' U' F'
R' F2 U2 D2 R' U' F'
L F2 U D F' B2 D
L F2 U D F' B2 D'
L F2 U D F' B2 D2
L F2 U D B2 D F'
L F2 U D B2 D' F'
L F2 U D B2 D2 F'
L F2 U D B2 F' D
L F2 U D B2 F' D'
L F2 U D B2 F' D2
L' F2 U2 R2 L2 U' F
L' F2 U2 R2 U B' U2
L F2 U D2 F' D' B2
L F2 U F' U R2 U'
L F2 U F' D B2 D
L F2 U F' D B2 D'
L F2 U F' D B2 D2
L F2 U F' B D B2
L F2 U F' B' D B2
L F2 U F' B2 D B2
L F2 U F2 D F B2
L F2 U F2 D B2 F
L F2 U B D F' B2
L F2 U B D B2 F'
L2 F2 U2 L' R2 U' F
L F2 U B F' D B2
L F2 U B' D F' B2
L F2 U B' D B2 F'
L F2 U B' F' D B2
L F2 U B2 D F' B2
L F2 U B2 D B2 F'
L F2 U B2 F' D B2
L2 F2 U2 R2 L' U' F
L' F2 D L2 U F B2
L' F2 D L2 U B2 F
R' F2 D U2 R' U' F'
L F2 U' D' F2 U2 F
L' F2 D U' B' U2 B'
F' D2 L2 D F' R U
F2 D2 L2 U L' F L
F2 D2 L2 U2 L' U' F
L F2 U2 R2 U B U2
R' F2 D' U2 R' U' F'
F2 D2 L2 D2 R U F'
L' F2 D' U' F2 B' U2
L' F2 D' U' B' F2 U2
L F2 D L U F' B2
L F2 D L U B2 F'
L F2 D L' U F' B2
L F2 D L' U B2 F'
L F2 D L2 U F' B2
L F2 D L2 U B2 F'
L' F2 D2 L2 R U F
L' F2 D2 L2 R' U F
L' F2 D2 L2 R2 U F
L' F2 D2 L2 U D F
L' F2 D2 L2 U D' F
L' F2 D2 L2 U D2 F
L' F2 D2 L2 U F D
L' F2 D2 L2 U F D'
L' F2 D2 L2 U F D2
L' F2 D2 L2 D U F
L' F2 D2 L2 D' U F
L' F2 D2 L2 D2 U F
L' F2 D2 R L2 U F
L' F2 D2 R' L2 U F
R' F2 D2 U2 R' U' F'
L F2 D U F' B2 D
L F2 D U F' B2 D'
L F2 D U F' B2 D2
L F2 D U B2 D F'
L F2 D U B2 D' F'
L F2 D U B2 D2 F'
L F2 D U B2 F' D
L F2 D U B2 F' D'
L F2 D U B2 F' D2
L' F2 D2 R2 L2 U F
R F2 D L' U' B' U2
L2 F2 D2 L2 R U F'
L2 F2 D2 R L2 U F'
R F2 D' L' U' B' U2
L F2 D' U' F2 U2 F
L F2 D2 L2 U D F'
L F2 D2 L2 U D' F'
L F2 D2 L2 U D2 F'
L F2 D2 L2 U F' D
L F2 D2 L2 U F' D'
L F2 D2 L2 U F' D2
L F2 D2 L2 D U F'
L F2 D2 L2 D' U F'
L F2 D2 L2 D2 U F'
L F2 D2 U F' D' B2
R F2 D2 L' U' B' U2
R' F2 B2 L B2 U F
R' B2 L F2 B2 U F'
R' B2 L B2 F2 U F'
B2 F2 R' B2 L U F
F2 B2 R' B2 L U F
L B2 D' R2 F L2 B'
L B2 D' F L2 R2 B'
L B2 D' F L2 B' R2
L B2 D' F R2 L2 B'
R' B2 F2 L B2 U F
