D' L R F2 B' L
D' L R B' L F2
D' L R B' F2 L
D' L B' L R F2
D' L B' R L F2
D' L B' R F2 L
R2 L' F L' U R'
L' R2 F L' U R'
D' R L F2 B' L
D' R L B' L F2
D' R L B' F2 L
D' R F2 L B' L
D' R F2 B' L B'
D' R B' L F2 B'
D' R B' L B' F2
D' R B' L B' F2
D' R B' F2 L B'
R2 F L' F U R'
D' B' L R F2 B'
D' B' L R B' F2
D' B' L B' R F2
D' B' R L F2 B'
D' B' R L B' F2
D' B' R F2 L B'
D' L R F' B' L F'
D' L R F2 B' L D
D' L R F2 B' L D'
D' L R F2 B' L D2
D' L R F2 B' D L
D' L R F2 B' D' L
D' L R F2 B' D2 L
D' L R B' L F2 D
D' L R B' L F2 D'
D' L R B' L F2 D2
D' L R B' L' F2 L2
D' L R B' F' L F'
D' L R B' F2 L D
D' L R B' F2 L D'
D' L R B' F2 L D2
D' L R B' F2 D L
D' L R B' F2 D' L
D' L R B' F2 D2 L
L' R U' R F L' U
D' L R' F2 R2 B' L
D' L R' F2 B' L R2
D' L R' F2 B' R2 L
D' L R' B' L R2 F2
D' L R' B' L F2 R2
D' L R' B' R2 L F2
D' L R' B' R2 F2 L
D' L R' B' F2 L R2
D' L R' B' F2 R2 L
D' L R2 F2 R' B' L
D' L U R F2 B' L
D' L U R B' L F2
D' L U R B' F2 L
D' L U B' L R F2
D' L U B' R L F2
D' L U B' R F2 L
D' L U' R F2 B' L
D' L U' R B' L F2
D' L U' R B' F2 L
D' L U' B' L R F2
D' L U' B' R L F2
D' L U' B' R F2 L
D' L U2 R F2 B' L
D' L U2 R B' L F2
D' L U2 R B' F2 L
D' L U2 B' L R F2
D' L U2 B' R L F2
D' L U2 B' R F2 L
D' L F2 B' L D2 R2
D' L B' L R F2 D
D' L B' L R F2 D'
D' L B' L R F2 D2
D' L B' L R' F2 R2
D' L B' L R2 F2 R'
D' L B' L' R F2 L2
D' L B' R L F2 D
D' L B' R L F2 D'
D' L B' R L F2 D2
D' L B' R L' F2 L2
D' L B' R F' L F'
D' L B' R F2 L D
D' L B' R F2 L D'
D' L B' R F2 L D2
D' L B' R F2 D L
D' L B' R F2 D' L
D' L B' R F2 D2 L
D' L B' R' L F2 R2
D' L B' R' F2 L R2
D' L B' R' F2 R2 L
D' L B' R2 L F2 R'
D' L B' R2 F2 L R'
D' L B' R2 F2 R' L
D' L B' F2 L D2 R2
R L' U' R F L' U
R2 L' D F U R' B
B' L' R2 F L' U R'
U' L' R2 F L' U R'
U2 L' R2 F L' U R'
B2 L' R2 F L' U R'
F L' R2 F U' L' U2
B L' R2 F L' U R'
U L' R2 F L' U R'
R' L' F L' R' U R'
L' R' F L' R' U R'
R' L' F R' L' U R'
L' R' F R' L' U R'
R2 L' F L' U R' D
R2 L' F L' U R' D'
R2 L' F L' U R' D2
R2 L' F L' U D R'
R2 L' F L' U D' R'
R2 L' F L' U D2 R'
R2 L' F L' D U R'
R2 L' F L' D' U R'
R2 L' F L' D2 U R'
R2 L' F D L' U R'
R2 L' F D' L' U R'
R2 L' F D2 L' U R'
F L' F R2 U' L' U2
F L' F U D' F2 R
F L' F D' U F2 R
L2 R2 U D R' B L
R2 L2 U D R' B L
F L' F' R2 F2 U R'
L' R2 D F U R' B
L2 R2 D U R' B L
R2 L2 D U R' B L
D' L2 R F2 L' B' L
L' R2 F L' U R' D
L' R2 F L' U R' D'
L' R2 F L' U R' D2
L' R2 F L' U D R'
L' R2 F L' U D' R'
L' R2 F L' U D2 R'
L' R2 F L' D U R'
L' R2 F L' D' U R'
L' R2 F L' D2 U R'
D2 L2 R' B R' U' R'
L' R2 F D L' U R'
L' R2 F D' L' U R'
L' R2 F D2 L' U R'
D2 L2 B R' B U' R2
R2 U R' D' L B' L
R2 U R' D' B' L B'
L' U R2 F L' U R'
R2 U D' L R' B' L
R2 U D' R' L B' L
R2 U D' R' B' L B'
D' R L F' B' L F'
D' R L F2 B' L D
D' R L F2 B' L D'
D' R L F2 B' L D2
D' R L F2 B' D L
D' R L F2 B' D' L
D' R L F2 B' D2 L
D' R L B' L F2 D
D' R L B' L F2 D'
D' R L B' L F2 D2
D' R L B' L' F2 L2
D' R L B' F' L F'
D' R L B' F2 L D
D' R L B' F2 L D'
D' R L B' F2 L D2
D' R L B' F2 D L
D' R L B' F2 D' L
D' R L B' F2 D2 L
D' R L2 F2 L' B' L
D R U2 F' R B2 U2
D R U2 F' B2 R U2
D R U2 B2 F' R U2
D R D2 F2 L2 B' L
R U' L' R F L' U
D R F L' D2 F2 B2
D R F L' D2 B2 F2
D' R F' L F' B' L
D' R F' L B' L F'
D' R F' L B' F' L
D R F D2 L' F2 B2
D R F D2 L' B2 F2
D R F D2 B2 L' F2
D R F' R B2 L U2
D' R F' B' L F' B'
D' R F' B' L B' F'
D' R F2 L B' L D
D' R F2 L B' L D'
D' R F2 L B' L D2
D' R F2 L B' D L
D' R F2 L B' D' L
D' R F2 L B' D2 L
D R F' B2 R U2 R'
R U' R L' F L' U
D' R F2 B' L D B'
D' R F2 B' L D' B'
D' R F2 B' L D2 B'
D' R F2 B' L B' D
D' R F2 B' L B' D'
D' R F2 B' L B' D2
R U' R F L' F U
D' R B' L F2 D B'
D' R B' L F2 D' B'
D' R B' L F2 D2 B'
D' R B' L F2 B' D
D' R B' L F2 B' D'
D' R B' L F2 B' D2
D' R B' L B' F2 D
D' R B' L B' F2 D'
D' R B' L B' F2 D2
L' U' R2 F L' U R'
D' R B' F' L F' B'
D' R B' F' L B' F'
D' R B' F2 L D B'
D' R B' F2 L D' B'
D' R B' F2 L D2 B'
D' R B' F2 L B' D
D' R B' F2 L B' D'
D' R B' F2 L B' D2
D R B2 F' R U2 R'
D' R' L F2 R2 B' L
D' R' L F2 B' L R2
D' R' L F2 B' R2 L
D' R' L B' L R2 F2
D' R' L B' L F2 R2
D' R' L B' R2 L F2
D' R' L B' R2 F2 L
D' R' L B' F2 L R2
D' R' L B' F2 R2 L
D2 R' L2 B R' U' R'
D R' F L' B R2 F'
D R' F B L' R2 F'
D R' F B R2 L' F'
D' R' F2 L R2 B' L
D' R' F2 L B' L R2
D' R' F2 L B' R2 L
D' R' F2 R2 L B' L
D' R' F2 R2 B' L B'
D' R' F2 B' L R2 B'
D' R' F2 B' L B' R2
D' R' F2 B' R2 L B'
D2 R' B L2 R' U' R'
D2 R' B R' L2 U' R'
D R' F2 B R2 F' L'
D' R' B' L R2 F2 B'
D' R' B' L R2 B' F2
D R' B R2 F L' F2
D' R' B' L F2 R2 B'
D' R' B' L F2 B' R2
D' R' B' L B' R2 F2
D' R' B' L B' F2 R2
L' U2 R2 F L' U R'
D' R' B' R2 L F2 B'
D' R' B' R2 L B' F2
D' R' B' R2 F2 L B'
D R' B F L' R2 F'
D R' B F R2 L' F'
D R' B F2 R2 F' L'
D' R' B' F2 L R2 B'
D' R' B' F2 L B' R2
D' R' B' F2 R2 L B'
D' R2 L F2 R' B' L
B' R2 L' F L' U R'
U' R2 L' F L' U R'
B2 R2 L' F L' U R'
U2 R2 L' F L' U R'
B R2 L' F L' U R'
F R2 L' F U' L' U2
U R2 L' F L' U R'
U' R2 F L' F U R'
B' R2 F L' F U R'
B2 R2 F L' F U R'
U2 R2 F L' F U R'
B R2 F L' F U R'
U R2 F L' F U R'
D' R2 F2 L R' B' L
D' R2 F2 R' L B' L
D' R2 F2 R' B' L B'
D' U L R F2 B' L
D' U L R B' L F2
D' U L R B' F2 L
D' U L B' L R F2
D' U L B' R L F2
D' U L B' R F2 L
R2 D F U L' R' B
R2 D F U R' L' B
R2 D F U R' B L'
D' U R L F2 B' L
D' U R L B' L F2
D' U R L B' F2 L
D' U R F2 L B' L
D' U R F2 B' L B'
D' U R B' L F2 B'
D' U R B' L B' F2
D' U R B' F2 L B'
R2 D' L U R' B' L
D' U B' L R F2 B'
D' U B' L R B' F2
D' U B' L B' R F2
D' U B' R L F2 B'
D' U B' R L B' F2
D' U B' R F2 L B'
D' U' L R F2 B' L
D' U' L R B' L F2
D' U' L R B' F2 L
U' D' L R F2 B' L
U' D' L R B' L F2
U' D' L R B' F2 L
U2 D' L R F2 B' L
U2 D' L R B' L F2
U2 D' L R B' F2 L
D' U' L B' L R F2
U' D' L B' L R F2
D' U' L B' R L F2
D' U' L B' R F2 L
U' D' L B' R L F2
U' D' L B' R F2 L
U D' L R F2 B' L
U D' L R B' L F2
U D' L R B' F2 L
U2 D' L B' L R F2
U2 D' L B' R L F2
U2 D' L B' R F2 L
R2 D' U L R' B' L
R2 D' U R' L B' L
R2 D' U R' B' L B'
U D' L B' L R F2
U D' L B' R L F2
U D' L B' R F2 L
U' D' R L F2 B' L
D' U' R L F2 B' L
U' D' R L B' L F2
D' U' R L B' L F2
U' D' R L B' F2 L
D' U' R L B' F2 L
U' D' R F2 L B' L
D' U' R F2 L B' L
U2 D' R L F2 B' L
U2 D' R L B' L F2
U2 D' R L B' F2 L
U' D' R F2 B' L B'
D' U' R F2 B' L B'
U' D' R B' L F2 B'
U' D' R B' L B' F2
D' U' R B' L F2 B'
D' U' R B' L B' F2
U' D' R B' F2 L B'
D' U' R B' F2 L B'
U2 D' R F2 L B' L
U2 D' R F2 B' L B'
U D' R L F2 B' L
U D' R L B' L F2
U D' R L B' F2 L
U2 D' R B' L F2 B'
U2 D' R B' L B' F2
U2 D' R B' F2 L B'
U D' R F2 L B' L
U D' R F2 B' L B'
U D' R B' L F2 B'
U D' R B' L B' F2
U D' R B' F2 L B'
U' D' B' L R F2 B'
U' D' B' L R B' F2
D' U' B' L R F2 B'
D' U' B' L R B' F2
U' D' B' L B' R F2
D' U' B' L B' R F2
U' D' B' R L F2 B'
U' D' B' R L B' F2
D' U' B' R L F2 B'
D' U' B' R L B' F2
U' D' B' R F2 L B'
D' U' B' R F2 L B'
U2 D' B' L R F2 B'
U2 D' B' L R B' F2
U2 D' B' L B' R F2
U2 D' B' R L F2 B'
U2 D' B' R L B' F2
U2 D' B' R F2 L B'
U D' B' L R F2 B'
U D' B' L R B' F2
U D' B' L B' R F2
U D' B' R L F2 B'
U D' B' R L B' F2
U D' B' R F2 L B'
D' U2 L R F2 B' L
D' U2 L R B' L F2
D' U2 L R B' F2 L
D' U2 L B' L R F2
D' U2 L B' R L F2
D' U2 L B' R F2 L
D' U2 R L F2 B' L
D' U2 R L B' L F2
D' U2 R L B' F2 L
D' U2 R F2 L B' L
D' U2 R F2 B' L B'
D' U2 R B' L F2 B'
D' U2 R B' L B' F2
D' U2 R B' F2 L B'
D' U2 B' L R F2 B'
D' U2 B' L R B' F2
D' U2 B' L B' R F2
D' U2 B' R L F2 B'
D' U2 B' R L B' F2
D' U2 B' R F2 L B'
R' F L' R' F U R'
R' F L' F R' U R'
R2 F L' D F U R'
R2 F L' D' F U R'
R2 F L' D2 F U R'
R2 F L' F U R' D
R2 F L' F U R' D'
R2 F L' F U R' D2
R2 F L' F U D R'
R2 F L' F U D' R'
R2 F L' F U D2 R'
R2 F L' F D U R'
R2 F L' F D' U R'
R2 F L' F D2 U R'
R' F R' L' F U R'
D F' R F' L' B2 U2
D F' R F' B2 L' U2
D F' R B2 F' L' U2
B' D' L R F2 B' L
B' D' L R B' L F2
B' D' L R B' F2 L
B2 D' L R F2 B' L
B2 D' L R B' L F2
B2 D' L R B' F2 L
B' D' L B' L R F2
B' D' L B' R L F2
B' D' L B' R F2 L
B2 D' L B' L R F2
B2 D' L B' R L F2
B2 D' L B' R F2 L
B D' L R F2 B' L
B D' L R B' L F2
B D' L R B' F2 L
B D' L B' L R F2
B D' L B' R L F2
B D' L B' R F2 L
B' D' R L F2 B' L
B' D' R L B' L F2
B' D' R L B' F2 L
B2 D' R L F2 B' L
B2 D' R L B' L F2
B2 D' R L B' F2 L
B' D' R F2 L B' L
B' D' R F2 B' L B'
B' D' R B' L F2 B'
B' D' R B' L B' F2
B' D' R B' F2 L B'
B2 D' R F2 L B' L
B2 D' R F2 B' L B'
B2 D' R B' L F2 B'
B2 D' R B' L B' F2
B2 D' R B' F2 L B'
B D' R L F2 B' L
B D' R L B' L F2
B D' R L B' F2 L
B D' R F2 L B' L
B D' R F2 B' L B'
B D' R B' L F2 B'
B D' R B' L B' F2
B D' R B' F2 L B'
D F' B2 R F' L' U2
D' F2 L B' D2 L R2
D' F2 L B' D2 R2 L
B' D' B' L R F2 B'
B' D' B' L R B' F2
B' D' B' L B' R F2
B' D' B' R L F2 B'
B' D' B' R L B' F2
B' D' B' R F2 L B'
B2 D' B' L R F2 B'
B2 D' B' L R B' F2
B2 D' B' L B' R F2
B2 D' B' R L F2 B'
B2 D' B' R L B' F2
B2 D' B' R F2 L B'
B D' B' L R F2 B'
B D' B' L R B' F2
B D' B' L B' R F2
B D' B' R L F2 B'
B D' B' R L B' F2
B D' B' R F2 L B'
D' F2 B' L D2 R2 B'
D' F2 B' L D2 B' R2
D' F2 B' L B' D2 R2
D2 B L2 R' B U' R2
D2 B R' L2 B U' R2
D2 B R' B L2 U' R2
L' B R2 F L' U R'
D' B' L R F2 D B'
D' B' L R F2 D' B'
D' B' L R F2 D2 B'
D' B' L R F2 B' D
D' B' L R F2 B' D'
D' B' L R F2 B' D2
D' B' L R B' F2 D
D' B' L R B' F2 D'
D' B' L R B' F2 D2
D' B' L R' F2 R2 B'
D' B' L R' F2 B' R2
D' B' L R' B' R2 F2
D' B' L R' B' F2 R2
D' B' L R2 F2 R' B'
D' B' L B R F2 B2
D' B' L B R B2 F2
D' B' L B' R F2 D
D' B' L B' R F2 D'
D' B' L B' R F2 D2
D' B' L B' R' F2 R2
D' B' L B' R2 F2 R'
D' B' R L F2 D B'
D' B' R L F2 D' B'
D' B' R L F2 D2 B'
D' B' R L F2 B' D
D' B' R L F2 B' D'
D' B' R L F2 B' D2
D' B' R L B' F2 D
D' B' R L B' F2 D'
D' B' R L B' F2 D2
D' B' R F' L F' B'
D' B' R F' L B' F'
D' B' R F2 L D B'
D' B' R F2 L D' B'
D' B' R F2 L D2 B'
D' B' R F2 L B' D
D' B' R F2 L B' D'
D' B' R F2 L B' D2
D' B' R' L F2 R2 B'
D' B' R' L F2 B' R2
D' B' R' L B' R2 F2
D' B' R' L B' F2 R2
D' B' R' F2 L R2 B'
D' B' R' F2 L B' R2
D' B' R' F2 R2 L B'
D' B' R2 L F2 R' B'
L' B' R2 F L' U R'
D' B' R2 F2 L R' B'
D' B' R2 F2 R' L B'
D' B' U L R F2 B'
D' B' U L R B' F2
D' B' U L B' R F2
D' B' U R L F2 B'
D' B' U R L B' F2
D' B' U R F2 L B'
D' B' U' L R F2 B'
D' B' U' L R B' F2
D' B' U' L B' R F2
D' B' U' R L F2 B'
D' B' U' R L B' F2
D' B' U' R F2 L B'
D' B' U2 L R F2 B'
D' B' U2 L R B' F2
D' B' U2 L B' R F2
D' B' U2 R L F2 B'
D' B' U2 R L B' F2
D' B' U2 R F2 L B'
D' B' F2 L D2 R2 B'
D' B' F2 L D2 B' R2
D' B' F2 L B' D2 R2
D' B2 R F2 B L B'
D' B2 R B L F2 B'
D' B2 R B L B' F2
D' B2 R B F2 L B'
D B2 R F' R U2 R'
L' B2 R2 F L' U R'
D B2 F' R F' L' U2
