F' L U' R F L' U'
U2 L' R' F' R U' L
U2 L' U' D' L B' R'
D2 L' U2 B' L U L'
U2 L' D' U' L B' R'
U' L' F U2 L' U R
U' L' F' R U L' U2
U' L' F' R F2 U' R
F L2 U L B' U F
F2 R U' R' F' L' U2
U2 R' L' F' R U' L
L U' F L2 U2 L U
L U' F' L2 R F2 U'
U2 R' U L' F' R U'
L U' F' R L2 F2 U'
L U' F' R F2 L2 U'
L' U2 D2 B' L U L'
L' U2 F B' L' U L
L' U2 B' F L' U L
F' U' R F L' U' R
L' D2 U2 B' L U L'
F2 U2 R B L U L'
U2 F L' U L F R
L F L2 U2 L U L'
L' F U2 B' L' U L
L F' U' L2 R F2 U'
L F' U' R L2 F2 U'
L F' U' R F2 L2 U'
R' F2 R U L' B' R'
