L' R U F B L
L' R U B F L
R L' U F B L
R L' U B F L
F L' R U F B
F L' R U B F
F R L' U F B
F R L' U B F
D2 R F U F2 B
D2 R F U B F2
F U2 L' U' F B'
F U2 L' U' B' F
D2 F R U F' B
D2 F R U B F'
R F L' U F B
R F L' U B F
D F U2 L' U' B'
F2 D F' R U B
D F' R F2 U B
F D2 R U F' B
F D2 R U B F'
L' R U L' B L F
F L R U B D2 F2
F L R U' B' U2 B2
L' R U D F B L
L' R U D B F L
L' R U D' F B L
L' R U D' B F L
L' R U D2 F B L
L' R U D2 B F L
L' R U F L B L
L' R U F L' B L
L' R U F L2 B L
L' R U F D B L
L' R U F D' B L
L' R U F D2 B L
L' R U F B L D
L' R U F B L D'
L' R U F B L D2
L' R U F B D L
L' R U F B D' L
L' R U F B D2 L
L' R U F' B L F2
L' R U F2 B L F'
L' R U B D F L
L' R U B D' F L
L' R U B D2 F L
L' R U B F L D
L' R U B F L D'
L' R U B F L D2
L' R U B F D L
L' R U B F D' L
L' R U B F D2 L
L' R U B F' L F2
L' R U B F2 L F'
F L R' U' F' B' U2
F L R' U' B' F' U2
L' R D U F B L
L' R D U B F L
L' R D' U F B L
L' R D' U B F L
F L U' B' U' R' U'
L' R D2 U F B L
L' R D2 U B F L
L' R F' U F2 B L
L' R F' U B L F2
L' R F' U B F2 L
L' R F2 U F' B L
L' R F2 U B L F'
L' R F2 U B F' L
R L' U L' B L F
R L' U D F B L
R L' U D B F L
R L' U D' F B L
R L' U D' B F L
R L' U D2 F B L
R L' U D2 B F L
R L' U F L B L
R L' U F L' B L
R L' U F L2 B L
R L' U F D B L
R L' U F D' B L
R L' U F D2 B L
R L' U F B L D
R L' U F B L D'
R L' U F B L D2
R L' U F B D L
R L' U F B D' L
R L' U F B D2 L
R L' U F' B L F2
R L' U F2 B L F'
R L' U B D F L
R L' U B D' F L
R L' U B D2 F L
R L' U B F L D
R L' U B F L D'
R L' U B F L D2
R L' U B F D L
R L' U B F D' L
R L' U B F D2 L
R L' U B F' L F2
R L' U B F2 L F'
R' L' U' F' U2 L' F2
L' R' U' F' U2 L' F2
D2 L' R U F' B L
D2 L' R U B L F'
D2 L' R U B F' L
F L' R U D F B
F L' R U D B F
F L' R U D' F B
F L' R U D' B F
F L' R U D2 F B
F L' R U D2 B F
F L' R U F D B
F L' R U F D' B
F L' R U F D2 B
F L' R U F B D
F L' R U F B D'
F L' R U F B D2
F L' R U B D F
F L' R U B D' F
F L' R U B D2 F
F L' R U B F D
F L' R U B F D'
F L' R U B F D2
F L' R D U F B
F L' R D U B F
F L' R D' U F B
F L' R D' U B F
F' L' R F2 U F' B
F' L' R F2 U B F'
F L' R D2 U F B
F L' R D2 U B F
F L' R' U F D2 B2
R L' D U F B L
R L' D U B F L
F L' R' U' F' U2 F2
R L' D' U F B L
R L' D' U B F L
R L' D2 U F B L
R L' D2 U B F L
F L' U F U R U'
U2 L' U' F' B' L' F2
U2 L' U' B' F' L' F2
R L' F' U F2 B L
R L' F' U B L F2
R L' F' U B F2 L
F L' D R U F B
F L' D R U B F
R L' F2 U F' B L
R L' F2 U B L F'
R L' F2 U B F' L
F L' D' R U F B
F L' D' R U B F
F L' D2 R U F B
F L' D2 R U B F
F2 L' F' R U F2 B
F2 L' F' R U B F2
D L' F' R U B L
U2 L2 B' L U' F B'
U2 L2 B' L U' B' F
F R L U B D2 F2
F R L U' B' U2 B2
D2 R L' U F' B L
D2 R L' U B L F'
D2 R L' U B F' L
L' U F U R B U'
F' R L' F2 U F' B
F' R L' F2 U B F'
F R L' U D F B
F R L' U D B F
F R L' U D' F B
F R L' U D' B F
F R L' U D2 F B
F R L' U D2 B F
F R L' U F D B
F R L' U F D' B
F R L' U F D2 B
F R L' U F B D
F R L' U F B D'
F R L' U F B D2
F R L' U B D F
F R L' U B D' F
F R L' U B D2 F
F R L' U B F D
F R L' U B F D'
F R L' U B F D2
F R L' D U F B
F R L' D U B F
F R L' D' U F B
F R L' D' U B F
F R L' D2 U F B
F R L' D2 U B F
D2 R U F' D' L2 B
D2 R U F' D' B L2
D2 R U F' B D' L2
F R U L' F L B
D2 R U B F' D' L2
F2 R U F' L' F B
F2 R U F' L' B F
F2 R U F' B L' F
F2 R U B F' L' F
F R U B L' F L
F R U2 L' U' F B
F R U2 L' U' B F
D2 R D F U F2 B
D2 R D F U B F2
D2 R D' F U F2 B
D2 R D' F U B F2
D2 R D2 F U F2 B
D2 R D2 F U B F2
D2 R F L U F2 B
D2 R F L U B F2
D2 R F L' U F2 B
D2 R F L' U B F2
D2 R F L2 U F2 B
D2 R F L2 U B F2
D2 R F U F2 D B
D2 R F U F2 D' B
D2 R F U F2 D2 B
D2 R F U F2 B D
D2 R F U F2 B D'
D2 R F U F2 B D2
D2 R F U B F2 D
D2 R F U B F2 D'
D2 R F U B F2 D2
D R F U2 L' U' B
F' R F2 L' U F B
F' R F2 L' U B F
F R' L U' F' B' U2
F R' L U' B' F' U2
F R' L' U F D2 B2
F R' L' U' F' U2 F2
D2 R' F U' F2 B U2
D2 R' F U' B F2 U2
D R2 D' F L' U F
D2 R2 F R' U F' B
D2 R2 F R' U B F'
L' D R U F B L
L' D R U B F L
R D F U2 L' U' B
L' D' R U F B L
L' D' R U B F L
F U F' U' L' U F
U2 D' L2 B' L U' B'
R2 D' F D L' U F
L' D2 R U F B L
L' D2 R U B F L
D' U2 L2 B' L U' B'
F U2 L U F B' U2
F U2 L U B' F U2
F U2 L' R U' F B'
F U2 L' R U' B' F
F U2 L' R' U' F B'
F U2 L' R' U' B' F
F U2 L' R2 U' F B'
F U2 L' R2 U' B' F
F U2 L' U' D F B'
F U2 L' U' D B' F
F U2 L' U' D' F B'
F U2 L' U' D' B' F
F U2 L' U' D2 F B'
F U2 L' U' D2 B' F
F U2 L' U' F D B'
F U2 L' U' F D' B'
F U2 L' U' F D2 B'
F U2 L' U' F B' D
F U2 L' U' F B' D'
F U2 L' U' F B' D2
F U2 L' U' B' D F
F U2 L' U' B' D' F
F U2 L' U' B' D2 F
F U2 L' U' B' F D
F U2 L' U' B' F D'
F U2 L' U' B' F D2
F U2 L' D U' F B'
F U2 L' D U' B' F
F U2 L' D' U' F B'
F U2 L' D' U' B' F
F U2 L' D2 U' F B'
F U2 L' D2 U' B' F
F U2 R L' U' F B'
F U2 R L' U' B' F
F U2 R' L' U' F B'
F U2 R' L' U' B' F
F U2 R2 L' U' F B'
F U2 R2 L' U' B' F
D2 F L R U F' B
D2 F L R U B F'
R' F L U' F2 B' U2
R' F L U' B' F2 U2
R' F L D' L2 U F
D2 F L' R U F' B
D2 F L' R U B F'
R' F L' U D2 F B2
R' F L' U D2 B2 F
R' F L' U' F2 U2 F'
R' F L' D2 U F B2
R' F L' D2 U B2 F
D2 F L2 R U F' B
D2 F L2 R U B F'
R2 F L' R' U F B
R2 F L' R' U B F
R F L U B D2 F2
R F L U' B' U2 B2
D2 F R L U F' B
D2 F R L U B F'
D2 F R L' U F' B
D2 F R L' U B F'
D2 F R L2 U F' B
D2 F R L2 U B F'
R F L' U D F B
R F L' U D B F
R F L' U D' F B
R F L' U D' B F
R F L' U D2 F B
R F L' U D2 B F
R F L' U F D B
R F L' U F D' B
R F L' U F D2 B
R F L' U F B D
