D2 L2 U F L2
D B2 D' R2 F'
D2 L2 R U F L2
D2 L2 R' U F L2
D2 L2 R2 U F L2
U L2 R2 U' R2 F
U L2 R2 U' F R2
D' L2 U F L2 B'
D2 L2 U F L2 D
D2 L2 U F L2 D'
D2 L2 U F L2 D2
D2 L2 U F' L2 F2
D2 L2 U F2 L2 F'
D L2 U F L2 B2
D L2 U F L2 B2
D L2 U F B2 L2
D L2 U B2 F L2
D2 L2 D F2 U F'
D2 L2 F' U L2 F2
D2 L2 F' U F2 L2
D2 L2 F2 U L2 F'
D2 L2 F2 U F' L2
L2 U F L2 D B2
D2 R L2 U F L2
D R B2 D' R2 F'
D2 R' L2 U F L2
L2 U2 R2 U' F L2
D R' B2 D' R2 F'
D2 R2 L2 U F L2
U R2 L2 U' R2 F
U R2 L2 U' F R2
U2 R2 U R2 B' U2
U2 R2 U B' R2 U2
U2 R2 U' D2 L2 F
U R2 U B' U2 R2
U2 R2 D2 U' L2 F
D R2 B2 D' R2 F'
L2 D F2 U F' B2
L2 D F2 U B2 F'
D2 F L2 U F L2
D F B2 D' R2 F'
D2 F' L2 U F L2
F' D B2 D' R2 F'
F2 D B2 D' R2 F'
F D B2 D' R2 F'
B2 D' R2 D2 F' B2
B2 D' R2 D2 B2 F'
D F' B2 D' R2 F'
D2 F2 L2 U F L2
B2 D' F' R2 F' B
B2 D' F' R2 B F'
F' D2 L2 U F L2
F2 D2 L2 U F L2
F D2 L2 U F L2
D F2 B2 D' R2 F'
U2 B' U' R2 U' R2
D B2 R2 D' F' R2
D B2 R2 F' D' R2
D2 B2 D' R2 F' B2
D2 B2 D' R2 B2 F'
D B2 D' R2 D F'
D B2 D' R2 D' F'
D B2 D' R2 D2 F'
D B2 D' R2 F' D
D B2 D' R2 F' D'
D B2 D' R2 F' D2
D B2 D' F R2 F'
D B2 D' F' R2 F'
D B2 D' F2 R2 F'
U B2 D B2 L2 F
D B2 F D' R2 F'
D B2 F' D' R2 F'
D B2 F2 D' R2 F'
R' L U2 R' U' L' F'
L2 R U2 R U' F L2
D L U B2 D L' F
L2 R D F2 L' U F'
D2 L D L U F L2
D2 L D' L U F L2
D2 L D2 L U F L2
L' R F2 L' U F L2
L2 R F2 L' U L' F'
D2 L F' L U F L'
L R' U2 R' U' L' F'
L2 R' U2 R' U' F L2
D' L' U L' F L2 B'
D L' U L' F L2 B2
D L' U L' F B2 L2
D L' U L' B2 F L2
B' L' U' R2 F' U' L
R L' F2 L' U F L2
L2 R2 U F' L2 F2 B'
L2 R2 U F' L2 B' F2
R2 L2 U F' L2 F2 B'
R2 L2 U F' L2 B' F2
L2 R2 U' F L2 D2 R2
R2 L2 U' F L2 D2 R2
R' L2 U2 R' U' F L2
R L2 U2 R U' F L2
R L2 D F2 L' U F'
D2 L2 R U F L2 D
D2 L2 R U F L2 D'
D2 L2 R U F L2 D2
D2 L2 R U F' L2 F2
D' L2 R U F L2 B'
D2 L2 R U F2 L2 F'
D2 L2 R D F2 U F'
D L2 R U F L2 B2
D L2 R U F B2 L2
D L2 R U B2 F L2
D2 L2 R F' U L2 F2
D2 L2 R F' U F2 L2
D2 L2 R F2 U L2 F'
D2 L2 R F2 U F' L2
D2 L2 R' U F L2 D
D2 L2 R' U F L2 D'
D2 L2 R' U F L2 D2
D2 L2 R' U F' L2 F2
D2 L2 R' U F2 L2 F'
D' L2 R' U F L2 B'
D2 L2 R' D F2 U F'
D L2 R' U F L2 B2
D L2 R' U F B2 L2
D L2 R' U B2 F L2
D2 L2 R' F' U L2 F2
D2 L2 R' F' U F2 L2
D2 L2 R' F2 U L2 F'
D2 L2 R' F2 U F' L2
D2 L2 R2 U F L2 D
D2 L2 R2 U F L2 D'
D2 L2 R2 U F L2 D2
D2 L2 R2 U F' L2 F2
D2 L2 R2 U F2 L2 F'
D' L2 R2 U F L2 B'
D2 L2 R2 D F2 U F'
U2 L2 R2 U R2 U2 F
U2 L2 R2 U' D2 F L2
U2 L2 R2 U' F D2 L2
D L2 R2 U F L2 B2
D L2 R2 U F B2 L2
D L2 R2 U B2 F L2
D2 L2 R2 F' U L2 F2
D2 L2 R2 F' U F2 L2
U2 L2 R2 D B2 U' F
D2 L2 R2 F2 U L2 F'
D2 L2 R2 F2 U F' L2
U2 L2 R2 D2 U' F L2
U L2 R2 U' R' F R'
U L2 R2 U' R2 D F
U L2 R2 U' R2 D' F
U L2 R2 U' R2 D2 F
U L2 R2 U' R2 F D
U L2 R2 U' R2 F D'
U L2 R2 U' R2 F D2
U L2 R2 U' F R2 D
U L2 R2 U' F R2 D'
U L2 R2 U' F R2 D2
U L2 R2 U' F' R2 F2
U L2 R2 D' F2 U' F'
D2 L2 U L2 U2 B' U2
D2 L2 U R F L2 R'
D2 L2 U R F R' L2
U L2 R2 F' U' R2 F2
U L2 R2 F' U' F2 R2
D2 L2 U R2 F L2 R2
D2 L2 U R2 F R2 L2
U L2 R2 F2 U' F' R2
D2 L2 U D' F D L2
D2 L2 U D2 F D2 L2
D2 L2 U F L D L
D2 L2 U F L D' L
D2 L2 U F L D2 L
D2 L2 U F L' D L'
D2 L2 U F L' D' L'
D2 L2 U F L' D2 L'
D' L2 U F L2 D B'
D' L2 U F L2 D' B'
D' L2 U F L2 D2 B'
D' L2 U F L2 B' D
D' L2 U F L2 B' D'
D' L2 U F L2 B' D2
D2 L2 U F B' L2 B
D2 L2 U F B2 L2 B2
D2 L2 U F' L F2 L
F' L2 U F L2 D B2
D' L2 U F B L2 B'
D' L2 U F B' L2 B'
D2 L2 U F' L2 F2 D
D2 L2 U F' L2 F2 D'
D2 L2 U F' L2 F2 D2
D' L2 U F B2 L2 B'
D2 L2 U F2 L F' L
D2 L2 U F2 L2 D F'
D2 L2 U F2 L2 D' F'
D2 L2 U F2 L2 D2 F'
D2 L2 U F2 L2 F' D
D2 L2 U F2 L2 F' D'
D2 L2 U F2 L2 F' D2
F2 L2 U F L2 D B2
D' L2 U B F L2 B'
D2 L2 U B' F L2 B
D' L2 U B' F L2 B'
D L2 U F L' B2 L'
D L2 U F L2 B2 D
D L2 U F L2 B2 D'
D L2 U F L2 B2 D2
