U B' U L' B' U
L2 R' F' U2 L U F2
U2 L' D' B R' B2 U
U2 L' D' B' U2 L U'
U2 L' D2 R B' U F'
U2 L' D2 B' R U F'
U2 L' B' U L' F L
U2 L' B' U2 L' U' F
U2 L' B' D2 R U F'
U2 L' B2 D' B R' U
F2 L2 R U2 B U F
F' L2 R' F' R U' F2
F2 L2 R' F' R2 U' F2
R' L2 F' U2 L U F2
F2 R L2 U2 B U F
F2 R U B' U B2 U
F2 R U B' U2 D' R2
F2 R U B' D L2 U2
F2 R U B' D' U2 R2
F2 R U2 B U D2 F2
F2 R U2 B U' B2 U2
F2 R U2 B D' R2 U
F2 R U2 B D2 U F2
R U B' U L' B2 U
R U B' U B2 L' U
L' U' L B' U2 L' R'
L' U' L B' U2 R' L'
L' U' L' U2 F L R
L' U' L' U2 F R L
F' R' L2 F' R U' F2
F2 R' L2 F' R2 U' F2
L' U' B L B' U2 L'
R U2 L' D' B R' U
F' R' F' L2 R U' F
F' R' F' R L2 U' F
F' R' F' R U B' U2
F2 R' F' L2 R2 U' F
F2 R' F' R2 L2 U' F
F2 R' F' R2 U B' U2
R U2 B L' U D2 F2
R U2 B L' U' B2 U2
R U2 B L' D' R2 U
R U2 B L' D2 U F2
R U2 B D' L' R2 U
R U2 B D' R2 L' U
R U2 B D2 L' U F2
D' U B' U L' B' U
D2 U B' U L' B' U
F U F B' U2 R B
D U B' U L' B' U
F U F' B' L' U2 B'
U D B' U L' B' U
F U B' L F U2 R
F U B' L' U2 B' R'
F U B' F U2 R B
F U B' F' L' U2 B'
U D' B' U L' B' U
U D2 B' U L' B' U
U F' D' B' L' F U2
U F' B' D' L' F U2
R2 F2 L2 R F' U' F2
R' F2 R F L2 U' F
R' F2 R F U B' U2
R2 F2 R L2 F' U' F2
R2 F2 R F' L2 U' F
R2 F2 R F' U B' U2
U2 B L' D' R2 B' U
U2 B L' D' B' R2 U
U2 B L' D2 B' U F2
U2 B L' B' U' B' U2
U2 B D' L' R2 B' U
U2 B D' L' B' R2 U
U2 B D' R2 L' B' U
U2 B D2 L' B' U F2
U2 B' L' B' R2 U F'
U2 B' L' B' U' B U2
U B' U L' D B' U
U B' U L' D' B' U
U B' U L' D2 B' U
U B' U L' B' U D
U B' U L' B' U D'
U B' U L' B' U D2
U B' U L' B' D U
U B' U L' B' D' U
U B' U L' B' D2 U
U B' U D L' B' U
U B' U D' L' B' U
U B' U D2 L' B' U
U B' U B L' B' U
U B' U B' L' B' U
U B' U B2 L' B' U
U B' D U L' B' U
U B' D' U L' B' U
U B' D2 U L' B' U
U B' F' D' L' F U2
U2 B2 L' R2 B' U F'
U2 B2 L' B' U D2 F2
U2 B2 L' B' U' B2 U2
U2 B2 L' B' D' R2 U
U2 B2 L' B' D2 U F2
L2 B2 R' F' B2 U' F2
L2 B2 R' B2 F' U' F2
U2 B2 R2 L' B' U F'
