B' L U F L U R'
U L2 R B U F L
U2 L2 R' F' U F2 R
U2 L2 F2 U F' L' R
U2 L2 F2 U F' R L'
U L2 B U F L R
U L2 B U F R L
U R L2 B U F L
U2 R' L2 F' U F2 R
L2 D B' U R' F L'
L2 D B' U F L' R'
L2 D B' U F R' L'
L2 D' B' U R' F L
L2 D' B' U F L R'
L2 D' B' U F R' L
B' U2 R' U' L2 F' U
B' U2 R' U' F' L2 U
L F L B' U R' F
L F L B' U F R'
B2 D2 R2 U' F' L' R
B2 D2 R2 U' F' R L'
L2 B' U R' D F L'
L2 B' U D R' F L'
L2 B' U D F L' R'
L2 B' U D F R' L'
L' B' U2 L' U R' F
L' B' U2 L' U F R'
L2 B' D U R' F L'
L2 B' D U F L' R'
L2 B' D U F R' L'
