B' R D' L2 R F2
B' R D' R L2 F2
B' R D' R F2 L2
F2 R' U R' F' B'
F2 R' U R' B' F'
B' R2 U' R F2 U
F2 U R' F' R' B'
F2 U B' R' F' R'
B' U' R' F2 U R'
B' U' F2 R' U R'
R' F2 U R' F' B'
R' F2 U R' B' F'
R B' R D' L2 F2
R B' R D' F2 L2
R2 B' U' R' F2 U
R2 B' U' F2 R' U
B' L R D' L2 R F2
B' L R D' R L2 F2
B' L R D' R F2 L2
B' L R2 U' R F2 U
B' L U' R' F2 U R'
B L U' R2 B2 D' L2
B' L U' F2 R' U R'
B L U' B2 R2 D' L2
B L U2 F2 U R2 B2
B L U2 F2 U B2 R2
B L D' R2 F2 U' L2
B L D' F2 R2 U' L2
B' L' R D' L2 R F2
B' L' R D' R L2 F2
B' L' R D' R F2 L2
B' L' R2 U' R F2 U
B' L' U' R' F2 U R'
B' L' U' F2 R' U R'
B' L2 R D' L2 R F2
B' L2 R D' R L2 F2
B' L2 R D' R F2 L2
B' L2 R2 U' R F2 U
B' L2 U' R' F2 U R'
B' L2 U' F2 R' U R'
B L2 F2 R U R B2
B L2 F2 R U B2 R
R' U R' D' F' B' L2
R' U R' D' B' L2 F'
R' U R' D' B' F' L2
R' U R' B' D' L2 F'
R' U R' B' D' F' L2
R' U D' R' F' B' L2
R' U D' R' B' L2 F'
R' U D' R' B' F' L2
B' R L D' L2 R F2
B' R L D' R L2 F2
B' R L D' R F2 L2
B' R L' D' L2 R F2
B' R L' D' R L2 F2
B' R L' D' R F2 L2
B' R L2 D' L2 R F2
B' R L2 D' R L2 F2
B' R L2 D' R F2 L2
F2 R U R B' D2 F2
F2 R U R' F' R2 B'
F2 R U R' F' B' R2
F2 R U R' B' F' R2
F2 R U B' R' F' R2
B' R U' R2 F2 U R'
B' R D R D2 F2 L'
B' R D' L R F2 L
B' R D' L2 R F2 D
B' R D' L2 R F2 D'
B' R D' L2 R F2 D2
B' R D' L2 R' F2 R2
B' R D' L2 R2 F2 R'
B' R D' R L F2 L
B' R D' R L2 F2 D
B' R D' R L2 F2 D'
B' R D' R L2 F2 D2
B' R D' R F' L2 F'
B' R D' R F2 L2 D
B' R D' R F2 L2 D'
B' R D' R F2 L2 D2
B' R D' R' L2 F2 R2
B' R D' R' F2 L2 R2
B' R D' R' F2 R2 L2
B' R D' R2 L2 F2 R'
B' R D' R2 F2 L2 R'
B' R D' R2 F2 R' L2
B' R D2 R D L2 F2
B' R D2 R D F2 L2
B R B2 R D' L2 F2
B R B2 R D' F2 L2
F2 R' U R' D F' B'
F2 R' U R' D B' F'
F2 R' U R' D' F' B'
F2 R' U R' D' B' F'
F2 R' U R' D2 F' B'
F2 R' U R' D2 B' F'
F2 R' U R' F' D B'
F2 R' U R' F' D' B'
F2 R' U R' F' D2 B'
F2 R' U R' F' B' D
F2 R' U R' F' B' D'
F2 R' U R' F' B' D2
F2 R' U R' B' D F'
F2 R' U R' B' D' F'
F2 R' U R' B' D2 F'
F2 R' U R' B' F' D
F2 R' U R' B' F' D'
F2 R' U R' B' F' D2
F2 R' U R2 B' R F'
F2 R' U D R' F' B'
F2 R' U D R' B' F'
F2 R' U D' R' F' B'
F2 R' U D' R' B' F'
F2 R' U D2 R' F' B'
F2 R' U D2 R' B' F'
F2 R' U F R' F' B'
F2 R' U F R' B' F'
F2 R' U F' R' F' B'
F2 R' U F' R' B' F'
F2 R' U F2 R' F' B'
F2 R' U F2 R' B' F'
F2 R' D U R' F' B'
F2 R' D U R' B' F'
F2 R' D' U R' F' B'
F2 R' D' U R' B' F'
U R' D' F' R' B' L2
F2 R' D2 U R' F' B'
F2 R' D2 U R' B' F'
F R' F U R' F' B'
F R' F U R' B' F'
U R' F' R' D B' L
B' R' F2 B' U B R'
B' R' F2 B2 U B2 R'
U R' F2 U R' F B'
U R' F2 U R' B' F
U R' F2 U F R' B'
B' R' B' F2 U B R'
B' R' B2 F2 U B2 R'
B' R2 L U' R F2 U
B' R2 L' U' R F2 U
B' R2 L2 U' R F2 U
B' R2 U' R U D' L2
B' R2 U' R D' U L2
B' R2 U' R F2 U D
B' R2 U' R F2 U D'
B' R2 U' R F2 U D2
B' R2 U' R F2 D U
B' R2 U' R F2 D' U
B' R2 U' R F2 D2 U
B' R2 U' R' F2 R2 U
B' R2 U' R2 F2 R' U
B' R2 U' D' R U L2
B' R2 U' F2 U2 L' U'
B' R2 D' L2 U' R U
B' R2 D' U' R U L2
U' R2 D' B' L F L
B' R2 F2 U L' U' L
U' R2 B' L D' F L2
U' R2 B' L' D' L2 F
F' R2 B' U B2 L U'
U' R2 B' D' L F L
F R2 B' U' R' F U
F R2 B' U' F R' U
B R2 B2 U' R' F2 U
B R2 B2 U' F2 R' U
F2 U R B' R D2 F2
F2 U R B' D2 R F2
B' U R' F2 L' U R'
F2 U R' D F' R' B'
F2 U R' D' F' R' B'
F2 U R' D2 F' R' B'
F2 U R' F R' F2 B'
F2 U R' F R' B' F2
F2 U R' F' R B' R2
F2 U R' F' R' D B'
F2 U R' F' R' D' B'
F2 U R' F' R' D2 B'
F2 U R' F' R' B' D
F2 U R' F' R' B' D'
F2 U R' F' R' B' D2
F2 U R' F' R2 B' R
F2 U R' F' D R' B'
F2 U R' F' D' R' B'
F2 U R' F' D2 R' B'
F2 U R' F2 R' F B'
F2 U R' F2 R' B' F
F2 U R' B' D2 F' R
F2 U R2 B' R F' R'
R D B' R D' F2 L'
F2 U F R' F' R' B'
F2 U F B' R' F' R'
F2 U F' R' F' R' B'
F2 U F' B' R' F' R'
F2 U F2 R' F' R' B'
F2 U F2 B' R' F' R'
F2 U B R' F' R' B2
R' D' U R' F' B' L2
R' D' U R' B' L2 F'
R' D' U R' B' F' L2
F2 U B' R' D F' R'
F2 U B' R' D' F' R'
F2 U B' R' D2 F' R'
F2 U B' R' F R' F2
F2 U B' R' F' R' D
F2 U B' R' F' R' D'
F2 U B' R' F' R' D2
F2 U B' R' F' D R'
F2 U B' R' F' D' R'
F2 U B' R' F' D2 R'
F2 U B' R' F2 R' F
F2 U B' F R' F' R'
F2 U B' F' R' F' R'
F2 U B' F2 R' F' R'
B' U' R' U R' D' L2
B' U' R' U D' L2 R'
B' U' R' U D' R' L2
B' U' R' D' U L2 R'
B' U' R' D' U R' L2
B' U' R' F2 U R' D
B' U' R' F2 U R' D'
B' U' R' F2 U R' D2
B' U' R' F2 U D R'
B' U' R' F2 U D' R'
B' U' R' F2 U D2 R'
B' U' R' F2 D U R'
B' U' R' F2 D' U R'
B' U' R' F2 D2 U R'
R2 D' B' L2 U' R' U
R2 D' B' U' R' U L2
B' U' D R' B2 U L
R D' B' L2 R D' F2
R D' B' R L2 D' F2
B' U' F R' F U R'
B' U' F2 R' U R' D
B' U' F2 R' U R' D'
B' U' F2 R' U R' D2
B' U' F2 R' U D R'
B' U' F2 R' U D' R'
B' U' F2 R' U D2 R'
B' U' F2 R' D U R'
B' U' F2 R' D' U R'
B' U' F2 R' D2 U R'
B' U' F2 D R' B2 U
F2 U2 R' U' R' F' B'
F2 U2 R' U' R' B' F'
F U2 F R U R B'
F U2 F R U B' R
B' D R D' F2 L' R2
B' D R D' F2 R2 L'
B' D R' B2 U L B2
R2 F B' U' R' F U
R2 F B' U' F R' U
B' D U' R' B2 U L
F2 D B' R' B' U B
B D' L R2 F2 U' L
B D' L F2 R2 U' L
B D' R2 L F2 U' L
R2 F' B' U' F' R' U
B D' R2 F2 L U' L
R2 F2 R U R' F' B'
R2 F2 R U R' B' F'
B D' F2 L R2 U' L
L2 F2 R' U R' F' B
L2 F2 R' U R' B F'
B D' F2 R2 L U' L
R' F2 U R' D F' B'
R' F2 U R' D B' F'
U F2 R' U F' R' B'
R' F2 U R' D' F' B'
R' F2 U R' D' B' F'
R' F2 U R' D2 F' B'
R' F2 U R' D2 B' F'
R' F2 U R' F' D B'
R' F2 U R' F' D' B'
R' F2 U R' F' D2 B'
R' F2 U R' F' B' D
R' F2 U R' F' B' D'
R' F2 U R' F' B' D2
R' F2 U R' B' D F'
R' F2 U R' B' D' F'
R' F2 U R' B' D2 F'
R' F2 U R' B' F' D
R' F2 U R' B' F' D'
R' F2 U R' B' F' D2
R' F2 U R2 B' R F'
R' F2 U D R' F' B'
R' F2 U D R' B' F'
R' F2 U D' R' F' B'
R' F2 U D' R' B' F'
R' F2 U D2 R' F' B'
R' F2 U D2 R' B' F'
R' F2 U F R' F' B'
R' F2 U F R' B' F'
R' F2 U F' R' F' B'
R' F2 U F' R' B' F'
R' F2 U F2 R' F' B'
R' F2 U F2 R' B' F'
L2 F2 U R' F' R' B
D' F2 U' B' L F L
R' F2 D U R' F' B'
R' F2 D U R' B' F'
R' F2 D' U R' F' B'
R' F2 D' U R' B' F'
R' F2 D2 U R' F' B'
R' F2 D2 U R' B' F'
D' F2 B L U' L B2
L2 F2 B' R' U R' B
D' B L F2 U' L B2
D2 B L B U' B R'
B' D2 B2 L U' B2 R'
B' F R2 U' R F U
D' B F2 L U' L B2
U' B' L R2 D' F L2
B' F U' R' F U R'
B' F U' F R' U R'
U' B' L' R2 D' L2 F
F2 B U2 L U' R2 B2
F2 B U2 L U' B2 R2
R2 B' L U' R' F2 U
R2 B' L U' F2 R' U
R2 B' L' U' R' F2 U
R2 B' L' U' F2 R' U
R B' L R D' L2 F2
R B' L R D' F2 L2
F2 B D B2 L2 R' U
F2 B D B2 R' L2 U
R2 B' L2 U' R' F2 U
R2 B' L2 U' F2 R' U
R B' L' R D' L2 F2
R B' L' R D' F2 L2
U' B' R2 L D' F L2
R B' L2 R D' L2 F2
R B' L2 R D' F2 L2
U' B' R2 L' D' L2 F
R2 B' R D' L2 R' F2
R2 B' R D' L2 F2 R'
R2 B' R D' R' L2 F2
R2 B' R D' R' F2 L2
R2 B' R D' F2 L2 R'
R2 B' R D' F2 R' L2
U' B' R2 D' L F L
R B' R L D' L2 F2
R B' R L D' F2 L2
R B' R L' D' L2 F2
R B' R L' D' F2 L2
R B' R L2 D' L2 F2
R B' R L2 D' F2 L2
