F2 U F R U' L'
F' L' F' U F R U'
D' L2 F' R U' L' B
D' L2 F' R U' B L'
F2 R U F U' L' B
F2 R U F U' B L'
F' R U' B L' D F2
F R U' F2 U' F' B
F R U' F2 U' B F'
F R U2 D F B R2
F R U2 D B R2 F
F R U2 D B F R2
F R U2 B D R2 F
F R U2 B D F R2
F R D U2 F B R2
F R D U2 B R2 F
F R D U2 B F R2
F R D' L2 B' U2 B2
F2 R F U' L' F' B
F2 R F U' L' B F'
F2 R F U' B L' F'
F2 R B U F U' L'
F2 U R F R U' L'
F2 U R' F R U' L'
F2 U R2 F R U' L'
F2 U F R U' L' D
F2 U F R U' L' D'
F2 U F R U' L' D2
F2 U F R U' D L'
F2 U F R U' D' L'
F2 U F R U' D2 L'
F2 U F R D U' L'
F2 U F R D' U' L'
F2 U F R D2 U' L'
F2 U F R B U' L'
F2 U F R B' U' L'
F2 U F R B2 U' L'
F2 U F D R U' L'
F2 U F D' R U' L'
F2 U F D2 R U' L'
F2 U F B R U' L'
F2 U F B' R U' L'
F2 U F B2 R U' L'
F2 U B F R U' L'
F2 U B' F R U' L'
F2 U B2 F R U' L'
F' U' B L' D' F' B2
F' U' B L' D' B2 F'
F' U' B L' F' D' B2
F U' F2 U' L' F' B'
F U' F2 U' L' B' F'
F' U2 L U L2 F' B'
F' U2 L U L2 B' F'
F' U2 L2 U L F' B'
F' U2 L2 U L B' F'
F' U2 L2 U F' L B'
U F R F2 U' F' L'
F D R U2 B R F
D' F' L2 R U' L B
D' F' R L2 U' L B
R' F' U2 L' D' F' R
R' F' U2 D' L' F' R
U F' U2 L' U F' L'
R' F' D' U2 L' F' R
F D' L2 R B' U2 B2
F D' L2 B' R U2 B
F D' R L2 B' U2 B2
L' F2 U F R U' L'
L2 F2 U F R U' L'
L F2 U F R U' L'
F2 B U F R U' L'
F2 B' U F R U' L'
B' F2 U F R U' L'
B2 F2 U F R U' L'
F2 B2 U F R U' L'
B F2 U F R U' L'
