B2 L U B' L' F'
F' L D' R2 B' L'
F' L D' B' L' R2
F' L D' B' R2 L'
U' L B2 U F' B
U' L B2 U B F'
F' U' L B2 U B
L D' B' L' F' R2
F' U' B2 L U B'
D2 F' R' D B R'
D' F' R' D' R' B
D' F' R' D' R' B
F' D' R' D' R' B
F' D2 R D R2 B
F' D2 R' D B R2
F' D2 R' B D R2
L B' L' D F' R
U' B2 L U F' B'
U' B2 L U B' F'
L B2 U L' F' B
L B2 U L' B F'
L B2 U B L' F'
F' L R D' R2 B' L'
F' L R D' B' L' R2
F' L R D' B' R2 L'
F' L R' D' R2 B' L'
F' L R' D' B' L' R2
F' L R' D' B' R2 L'
F' L R2 D' R2 B' L'
F' L R2 D' B' L' R2
F' L R2 D' B' R2 L'
B2 L U D B' L' F'
U' L U D' F' R2 B'
U' L U D' F' B' R2
U' L U D' B' F' R2
B2 L U D' B' L' F'
B2 L U D2 B' L' F'
U' L U F' D' R2 B'
U' L U F' D' B' R2
B2 L U F' D2 B' L
B' L U B' L' F' R'
B2 L U B L' F' B2
B2 L U B L' B2 F'
B2 L U B' L F' L2
B2 L U B' L' D F'
B2 L U B' L' D' F'
B2 L U B' L' D2 F'
B2 L U B' L' F' D
B2 L U B' L' F' D'
B2 L U B' L' F' D2
B2 L U B' L2 F' L
B2 L U B' D L' F'
B2 L U B' D' L' F'
B2 L U B' D2 L' F'
B2 L U B2 L' F' B
B2 L U B2 L' B F'
U2 L U B2 U F' B
U2 L U B2 U B F'
U L U' D' F' R2 B'
U L U' D' F' B' R2
U L U' D' B' F' R2
F' L U' B2 U L' B
F' L U' B2 U B L'
U L U' F' D' R2 B'
U L U' F' D' B' R2
R2 L D' R2 B' L' F'
U2 L U2 D' F' R2 B'
U2 L U2 D' F' B' R2
U2 L U2 D' B' F' R2
U2 L U2 F' D' R2 B'
U2 L U2 F' D' B' R2
U L U2 B2 U F' B
U L U2 B2 U B F'
U2 L D L2 F U2 F2
B2 L D U B' L' F'
F' L D B' D2 L' R2
F' L D B' D2 R2 L'
F' L D' R B' L' R
F' L D' R B' R L'
F' L D' R2 D B' L'
F' L D' R2 D' B' L'
F' L D' R2 D2 B' L'
F' L D' R2 B L' B2
F' L D' R2 B' L' D
F' L D' R2 B' L' D'
F' L D' R2 B' L' D2
F' L D' R2 B' D L'
F' L D' R2 B' D' L'
F' L D' R2 B' D2 L'
F' L D' R2 B2 L' B
U' L D' U F' R2 B'
U' L D' U F' B' R2
U' L D' U B' F' R2
B2 L D' U B' L' F'
U2 L D' U2 F' R2 B'
U2 L D' U2 F' B' R2
U2 L D' U2 B' F' R2
U L D' U' F' R2 B'
U L D' U' F' B' R2
U L D' U' B' F' R2
F' L D' B L' R2 B2
F' L D' B L' B2 R2
F' L D' B R2 L' B2
F' L D' B R2 B2 L'
F' L D' B' L' R2 D
F' L D' B' L' R2 D'
F' L D' B' L' R2 D2
F' L D' B' R2 L' D
F' L D' B' R2 L' D'
F' L D' B' R2 L' D2
F' L D' B' R2 D L'
F' L D' B' R2 D' L'
F' L D' B' R2 D2 L'
F' L D' B2 L' B R2
B2 L D2 U B' L' F'
F' L D2 B' L' D R2
F' L D2 B' D L' R2
F' L D2 B' D R2 L'
U L D2 F2 U' F B'
U L D2 F2 U' B' F
B L B U L' F' B2
B L B U L' B2 F'
B L B U B2 L' F'
B L B' L' D' F' R2
B L B' L' F' D' R2
F' L B' U' B' U L'
B L B' D' L' F' R2
