F2 L B2 L2 U F
F2 L' R2 B2 U F'
F2 L' U D' R2 F'
F2 L' D' U R2 F'
B2 L' F2 L' U F
F2 L' B2 U' B' U2
B2 L2 F2 L' U F'
D' R U' L2 R F'
D' R U' R L2 F'
D' R U' R F' L2
F2 R2 L' B2 U F'
F2 R2 B2 L' U F'
B U F2 L' B U
B U F2 B L' U
B U B F2 L' U
F2 D' L' U R2 F'
R2 B2 L F2 U F
D' L R U' L R F'
D' L R U' R L F'
D' L R U' R F' L
F2 L R2 B2 L2 U F'
F2 L U D' R2 F' B2
F2 L U D' R2 B2 F'
B L U F2 L' B U
B L U F2 B L' U
B L U B F2 L' U
F2 L D' U R2 F' B2
F2 L D' U R2 B2 F'
B2 L F2 L' U' B' U2
R2 L B2 L F2 U F
F2 L B2 L2 R U F
F2 L B2 L2 R' U F
F2 L B2 L2 R2 U F
F2 L B2 L2 U D F
F2 L B2 L2 U D' F
F2 L B2 L2 U D2 F
F2 L B2 L2 U F D
F2 L B2 L2 U F D'
F2 L B2 L2 U F D2
F2 L B2 L2 D U F
F2 L B2 L2 D' U F
F2 L B2 L2 D2 U F
F2 L B2 R L2 U F
F2 L B2 R' L2 U F
F2 L B2 R2 L2 U F
D' L' R U' L' R F'
D' L' R U' R L' F'
F2 L' R B2 R U F'
F2 L' R' B2 R' U F'
F2 L' R2 U D' F' R2
F2 L' R2 U F' D' R2
F2 L' R2 D' U F' R2
F2 L' R2 B2 U D F'
F2 L' R2 B2 U D' F'
F2 L' R2 B2 U D2 F'
F2 L' R2 B2 U F' D
F2 L' R2 B2 U F' D'
F2 L' R2 B2 U F' D2
F2 L' R2 B2 D U F'
F2 L' R2 B2 D' U F'
F2 L' R2 B2 D2 U F'
F2 L' U R2 D' F' R2
F2 L' U R2 F' D' R2
F2 L' U D' R2 D F'
F2 L' U D' R2 D' F'
F2 L' U D' R2 D2 F'
F2 L' U D' R2 F' D
F2 L' U D' R2 F' D'
F2 L' U D' R2 F' D2
F2 L' U D' F R2 F'
F2 L' U D' F' R2 F'
F2 L' U D' F2 R2 F'
F2 L' U F D' R2 F'
F2 L' U F' D' R2 F'
F2 L' U F2 D' R2 F'
B L' U F2 L' B U
B L' U F2 B L' U
B L' U B F2 L' U
F2 L' U' D L2 B U2
F2 L' U' D B L2 U2
F2 L' U' D' B U2 R2
F2 L' U' B U B U
F2 L' D U' L2 B U2
F2 L' D U' B L2 U2
F2 L' D' R U R F'
F2 L' D' U R2 D F'
F2 L' D' U R2 D' F'
F2 L' D' U R2 D2 F'
F2 L' D' U R2 F' D
F2 L' D' U R2 F' D'
F2 L' D' U R2 F' D2
F2 L' D' U F R2 F'
F2 L' D' U F' R2 F'
F2 L' D' U F2 R2 F'
F2 L' D' U' B U2 R2
R2 L' B2 L F2 U F
B2 L' F2 L' R U F
B2 L' F2 L' R' U F
B2 L' F2 L' R2 U F
B2 L' F2 L' U D F
B2 L' F2 L' U D' F
B2 L' F2 L' U D2 F
B2 L' F2 L' U F D
B2 L' F2 L' U F D'
B2 L' F2 L' U F D2
B2 L' F2 L' D U F
B2 L' F2 L' D' U F
B2 L' F2 L' D2 U F
B2 L' F2 R L' U F
B2 L' F2 R' L' U F
B2 L' F2 R2 L' U F
F2 L' B' D' R2 B' U
F2 L' B' D' B' R2 U
F2 L' B' D2 B' U F2
F2 L' B2 R U' B' U2
F2 L' B2 R' U' B' U2
F2 L' B2 R2 U' B' U2
F2 L' B2 U L2 F L2
F2 L' B2 U' D B' U2
F2 L' B2 U' D' B' U2
F2 L' B2 U' D2 B' U2
F2 L' B2 U' B' U2 D
F2 L' B2 U' B' U2 D'
F2 L' B2 U' B' U2 D2
F2 L' B2 U' B' D U2
F2 L' B2 U' B' D' U2
F2 L' B2 U' B' D2 U2
F2 L' B2 U2 L2 U' F
F2 L' B2 D U' B' U2
F2 L' B2 D' U' B' U2
F2 L' B2 D2 U' B' U2
D' L2 R' D R' F' B2
D' L2 R' D R' B2 F'
D' L2 R2 F' U R' U'
D' L2 U R U' R F'
B L2 U F2 L' B U
B L2 U F2 B L' U
B L2 U B F2 L' U
L' R2 B2 L F2 U F
L2 R2 B2 L F2 U F
R2 L2 B2 L F2 U F
L R2 B2 L F2 U F
F2 L2 D' L U R2 F'
B2 L2 F2 L' U D F'
B2 L2 F2 L' U D' F'
B2 L2 F2 L' U D2 F'
B2 L2 F2 L' U F' D
B2 L2 F2 L' U F' D'
B2 L2 F2 L' U F' D2
B2 L2 F2 L' D U F'
B2 L2 F2 L' D' U F'
B2 L2 F2 L' D2 U F'
B2 L2 F2 D L' U F'
B2 L2 F2 D' L' U F'
B2 L2 F2 D2 L' U F'
D L2 B R2 U' R' U'
D' R L U' L R F'
D' R L U' R L F'
D' R L U' R F' L
D' R L' U' L' R F'
D' R L' U' R L' F'
F2 R L' B2 R U F'
D' R U R F' L2 B'
D R U L2 R U2 F'
D R U R L2 U2 F'
D' R U' L R F' L
D' R U' L2 R D F'
D' R U' L2 R D' F'
D' R U' L2 R D2 F'
D' R U' L2 R F' D
D' R U' L2 R F' D'
D' R U' L2 R F' D2
D' R U' R L F' L
D' R U' R L2 D F'
D' R U' R L2 D' F'
D' R U' R L2 D2 F'
D' R U' R L2 F' D
D' R U' R L2 F' D'
D' R U' R L2 F' D2
D' R U' R F L2 F2
D' R U' R F' L2 D
D' R U' R F' L2 D'
D' R U' R F' L2 D2
R2 U B2 L F2 U F
B2 R F2 U' B' U2 B
R U' R D' L2 F' R2
R U' R D' F' L2 R2
R U' R D' F' R2 L2
D' R B U' L2 R F'
D' R B U' R L2 F'
D' R B U' R F' L2
R U' R' D' L2 R2 F'
R U' R' D' R2 L2 F'
R U' R' D' R2 F' L2
D' R B' U' L2 R F'
D' R B' U' R L2 F'
D' R B' U' R F' L2
F2 R B2 L' R U F'
D' R B2 U' L2 R F'
D' R B2 U' R L2 F'
D' R B2 U' R F' L2
F2 R B2 R L' U F'
F2 R B2 D2 L' U F
D' R' L2 D R' F' B2
D' R' L2 D R' B2 F'
F2 R' L' B2 R' U F'
R2 U' B2 L F2 U F
B2 R' F2 D2 L2 U F
R U2 R F2 B2 U F
R U2 R B2 F2 U F
F2 R' B2 L' R' U F'
F2 R' B2 R' L' U F'
F2 R2 L B2 L2 U F'
F2 R2 L' U D' F' R2
F2 R2 L' U F' D' R2
F2 R2 L' D' U F' R2
F2 R2 L' B2 U D F'
F2 R2 L' B2 U D' F'
F2 R2 L' B2 U D2 F'
F2 R2 L' B2 U F' D
F2 R2 L' B2 U F' D'
F2 R2 L' B2 U F' D2
F2 R2 L' B2 D U F'
F2 R2 L' B2 D' U F'
F2 R2 L' B2 D2 U F'
D' R2 L2 F' U R' U'
R U2 F2 R B2 U F'
R U2 F2 B2 R U F'
R2 U2 B2 L F2 U F
F2 R2 D' L' U F' R2
R U2 B2 R F2 U F
R U2 B2 F2 R U F'
D' R2 F' L2 U R' U'
F R2 F L' B2 U F2
D' R2 F' U R' U' L2
F R2 F B2 L' U F2
D2 R2 F2 R' B2 U' F
F2 R2 B L' B U F'
U' R2 B2 L F2 U F
F2 R2 B2 L' U D F'
F2 R2 B2 L' U D' F'
F2 R2 B2 L' U D2 F'
F2 R2 B2 L' U F' D
F2 R2 B2 L' U F' D'
F2 R2 B2 L' U F' D2
F2 R2 B2 L' D U F'
F2 R2 B2 L' D' U F'
F2 R2 B2 L' D2 U F'
U2 R2 B2 L F2 U F
F2 R2 B2 D L' U F'
F2 R2 B2 D' L' U F'
F2 R2 B2 D2 L' U F'
U R2 B2 L F2 U F
F R2 B2 F L' U F2
B U L F2 L' B U
B U L F2 B L' U
B U L B F2 L' U
B U L' F2 L' B U
B U L' F2 B L' U
B U L' B F2 L' U
D' U R U' L2 R F'
D' U R U' R L2 F'
D' U R U' R F' L2
B U L2 F2 L' B U
B U L2 F2 B L' U
B U L2 B F2 L' U
L' D' R U' L2 R F'
L' D' R U' R L2 F'
L' D' R U' R F' L2
L2 D' R U' L2 R F'
L2 D' R U' R L2 F'
