B L R2 D F L2
B L R2 F D L2
B' L U' R2 F B2
B' L U' R2 B2 F
B' L U' F R2 B2
B' L U' F B2 R2
B' L U' B2 R2 F
B' L U' B2 F R2
B L F R2 D L2
B L' R2 D L2 F
B' L' U' B2 R2 F'
L U F B L R2
L U F B R2 L
L U B R2 F L
L U B F L R2
L U B F R2 L
B R2 L D F L2
B R2 L D F L2
B R2 L F D L2
B R2 L' D L2 F
B R2 D L F L
B' L R U' R F B2
B' L R U' R B2 F
B' L R U' B2 R F
B L R D R F L2
B' L R' U' R' F B2
B' L R' U' R' B2 F
B' L R' U' F R' B2
B L R' D R' F L2
B L R' D F L2 R'
B L R' D F R' L2
B L R' F R' D L2
B L R' F D L2 R'
B L R' F D R' L2
B L R2 U B2 U' F
B L R2 D F L2 D
B L R2 D F L2 D'
B L R2 D F L2 D2
B L R2 D F' L2 F2
B L R2 D F2 L2 F'
B' L R2 F B2 D L2
B L R2 D' F D2 L2
B L R2 F L D L2
B L R2 F L' D L2
B L R2 F L2 D L2
B L R2 F U B2 U'
B L R2 F D L2 D
B L R2 F D L2 D'
B L R2 F D L2 D2
B L R2 F2 D L2 F'
B L R2 F2 D F' L2
B' L R2 B2 D F L2
B' L R2 B2 F D L2
F' L U F B L R2
F' L U F B R2 L
F2 L U F B L R2
F2 L U F B R2 L
F' L U B R2 F L
F L U F B L R2
F L U F B R2 L
F' L U B F L R2
F' L U B F R2 L
U' L U B L R2 F
U' L U B L F R2
U' L U B R2 L F
F2 L U B R2 F L
F2 L U B F L R2
F2 L U B F R2 L
F L U B R2 F L
F L U B F L R2
F L U B F R2 L
B L U B2 U' R2 F
B L U B2 U' F R2
B' L U' R B2 R F
B' L U' R' F R' B2
B' L U' R2 F B2 D
B' L U' R2 F B2 D'
B' L U' R2 F B2 D2
B' L U' R2 B2 D F
B' L U' R2 B2 D' F
B' L U' R2 B2 D2 F
B' L U' R2 B2 F D
B' L U' R2 B2 F D'
B' L U' R2 B2 F D2
B' L U' F R B2 R
B' L U' F R2 B2 D
B' L U' F R2 B2 D'
B' L U' F R2 B2 D2
B' L U' F B' R2 B'
B' L U' F B2 R2 D
B' L U' F B2 R2 D'
B' L U' F B2 R2 D2
B' L U' F' R2 F2 B2
B' L U' F' R2 B2 F2
B' L U' F' B2 R2 F2
B' L U' B' R2 F B'
B' L U' B' R2 B' F
B' L U' B' F R2 B'
B' L U' B2 R' F R'
B' L U' B2 R2 D F
B' L U' B2 R2 D' F
B' L U' B2 R2 D2 F
B' L U' B2 R2 F D
B' L U' B2 R2 F D'
B' L U' B2 R2 F D2
B' L U' B2 F R2 D
B' L U' B2 F R2 D'
B' L U' B2 F R2 D2
B' L U' B2 F' R2 F2
B L D F L2 D' R2
B' L D' R2 F2 U' F'
B L F L R2 D L2
B L F L' R2 D L2
B L F L2 R2 D L2
B L F R D L2 R
B L F R D R L2
B' L F R2 B2 D L2
B L F R' D L2 R'
B L F R' D R' L2
B L F R2 L D L2
B L F R2 L' D L2
B L F R2 L2 D L2
B L F R2 U B2 U'
B L F R2 D L2 D
B L F R2 D L2 D'
B L F R2 D L2 D2
B L F U B2 U' R2
B L F D L2 D' R2
B' L F B2 R2 D L2
B' L F' U' R2 F2 B2
B' L F' U' R2 B2 F2
B' L F' U' F2 R2 B2
B' L F' U' F2 B2 R2
B' L F' U' B2 R2 F2
B' L F' U' B2 F2 R2
B L F' R2 F2 D L2
D' L F2 U' F' L' B
D' L F2 U' F' B L'
D' L F2 U' B F' L'
B' L F2 U' F' R2 B2
B' L F2 U' F' B2 R2
B' L F2 U' B2 F' R2
B' L B2 R2 D F L2
B' L B2 R2 F D L2
B L B2 U' R2 F B2
B L B2 U' R2 B2 F
B L B2 U' F R2 B2
B L B2 U' F B2 R2
B L B2 U' B2 R2 F
B L B2 U' B2 F R2
B' L B2 F R2 D L2
B L' R D L2 R F
B L' R D R L2 F
B L' R' D L2 R' F
B L' R' D L2 F R'
B L' R' D R' L2 F
B L' R2 D L2 D F
B L' R2 D L2 D' F
B L' R2 D L2 D2 F
B L' R2 D L2 F D
B L' R2 D L2 F D'
B L' R2 D L2 F D2
B L' R2 D F L2 F
B L' R2 D F' L2 F
B L' R2 D F2 L2 F
B L' R2 F D L2 F
B L' R2 F' D L2 F
B L' R2 F2 D L2 F
B' L' U B' U2 R2 B'
B' L' U B' U2 B' R2
B L' U B2 U' R2 F'
B' L' U' F B2 R2 F'
B' L' U' F' B2 R2 F'
B' L' U' F2 B2 R2 F'
B' L' U' B2 R2 D F'
B' L' U' B2 R2 D' F'
B' L' U' B2 R2 D2 F'
B' L' U' B2 R2 F' D
B' L' U' B2 R2 F' D'
B' L' U' B2 R2 F' D2
B' L' U' B2 F R2 F'
B' L' U' B2 F' R2 F'
B' L' U' B2 F2 R2 F'
B L' D L2 D' R2 F
B L' D L2 D' F R2
B L' D L2 F D' R2
B' L' F U' B2 R2 F'
B L' F R2 D L2 F
B' L' F' U' B2 R2 F'
B L' F' R2 D L2 F
B' L' F2 U' B2 R2 F'
B L' F2 R2 D L2 F
B' L' B2 R2 D L2 F'
B' L' B2 R2 D F' L2
B' L' B2 R2 F' D L2
B L' B2 U' R2 F' B2
B L' B2 U' R2 B2 F'
L U L' B L R2 F
L U L' B L F R2
L U L' B R2 L F
B' R L U' R F B2
B' R L U' R B2 F
B' R L U' B2 R F
B R L D R F L2
B R L' D L2 R F
B R L' D R L2 F
L U F L B L R2
L U F L B R2 L
L U F L' B L R2
L U F L' B R2 L
L U F L2 B L R2
L U F L2 B R2 L
L U F B L R2 D
L U F B L R2 D'
L U F B L R2 D2
L U F B R2 L D
L U F B R2 L D'
L U F B R2 L D2
L U F B R2 D L
L U F B R2 D' L
L U F B R2 D2 L
L U F B2 R2 B' L
L U F' B L R2 F2
L U F' B L F2 R2
L U F' B R2 L F2
L U F' B R2 F2 L
L U F2 B L F' R2
L U B R' F L R'
L U B R' F R' L
L U B R2 D F L
L U B R2 D' F L
L U B R2 D2 F L
L U B R2 F L D
L U B R2 F L D'
L U B R2 F L D2
L U B R2 F D L
L U B R2 F D' L
L U B R2 F D2 L
L U B R2 F' L F2
L U B R2 F2 L F'
L U B F L R2 D
L U B F L R2 D'
L U B F L R2 D2
L U B F R2 L D
L U B F R2 L D'
L U B F R2 L D2
L U B F R2 D L
L U B F R2 D' L
L U B F R2 D2 L
L U B F' L R2 F2
L U B F' L F2 R2
L U B F' R2 L F2
L U B F' R2 F2 L
L U B F2 L F' R2
B2 R D R B' L F
B R D L R F L
B R D L2 D2 R F'
B R D R L F L
B2 R D B' L R F
B2 R D B' R L F
L U B2 R2 F B' L
L U B2 R2 B' F L
L U B2 F R2 B' L
B' R' L U' R' F B2
B' R' L U' R' B2 F
B' R' L U' F R' B2
B R' L D R' F L2
B R' L D F L2 R'
B R' L D F R' L2
B R' L F R' D L2
B R' L F D L2 R'
B R' L F D R' L2
B R' L' D L2 R' F
B R' L' D L2 F R'
B R' L' D R' L2 F
L U' F B' R2 B2 L
L U' F' L' F2 B R2
L U' F' L' B R2 F2
L U' F' L' B F2 R2
L U' F' B L' R2 F2
L U' F' B L' F2 R2
L U' F' B R2 L' F2
L U' B R2 F' L' F2
L U' B F' L' R2 F2
L U' B F' L' F2 R2
L U' B F' R2 L' F2
B R' D L R' F L
B R' D L F L R'
B R' D L F R' L
B R' D R' L F L
L U' B' F R2 B2 L
B' R2 L F B2 D L2
B R2 L U B2 U' F
B' R2 L B2 D F L2
B' R2 L B2 F D L2
B R2 L D F L2 D
B R2 L D F L2 D'
B R2 L D F L2 D2
B R2 L D F' L2 F2
B R2 L D F2 L2 F'
B R2 L D' F D2 L2
B R2 L F L D L2
B R2 L F L' D L2
B R2 L F L2 D L2
B R2 L F U B2 U'
B R2 L F D L2 D
B R2 L F D L2 D'
B R2 L F D L2 D2
B R2 L F2 D L2 F'
B R2 L F2 D F' L2
B R2 L' D L2 D F
B R2 L' D L2 D' F
B R2 L' D L2 D2 F
B R2 L' D L2 F D
B R2 L' D L2 F D'
B R2 L' D L2 F D2
B R2 L' D F L2 F
B R2 L' D F' L2 F
B R2 L' D F2 L2 F
B R2 L' F D L2 F
B R2 L' F' D L2 F
B R2 L' F2 D L2 F
B R2 U B L B U'
L U2 B R2 D' F L'
B R2 D L D F L
B R2 D L D' F L
B R2 D L D2 F L
B R2 D L F L D
B R2 D L F L D'
B R2 D L F L D2
B R2 D L F D L
B R2 D L F D' L
B R2 D L F D2 L
B R2 D L F' L F2
B R2 D L F2 L F'
B R2 D F L F L
B R2 D F' L F L
B R2 D F2 L F L
B R2 D' L D2 F L2
B R2 D' L F D2 L2
B R2 D' L' D2 L2 F
B R2 D2 L D' F L2
B R2 D2 L' D' L2 F
B R2 F L D F L2
B R2 F L F D L2
B R2 F L' D L2 F
B R2 F D L F L
B R2 F' L D F L2
B R2 F' L F D L2
B R2 F' L' D L2 F
B R2 F' D L F L
B R2 F2 L D F L2
B R2 F2 L F D L2
B R2 F2 L' D L2 F
B R2 F2 D L F L
B2 R2 B' L F D' L2
B' R2 B2 L D F L2
B' R2 B2 L F D L2
B' R2 B2 L' D L2 F
B' R2 B2 D L F L
B2 U B L U' R2 B2
B2 U B L U' B2 R2
B U B L B U' R2
L D' F2 U' F' L' B
L D' F2 U' F' B L'
L D' F2 U' B F' L'
B' U2 R' U F' R' B2
L2 F L' U F B R2
L2 F L' U B R2 F
L2 F L' U B F R2
L F L' B R2 D L2
B D L D' R2 F L
B D L D' F L R2
B D L D' F R2 L
B D L F L D' R2
B D L F D' L R2
B D L F D' R2 L
B' D' L R2 F2 U' F'
L F' U F2 B L R2
L F' U F2 B R2 L
L F' U B L R2 F2
L F' U B L F2 R2
L F' U B R2 L F2
L F' U B R2 F2 L
L F' U B F2 L R2
L F' U B F2 R2 L
B' D' R2 L F2 U' F'
U' F' B' L' U' R2 B2
U' F' B' L' U' B2 R2
B' D' R2 F2 L U' F
B' D' F2 L R2 U' F
B' D' F2 R2 L U' F
L F2 U F' B L R2
L F2 U F' B R2 L
L F2 U B L F' R2
L F2 U B F' L R2
L F2 U B F' R2 L
L F2 U' F' L' B R2
L F2 U' F' B L' R2
L F2 U' F' B R2 L'
L F2 U' B F' L' R2
L F2 U' B F' R2 L'
D' F2 B' L U' F B2
D' F2 B' L U' B2 F
D' B L D R2 F L2
D' B L D F L2 R2
D' B L D F R2 L2
D' B L' D L2 R2 F
D' B L' D L2 F R2
D' B L' D R2 L2 F
U B L B2 U' R2 B2
U B L B2 U' B2 R2
U B L' R2 D L2 F2
U B L' R2 D F2 L2
U2 B R' D L2 F' R'
U2 B R' D F' L2 R'
U2 B R' D F' R' L2
U2 B R' F' R' D L2
U2 B R' F' D L2 R'
U2 B R' F' D R' L2
U B R2 L' D L2 F2
U B R2 L' D F2 L2
U B R2 U L B2 U'
B' F L U' R2 F B2
B' F L U' R2 B2 F
B' F L U' F R2 B2
B' F L U' F B2 R2
B' F L U' B2 R2 F
B' F L U' B2 F R2
F' B L R2 D F L2
F' B L R2 F D L2
U B U L B2 U' R2
F2 B L R2 D F L2
F2 B L R2 F D L2
F' B L F R2 D L2
B' F L' U' B2 R2 F'
F2 B L F R2 D L2
F' B L' R2 D L2 F
B F L R2 D F L2
B F L R2 F D L2
D' B D L R2 F L
D' B D L F L R2
D' B D L F R2 L
F2 B L' R2 D L2 F
D' B D R2 L F L
B F L F R2 D L2
F B L R2 D F L2
F B L R2 F D L2
F B L F R2 D L2
B F L' R2 D L2 F
F B L' R2 D L2 F
F' B R2 L D F L2
F' B R2 L F D L2
F' B R2 L' D L2 F
F2 B R2 L D F L2
F2 B R2 L F D L2
F' B R2 D L F L
F2 B R2 L' D L2 F
F2 B R2 D L F L
B F R2 L D F L2
B F R2 L F D L2
B F R2 L' D L2 F
B F R2 D L F L
F B R2 L D F L2
F B R2 L F D L2
F B R2 L' D L2 F
D2 B' L U' F B2 R'
D2 B' L U' B2 R' F
D2 B' L U' B2 F R'
F B R2 D L F L
D' B' L F2 U' F' B2
D' B' L F2 U' B2 F'
D B' L U' F R B2
D B' L U' F B2 R
D B' L U' B2 F R
U' B' R' U' R' F' B2
U' B' R' U' R' B2 F'
B' F' L U' R2 F B2
B' F' L U' R2 B2 F
B' F' L U' F R2 B2
U2 B' R' U' F' R' B2
B' F' L U' F B2 R2
B' F' L U' B2 R2 F
B' F' L U' B2 F R2
F' B' L U' R2 F B2
F' B' L U' R2 B2 F
F' B' L U' F R2 B2
F' B' L U' F B2 R2
F' B' L U' B2 R2 F
F' B' L U' B2 F R2
F2 B' L U' R2 F B2
F2 B' L U' R2 B2 F
F2 B' L U' F R2 B2
F2 B' L U' F B2 R2
F2 B' L U' B2 R2 F
F2 B' L U' B2 F R2
B' F' L' U' B2 R2 F'
B F' L R2 D F L2
F' B' L' U' B2 R2 F'
B F' L R2 F D L2
F2 B' L' U' B2 R2 F'
U' B' U' R' F' R' B2
B F' L F R2 D L2
F B' L U' R2 F B2
F B' L U' R2 B2 F
F B' L U' F R2 B2
F B' L U' F B2 R2
F B' L U' B2 R2 F
F B' L U' B2 F R2
B F' L' R2 D L2 F
U' B' U' B2 R' F' R'
F B' L' U' B2 R2 F'
L B' U' F R2 B2 L
U B' U2 R' U R' B2
B F' R2 L D F L2
B F' R2 L F D L2
B F' R2 L' D L2 F
B F' R2 D L F L
U' B' F' L' U' R2 B2
U' B' F' L' U' B2 R2
U B' D' R2 F2 L' U'
D' B' F2 L U' F B2
D' B' F2 L U' B2 F
B' F2 L U' R2 F B2
B' F2 L U' R2 B2 F
B' F2 L U' F R2 B2
B' F2 L U' F B2 R2
B' F2 L U' B2 R2 F
B' F2 L U' B2 F R2
B' F2 L' U' B2 R2 F'
B F2 L R2 D F L2
B F2 L R2 F D L2
B F2 L F R2 D L2
B F2 L' R2 D L2 F
L' B2 R2 D' F' B' L
L' B2 R2 D' B' L F'
L' B2 R2 D' B' F' L
L' B2 R2 F' D' B' L
B F2 R2 L D F L2
B F2 R2 L F D L2
B F2 R2 L' D L2 F
B F2 R2 D L F L
