R2 L U' F L U2
L R2 U' F L U2
D' L' B2 U F2 B
D' L' B2 U B F2
L' U D' F2 R B'
L' U D' F2 B' R
L' U D' B' F2 R
L' U B' D' F2 R
R2 D' L' B2 U B
L' D' U F2 R B'
L' D' U F2 B' R
L' D' U B' F2 R
R2 D' B2 L' U B'
R2 D2 L' U R2 B'
R2 D2 L' U B' R2
D' B2 L' U F2 B'
D' B2 L' U B' F2
R2 L U' D F L U2
R2 L U' D' F L U2
R2 L U' D2 F L U2
R2 L U' F L U2 D
R2 L U' F L U2 D'
R2 L U' F L U2 D2
R2 L U' F L D U2
R2 L U' F L D' U2
R2 L U' F L D2 U2
R2 L U' F D L U2
R2 L U' F D' L U2
R2 L U' F D2 L U2
R2 L U' F' L F2 U2
B' L R2 U' F L U2
R2 L U' F2 L F' U2
B2 L R2 U' F L U2
B L R2 U' F L U2
D' L U F2 D' R2 B
R2 L D U' F L U2
R2 L D' U' F L U2
R2 L D2 U' F L U2
F2 L D' L2 F2 R B'
F2 L D' L2 F2 B' R
F2 L D' L2 B' F2 R
D' L F2 D' L2 R2 B
D' L F2 D' R2 L2 B
D' L F2 D' R2 B L2
R2 L B2 L2 U R' B'
R2 L B2 U' F U2 R'
R2 L' U F2 R F2 B'
R2 L' U F2 R B' F2
R2 L' U F2 B' R F2
R2 L' U B' U2 L' U2
R2 L' U B' F2 R F2
R2 L' U' L2 F L U2
D' L B2 L2 U F2 B'
D' L B2 L2 U B' F2
R2 L' U' F U2 B' R'
R2 L' U' F2 U2 R B'
R2 L' U' F2 U2 B' R
D' L B2 U' F U2 F
R2 L' U2 F2 U' R B'
R2 L' U2 F2 U' B' R
D' L' R B2 U F2 B
D' L' R B2 U B F2
D' L' R' B2 U F2 B
D' L' R' B2 U B F2
F2 L' R2 F2 U R B'
F2 L' R2 F2 U B' R
D' L' R2 B2 U F2 B
D' L' R2 B2 U B F2
B' L' U D' F2 R B'
B' L' U D' F2 B' R
B' L' U D' B' F2 R
B2 L' U D' F2 R B'
B2 L' U D' F2 B' R
B2 L' U D' B' F2 R
D' L' U F2 D' R2 B'
D' L' U F2 D' B' R2
B L' U D' F2 R B'
B L' U D' F2 B' R
B L' U D' B' F2 R
B' L' U B' D' F2 R
B2 L' U B' D' F2 R
B L' U B' D' F2 R
R2 L' B L2 U B2 R'
B' L' D' U F2 R B'
B' L' D' U F2 B' R
B' L' D' U B' F2 R
R2 L' B U' L' U2 B2
B2 L' D' U F2 R B'
B2 L' D' U F2 B' R
B2 L' D' U B' F2 R
B L' D' U F2 R B'
B L' D' U F2 B' R
B L' D' U B' F2 R
F2 L' D' F2 R B' L2
F2 L' D' F2 B' L2 R
F2 L' D' F2 B' R L2
F2 L' D' B' F2 L2 R
F2 L' D' B' F2 R L2
D L' D2 B2 U F2 B
D L' D2 B2 U B F2
R2 L' B2 U' L' U2 B
L' R2 U F2 R F2 B'
L' R2 U F2 R B' F2
L' R2 U F2 B' R F2
L' R2 U B' U2 L' U2
L' R2 U B' F2 R F2
L' R2 U' L2 F L U2
F2 L' F2 R2 U R' B'
L' R2 U' F U2 B' R'
L' R2 U' F2 U2 R B'
L' R2 U' F2 U2 B' R
L R2 U' D F L U2
D' L' F2 D' R2 B' L2
D' L' F2 D' B' L2 R2
D' L' F2 D' B' R2 L2
L R2 U' D' F L U2
L R2 U' D2 F L U2
L R2 U' F L U2 D
L R2 U' F L U2 D'
L R2 U' F L U2 D2
L R2 U' F L D U2
L R2 U' F L D' U2
L R2 U' F L D2 U2
L R2 U' F D L U2
L R2 U' F D' L U2
L R2 U' F D2 L U2
L R2 U' F' L F2 U2
L R2 U' F2 L F' U2
L' R2 U2 F2 U' R B'
L' R2 U2 F2 U' B' R
L R2 D U' F L U2
F2 L' B' D' F2 L2 R
F2 L' B' D' F2 R L2
D' L' B2 L U F2 B
D' L' B2 L U B F2
D' L' B2 L' U F2 B
D' L' B2 L' U B F2
D' L' B2 L2 U F2 B
D' L' B2 L2 U B F2
D' L' B2 U F2 D B
D' L' B2 U F2 D' B
D' L' B2 U F2 D2 B
D' L' B2 U F2 B D
D' L' B2 U F2 B D'
D' L' B2 U F2 B D2
D' L' B2 U B F2 D
D' L' B2 U B F2 D'
D' L' B2 U B F2 D2
L R2 D' U' F L U2
L R2 D2 U' F L U2
U' L2 U L' R2 U B'
U' L2 U R2 L' U B'
L' R2 B L2 U B2 R'
L' R2 B U' L' U2 B2
L' R2 B2 U' L' U2 B
L R2 B2 L2 U R' B'
L R2 B2 U' F U2 R'
L2 U L R2 U B' L'
U' L2 F' U L' R2 U
U' L2 F' U R2 L' U
L2 U R2 L U B' L'
D' L2 B2 L U F2 B'
D' L2 B2 L U B' F2
L' U D' R F2 R B'
L' U D' R F2 B' R
L' U D' R B' F2 R
L' U D' R' F2 R B'
L' U D' R' F2 B' R
L' U D' R' B' F2 R
L' U D' R2 F2 R B'
L' U D' R2 F2 B' R
L' U D' R2 B' F2 R
L' U D' F2 R D B'
L' U D' F2 R D' B'
L' U D' F2 R D2 B'
L' U D' F2 R B' D
L' U D' F2 R B' D'
L' U D' F2 R B' D2
L' U D' F2 R' B' R2
L' U D' F2 D R B'
L' U D' F2 D B' R
L' U D' F2 D' R B'
L' U D' F2 D' B' R
L' U D' F2 D2 R B'
L' U D' F2 D2 B' R
L' U D' F2 B R B2
L' U D' F2 B' R D
L' U D' F2 B' R D'
L' U D' F2 B' R D2
L' U D' F2 B' D R
