F' U L' R' D2 F2
F' U L' D2 R' F2
F' U L' D2 F2 R'
F' U R' L' D2 F2
F' U R' D2 L' F2
F U R' D2 L2 F2
F U R' D2 F2 L2
F' U D2 L' R' F2
F' U D2 L' F2 R'
F' U D2 R' L' F2
F U D2 F2 L' R'
F U D2 F2 R' L'
F U' R B2 U2 R2
F' U' B2 L U2 L2
F U' B2 L R U2
F U' B2 R L U2
D' F' R2 U L' R
D' F' R2 U R L'
D2 F' U L' F' R'
F' D' R2 U L' R
F' D' R2 U R L'
F' D2 U L' R' F2
F' D2 U L' F2 R'
F' D2 U R' L' F2
F D2 U F2 L' R'
F D2 U F2 R' L'
B2 L U L F L2 U
B2 L U L' U2 B' U'
B2 L U2 B L D' B2
F' R U L' R2 D2 F2
F' R U R2 L' D2 F2
F' R U R2 D2 L' F2
F' R U D2 L' F2 R
U' R U' B U' R2 F'
F' R U' B2 U2 L' R2
F' R U' B2 U2 R2 L'
F' R D2 U L' F2 R
D2 R F' U L' F' R2
F' R B U L' R2 F'
F' R B U R2 L' F'
U' R B2 U' B' U' R2
F R B2 U2 R2 D B2
F' R' D' R2 U L' R2
F' R' D' R2 U R2 L'
F R' D' R2 F2 U R2
F R' D' F2 R2 U R2
F R' D2 L2 F2 D' B2
F R' D2 F2 L2 D' B2
D' R' F' R' U L' R
D' R' F' R' U R L'
F' R2 U L' R D2 F2
F' R2 U L' D2 R F2
F' R2 U R L' D2 F2
F' R2 U R D2 L' F2
F' R2 U D2 L' R F2
F' R2 U D2 R L' F2
F R2 U R D2 L2 F2
F R2 U R D2 F2 L2
F' R2 U' B2 U2 L' R
F' R2 U' B2 U2 R L'
F R2 U' R' B2 U2 R2
D' R2 U2 B U' L R
D' R2 U2 B U' R L
F R2 U' B2 U2 L R
F R2 U' B2 U2 R L
R U2 B U' L R2 F'
R U2 B U' R2 L F'
R U2 B U' R2 F' L
F' R2 D' R2 U L' R'
F' R2 D' R2 U R' L'
F' R2 D2 U L' R F2
F' R2 D2 U R L' F2
F' U L' R' U2 B2 U2
F' U L' R' D2 F2 D
F' U L' R' D2 F2 D'
F' U L' R' D2 F2 D2
F' U L' R' F D2 F2
F' U L' R' F' D2 F2
F' U L' R' F2 D2 F2
F' U L' R2 D2 R F2
F U L R' D2 L2 F2
F U L R' D2 F2 L2
F' U L' U2 B2 L U2
F' U L' D R' D F2
F' U L' D2 R F2 R2
F' U L' D2 R' F2 D
F' U L' D2 R' F2 D'
F' U L' D2 R' F2 D2
F' U L' D2 F R' F
F' U L' D2 F2 R' D
F' U L' D2 F2 R' D'
F' U L' D2 F2 R' D2
F' U L' D2 F2 D R'
F' U L' D2 F2 D' R'
F' U L' D2 F2 D2 R'
F' U L' F R' D2 F2
F' U L' F D2 R' F2
F' U L' F D2 F2 R'
F U L D2 F2 L' R'
F U L D2 F2 R' L'
F' U L' F' R' D2 F2
F' U L' F' D2 R' F2
F' U L' F' D2 F2 R'
F' U L' F2 R' D2 F2
F' U L' F2 D2 R' F2
F' U L' F2 D2 F2 R'
F' U L2 R' D2 L F2
F' U L2 R' D2 F2 L
F U L' R' D2 L2 F2
F U L' R' D2 F2 L2
F' U L2 D2 L R' F2
F' U L2 D2 L F2 R'
F' U L2 D2 R' L F2
F' U L2 D2 R' F2 L
F' U L2 D2 F2 L R'
F' U L2 D2 F2 R' L
F U L' D2 F2 L' R'
F U L' D2 F2 R' L'
F U L2 R' D2 L2 F2
F U L2 R' D2 F2 L2
F' U R D2 L' F2 R
F U L2 D2 F2 L' R'
F U L2 D2 F2 R' L'
F' U R' L' U2 B2 U2
F' U R' L' D2 F2 D
F' U R' L' D2 F2 D'
F' U R' L' D2 F2 D2
F' U R' L' F D2 F2
F' U R' L' F' D2 F2
F' U R' L' F2 D2 F2
F' U R' L2 D2 L F2
F' U R' L2 D2 F2 L
F' U R' U2 B2 U2 L'
F' U R' D' L' D' F2
F' U R' D2 L F2 L2
F' U R' D2 L' F2 D
F' U R' D2 L' F2 D'
F' U R' D2 L' F2 D2
F' U R' D2 L2 F2 L
F' U R' F2 D2 F2 L'
F2 U R' F L' D2 F2
F2 U R' F D2 L' F2
F2 U R' F' D2 F2 L'
F' U R2 L' D2 R F2
F U R B2 U2 R2 B2
F U R B2 U2 B2 R2
F U R' L D2 L2 F2
F U R' L D2 F2 L2
F U R' L' D2 L2 F2
F U R' L' D2 F2 L2
F U R' L2 D2 L2 F2
F U R' L2 D2 F2 L2
F U R' U2 R2 B2 U2
F' U R2 D2 L' R F2
F' U R2 D2 R L' F2
F U R' U2 B2 R2 U2
F U R' D2 L F2 L
F U R' D2 L2 F2 D
F U R' D2 L2 F2 D'
F U R' D2 L2 F2 D2
F U R' D2 F' L2 F'
F U R' D2 F2 L2 D
F U R' D2 F2 L2 D'
F U R' D2 F2 L2 D2
F U R' F D2 L2 F2
F U R' F D2 F2 L2
F U R' F' D2 L2 F2
F U R' F' D2 F2 L2
F U R' F2 D2 L2 F2
F U R' F2 D2 F2 L2
F' U D R' D L' F2
F' U D' L' D' R' F2
F' U D' L' D' F2 R'
F' U D2 L R' F2 L2
F' U D2 L F2 L2 R'
F' U D2 L F2 R' L2
F' U D2 L' R F2 R2
F' U D2 L' R' F2 D
F' U D2 L' R' F2 D'
F' U D2 L' R' F2 D2
F' U D2 L' F R' F
F' U D2 L' F2 R' D
F' U D2 L' F2 R' D'
F' U D2 L' F2 R' D2
F' U D2 L' F2 D R'
F' U D2 L' F2 D' R'
F' U D2 L' F2 D2 R'
F' U D2 L2 R' F2 L
F' U D2 L2 F2 L R'
F' U D2 L2 F2 R' L
F' U D2 R L' F2 R2
F' U D2 R' L F2 L2
F' U D2 R' L' F2 D
F' U D2 R' L' F2 D'
F' U D2 R' L' F2 D2
F' U D2 R' L2 F2 L
F' U D2 F2 R' D2 L2
F2 U F L' R' D2 F2
F2 U F L' D2 R' F2
F2 U F L' D2 F2 R'
F U D2 L F2 L' R'
F U D2 L F2 R' L'
F U D2 L' F2 L' R'
F U D2 L' F2 R' L'
F U D2 L2 F2 L' R'
F U D2 L2 F2 R' L'
F2 U F R' L' D2 F2
F2 U F R' D2 L' F2
F U D2 R' F2 D2 L2
F U D2 F R' F L'
