B' L F D F2 R B
B' L F' R D F2 B
B' L F' R D B F2
B' L F' R B D F2
B' L F' D R F2 B
B' L F' D R B F2
U2 L' F' U' R B' L
U2 L' F' U' B' L R
U2 L' F' U' B' R L
B R' F' U2 D R F'
B R' F' D U2 R F'
B' F' L D R F' B
B' F' L D R B F'
F' B' L D R F' B
F' B' L D R B F'
B' F' D L R F' B
B' F' D L R B F'
B' F' D R L F' B
B' F' D R L B F'
B' F' D R F' L B
F' B' D L R F' B
F' B' D L R B F'
F' B' D R L F' B
F' B' D R L B F'
F' B' D R F' L B
B2 F' D R F' B L
B2 F' D R B L F'
B2 F' D R B F' L
F' B2 D R F' B L
F' B2 D R B L F'
F' B2 D R B F' L
