U' L F' B' L2 U
U' L B' L2 F' U
U' L B' F' L2 U
U' L' F' U D R2
U' L' F' U2 F2 U'
U' L' F' D U R2
D L' F' U R F
U' L' F' D2 B2 U
L U' F' B' L2 U
L U' B' L2 F' U
L U' B' F' L2 U
U' D L' F' U R
D U' L' F' U R
L' F' U D R2 F
L' F' U D F R2
L' F' U2 F2 U' F'
L' F' D U R2 F
L' F' D U F R2
L' F' D2 B2 U F
L B' L2 F' U F
U2 L U F' B' L2 U
U2 L U B' L2 F' U
U2 L U B' F' L2 U
D L U' L2 F' U R
B' L U' F' B' L2 U
B2 L U' F' B' L2 U
D L U' F' L2 U R
B' L U' B' L2 F' U
B L U' F' B' L2 U
B' L U' B' F' L2 U
B2 L U' B' L2 F' U
B2 L U' B' F' L2 U
B L U' B' L2 F' U
B L U' B' F' L2 U
U' L D' F' B' U B'
U' L D' B' F' U B'
U' L F B' L2 F2 U
U' L F' L2 U2 F U'
U' L F' D' B' U B'
U' L F' B L2 B2 U
U' L F' B' L2 U D
U' L F' B' L2 U D'
U' L F' B' L2 U D2
U' L F' B' L2 D U
U' L F' B' L2 D' U
U' L F' B' L2 D2 U
U' L F' B' U D' B2
U' L F' B' D' U B2
U' L F' B2 L2 B U
U' L B L2 F' B2 U
U' L B L2 B2 F' U
U' L B F' L2 B2 U
U' L B' L F' L U
R2 L' U F B U' B'
U' L B' L2 D F' U
U' L B' L2 D' F' U
U' L B' L2 D2 F' U
U' L B' L2 F' U D
U' L B' L2 F' U D'
U' L B' L2 F' U D2
U' L B' L2 F' D U
U' L B' L2 F' D' U
U' L B' L2 F' D2 U
B' L B' L2 F' U F
B2 L B' L2 F' U F
B L B' L2 F' U F
R2 L' U B F U' B'
U' L B' D' F' U B2
U' L B' F L2 F2 U
U' L B' F' L2 U D
U' L B' F' L2 U D'
U' L B' F' L2 U D2
U' L B' F' L2 D U
U' L B' F' L2 D' U
U' L B' F' L2 D2 U
U' L B' F' U D' B2
U' L B' F' D' U B2
U' L B2 L2 F' B U
U' L B2 L2 B F' U
U' L B2 F' L2 B U
U' L' U2 F U' D' L2
U' L' U2 F U2 F2 U
U' L' U2 F D' U' L2
U' L' U2 F D2 B2 U'
U' L' D F' U D R2
U' L' D F' U2 F2 U'
U' L' D F' D U R2
U' L' D F' D2 B2 U
D2 L' D' F' U R F
U' L' D' F' U D R2
U' L' D' F' U2 F2 U'
U' L' D' F' D U R2
U' L' D' F' D2 B2 U
D' L' D2 F' U R F
U' L' D2 F' U D R2
U' L' D2 F' U2 F2 U'
U' L' D2 F' D U R2
U' L' D2 F' D2 B2 U
D2 L' F' R' B U F
D2 L' F' R2 U F R
U' L' F' U R D R2
L' R2 U F B U' B'
B' L' F' U D R2 F
B' L' F' U D F R2
U' L' F' U R' D R2
U' L' F' U R2 D R2
U' L' F' U D R2 D
U' L' F' U D R2 D'
U' L' F' U D R2 D2
D L' F' R' U R2 F
D L' F' R' U F R2
U' L' F' U' D' L2 U2
D L' F' R2 U R' F
D L' F' R2 U F R'
B' L' F' U2 F2 U' F'
B2 L' F' U D R2 F
B2 L' F' U D F R2
U' L' F' U2 F2 U' D
U' L' F' U2 F2 U' D'
U' L' F' U2 F2 U' D2
U' L' F' U2 F2 D U'
U' L' F' U2 F2 D' U'
U' L' F' U2 F2 D2 U'
B' L' F' D U R2 F
B' L' F' D U F R2
D L' F' U R D F
D L' F' U R D' F
D L' F' U R D2 F
D L' F' U R F D
D L' F' U R F D'
D L' F' U R F D2
L' R2 U B F U' B'
D L' F' U R' F R2
D L' F' U R2 F R'
D L' F' U D R F
D L' F' U D' R F
U' L' F' D U R2 D
U' L' F' D U R2 D'
U' L' F' D U R2 D2
D L' F' U D2 R F
B L' F' U D R2 F
B L' F' U D F R2
U' L' F' D B U R2
U' L' F' D B' U R2
U' L' F' D B2 U R2
U2 L' F' U2 F2 U' F2
U' L' F' D' U' L2 U2
D' L' F' B U R' F
D' L' F' B U F R'
B2 L' F' U2 F2 U' F'
B2 L' F' D U R2 F
B2 L' F' D U F R2
B' L' F' D2 B2 U F
U' L' F' D2 B2 U D
U' L' F' D2 B2 U D'
U' L' F' D2 B2 U D2
B L' F' U2 F2 U' F'
U' L' F' D2 B2 D U
U' L' F' D2 B2 D' U
U' L' F' D2 B2 D2 U
D L' F' D U R F
U' L' F' B U D R2
U' L' F' B U2 F2 U'
U' L' F' B D U R2
B L' F' D U R2 F
B L' F' D U F R2
U' L' F' B D2 B2 U
U' L' F' B' U D R2
D L' F' D' U R F
U' L' F' B' U2 F2 U'
U' L' F' B' D U R2
U' L' F' B' D2 B2 U
B2 L' F' D2 B2 U F
U' L' F' B2 U D R2
U' L' F' B2 U2 F2 U'
U L' F' U2 L F2 U'
U' L' F' B2 D U R2
D L' F' D2 U R F
U' L' F' B2 D2 B2 U
U L' F' U2 F2 L U'
B L' F' D2 B2 U F
D L' F' B U R F
D L' F' B' U R F
D L' F' B2 U R F
U L' F' D2 B2 R' U
D' L' B F' U R' F
D' L' B F' U F R'
U' L' B F' U D R2
U' L' B F' U2 F2 U'
U' L' B F' D U R2
U' L' B F' D2 B2 U
D L' B F' U R F
U' L' B' F' U D R2
U' L' B' F' U2 F2 U'
U' L' B' F' D U R2
U' L' B' F' D2 B2 U
D L' B' F' U R F
U' L' B2 F' U D R2
U' L' B2 F' U2 F2 U'
U' L' B2 F' D U R2
U' L' B2 F' D2 B2 U
D L' B2 F' U R F
D L2 U' L F' U R
D L2 U' F' L U R
U' L2 F' L U2 F U'
U' L2 F' L' B' L2 U
L' U R2 F B U' B'
L' U R2 B F U' B'
L' U F D2 B2 U' B2
L2 U' L F' U' L' U2
R2 U' L' U2 F B U'
R2 U' L' U2 B F U'
L U' L2 F' U D R2
L U' L2 F' U2 F2 U'
L U' L2 F' D U R2
L U' L2 F' D2 B2 U
L U' D' F' B' U B'
L U' D' B' F' U B'
L2 U' F' L U D2 R2
L2 U' F' L U' L2 U2
L2 U' F' L D' B2 U
L2 U' F' L D2 U R2
L U' F B' L2 F2 U
L U' F' L2 U2 F U'
L U' F' D' B' U B'
L U' F' B L2 B2 U
L U' F' B' L2 U D
L U' F' B' L2 U D'
L U' F' B' L2 U D2
L U' F' B' L2 D U
L U' F' B' L2 D' U
L U' F' B' L2 D2 U
L U' F' B' U D' B2
L U' F' B' D' U B2
L U' F' B2 L2 B U
L U' B L2 F' B2 U
L U' B L2 B2 F' U
L U' B F' L2 B2 U
L U' B' L F' L U
L U' B' L2 D F' U
L U' B' L2 D' F' U
L U' B' L2 D2 F' U
L U' B' L2 F' U D
L U' B' L2 F' U D'
L U' B' L2 F' U D2
L U' B' L2 F' D U
L U' B' L2 F' D' U
L U' B' L2 F' D2 U
L U' B' D' F' U B2
L U' B' F L2 F2 U
L U' B' F' L2 U D
L U' B' F' L2 U D'
L U' B' F' L2 U D2
L U' B' F' L2 D U
L U' B' F' L2 D' U
L U' B' F' L2 D2 U
L U' B' F' U D' B2
L U' B' F' D' U B2
L U' B2 L2 F' B U
L U' B2 L2 B F' U
L U' B2 F' L2 B U
L' U2 F U2 F2 U F2
U' D L F' L2 U R
U' D L' F' U R D
U' D L' F' U R D'
U' D L' F' U R D2
U' D L' F' U D R
U' D L' F' U D' R
U' D L' F' U D2 R
U' D L' F' D U R
U' D L' F' D' U R
U' D L' F' D2 U R
U' D L' F' B U R
U' D L' F' B' U R
U' D L' F' B2 U R
U' D L' B F' U R
U' D L' B' F' U R
U' D L' B2 F' U R
L' D F' U D R2 F
L' D F' U D F R2
U' D L2 F' L U R
L' D F' U2 F2 U' F'
L' D F' D U R2 F
L' D F' D U F R2
L' D F' D2 B2 U F
U' D B L' F' U R
U' D B' L' F' U R
U' D B2 L' F' U R
U' D' L' D2 F' U R
D' U' L' D2 F' U R
D2 U' L' D' F' U R
D' U' L' F' B U R'
U' D' L' F' B U R'
D U' L F' L2 U R
D' U' L' B F' U R'
U' D' L' B F' U R'
D U' L' F' U R D
D U' L' F' U R D'
D U' L' F' U R D2
D U' L' F' U D R
D U' L' F' U D' R
D U' L' F' U D2 R
D U' L' F' D U R
D U' L' F' D' U R
D U' L' F' D2 U R
D U' L' F' B U R
D U' L' F' B' U R
D U' L' F' B2 U R
D U' L' B F' U R
D U' L' B' F' U R
D U' L' B2 F' U R
B' U' L F' B' L2 U
