R' U2 B' U' R'
L2 R' F L2 U R
R' L2 F L2 U R
D2 R' U2 B' U' R'
D' R' U2 B' U' R'
D R' U2 B' U' R'
F R' U2 B' U' R2
R' U2 D B' U' R'
R' U2 D' B' U' R'
R' U2 D2 B' U' R'
R' U2 F B' U' R'
R' U2 F' B' U' R'
R' U2 F2 B' U' R'
R' U2 B' U' R' D
R' U2 B' U' R' D'
R' U2 B' U' R' D2
R' U2 B' U' D R'
R' U2 B' U' D' R'
R' U2 B' U' D2 R'
R' U2 B' D U' R'
R' U2 B' D' U' R'
R' U2 B' D2 U' R'
R' U2 B' F U' R'
R' U2 B' F' U' R'
R' U2 B' F2 U' R'
R' D U2 B' U' R'
R' D' U2 B' U' R'
R' D2 U2 B' U' R'
L2 F L2 R' U R2
L2 F R' L2 U R2
R' F U2 B' U' R
U2 B2 L B U' R'
L2 R F L2 R2 U R'
L2 R F R2 L2 U R'
B2 L F B U' R B
B2 L B F U' R B
L2 R' D' F U R B2
L2 R' D' F U B2 R
L2 R' F L2 U R D
L2 R' F L2 U R D'
L2 R' F L2 U R D2
L2 R' F L2 U D R
L2 R' F L2 U D' R
L2 R' F L2 U D2 R
L2 R' F L2 D U R
L2 R' F L2 D' U R
L2 R' F L2 D2 U R
L2 R' F L2 B U R
L2 R' F L2 B' U R
L2 R' F L2 B2 U R
L2 R' F U R D' B2
L2 R' F U D' R B2
L2 R' F U D' B2 R
L2 R' F D' U R B2
L2 R' F D' U B2 R
L2 R' F B L2 U R
L2 R' F B' L2 U R
L2 R' F B2 L2 U R
L2 R' F2 L2 F' U R
L2 R' B F L2 U R
L2 R' B' F L2 U R
L2 R' B2 F L2 U R
R' L2 D' F U R B2
R' L2 D' F U B2 R
R' L2 F L2 U R D
R' L2 F L2 U R D'
R' L2 F L2 U R D2
R' L2 F L2 U D R
R' L2 F L2 U D' R
R' L2 F L2 U D2 R
R' L2 F L2 D U R
R' L2 F L2 D' U R
R' L2 F L2 D2 U R
R' L2 F L2 B U R
R' L2 F L2 B' U R
R' L2 F L2 B2 U R
D2 L2 R' F L2 U R
D' L2 R' F L2 U R
R' L2 F U R D' B2
R' L2 F U D' R B2
R' L2 F U D' B2 R
R' L2 F D' U R B2
R' L2 F D' U B2 R
D L2 R' F L2 U R
R L2 F L2 R2 U R'
R' L2 F B L2 U R
F L2 R' F L2 U R2
R' L2 F B' L2 U R
R' L2 F B2 L2 U R
R L2 F R2 L2 U R'
U' L2 U R' F U R
R' L2 F2 L2 F' U R
U' L2 U F R' U R2
R' L2 B F L2 U R
U2 L2 U2 R' F U R
U2 L2 U2 F R' U R2
R' L2 B' F L2 U R
R' L2 B2 F L2 U R
D2 L2 F L2 R' U R2
D' L2 F L2 R' U R2
D2 L2 F R' L2 U R2
D' L2 F R' L2 U R2
D L2 F L2 R' U R2
D L2 F R' L2 U R2
R' U R U B' U' R'
R' U R' U B' U' R'
R' U R2 U B' U' R'
R' U' L2 U F U R
R' U' R' U' F' B' U'
R' U' R' U' B' F' U'
F2 R B2 R2 F' U R
F R B2 R2 F' U R2
D2 R' L2 F L2 U R
D' R' L2 F L2 U R
D R' L2 F L2 U R
F R' L2 F L2 U R2
F R' U R2 U B' U'
D2 R' U2 D B' U' R'
D' R' U2 D B' U' R'
D2 R' U2 D' B' U' R'
D' R' U2 D' B' U' R'
D' R' U2 D2 B' U' R'
D2 R' U2 D2 B' U' R'
D' R' U2 F B' U' R'
D2 R' U2 F B' U' R'
D2 R' U2 F' B' U' R'
D' R' U2 F' B' U' R'
D2 R' U2 F2 B' U' R'
D' R' U2 F2 B' U' R'
U' R' U2 F' B' U' B
D2 R' U2 B' U' R' D
D2 R' U2 B' U' R' D'
D2 R' U2 B' U' R' D2
D2 R' U2 B' U' D R'
D2 R' U2 B' U' D' R'
D2 R' U2 B' U' D2 R'
D2 R' U2 B' D U' R'
D' R' U2 B' U' R' D
D' R' U2 B' U' R' D'
D' R' U2 B' U' R' D2
D' R' U2 B' U' D R'
D' R' U2 B' U' D' R'
D' R' U2 B' U' D2 R'
D2 R' U2 B' D' U' R'
D2 R' U2 B' D2 U' R'
D' R' U2 B' D U' R'
D2 R' U2 B' F U' R'
D' R' U2 B' D' U' R'
F' R' U2 F2 B' U' R
D2 R' U2 B' F' U' R'
D' R' U2 B' D2 U' R'
D2 R' U2 B' F2 U' R'
D' R' U2 B' F U' R'
D' R' U2 B' F' U' R'
D' R' U2 B' F2 U' R'
F' R' U2 B' U L' U2
U' R' U2 B' F' U' B
F' R' U2 B' F2 U' R
D R' U2 D B' U' R'
F2 R' U2 F' B' U' R
D R' U2 D' B' U' R'
D R' U2 D2 B' U' R'
D R' U2 F B' U' R'
F2 R' U2 B' F' U' R
D R' U2 F' B' U' R'
D R' U2 F2 B' U' R'
F R' U2 D' F2 B' U'
F R' U2 D' B' F2 U'
D R' U2 B' U' R' D
D R' U2 B' U' R' D'
D R' U2 B' U' R' D2
D R' U2 B' U' D R'
D R' U2 B' U' D' R'
D R' U2 B' U' D2 R'
D R' U2 B' D U' R'
D R' U2 B' D' U' R'
D R' U2 B' D2 U' R'
D R' U2 B' F U' R'
D R' U2 B' F' U' R'
D R' U2 B' F2 U' R'
D2 R' D U2 B' U' R'
F R' U2 F B' U' R2
D' R' D U2 B' U' R'
F R' U2 F' B' U' R2
F R' U2 F2 B' U' R2
F R' U2 B' U' R2 D
F R' U2 B' U' R2 D'
F R' U2 B' U' R2 D2
F R' U2 B' D' F2 U'
F R' U2 B' F U' R2
F R' U2 B' F' U' R2
F R' U2 B' F2 U' R2
D R' D U2 B' U' R'
D2 R' D' U2 B' U' R'
D' R' D' U2 B' U' R'
F R' D B2 U2 B U'
D R' D' U2 B' U' R'
F R' D' U2 F2 B' U'
D2 R' D2 U2 B' U' R'
F R' D' U2 B' F2 U'
D' R' D2 U2 B' U' R'
D R' D2 U2 B' U' R'
D2 R' F U2 B' U' R
D' R' F U2 B' U' R
F' R' F U2 B' U' R'
D R' F U2 B' U' R
F R' F U2 B' U' R2
F2 R' F' U2 B' U' R
F R' F' U2 B' U' R2
F' R' F2 U2 B' U' R
F2 R' F2 U2 B' U' R'
R' U2 R' B' R U' R2
F R' F2 U2 B' U' R2
F' R' B D2 F2 U R
R' U2 R2 B' R2 U' R
F R' B U R2 D L2
F' R' B' U' L' U2 L
F R' B U2 B2 U' R2
F R' B D B2 U L2
R' U2 D F B' U' R'
R' U2 D F' B' U' R'
R' U2 D F2 B' U' R'
R' U2 D B' U' R' D
R' U2 D B' U' R' D'
R' U2 D B' U' R' D2
R' U2 D B' U' D R'
R' U2 D B' U' D' R'
R' U2 D B' U' D2 R'
R' U2 D B' D U' R'
R' U2 D B' D' U' R'
R' U2 D B' D2 U' R'
R' U2 D B' F U' R'
R' U2 D B' F' U' R'
R' U2 D B' F2 U' R'
F R' B' U R2 D2 L2
R' U2 D' F B' U' R'
R' U2 D' F' B' U' R'
R' U2 D' F2 B' U' R'
R' U2 D' B' U' R' D
R' U2 D' B' U' R' D'
R' U2 D' B' U' R' D2
R' U2 D' B' U' D R'
R' U2 D' B' U' D' R'
R' U2 D' B' U' D2 R'
R' U2 D' B' D U' R'
R' U2 D' B' D' U' R'
R' U2 D' B' D2 U' R'
R' U2 D' B' F U' R'
R' U2 D' B' F' U' R'
R' U2 D' B' F2 U' R'
R' U2 D2 F B' U' R'
R' U2 D2 F' B' U' R'
R' U2 D2 F2 B' U' R'
F R' B2 U2 B U' R2
R' U2 D2 B' U' R' D
R' U2 D2 B' U' R' D'
R' U2 D2 B' U' R' D2
R' U2 D2 B' U' D R'
R' U2 D2 B' U' D' R'
R' U2 D2 B' U' D2 R'
R' U2 D2 B' D U' R'
R' U2 D2 B' D' U' R'
R' U2 D2 B' D2 U' R'
R' U2 D2 B' F U' R'
R' U2 D2 B' F' U' R'
R' U2 D2 B' F2 U' R'
R U2 D' B' U' R' F2
R U2 D' B' U' F2 R'
R' U2 F D B' U' R'
R' U2 F D' B' U' R'
R' U2 F D2 B' U' R'
R' U2 F B' U' R' D
R' U2 F B' U' R' D'
R' U2 F B' U' R' D2
R' U2 F B' U' D R'
R' U2 F B' U' D' R'
R' U2 F B' U' D2 R'
R' U2 F B' D U' R'
R' U2 F B' D' U' R'
R' U2 F B' D2 U' R'
R U2 D2 B' L2 U' R'
R' U2 F' D B' U' R'
R' U2 F' D' B' U' R'
R' U2 F' D2 B' U' R'
R' U2 F' B' U' R' D
R' U2 F' B' U' R' D'
R' U2 F' B' U' R' D2
R' U2 F' B' U' D R'
R' U2 F' B' U' D' R'
R' U2 F' B' U' D2 R'
R' U2 F' B' D U' R'
R' U2 F' B' D' U' R'
R' U2 F' B' D2 U' R'
R' U2 F2 D B' U' R'
R' U2 F2 D' B' U' R'
R2 U2 F' B' U' R' F'
R' U2 F2 D2 B' U' R'
R' U2 F2 B' U' R' D
R' U2 F2 B' U' R' D'
R' U2 F2 B' U' R' D2
R' U2 F2 B' U' D R'
R' U2 F2 B' U' D' R'
R' U2 F2 B' U' D2 R'
R' U2 F2 B' D U' R'
R' U2 F2 B' D' U' R'
R' U2 F2 B' D2 U' R'
R2 U2 F2 B' L' U' R'
R' U2 B' U L U2 R'
R' U2 B' U L' U2 R'
R' U2 B' U L2 U2 R'
R' U2 B' U' R2 D R
R' U2 B' U' R2 D' R
R' U2 B' U' R2 D2 R
R' U2 B' U' D R' D
R' U2 B' U' D R' D'
R' U2 B' U' D R' D2
R' U2 B' U' D' R' D
R' U2 B' U' D' R' D'
R' U2 B' U' D' R' D2
R' U2 B' U' D2 R' D
R' U2 B' U' D2 R' D'
R' U2 B' U' D2 R' D2
R' U2 B' U' F' R' F
R' U2 B' U' F2 R' F2
R' U2 B' D U' R' D
R' U2 B' D U' R' D'
R' U2 B' D U' R' D2
R' U2 B' D F U' R'
R' U2 B' D F' U' R'
R' U2 B' D F2 U' R'
R' U2 B' D' U' R' D
R' U2 B' D' U' R' D'
R' U2 B' D' U' R' D2
R' U2 B' D' F U' R'
R' U2 B' D' F' U' R'
R' U2 B' D' F2 U' R'
R' U2 B' D2 U' R' D
R' U2 B' D2 U' R' D'
R' U2 B' D2 U' R' D2
R' U2 B' D2 F U' R'
R' U2 B' D2 F' U' R'
R' U2 B' D2 F2 U' R'
R' U2 B' F U' R' D
R' U2 B' F U' R' D'
R' U2 B' F U' R' D2
R' U2 B' F U' D R'
R' U2 B' F U' D' R'
R' U2 B' F U' D2 R'
R' U2 B' F D U' R'
R' U2 B' F D' U' R'
R' U2 B' F D2 U' R'
R' U2 B' F' U' R' D
R' U2 B' F' U' R' D'
R' U2 B' F' U' R' D2
R' U2 B' F' U' D R'
R' U2 B' F' U' D' R'
R' U2 B' F' U' D2 R'
R' U2 B' F' D U' R'
R' U2 B' F' D' U' R'
R' U2 B' F' D2 U' R'
R' U2 B' F2 U' R' D
R' U2 B' F2 U' R' D'
R' U2 B' F2 U' R' D2
R' U2 B' F2 U' D R'
R' U2 B' F2 U' D' R'
R' U2 B' F2 U' D2 R'
R' U2 B' F2 D U' R'
R' U2 B' F2 D' U' R'
R' U2 B' F2 D2 U' R'
R2 U2 B' U' R' D' F2
R2 U2 B' U2 R U R2
R2 U2 B' F' U' R' F'
R2 U2 B' F2 L' U' R'
R U2 B' U' D' R' F2
R U2 B' U' D' F2 R'
R U2 B' U2 R2 U R
R U2 B' D' U' R' F2
R U2 B' D' U' F2 R'
R U2 B' D2 L2 U' R'
R' D L2 F L2 U R
R2 D R U2 B' U' R'
R' D U2 F B' U' R'
R' D U2 F' B' U' R'
R' D U2 F2 B' U' R'
R' D U2 B' U' R' D
R' D U2 B' U' R' D'
R' D U2 B' U' R' D2
R' D U2 B' U' D R'
R' D U2 B' U' D' R'
R' D U2 B' U' D2 R'
R' D U2 B' D U' R'
R' D U2 B' D' U' R'
R' D U2 B' D2 U' R'
R' D U2 B' F U' R'
R' D U2 B' F' U' R'
R' D U2 B' F2 U' R'
B2 U L F B U' B'
B2 U L B F U' B'
R' D F U2 B' U' R
R' D' L2 F L2 U R
R2 D' R U2 B' U' R'
U2 D B2 L B U' R'
L2 D' R' F U R B2
L2 D' R' F U B2 R
R' D' U2 F B' U' R'
R' D' U2 F' B' U' R'
R' D' U2 F2 B' U' R'
R' D' U2 B' U' R' D
R' D' U2 B' U' R' D'
R' D' U2 B' U' R' D2
R' D' U2 B' U' D R'
R' D' U2 B' U' D' R'
R' D' U2 B' U' D2 R'
R' D' U2 B' D U' R'
R' D' U2 B' D' U' R'
R' D' U2 B' D2 U' R'
R' D' U2 B' F U' R'
R' D' U2 B' F' U' R'
R' D' U2 B' F2 U' R'
R' D' F U2 B' U' R
L2 D' F R' U R2 B2
L2 D' F R' U B2 R2
R D' U2 B' U' R' F2
R D' U2 B' U' F2 R'
U2 D' B2 L B U' R'
R' D2 L2 F L2 U R
R2 D2 R U2 B' U' R'
R' D2 U2 F B' U' R'
R' D2 U2 F' B' U' R'
R' D2 U2 F2 B' U' R'
R' D2 U2 B' U' R' D
R' D2 U2 B' U' R' D'
R' D2 U2 B' U' R' D2
R' D2 U2 B' U' D R'
R' D2 U2 B' U' D' R'
R' D2 U2 B' U' D2 R'
R' D2 U2 B' D U' R'
