B2 L2 U' F B R
B2 L2 U' B F R
D R2 F' R B' L2
D R2 F' B' L2 R
D R2 F' B' R L2
D R2 B' L2 F' R
D R2 B' F' L2 R
D R2 B' F' R L2
R2 D F' R B' L2
R2 D F' B' L2 R
R2 D F' B' R L2
R2 D B' L2 F' R
R2 D B' F' L2 R
R2 D B' F' R L2
D' B R2 U2 R B2
D' B R2 U2 B2 R
D' B U2 R' B2 L
D' B' D2 L2 F2 R
D' L B R2 U2 R B
B L' U' F B U' B
B L' U' B F U' B
B2 L' D F L' U' B
B2 L' F L' U' F B
B2 L' F L' U' B F
D L2 R2 F' R D2 B2
D L2 R2 F' D2 R B2
D L2 R2 F' D2 B2 R
B2 L2 U' R' F R B
B2 L2 U' D F B R
B2 L2 U' D B F R
B2 L2 U' D' F B R
B2 L2 U' D' B F R
B2 L2 U' D2 F B R
B2 L2 U' D2 B F R
B2 L2 U' F D B R
B2 L2 U' F D' B R
B2 L2 U' F D2 B R
B2 L2 U' F B R D
B2 L2 U' F B R D'
B2 L2 U' F B R D2
B2 L2 U' F B D R
B2 L2 U' F B D' R
B2 L2 U' F B D2 R
B2 L2 U' F B' R B2
B2 L2 U' F B2 R B'
B2 L2 U' B R F R
B2 L2 U' B R' F R
B2 L2 U' B R2 F R
B2 L2 U' B D F R
B2 L2 U' B D' F R
B2 L2 U' B D2 F R
B2 L2 U' B F R D
B2 L2 U' B F R D'
B2 L2 U' B F R D2
B2 L2 U' B F D R
B2 L2 U' B F D' R
B2 L2 U' B F D2 R
B2 L2 U' B' F R B2
B2 L2 U' B2 F R B'
D L2 U2 F L' B U2
D L2 U2 F B L' U2
D L2 U2 B F L' U2
B2 L2 D U' F B R
B2 L2 D U' B F R
B2 L2 D' U' F B R
B2 L2 D' U' B F R
B2 L2 D2 U' F B R
B2 L2 D2 U' B F R
D' L2 F B R2 U2 R
D L2 F B L' U2 L
D' L2 B F R2 U2 R
D L2 B F L' U2 L
R2 U D F' R B' L2
R2 U D F' B' L2 R
R2 U D F' B' R L2
R2 U D B' L2 F' R
R2 U D B' F' L2 R
R2 U D B' F' R L2
D R F' R F' B' L2
D R F' R B' L2 F'
D R F' R B' F' L2
D R F' B' L2 R F'
D R F' B' R L2 F'
D R F' B' R F' L2
D R B' L2 R F' R
D R B' L2 F' R F'
D R B' R L2 F' R
D R B' R F' L2 R
D R B' R F' R L2
D R B' F' L2 R F'
D R B' F' R L2 F'
D R B' F' R F' L2
R2 U' D F' R B' L2
R2 U' D F' B' L2 R
R2 U' D F' B' R L2
R2 U' D B' L2 F' R
R2 U' D B' F' L2 R
R2 U' D B' F' R L2
D R' B' L2 R' F' R
D R' B' R' L2 F' R
D R' B' R' F' L2 R
D R' B' R' F' R L2
R2 U2 D F' R B' L2
R2 U2 D F' B' L2 R
R2 U2 D F' B' R L2
R2 U2 D B' L2 F' R
R2 U2 D B' F' L2 R
R2 U2 D B' F' R L2
D R2 L2 F' R D2 B2
D R2 L2 F' D2 R B2
D R2 L2 F' D2 B2 R
D R2 U F' R B' L2
D R2 U F' B' L2 R
D R2 U F' B' R L2
D R2 U B' L2 F' R
D R2 U B' F' L2 R
D R2 U B' F' R L2
D R2 U' F' R B' L2
D R2 U' F' B' L2 R
D R2 U' F' B' R L2
D' R2 U2 D2 F' R B'
D' R2 U2 D2 F' B' R
D' R2 U2 D2 B' F' R
D R2 U' B' L2 F' R
D R2 U' B' F' L2 R
D R2 U' B' F' R L2
D' R2 U2 F' B R' B2
D' R2 U2 B F' R' B2
D R2 U2 F' R B' L2
D R2 U2 F' B' L2 R
D R2 U2 F' B' R L2
D R2 U2 B' L2 F' R
D R2 U2 B' F' L2 R
D R2 U2 B' F' R L2
U' R2 D F' R B' L2
F' R2 D F' R B' L2
U' R2 D F' B' L2 R
U' R2 D F' B' R L2
F' R2 D F' B' L2 R
F' R2 D F' B' R L2
U' R2 D B' L2 F' R
F' R2 D B' L2 F' R
U' R2 D B' F' L2 R
U' R2 D B' F' R L2
F2 R2 D F' R B' L2
F' R2 D B' F' L2 R
F' R2 D B' F' R L2
F2 R2 D F' B' L2 R
F2 R2 D F' B' R L2
U2 R2 D F' R B' L2
U2 R2 D F' B' L2 R
U2 R2 D F' B' R L2
F2 R2 D B' L2 F' R
F2 R2 D B' F' L2 R
F2 R2 D B' F' R L2
U2 R2 D B' L2 F' R
U2 R2 D B' F' L2 R
U2 R2 D B' F' R L2
F R2 D F' R B' L2
F R2 D F' B' L2 R
F R2 D F' B' R L2
U R2 D F' R B' L2
U R2 D F' B' L2 R
U R2 D F' B' R L2
F R2 D B' L2 F' R
F R2 D B' F' L2 R
F R2 D B' F' R L2
U R2 D B' L2 F' R
U R2 D B' F' L2 R
U R2 D B' F' R L2
D' R2 D2 U2 F' R B'
D' R2 D2 U2 F' B' R
D' R2 D2 U2 B' F' R
R2 D L2 F' R D2 B2
R2 D L2 F' D2 R B2
R2 D L2 F' D2 B2 R
D R2 F' R B L2 B2
D R2 F' R B' L2 D
D R2 F' R B' L2 D'
D R2 F' R B' L2 D2
D R2 F' R B2 L2 B
D R2 F' R' B' L2 R2
D R2 F' R' B' R2 L2
D2 R2 F2 U F R B'
D2 R2 F2 U F B' R
D2 R2 F2 U B' F R
D R2 F' B L2 R B2
D R2 F' B L2 B2 R
D R2 F' B R L2 B2
D R2 F' B R B2 L2
D R2 F' B' L2 R D
D R2 F' B' L2 R D'
D R2 F' B' L2 R D2
D R2 F' B' L2 D R
D R2 F' B' L2 D' R
D R2 F' B' L2 D2 R
D R2 F' B' R L2 D
D R2 F' B' R L2 D'
D R2 F' B' R L2 D2
D R2 F' B2 L2 B R
R' D R' F' R B' L2
R' D R' F' B' L2 R
R' D R' F' B' R L2
R' D R' B' L2 F' R
R' D R' B' F' L2 R
R' D R' B' F' R L2
D' R2 B U2 F' R' B2
D R2 B L2 F' R B2
D R2 B L2 F' B2 R
D R2 B L2 B2 F' R
D R2 B F' L2 R B2
D R2 B F' L2 B2 R
D R2 B F' R L2 B2
D R2 B F' R B2 L2
D R2 B' L F' L R
D R2 B' L F' R L
D R2 B' L2 F' R D
D R2 B' L2 F' R D'
D R2 B' L2 F' R D2
D R2 B' L2 F' D R
D R2 B' L2 F' D' R
D R2 B' L2 F' D2 R
R2 D U F' R B' L2
D R2 B' F' L2 R D
D R2 B' F' L2 R D'
D R2 B' F' L2 R D2
D R2 B' F' L2 D R
D R2 B' F' L2 D' R
D R2 B' F' L2 D2 R
D R2 B' F' R L2 D
D R2 B' F' R L2 D'
D R2 B' F' R L2 D2
R2 D U F' B' L2 R
R2 D U F' B' R L2
R2 D U B' L2 F' R
R2 D U B' F' L2 R
R2 D U B' F' R L2
D R2 B2 L2 F' B R
D R2 B2 L2 B F' R
R2 D U' F' R B' L2
R2 D U' F' B' L2 R
R2 D U' F' B' R L2
D R2 B2 F' L2 B R
R2 D U' B' L2 F' R
R2 D U' B' F' L2 R
R2 D U' B' F' R L2
R2 D U2 F' R B' L2
R2 D U2 F' B' L2 R
R2 D U2 F' B' R L2
R2 D U2 B' L2 F' R
R2 D U2 B' F' L2 R
R2 D U2 B' F' R L2
R2 D F' R B L2 B2
R2 D F' R B' L2 D
R2 D F' R B' L2 D'
R2 D F' R B' L2 D2
R2 D F' R B2 L2 B
R2 D F' R' B' L2 R2
R2 D F' R' B' R2 L2
R2 D F' B L2 R B2
R2 D F' B L2 B2 R
R2 D F' B R L2 B2
R2 D F' B R B2 L2
R2 D F' B' L2 R D
R2 D F' B' L2 R D'
R2 D F' B' L2 R D2
R2 D F' B' L2 D R
R2 D F' B' L2 D' R
R2 D F' B' L2 D2 R
R2 D F' B' R L2 D
R2 D F' B' R L2 D'
R2 D F' B' R L2 D2
R2 D F' B2 L2 B R
R2 D B L2 F' R B2
R' D B' L2 R' F' R
R2 D B L2 F' B2 R
R2 D B L2 B2 F' R
R' D B' R' L2 F' R
R' D B' R' F' L2 R
R' D B' R' F' R L2
U' D R2 F' R B' L2
U' D R2 F' B' L2 R
U' D R2 F' B' R L2
R2 D B F' L2 R B2
R2 D B F' L2 B2 R
R2 D B F' R L2 B2
R2 D B F' R B2 L2
U' D R2 B' L2 F' R
R2 D B' L F' L R
