L B R U' F R
B L R U' D' R2 F
B L R U' D' F R2
B L R U' F D' R2
B L R U2 B2 U F
B L R D' U' R2 F
B L R D' U' F R2
B L R D2 F2 U' F'
L R U' D' F L' R
L R U' D' F R L'
R L U' D' F L' R
R L U' D' F R L'
L R D' U' F L' R
L R D' U' F R L'
R L D' U' F L' R
R L D' U' F R L'
B' L U2 R B2 U' F
B' L U2 B2 R U' F
B L D' R U' R F
B L D2 R F2 U' F'
B' L D2 F2 L' U F'
D2 L B R U' F R
D' L B R U' F R
U L B L R F U'
D L B R U' F R
F' L B U' F R B
U L B R L F U'
B L2 D2 R F2 U' F
U L2 B R F L U'
B R L U' D' R2 F
B R L U' D' F R2
B R L U' F D' R2
B R L U2 B2 U F
B R L D' U' R2 F
B R L D' U' F R2
B R L D2 F2 U' F'
B R U2 R' B2 U F'
B R U2 B2 R' U F'
B R D' L U' R2 F
B R D' L U' F R2
B R D2 L F2 U' F'
B R D2 F2 L U' F
B' R2 U2 R' B2 U' F'
L2 D B R F L' U'
L D B R U' F R
R D' L U' F L' R
R D' L U' F R L'
R D' L2 F U' L' F
L D' B R U' F R
R D2 L B' U' F R
B' U2 R B2 L2 U' F
B' U2 R B2 U B' U2
L2 D2 B R F U' F2
L D2 B R U' F R
B' U2 B2 R U B U2
B D' L R U' R F
B D' R L U' R F
R2 F' B2 L B U F
B' D2 L F2 L' U F'
B D2 L R F2 U' F'
B' D2 L2 F2 L' U F
B D2 R L F2 U' F'
B D2 R F2 L U' F
L2 B L' R U' F R
U B L R U' D' R2
U B L R U2 B2 U
U B L R D' U' R2
U B L R D2 F2 U'
U B L D' R U' R
U B L D2 R F2 U'
B' D2 F2 L' U' B' U2
L2 B R L' U' F R
U2 B R U' D' R2 F'
L2 B R D F L' U'
U2 B R D' U' R2 F'
L2 B R F L' U' F
U B R L U' D' R2
U B R L U2 B2 U
U B R L D' U' R2
U B R L D2 F2 U'
L B R U' R F R
L B R U' R' F R
L B R U' R2 F R
L B R U' D F R
L B R U' D' F R
L B R U' D2 F R
L B R U' F R D
L B R U' F R D'
L B R U' F R D2
L B R U' F D R
L B R U' F D' R
L B R U' F D2 R
U B R U2 B2 R' U
L B R D U' F R
U B R D' L U' R2
L B R D' U' F R
U B R D2 L F2 U'
L B R D2 U' F R
U B R D2 F2 L U'
L2 B D R F L' U'
L B D R U' F R
L' B D2 R F' U' F'
L2 B D2 R F U' F2
U B D' L R U' R
U B D' R L U' R
L B D' R U' F R
U B D2 L R F2 U'
U B D2 R L F2 U'
L B D2 R U' F R
U B D2 R F2 L U'
L B' R B2 U' F R
U B' R' U D L2 B2
U B' R' U D B2 L2
U B' R' U2 R2 B2 U'
U B' R' U2 B2 R2 U'
U B' R' D U L2 B2
U B' R' D U B2 L2
U B' R' D2 L2 F2 U
U B' R' D2 F2 L2 U
F2 B' L' U D L2 F
F2 B' L' D U L2 F
U B' U2 B2 L R U'
U B' U2 B2 R L U'
U B' D2 F2 L' R' U
U B' D2 F2 R' L' U
R2 B2 L F' B U F2
R2 B2 L B F' U F2
B' F2 L' U D L2 F
B' F2 L' D U L2 F
L B2 R B' U' F R
R2 B2 F' L B U F
