L' U R F' U B'
L' R U F' U F B'
L' R U F' U B' F
L R F' U D2 R2 B2
L R F' U D2 B2 R2
L R F' U' L2 F2 U2
L2 R F' U' L U2 B'
L R F' U' F2 L2 U2
R L F' U D2 R2 B2
R L F' U D2 B2 R2
R L F' U' L2 F2 U2
R L F' U' F2 L2 U2
L R F' D' L2 B2 U
L R F' D' B2 L2 U
L R F' D2 U R2 B2
L R F' D2 U B2 R2
R L F' D' L2 B2 U
R L F' D' B2 L2 U
R L F' D2 U R2 B2
R L F' D2 U B2 R2
L' R' U R2 F' U B'
R' L' U R2 F' U B'
R L' U F' U F B'
R L' U F' U B' F
F2 L' R' B U' R2 B2
F2 L' R' B U' B2 R2
D2 L' U R F U B'
B' L' U R F' U B'
U2 L' U R F' L' U
D L' U R U B' L
B2 L' U R F' U B'
B L' U R F' U B'
U L' U R F' U B
F2 L' U' D R B' L
F2 L' U' D B' L R
F2 L' U' D B' R L
F2 L' D U' R B' L
F2 L' D U' B' L R
F2 L' D U' B' R L
R L2 F' U' L U2 B'
L' U R D F' U B'
L' U R D' F' U B'
L' U R D2 F' U B'
L' U R F' U D B'
L' U R F' U D' B'
L' U R F' U D2 B'
L' U R F' U B' D
L' U R F' U B' D'
L' U R F' U B' D2
L' U R F' D U B'
L' U R F' D' U B'
L' U R F' D2 U B'
L' U D R U B' L
U2 R F' U D2 B R'
U2 R F' D2 U B R'
F2 R' L' B U' R2 B2
F2 R' L' B U' B2 R2
L' U2 R F' U R' B'
F2 R' B L' U' R2 B'
F2 R' B L' U' B' R2
L' U2 B' U' R F' U
L' D U R U B' L
F2 D L' U' R B' L
F2 D L' U' B' L R
F2 D L' U' B' R L
D' F D' L' F R B'
D' F D' L' F B' R
D' F D' L' B' F R
R F' L U' F L' U2
F D' L' F R B' L'
F D' L' F B' L' R
F D' L' F B' R L'
F D' L' B' F L' R
F D' L' B' F R L'
D F2 L' U' R B' L
D F2 L' U' B' L R
D F2 L' U' B' R L
F D' F L' R F B'
F D' F L' R B' F
F D' F L' B' R F
F D' F R L' F B'
F D' F R L' B' F
L' B U R F' U B2
