D' F2 B' L U' B'
D' B' L F2 U' B'
D' B' F2 L U' B'
R' L' D R' F L' B
R' L' D R' F B L'
L' R' D R' F L' B
R' L' D R' B F L'
L' R' D R' F B L'
L' R' D R' B F L'
R' L' D F L' R' B
R' L' D F R' L' B
R' L' D F R' B L'
L' R' D F L' R' B
L' R' D F R' L' B
L' R' D F R' B L'
R2 L' D' F L B' L
R2 L' D' F B' L B'
R2 L' D' B' F L B'
F L' U R2 D F L'
R2 L' F U' L' F U
F L' D B2 U F L'
B' L' F' R U' R F2
L2 R2 U' F L' R U
L2 R2 U' F R L' U
R2 L2 U' F L' R U
R2 L2 U' F R L' U
L' R2 D' F L B' L
L' R2 D' F B' L B'
L' R2 D' B' F L B'
L' R2 F U' L' F U
F L2 F L U R2 F
F L2 F L U F R2
R2 U D' B' L U' B'
F' R D' B' L U' R
F' R D2 B' U' R F'
D' R F2 B' L U' B'
D' R B' L F2 U' B'
F' R B' L' U' R F
F' R B' U' D2 R F'
F' R B' D2 U' R F'
D' R B' F2 L U' B'
L2 U' F L' R U R
L2 U' F R L' U R
D' R' F2 B' L U' B'
D' R' B' L F2 U' B'
D' R' B' F2 L U' B'
D' R2 F2 B' L U' B'
D' R2 B' L F2 U' B'
D' R2 B' F2 L U' B'
D' U F2 B' L U' B'
D' U B' L F2 U' B'
D' U B' F2 L U' B'
R2 D' U B' L U' B'
D' U' F2 B' L U' B'
U' D' F2 B' L U' B'
R D' B' L U' R B'
R D' B' L U' B' R
U2 D' F2 B' L U' B'
U' D' B' L F2 U' B'
D' U' B' L F2 U' B'
U D' F2 B' L U' B'
U2 D' B' L F2 U' B'
U' D' B' F2 L U' B'
D' U' B' F2 L U' B'
U D' B' L F2 U' B'
U2 D' B' F2 L U' B'
U D' B' F2 L U' B'
D' U2 F2 B' L U' B'
D' U2 B' L F2 U' B'
D' U2 B' F2 L U' B'
L' F L' F U F' R2
L2 F L' U' B' U2 R2
L2 F L' B2 U R2 F'
L' F R2 U' L' F U
L' F U' L' F U R2
F' D' R F2 B' L U'
F' D' R B' L F2 U'
F' D' R B' F2 L U'
D' F' B' L F' U' B'
D' F2 R B' L U' B'
D' F2 R' B' L U' B'
F D' F2 R B' L U'
F' D' B' L R F2 U'
D' F2 R2 B' L U' B'
F' D' B' R L F2 U'
F' D' B' R F2 L U'
F D' F2 B' L R U'
F D' F2 B' R L U'
F D' B' F2 L R U'
F D' B' F2 R L U'
D' F2 B' L R U' B'
D' F2 B' L R' U' B'
D' F2 B' L R2 U' B'
D' F2 B' L U' D B'
D' F2 B' L U' D' B'
D' F2 B' L U' D2 B'
D' F2 B' L U' B' D
D' F2 B' L U' B' D'
D' F2 B' L U' B' D2
D' F2 B' L D U' B'
D' F2 B' L D' U' B'
D' F2 B' L D2 U' B'
D' F2 B' R L U' B'
D' F2 B' R' L U' B'
D' F2 B' R2 L U' B'
B' F L' U' F R2 B
D' B' L R F2 U' B'
D' B' L R' F2 U' B'
D' B' L R2 F2 U' B'
D' B' L U' D R2 B'
D' B' L U' D B' R2
D' B' L U' B' D R2
D' B' L D U' R2 B'
D' B' L D U' B' R2
D' B' L F2 R U' B'
D' B' L F2 R' U' B'
D' B' L F2 R2 U' B'
D' B' L F2 U' D B'
D' B' L F2 U' D' B'
D' B' L F2 U' D2 B'
D' B' L F2 U' B' D
D' B' L F2 U' B' D'
D' B' L F2 U' B' D2
D' B' L F2 D U' B'
D' B' L F2 D' U' B'
D' B' L F2 D2 U' B'
B' F U2 L' U R2 F
B' F U2 L' U F R2
D' B' R L F2 U' B'
D' B' R F2 L U' B'
D' B' R' L F2 U' B'
D' B' R' F2 L U' B'
D' B' R2 L F2 U' B'
D' B' R2 F2 L U' B'
B' F' L' R U' R F
F' B' L' R U' R F
B' F' R L' U' R F
B' F' R U' D2 R F'
F B' L' U' F R2 B
F' B' R L' U' R F
B' F' R D2 U' R F'
F' B' R U' D2 R F'
F' B' R D2 U' R F'
D' B' F' L F' U' B'
D' B' F2 L R U' B'
D' B' F2 L R' U' B'
D' B' F2 L R2 U' B'
D' B' F2 L U' D B'
D' B' F2 L U' D' B'
D' B' F2 L U' D2 B'
D' B' F2 L U' B' D
D' B' F2 L U' B' D'
D' B' F2 L U' B' D2
D' B' F2 L D U' B'
D' B' F2 L D' U' B'
D' B' F2 L D2 U' B'
D' B' F2 R L U' B'
D' B' F2 R' L U' B'
D' B' F2 R2 L U' B'
F B' U2 L' U R2 F
F B' U2 L' U F R2
D B2 R2 F' R U B
