F' L2 U2 L F2 U'
F' L2 U2 F2 L U'
F' L2 D2 B2 R' U
U2 L2 F' B' R' U
U2 L2 B' F' R' U
F' U2 L' F2 R U'
F U2 L2 R F2 U
F U2 R L2 F2 U
F U2 R F2 L2 U
L2 F R F2 B' U
L2 F R B' F2 U
L2 F B' R F2 U
L2 F' B' U2 L' U'
F D2 R2 B2 L U'
L2 B' F R F2 U
L2 B' F' U2 L' U'
F' L U2 L2 F2 R U'
F L U2 L R F2 U
F L U2 R L F2 U
F L U2 R F2 L U
F' L D L U R2 F2
F' L D L U F2 R2
F' L D2 L R2 B2 U
F' L D2 L B2 R2 U
F' L D2 R2 L B2 U
U2 L F' L B' R' U
U L F' L B' U F2
L2 R' D B' U L F
L2 R' F R F' B' U
L2 R' F R B' F' U
L2 R' F B' R F' U
F L' U2 L' R F2 U
F L' U2 R L' F2 U
F' L' D2 L' B2 R' U
L2 R' B' F R F' U
F' L' F2 R U' D' L2
F' L' F2 R U2 F2 U
F' L' F2 R D' U' L2
F' L' F2 R D2 B2 U'
F' L' F2 U2 F2 L' U
F' L' F2 D' R U' L2
F' L' F2 D2 R B2 U'
F' L' F2 D2 B2 R U'
R' L2 D B' U L F
F' L2 R U2 L F2 U'
F' L2 R U2 F2 L U'
F' L2 R D2 B2 R' U
U2 L2 R B' R' F' U
F' L2 R' U2 L F2 U'
F' L2 R' U2 F2 L U'
F L2 R F2 U D R2
F L2 R F2 U2 F2 U'
F L2 R F2 D U R2
R' L2 F R F' B' U
F L2 R F2 D2 B2 U
R' L2 F R B' F' U
F' L2 R' D2 B2 R' U
R' L2 F B' R F' U
F' L2 R2 U2 L F2 U'
F' L2 R2 U2 F2 L U'
F' L2 R2 D2 B2 R' U
F' L2 U2 L U' D R2
F' L2 U2 L D U' R2
F' L2 U2 L F2 U' D
F' L2 U2 L F2 U' D'
F' L2 U2 L F2 U' D2
F' L2 U2 L F2 D U'
F' L2 U2 L F2 D' U'
F' L2 U2 L F2 D2 U'
F' L2 U2 L' F2 L2 U'
F' L2 U2 D L U' R2
F' L2 U2 F' L F' U'
F' L2 U2 F2 L U' D
F' L2 U2 F2 L U' D'
F' L2 U2 F2 L U' D2
F' L2 U2 F2 L D U'
F' L2 U2 F2 L D' U'
F' L2 U2 F2 L D2 U'
F' L2 U2 F2 D L U'
