L2 U' F L' R B2
L2 U' F L' B2 R
L2 U' F R L' B2
L2 U' F R B2 L'
L2 U' F B2 L' R
L2 U' F B2 R L'
L2 U' B2 F L' R
L2 U' B2 F R L'
L' F U' L' F B2
L' F U' L' B2 F
L' F U' B2 L' F
L2 R U' F L' R B2
L2 R U' F L' B2 R
L2 R U' F R L' B2
L2 R U' F R B2 L'
L2 R U' F B2 L' R
L2 R U' F B2 R L'
L2 R U' B2 F L' R
L2 R U' B2 F R L'
L' R F U' L' F B2
L' R F U' L' B2 F
L' R F U' B2 L' F
L2 R' U' F L' R B2
L2 R' U' F L' B2 R
L2 R' U' F R L' B2
L2 R' U' F R B2 L'
L2 R' U' F B2 L' R
L2 R' U' F B2 R L'
L2 R' U' B2 F L' R
L2 R' U' B2 F R L'
R' L' F U' L' F B2
R' L' F U' L' B2 F
L' R' F U' L' F B2
L' R' F U' L' B2 F
R' L' F U' B2 L' F
L' R' F U' B2 L' F
R2 L' F U' L' F B2
R2 L' F U' L' B2 F
R2 L' F U' B2 L' F
R L' F U' L' F B2
R L' F U' L' B2 F
R L' F U' B2 L' F
U' L' F U' L' F B2
U' L' F U' L' B2 F
U' L' F U' B2 L' F
U2 L' F U' L' F B2
U2 L' F U' L' B2 F
U2 L' F U' B2 L' F
U L' F U' L' F B2
U L' F U' L' B2 F
U L' F U' B2 L' F
R' L2 U' F L' R B2
R' L2 U' F L' B2 R
R' L2 U' F R L' B2
R' L2 U' F R B2 L'
R' L2 U' F B2 L' R
R' L2 U' F B2 R L'
L2 R2 U' F L' R B2
L2 R2 U' F L' B2 R
L2 R2 U' F R L' B2
L2 R2 U' F R B2 L'
R2 L2 U' F L' R B2
R2 L2 U' F L' B2 R
R2 L2 U' F R L' B2
R2 L2 U' F R B2 L'
R' L2 U' B2 F L' R
R' L2 U' B2 F R L'
L2 R2 U' F B2 L' R
L2 R2 U' F B2 R L'
R2 L2 U' F B2 L' R
R2 L2 U' F B2 R L'
R L2 U' F L' R B2
R L2 U' F L' B2 R
R L2 U' F R L' B2
R L2 U' F R B2 L'
R L2 U' F B2 L' R
R L2 U' F B2 R L'
L2 R2 U' B2 F L' R
L2 R2 U' B2 F R L'
R2 L2 U' B2 F L' R
R2 L2 U' B2 F R L'
R L2 U' B2 F L' R
R L2 U' B2 F R L'
D L2 R F' U R F2
L' R2 F U' L' F B2
L' R2 F U' L' B2 F
L' R2 F U' B2 L' F
U' L2 U' F L' R B2
U' L2 U' F L' B2 R
U' L2 U' F R L' B2
U' L2 U' F R B2 L'
U' L2 U' F B2 L' R
U' L2 U' F B2 R L'
U2 L2 U' F L' R B2
U2 L2 U' F L' B2 R
U2 L2 U' F R L' B2
U2 L2 U' F R B2 L'
U2 L2 U' F B2 L' R
U2 L2 U' F B2 R L'
U' L2 U' B2 F L' R
U' L2 U' B2 F R L'
F L2 U' F L R B2
F L2 U' F L B2 R
F L2 U' F R L B2
U2 L2 U' B2 F L' R
U L2 U' F L' R B2
U2 L2 U' B2 F R L'
U L2 U' F L' B2 R
U L2 U' F R L' B2
U L2 U' F R B2 L'
U L2 U' F B2 L' R
U L2 U' F B2 R L'
U L2 U' B2 F L' R
U L2 U' B2 F R L'
L' U F U' L' F B2
L' U F U' L' B2 F
L2 U F L' B' R' B'
L' U F U' B2 L' F
L2 U F B' R' B' L'
D R L2 F' U R F2
L2 U B' R' F B' L'
L2 U B' R' B' F L'
L2 U B' F R' B' L'
D R F' L2 U R F
L2 U' R F L' R B2
L2 U' R F L' B2 R
L2 U' R F R L' B2
L2 U' R F R B2 L'
L2 U' R F B2 L' R
L2 U' R F B2 R L'
L2 U' R B2 F L' R
L2 U' R B2 F R L'
L2 U' R' F L' R B2
L2 U' R' F L' B2 R
L2 U' R' F R L' B2
L2 U' R' F R B2 L'
L2 U' R' F B2 L' R
L2 U' R' F B2 R L'
L2 U' R' B2 F L' R
L2 U' R' B2 F R L'
L2 U' R2 F L' R B2
L2 U' R2 F L' B2 R
L2 U' R2 F R L' B2
L2 U' R2 F R B2 L'
L2 U' R2 F B2 L' R
L2 U' R2 F B2 R L'
L2 U' R2 B2 F L' R
L2 U' R2 B2 F R L'
L2 U' F L R B2 L2
L2 U' F L B2 L2 R
L2 U' F L B2 R L2
L2 U' F L' R B2 D
L2 U' F L' R B2 D'
L2 U' F L' R B2 D2
L2 U' F L' R' B2 R2
L' U' F U' L' F B2
L' U' F U' L' B2 F
L2 U' F L' B' R B'
L2 U' F L' B2 R D
L2 U' F L' B2 R D'
L2 U' F L' B2 R D2
L2 U' F L' B2 D R
L2 U' F L' B2 D' R
L2 U' F L' B2 D2 R
L' U' F U' B2 L' F
L2 U' F R L B2 L2
L2 U' F R L' B2 D
L2 U' F R L' B2 D'
L2 U' F R L' B2 D2
L2 U' F R B L' B
L2 U' F R B2 L' D
L2 U' F R B2 L' D'
L2 U' F R B2 L' D2
L2 U' F R B2 D L'
L2 U' F R B2 D' L'
L2 U' F R B2 D2 L'
L2 U' F R' L' B2 R2
L2 U' F R' B2 L' R2
L2 U' F R' B2 R2 L'
L2 U' F B L' B R
L2 U' F B' R B' L'
L2 U' F B2 L' R D
L2 U' F B2 L' R D'
L2 U' F B2 L' R D2
L2 U' F B2 L' D R
L2 U' F B2 L' D' R
L2 U' F B2 L' D2 R
L2 U' F B2 R L' D
L2 U' F B2 R L' D'
L2 U' F B2 R L' D2
L2 U' F B2 R D L'
L2 U' F B2 R D' L'
L2 U' F B2 R D2 L'
L2 U' F B2 D L' R
L2 U' F B2 D R L'
L2 U' F B2 D' L' R
L2 U' F B2 D' R L'
L2 U' F B2 D2 L' R
L2 U' F B2 D2 R L'
L2 U' B F L' B R
L2 U' B' F R B' L'
L2 U' B2 R F L' R
L2 U' B2 R F R L'
L2 U' B2 R' F L' R
L2 U' B2 R' F R L'
L2 U' B2 R2 F L' R
L2 U' B2 R2 F R L'
L2 U' B2 F L' R D
L2 U' B2 F L' R D'
L2 U' B2 F L' R D2
L2 U' B2 F L' D R
L2 U' B2 F L' D' R
L2 U' B2 F L' D2 R
L2 U' B2 F R L' D
L2 U' B2 F R L' D'
L2 U' B2 F R L' D2
L2 U' B2 F R D L'
L2 U' B2 F R D' L'
L2 U' B2 F R D2 L'
L2 U' B2 F D L' R
L2 U' B2 F D R L'
L2 U' B2 F D' L' R
L2 U' B2 F D' R L'
L2 U' B2 F D2 L' R
L2 U' B2 F D2 R L'
L' U2 F U' L' F B2
L' U2 F U' L' B2 F
L' U2 F U' B2 L' F
L' F L U' L2 F B2
L' F L U' L2 B2 F
L2 F L' U' B' U B'
L2 F L' B D' B R2
L2 F L' B2 U' B U
L' F R U' L' F B2
L' F R U' L' B2 F
L' F R U' B2 L' F
L' F R' U' L' F B2
L' F R' U' L' B2 F
L' F R' U' B2 L' F
L' F R2 U' L' F B2
L' F R2 U' L' B2 F
L' F R2 U' B2 L' F
L' F U L' F B2 R'
L' F U L' B2 R' F
L' F U L' B2 F R'
L' F U' L' F B2 D
L' F U' L' F B2 D'
L' F U' L' F B2 D2
L' F U' L' B2 D F
L' F U' L' B2 D' F
L' F U' L' B2 D2 F
L' F U' L' B2 F D
L' F U' L' B2 F D'
L' F U' L' B2 F D2
L' F U' B L' F B
L' F U' B L' B F
L' F U' B2 L' D F
L' F U' B2 L' D' F
L' F U' B2 L' D2 F
L' F U' B2 L' F D
L' F U' B2 L' F D'
L' F U' B2 L' F D2
L' F B U' L' F B
L' F B U' L' B F
L' F B U' B L' F
L2 F B L' B D' R2
L' F B' U' B' L' F
L2 F B2 L' U' B' U
L2 B U' F L' B R
L2 B U' F B L' R
L2 B U' F B R L'
L2 B U' B F L' R
L2 B U' B F R L'
B2 F L' R2 F' D R2
B2 F L' F' D R2 F'
L' B F U' L' F B
L' B F U' L' B F
L' B F U' B L' F
L2 B F L' B D' R2
B2 F R2 L' F' D R2
B2 F R2 D L' F' R
D' B' L U' R2 B' U'
D' B' L U' B' R2 U'
B2 F D L' R2 F' R
B2 F D R2 L' F' R
L2 B' U F B' L' R'
L2 B' U F B' R' L'
L2 B' U B' R' F L'
L2 B' U B' F L' R'
L2 B' U B' F R' L'
L2 B' U' F R B' L'
L2 B' U' F B' L' R
L2 B' U' F B' R L'
L2 B' U' B' F L' R
L2 B' U' B' F R L'
L' B' F U' B' L' F
F B2 L' R2 F' D R2
F B2 L' F' D R2 F'
L' B2 U F U' L' F
B2 F2 R2 D F' L' R
B2 F2 R2 D F' R L'
F2 B2 R2 D F' L' R
F2 B2 R2 D F' R L'
F B2 R2 L' F' D R2
F B2 R2 D L' F' R
B2 F2 D R2 F' L' R
B2 F2 D R2 F' R L'
F2 B2 D R2 F' L' R
F2 B2 D R2 F' R L'
L2 B2 F L' U' B' U
F B2 D L' R2 F' R
F B2 D R2 L' F' R
