R2 L D' F L'
L R2 D' F L'
R2 D' L F L'
F L R2 D' F L'
F2 L R2 D' F L'
F' L R2 D' F L'
R2 L D' F L' D
R2 L D' F L' D'
R2 L D' F L' D2
R2 L D' F D L'
R2 L D' F D' L'
R2 L D' F D2 L'
R' L F R' D' L2
R' L F D' L2 R'
R' L F D' R' L2
R2 L' D' L2 F L'
L R' F R' D' L2
L R' F D' L2 R'
L R' F D' R' L2
L' R2 D' L2 F L'
L R2 D' F L' D
L R2 D' F L' D'
L R2 D' F L' D2
L R2 D' F D L'
L R2 D' F D' L'
L R2 D' F D2 L'
R U B L U' R
R2 U' F R F' U
F' R2 L D' F L'
F2 R2 L D' F L'
F R2 L D' F L'
F' R2 D' L F L'
F2 R2 D' L F L'
B R2 D B' L F
F R2 D' L F L'
R2 D L D2 F L'
R2 D B' L F B
R2 D B' L B F
R2 D' L F L' D
R2 D' L F L' D'
R2 D' L F L' D2
R2 D' L F D L'
R2 D' L F D' L'
R2 D' L F D2 L'
R2 D' L2 F L' F
R2 D' F L F L2
R2 F L D' F L'
R2 F D' L F L'
R2 F' L D' F L'
R2 F' D' L F L'
R2 F2 L D' F L'
R2 F2 D' L F L'
U' B U L R2 F
U' B U L F R2
U' B U R2 L F
R2 B D B' L F
L R U B U' R F
R L U B U' R F
F' L R' F R' D' L2
F' L R' F D' L2 R'
F' L R' F D' R' L2
R2 L U' R F' U F2
F2 L R' F R' D' L2
F2 L R' F D' L2 R'
F2 L R' F D' R' L2
F L R' F R' D' L2
D L R' F D' L2 R2
D L R' F D' R2 L2
F L R' F D' L2 R'
F L R' F D' R' L2
R' L U' F' U R' F2
R' L U' F' U F2 R'
F' L R2 D' F L' D
F' L R2 D' F L' D'
F' L R2 D' F L' D2
F' L R2 D' F D L'
F' L R2 D' F D' L'
F' L R2 D' F D2 L'
F2 L R2 D' F L' D
F2 L R2 D' F L' D'
F2 L R2 D' F L' D2
F2 L R2 D' F D L'
F2 L R2 D' F D' L'
F2 L R2 D' F D2 L'
D L R2 D' R2 F L'
D L R2 D' F L' R2
D L R2 D' F R2 L'
F L R2 D' F L' D
F L R2 D' F L' D'
F L R2 D' F L' D2
B L R2 D' F L' B'
F L R2 D' F D L'
F L R2 D' F D' L'
F L R2 D' F D2 L'
B2 L R2 B2 D' F L'
U2 L U F R U R
B2 L U F R2 B2 L
R' L D R' D' F L'
L R D R D' F L'
R L D R D' F L'
R' L D F R' D' L2
R' L D F D' L2 R'
R' L D F D' R' L2
R2 L D F B' L B
R2 L D B' F L B
R2 L D' L F L' F
B' L U' F B L R2
B' L U' F B R2 L
R' L D' R' D' F L'
B' L U' B R2 F L
R2 L D' R F L' R'
R2 L D' R F R' L'
B' L U' B F L R2
B' L U' B F R2 L
L R D' R D' F L'
R2 L D' R2 F L' R2
R2 L D' R2 F R2 L'
R L D' R D' F L'
R' L D' F R' D' L2
R' L D' F D' L2 R'
R' L D' F D' R' L2
R2 L D' F L2 D L
R2 L D' F L2 D' L
R2 L D' F L2 D2 L
R2 L D' F D L' D
R2 L D' F D L' D'
R2 L D' F D L' D2
R2 L D' F D' L' D
R2 L D' F D' L' D'
R2 L D' F D' L' D2
R2 L D' F D2 L' D
R2 L D' F D2 L' D'
R2 L D' F D2 L' D2
R2 L D' F B' L' B
R2 L D' F B2 L' B2
R2 L D' F' L F2 L'
R2 L D' F' L' F2 L'
R2 L D' F' L2 F2 L'
R2 L D' F2 L F' L'
R2 L D' F2 L' F' L'
R2 L D' F2 L2 F' L'
R2 L D' F2 D F' L'
R2 L D' F2 D' F' L'
R2 L D' F2 D2 F' L'
R2 L D' B' F L' B
R2 L D' B2 F L' B2
R' L D2 R' D' F L'
L R D2 R D' F L'
R L D2 R D' F L'
R' L D2 F R' D' L2
R' L D2 F D' L2 R'
R' L D2 F D' R' L2
D' L D R2 D' F L'
R' L F L R' D' L2
R' L F L D' L2 R'
R' L F L D' R' L2
R' L F L' R' D' L2
R' L F L' D' L2 R'
R' L F L' D' R' L2
R' L F L2 R' D' L2
R' L F L2 D' L2 R'
R' L F L2 D' R' L2
R' L F R' L D' L2
R' L F R' L' D' L2
R' L F R' L2 D' L2
R' L F R' U' F2 U
R' L F R' D' L2 D
R' L F R' D' L2 D'
R' L F R' D' L2 D2
R' L F R2 D' L2 R
R' L F R2 D' R L2
R' L F U' F2 U R'
R' L F D' L2 R' D
R' L F D' L2 R' D'
R' L F D' L2 R' D2
R' L F D' L2 D R'
R' L F D' L2 D' R'
R' L F D' L2 D2 R'
R' L F D' R' L2 D
R' L F D' R' L2 D'
R' L F D' R' L2 D2
R' L F D2 R' D L2
R2 L F D B' L B
R2 L F D' F L' F'
R2 L F B D B' L
D L D' R2 D' F L'
R' L F' R' F2 D' L2
R2 L F2 D' F L' F2
L R B U' R F B'
L R B U' R B' F
L R B U' B' R F
R L B U' R F B'
R L B U' R B' F
R L B U' B' R F
R2 L B D F B' L
R2 L B D B' F L
R2 L B D' F B' L'
R2 L B D' B' F L'
R2 L B F D B' L
R2 L B' D' F L' B
R2 L B' D' F B L'
R2 L B' D' B F L'
B' L B R2 D' F L'
L R' U' F' U R' F2
L R' U' F' U F2 R'
B2 L B2 R2 D' F L'
R2 L' U2 D B' U2 L
R2 L' D L2 D2 F L'
L R' D R' D' F L'
R2 L' D U2 B' U2 L
L R' D F R' D' L2
L R' D F D' L2 R'
L R' D F D' R' L2
R2 L' D' L' F L' F
R2 L' D' L2 F L' D
R2 L' D' L2 F L' D'
R2 L' D' L2 F L' D2
R2 L' D' L2 F D L'
R2 L' D' L2 F D' L'
R2 L' D' L2 F D2 L'
L R' D' R' D' F L'
F' L' R2 D' L2 F L'
F2 L' R2 D' L2 F L'
F L' R2 D' L2 F L'
L R' D' F R' D' L2
R2 L' D' F L2 F L
L R' D' F D' L2 R'
L R' D' F D' R' L2
L R' D2 R' D' F L'
L R' D2 F R' D' L2
L R' D2 F D' L2 R'
L R' D2 F D' R' L2
R' L' F R' D' L2 F
L R' F L R' D' L2
L R' F L D' L2 R'
B2 L' U B2 R2 F' L'
L R' F L D' R' L2
L' R' F R' D' L2 F
L R' F L' R' D' L2
L R' F L' D' L2 R'
L R' F L' D' R' L2
L R' F L2 R' D' L2
R2 L' F L2 D' F L'
L R' F L2 D' L2 R'
L R' F L2 D' R' L2
L R' F R' L D' L2
L R' F R' L' D' L2
L R' F R' L2 D' L2
L R' F R' U' F2 U
L R' F R' D' L2 D
L R' F R' D' L2 D'
L R' F R' D' L2 D2
L R' F R2 D' L2 R
L R' F R2 D' R L2
R' L' F D' L2 R' F
R' L' F D' L2 F R'
R' L' F D' R' L2 F
L' R' F D' L2 R' F
L' R' F D' L2 F R'
L' R' F D' R' L2 F
L R' F U' F2 U R'
R2 L' F D' L2 F L'
L R' F D' L2 R' D
L R' F D' L2 R' D'
L R' F D' L2 R' D2
L R' F D' L2 D R'
L R' F D' L2 D' R'
L R' F D' L2 D2 R'
L R' F D' R' L2 D
L R' F D' R' L2 D'
L R' F D' R' L2 D2
L R' F D2 R' D L2
R2 L' F' L2 D' F L'
L R' F' R' F2 D' L2
R2 L' F' D' L2 F L'
R2 L' F2 L2 D' F L'
R2 L' F2 D' L2 F L'
L R2 U' R F' U F2
L' R2 U2 D B' U2 L
L' R2 D L2 D2 F L'
L' R2 D U2 B' U2 L
L R2 D F B' L B
L' R2 D' L' F L' F
L' R2 D' L2 F L' D
L' R2 D' L2 F L' D'
L' R2 D' L2 F L' D2
L' R2 D' L2 F D L'
L' R2 D' L2 F D' L'
L' R2 D' L2 F D2 L'
L R2 D B' F L B
L R2 D' L F L' F
L' R2 D' F L2 F L
L R2 D' R F L' R'
L R2 D' R F R' L'
L R2 D' R2 F L' R2
L R2 D' R2 F R2 L'
L2 R2 D' F D L' F
R2 L2 D' F D L' F
L R2 D' F L2 D L
L R2 D' F L2 D' L
L R2 D' F L2 D2 L
L R2 D' F D L' D
L R2 D' F D L' D'
L R2 D' F D L' D2
L R2 D' F D' L' D
L R2 D' F D' L' D'
L R2 D' F D' L' D2
L R2 D' F D2 L' D
L R2 D' F D2 L' D'
L R2 D' F D2 L' D2
L R2 D' F B' L' B
L R2 D' F B2 L' B2
L R2 D' F' L F2 L'
L R2 D' F' L' F2 L'
L R2 D' F' L2 F2 L'
L R2 D' F2 L F' L'
L R2 D' F2 L' F' L'
L R2 D' F2 L2 F' L'
L R2 D' F2 D F' L'
L R2 D' F2 D' F' L'
L R2 D' F2 D2 F' L'
L R2 D' B' F L' B
L R2 D' B2 F L' B2
L' R2 F L2 D' F L'
L2 R2 F L' D' F L'
R2 L2 F L' D' F L'
L' R2 F D' L2 F L'
L R2 F D B' L B
L R2 F D' F L' F'
L' R2 F' L2 D' F L'
L R2 F B D B' L
L2 R2 F' L' D' F L'
R2 L2 F' L' D' F L'
L' R2 F' D' L2 F L'
L' R2 F2 L2 D' F L'
L2 R2 F2 L' D' F L'
R2 L2 F2 L' D' F L'
L' R2 F2 D' L2 F L'
L R2 F2 D' F L' F2
L R2 B D F B' L
L R2 B D B' F L
L R2 B D' F B' L'
L R2 B D' B' F L'
L R2 B F D B' L
L R2 B' D' F L' B
L R2 B' D' F B L'
L R2 B' D' B F L'
R U L B L U' R
R U L' B L U' R
R U L2 B L U' R
R2 U R' B L R U'
R2 U R' B R L U'
R U D B L U' R
R U D' B L U' R
R2 U D2 B L B' U'
R U D2 B L U' R
L U F R2 D B2 L
L2 U F' U' L' R2 F
L2 U F' U' L' F R2
L2 U F' U' R2 L' F
L U F' U' L' R2 F2
L U F' U' L' F2 R2
L U F' U' R2 L' F2
D' R U F2 B L U'
D' R U B L F2 U'
F' R U B L U' R
D' R U B F2 L U'
F2 R U B L U' R
F R U B L U' R
R U B L U' R D
R U B L U' R D'
R U B L U' R D2
R U B L U' D R
R U B L U' D' R
R U B L U' D2 R
R U B L D U' R
R U B L D' U' R
R U B L D2 U' R
R2 U B D2 L B' U'
R U B D L U' R
R U B D' L U' R
R U B D2 L U' R
R2 U' R F R F2 U
R2 U' R F' U2 L' U'
R2 U' R' U2 B L U'
U' R B U L R F
U' R B U R L F
R2 U' D' F R U L'
F' R' L F R' D' L2
F' R' L F D' L2 R'
F' R' L F D' R' L2
F2 R' L F R' D' L2
F2 R' L F D' L2 R'
F2 R' L F D' R' L2
D R' L F D' L2 R2
D R' L F D' R2 L2
R' U' F R F2 U R2
F R' L F R' D' L2
F R' L F D' L2 R'
F R' L F D' R' L2
R2 U' F R D F' U
R2 U' F R D' F' U
R2 U' F R D2 F' U
R2 U' F R F' U D
R2 U' F R F' U D'
R2 U' F R F' U D2
R2 U' F R F' D U
R2 U' F R F' D' U
R2 U' F R F' D2 U
R' U' F' U2 L' U' R'
R2 U' F2 R F' R U
L U' B U R2 F L
L U' B U F L R2
L U' B U F R2 L
R2 U2 R B U F' U
R2 U2 R' U' B U' F'
R2 U2 D R B R' U2
R2 U2 D B R' U2 F'
R2 U2 D B' U2 L F
F' R2 L D' F L' D
F' R2 L D' F L' D'
F' R2 L D' F L' D2
F' R2 L D' F D L'
F' R2 L D' F D' L'
F' R2 L D' F D2 L'
F2 R2 L D' F L' D
F2 R2 L D' F L' D'
F2 R2 L D' F L' D2
F2 R2 L D' F D L'
F2 R2 L D' F D' L'
F2 R2 L D' F D2 L'
D R2 L D' R2 F L'
D R2 L D' F L' R2
D R2 L D' F R2 L'
B R2 L D' F L' B'
B2 R2 L B2 D' F L'
F' R2 L' D' L2 F L'
F R2 L D' F L' D
F R2 L D' F L' D'
F R2 L D' F L' D2
F R2 L D' F D L'
F R2 L D' F D' L'
F R2 L D' F D2 L'
F2 R2 L' D' L2 F L'
F R2 L' D' L2 F L'
F' R2 U' F R F' U
F2 R2 U' F R F' U
F R2 U' F R F' U
F' R2 D L D2 F L'
F2 R2 D L D2 F L'
F' R2 D B' L F B
F' R2 D B' L B F
F R2 D L D2 F L'
F' R2 D' L F L' D
F' R2 D' L F L' D'
F' R2 D' L F L' D2
F' R2 D' L F D L'
F' R2 D' L F D' L'
F' R2 D' L F D2 L'
F2 R2 D B' L F B
F2 R2 D B' L B F
F' R2 D' L2 F L' F
R' D L R' D' F L'
F2 R2 D' L F L' D
F2 R2 D' L F L' D'
F2 R2 D' L F L' D2
F2 R2 D' L F D L'
F2 R2 D' L F D' L'
F2 R2 D' L F D2 L'
B R2 D F B' L F
B R2 D F' B' L F
F2 R2 D' L2 F L' F
B R2 D F2 B' L F
B R2 D B' L D F
B R2 D B' L D' F
B R2 D B' L D2 F
B R2 D B' L F D
B R2 D B' L F D'
B R2 D B' L F D2
B R2 D B' D L F
B R2 D B' D' L F
B R2 D B' D2 L F
F' R2 D' F L F L2
B R2 D B' F L F
B R2 D B' F' L F
B R2 D B' F2 L F
D R2 D' L R2 F L'
B R2 D' L F L' B'
D R2 D' L F L' R2
D R2 D' L F R2 L'
R' D L F R' D' L2
F R2 D B' L F B
F R2 D B' L B F
R' D L F D' L2 R'
R' D L F D' R' L2
F2 R2 D' F L F L2
F R2 D' L F L' D
F R2 D' L F L' D'
F R2 D' L F L' D2
F R2 D' L F D L'
F R2 D' L F D' L'
F R2 D' L F D2 L'
D R2 D' R2 L F L'
F R2 D' L2 F L' F
B R2 D' B' L F L'
F R2 D' F L F L2
R D L R D' F L'
R2 D L D2 F L' D
R2 D L D2 F L' D'
R2 D L D2 F L' D2
R2 D L D2 F D L'
R2 D L D2 F D' L'
R2 D L D2 F D2 L'
R2 D L F B' L B
R2 D L B' F L B
F' R2 F L D' F L'
F2 R2 F L D' F L'
R2 D L' U2 B' U2 L
R2 D L' D2 L2 F L'
F' R2 F D' L F L'
F2 R2 F D' L F L'
F R2 F L D' F L'
F' R2 F' L D' F L'
F2 R2 F' L D' F L'
B R2 F D B' L F
F' R2 F' D' L F L'
F R2 F D' L F L'
F2 R2 F' D' L F L'
F' R2 F2 L D' F L'
F R2 F' L D' F L'
R' D R' L D' F L'
F2 R2 F2 L D' F L'
B R2 F' D B' L F
F' R2 F2 D' L F L'
R' D R' D' L F L'
F R2 F' D' L F L'
R D R L D' F L'
F2 R2 F2 D' L F L'
F R2 F2 L D' F L'
R D R D' L F L'
B R2 F2 D B' L F
F' R2 B D B' L F
F R2 F2 D' L F L'
F2 R2 B D B' L F
L D R' F D' L2 R2
L D R' F D' R2 L2
F R2 B D B' L F
B R2 B' L D' F L'
B2 R2 B' D B' L F
L D R2 D' R2 F L'
L D R2 D' F L' R2
L D R2 D' F R2 L'
B2 R2 B2 L D' F L'
B R2 B' D' L F L'
B2 R2 B2 D' L F L'
R D U B L U' R
R2 D U2 R B R' U2
R2 D U2 B R' U2 F'
R2 D U2 B' U2 L F
R2 D F L D2 F L'
R2 D F D2 L F L'
R2 D F B' L F B
R2 D F B' L B F
R2 D F' L D2 F L'
R2 D F' D2 L F L'
R2 D F' B' L F B
R2 D F' B' L B F
R2 D F2 L D2 F L'
R2 D F2 D2 L F L'
R2 D F2 B' L F B
R2 D F2 B' L B F
R2 D B' L D F B
R2 D B' L D B F
R2 D B' L D' F B
R2 D B' L D' B F
R2 D B' L D2 F B
R2 D B' L D2 B F
R2 D B' L F D B
R2 D B' L F D' B
R2 D B' L F D2 B
R2 D B' L F B D
R2 D B' L F B D'
R2 D B' L F B D2
R2 D B' L B D F
R2 D B' L B D' F
R2 D B' L B D2 F
R2 D B' L B F D
R2 D B' L B F D'
R2 D B' L B F D2
R2 D B' L2 B L' F
R2 D B' D L F B
R2 D B' D L B F
R2 D B' D' L F B
R2 D B' D' L B F
R2 D B' D2 L F B
R2 D B' D2 L B F
R2 D B' F L F B
R2 D B' F L B F
R2 D B' F' L F B
R2 D B' F' L B F
R2 D B' F2 L F B
R2 D B' F2 L B F
R' D' L R' D' F L'
R' D' L F R' D' L2
R' D' L F D' L2 R'
R' D' L F D' R' L2
R2 D' L R F L' R'
R2 D' L R F R' L'
R2 D' L R2 F L' R2
R2 D' L R2 F R2 L'
D' U F2 U' L F L'
R2 D' L F L2 D L
R2 D' L F L2 D' L
R2 D' L F L2 D2 L
R2 D' L F D L' D
R2 D' L F D L' D'
R2 D' L F D L' D2
R2 D' L F D' L' D
R2 D' L F D' L' D'
R2 D' L F D' L' D2
R2 D' L F D2 L' D
R2 D' L F D2 L' D'
R2 D' L F D2 L' D2
R2 D' L F B' L' B
R2 D' L F B2 L' B2
R2 D' L F' L F2 L'
R2 D' L F' L' F2 L'
R2 D' L F' L2 F2 L'
R2 D' L F2 L F' L'
R2 D' L F2 L' F' L'
R2 D' L F2 L2 F' L'
R D' L R D' F L'
R2 D' L F2 D F' L'
R2 D' L F2 D' F' L'
R2 D' L F2 D2 F' L'
R2 D' L B' F L' B
R2 D' L B2 F L' B2
R2 D' L' F L2 F L
R2 D' L2 F L' D F
R2 D' L2 F L' D' F
R2 D' L2 F L' D2 F
R2 D' L2 F L' F D
R2 D' L2 F L' F D'
R2 D' L2 F L' F D2
R' D' R' L D' F L'
R2 D' R L F L' R'
R2 D' R L F R' L'
R' D' R' D' L F L'
R D' R L D' F L'
R D' R D' L F L'
R2 D' R2 L F L' R2
R2 D' R2 L F R2 L'
R2 D' U' F R U L'
R D' U B L U' R
R2 D' F L F L2 D
R2 D' F L F L2 D'
R2 D' F L F L2 D2
R2 D' F L F' L2 F2
R2 D' F L F2 L2 F'
R2 D' F L' U2 B' U2
R2 D' F D L F L2
R2 D' F D' L F L2
R2 D' F D2 L F L2
R2 D' F' L F2 L' F'
R2 D' F' L2 F2 L' F
R2 D' F' U2 R B U2
R2 D' F2 L F' L' F2
R2 D' F2 L2 F' L' F
R2 D' B L F L' B'
R2 D' B D2 B' L F
R2 D' B' L F L' B
R2 D' B' L F B L'
R2 D' B' L B F L'
R' D2 L R' D' F L'
R2 D' B2 L F L' B2
R2 D' B2 L F B2 L'
R2 D' B2 L B2 F L'
R' D2 L F R' D' L2
R' D2 L F D' L2 R'
R' D2 L F D' R' L2
U D' F2 U' L F L'
R2 D2 L U B' U' F
R2 D2 L F U B' U'
R D2 L R D' F L'
R2 D2 L' F' D' L2 F
R' D2 R' L D' F L'
R' D2 R' D' L F L'
R D2 R L D' F L'
F' U' B U L R2 F
F' U' B U L F R2
F' U' B U R2 L F
R D2 R D' L F L'
F2 U' B U L R2 F
F2 U' B U L F R2
F2 U' B U R2 L F
F U' B U L R2 F
F U' B U L F R2
F U' B U R2 L F
R2 D2 U B L B' U'
R D2 U B L U' R
R2 D2 F D L F L'
R2 D2 F' D L F L'
R2 D2 F2 D L F L'
R2 D2 B D' B' L F
R' F L R' D' F L2
R' F L D' R' F L2
R' F L D' F L2 R'
R' F L D' F R' L2
R' F L' R' D' L2 F
R' F L' D' L2 R' F
R' F L' D' L2 F R'
R' F L' D' R' L2 F
R2 F L D' F L' D
R2 F L D' F L' D'
R2 F L D' F L' D2
R2 F L D' F D L'
R2 F L D' F D' L'
R2 F L D' F D2 L'
L2 F L' R2 D' F L'
L' F L2 R2 D' F L'
R2 F L' D' L2 F L'
U' F R B U L R
U' F R B U R L
R' F R' L D' F L2
R' F R' L' D' L2 F
R' F R' D' L F L
L F R U B U' R
L' F R2 L2 D' F L'
L' F R2 D' L2 F L'
L2 F R2 L' D' F L'
L F R' U' F' U R'
L F R2 D B' L B
L F R2 D' F L' F'
L F R2 F' D' F L'
L F R2 B D B' L
U F U R B U2 R
L F U F' U' L' R2
L F U F' U' R2 L'
