F2 R U R B U
F2 L R U R B U
B L F2 U R2 U L2
B L F2 U2 L2 D' F2
F2 L' R U R B U
D' L' U' L' B' U F2
B' L' D' R' F2 D' B2
B' L' D' F2 R' D' B2
B' L' D' F2 D' R' B2
B L' D' F2 D' R2 B2
B L' D' F2 D' B2 R2
B' L' D2 R' B2 D F2
B L' D2 R2 B2 D F2
B L' D2 B2 R2 D F2
D' L' F2 B' R' D B2
D' L' B' F2 R' D B2
F2 L2 R U R B U
F2 R L U R B U
F2 R L' U R B U
F2 R L2 U R B U
F2 R U R D B U
F2 R U R D' B U
F2 R U R D2 B U
F2 R U R B U D
F2 R U R B U D'
F2 R U R B U D2
F2 R U R B D U
F2 R U R B D' U
F2 R U R B D2 U
F2 R U D R B U
F2 R U D' R B U
F2 R U D2 R B U
F2 R U B R B U
F2 R U B' R B U
F2 R U B2 R B U
F2 R U2 F D R F'
F2 R D U R B U
F2 R D' U R B U
F2 R D2 U R B U
F2 R B L U R U
F2 R B' U R U R2
F2 R B' U2 R' D' F2
B' R' D2 B2 L' D F2
B' R2 U L' R D2 B2
B' R2 U L' D2 R B2
B' R2 U L' D2 B2 R
B' R2 U R L' D2 B2
B' R2 U R D2 L' B2
B' R2 U R D2 B2 L'
B' R2 U D2 L' R B2
B' R2 U D2 L' B2 R
B' R2 U D2 R L' B2
B' R2 U D2 R B2 L'
B' R2 U D2 B2 L' R
B' R2 U D2 B2 R L'
B R2 U L' D2 R2 B2
B R2 U L' D2 B2 R2
B R2 U D2 B2 L' R'
B R2 U D2 B2 R' L'
B R2 U' L F2 U2 L2
B' R2 U' F2 L' R U2
B' R2 U' F2 R L' U2
B R2 U' F2 L R U2
B R2 U' F2 R L U2
B' R2 D' L2 U L R
B' R2 D' L2 U R L
B' R2 D2 U L' R B2
B' R2 D2 U L' B2 R
B' R2 D2 U R L' B2
B' R2 D2 U R B2 L'
B' R2 D2 U B2 L' R
B' R2 D2 U B2 R L'
B R2 D2 U B2 L' R'
B R2 D2 U B2 R' L'
L' D' F2 D' B' R' B'
L' D' F2 B D' B2 R'
L' D' F2 B' R' D' B2
L' D' F2 B' D' R' B2
L' D' B F2 D' B2 R'
L' D' B' R' F2 D' B2
R2 D' B' L2 U L R'
R2 D' B' L2 U R' L
L' D' B' F2 R' D' B2
L' D' B' F2 D' R' B2
L' D2 B' R' D F2 B'
L' D2 B' R' D B' F2
L' D2 B' R' B' D F2
L' D2 B' D R' F2 B'
L' D2 B' D R' B' F2
L' D2 B' D F2 R' B'
R2 D2 B' U R' B' L'
F2 U2 D' F R F L'
L F L2 D' F2 B' R'
L F L2 D' B' R' F2
L F L2 D' B' F2 R'
L F L2 B' D' R' F2
L F L2 B' D' F2 R'
F2 D R B L B U2
