R F' D' R2 B L
L' R F' D' R2 B L
L R F' D' R2 B L
L2 R F' D' R2 B L
R L F' D' R2 B L
R L' F' D' R2 B L
R L2 F' D' R2 B L
F2 R U B2 U F' L'
F2 R U2 D' F' L' R2
F2 R U2 D' F' R2 L'
F2 R U2 F' L' D' R2
F2 R U2 F' D' L' R2
F2 R U2 F' D' R2 L'
F2 R D L2 U2 F' L'
F2 R D' U2 F' L' R2
F2 R D' U2 F' R2 L'
U2 R F' L' D' R2 B
U2 R F' D' L' R2 B
U2 R F' D' R2 L' B
U2 R F' D' R2 B L'
B2 R' U' F2 B R' U2
B2 R' U' B R' F2 U2
B2 R' U' B F2 R' U2
F2 R' U2 D' R2 F' L'
F2 R' D L2 B U2 L
F2 R' D B L2 U2 L'
F2 R' D' U2 R2 F' L'
F2 R' D' B U2 L R2
F2 R' D' B U2 R2 L
B' R' F2 B U B2 U
B' R' F2 B U2 D' R2
B' R' F2 B D L2 U2
B' R' F2 B D' U2 R2
B' R' B F2 U B2 U
B' R' B F2 U2 D' R2
B' R' B F2 D L2 U2
B' R' B F2 D' U2 R2
R U2 F' L' D' R2 B
R U2 F' D' L' R2 B
R U2 F' D' R2 L' B
R U2 F' D' R2 B L'
B2 U D2 L' F L' B2
B2 U D2 L' F B2 L'
B2 U D2 L' B2 F L'
B2 U D2 F L' F B2
B2 U D2 F L' B2 F
B2 U D2 F B2 L' F
B2 U D2 B2 L' F L'
B2 U D2 B2 F L' F
B2 U' R' F2 B R' U2
B2 U' R' B R' F2 U2
B2 U' R' B F2 R' U2
B2 U' F2 R' B R' U2
B2 U' F2 B R' B U2
B2 U' B R' F2 B U2
B2 U' B R' B F2 U2
B2 U' B F2 R' B U2
F2 U2 R D' F' L' R2
F2 U2 R D' F' R2 L'
F2 U2 R F' L' D' R2
F2 U2 R F' D' L' R2
F2 U2 R F' D' R2 L'
F2 U2 R' D' R2 F' L'
R F' L D' R2 B L
R F' L' D' R2 B L
R F' L2 D' R2 B L
R F' R2 D' B L R2
R F' R2 D' B R2 L
B2 D' L2 R F' R U
R' F' D' R2 F' B L
R' F' D' R2 B L F'
R' F' D' R2 B F' L
B2 D' L2 F' R F' U
B2 D' R L2 F' R U
B2 D' R F' L2 R U
B2 D' R F' R L2 U
R F' D' L R2 B L
R F' D' L' R2 B L
R F' D' L2 R2 B L
R F' D' R2 L B L
R F' D' R2 L' B L
R F' D' R2 L2 B L
R F' D' R2 D B L
R F' D' R2 D' B L
R F' D' R2 D2 B L
R F' D' R2 B L D
R F' D' R2 B L D'
R F' D' R2 B L D2
R F' D' R2 B D L
R F' D' R2 B D' L
R F' D' R2 B D2 L
R F' D' B L R2 B
R F' D' B R2 L B
B2 D' F' L2 R F' U
B2 D' F' R L2 F' U
B2 D' F' R F' L2 U
R' F2 U2 D' R2 F' L'
R' F2 D L2 B U2 L
B2 D2 L' U F L' B2
B2 D2 L' U F B2 L'
B2 D2 L' U B2 F L'
R' F2 D B L2 U2 L'
R' F2 D' U2 R2 F' L'
R' F2 D' B U2 L R2
R' F2 D' B U2 R2 L
R F2 D L2 B' R' U2
R F2 D' F R2 B L
B2 D2 U L' F L' B2
B2 D2 U L' F B2 L'
B2 D2 U L' B2 F L'
B2 D2 U F L' F B2
B2 D2 U F L' B2 F
B2 D2 U F B2 L' F
B2 D2 U B2 L' F L'
B2 D2 U B2 F L' F
B2 D2 F U L' F B2
B2 D2 F U L' B2 F
B2 D2 F U B2 L' F
F2 B' R' B U B2 U
F2 B' R' B U2 D' R2
F2 B' R' B D L2 U2
F2 B' R' B D' U2 R2
B' F2 R' B U B2 U
B' F2 R' B U2 D' R2
B' F2 R' B D L2 U2
B' F2 R' B D' U2 R2
R' B2 U' F2 B' U2 L
R' B2 U' B' F2 U2 L
