B' U L U2 B'
B' R U L U2 B'
B' R' U L U2 B'
B' R2 U L U2 B'
B' U L U2 D B'
B' U L U2 D' B'
B' U L U2 D2 B'
B' U L U2 B' D
B' U L U2 B' D'
B' U L U2 B' D2
B' U L D U2 B'
B' U L D' U2 B'
B' U L D2 U2 B'
B' U L F U2 B'
B' U L F' U2 B'
B' U L F2 U2 B'
B' U L' F L2 U2
B' U F L U2 B'
B' U F' L U2 B'
B' U F2 L U2 B'
B' U' D2 B2 R' B
B' U' B2 D2 R' B
B' D2 U' B2 R' B
B' F U L U2 B'
R' B' U L U2 B'
R2 B' U L U2 B'
R B' U L U2 B'
F' B' U L U2 B'
B' F' U L U2 B'
F2 B' U L U2 B'
F B' U L U2 B'
B' F2 U L U2 B'
U2 L U B L R' B2
U2 L U B R' L B2
B' L U' L' U' L B'
B' R U L U2 D B'
B' R U L U2 D' B'
B' R U L U2 D2 B'
B' R U L U2 B' D
B' R U L U2 B' D'
B' R U L U2 B' D2
B' R U L D U2 B'
B' R U L D' U2 B'
B' R U L D2 U2 B'
B' R U L F U2 B'
B' R U L F' U2 B'
B' R U L F2 U2 B'
B' R U L' F L2 U2
B' R U F L U2 B'
B' R U F' L U2 B'
B' R U F2 L U2 B'
B' R U' D2 B2 R' B
B' R U' B2 D2 R' B
B' R D2 U' B2 R' B
D' R D2 F' R B' U'
D' R D2 F' B' R U'
D' R D2 B' F' R U'
B' R F U L U2 B'
B' R F' U L U2 B'
D' R F' B R' B2 U'
D' R F' B' U2 L U
B' R F2 U L U2 B'
D' R B F' R' B2 U'
D2 R B' U F' U2 R
F' R B' U L U2 B'
F2 R B' U L U2 B'
D' R B' F' U2 L U
F R B' U L U2 B'
B' R' U L U2 D B'
B' R' U L U2 D' B'
B' R' U L U2 D2 B'
B' R' U L U2 B' D
B' R' U L U2 B' D'
B' R' U L U2 B' D2
B' R' U L D U2 B'
B' R' U L D' U2 B'
B' R' U L D2 U2 B'
B' R' U L F U2 B'
B' R' U L F' U2 B'
B' R' U L F2 U2 B'
B' R' U L' F L2 U2
B' R' U F L U2 B'
B' R' U F' L U2 B'
B' R' U F2 L U2 B'
B' R' U' D2 B2 R' B
B' R' U' B2 D2 R' B
B' R' D2 U' B2 R' B
D2 R' D2 B' U' B2 R'
B' R' F U L U2 B'
B' R' F' U L U2 B'
D2 R' F' B' U' R B2
D2 R' F' B' U' B2 R
B' R' F2 U L U2 B'
F' R' B' U L U2 B'
D' R' B' U2 L B2 U
F2 R' B' U L U2 B'
D2 R' B' F' U' R B2
D2 R' B' F' U' B2 R
F R' B' U L U2 B'
B' R2 U L U2 D B'
B' R2 U L U2 D' B'
B' R2 U L U2 D2 B'
B' R2 U L U2 B' D
B' R2 U L U2 B' D'
B' R2 U L U2 B' D2
B' R2 U L D U2 B'
B' R2 U L D' U2 B'
B' R2 U L D2 U2 B'
B' R2 U L F U2 B'
B' R2 U L F' U2 B'
B' R2 U L F2 U2 B'
B' R2 U L' F L2 U2
B' R2 U F L U2 B'
B' R2 U F' L U2 B'
B' R2 U F2 L U2 B'
B' R2 U' D2 B2 R' B
B' R2 U' B2 D2 R' B
B' R2 D2 U' B2 R' B
B' R2 F U L U2 B'
B' R2 F' U L U2 B'
B' R2 F2 U L U2 B'
D' R2 B R' F' B2 U'
D' R2 B R' B2 F' U'
F' R2 B' U L U2 B'
F2 R2 B' U L U2 B'
F R2 B' U L U2 B'
B' U L U' R U' B'
B' U L U' R' U' B'
B' U L U' R2 U' B'
B' U L U2 R' B' R
B' U L U2 R2 B' R2
B' U L U2 D B' D
B' U L U2 D B' D'
B' U L U2 D B' D2
B' U L U2 D' B' D
B' U L U2 D' B' D'
B' U L U2 D' B' D2
B' U L U2 D2 B' D
B' U L U2 D2 B' D'
B' U L U2 D2 B' D2
B' U L U2 B2 D B
B' U L U2 B2 D' B
B' U L U2 B2 D2 B
B' U L D U2 B' D
B' U L D U2 B' D'
B' U L D U2 B' D2
B' U L D F U2 B'
B' U L D F' U2 B'
B' U L D F2 U2 B'
B' U L D' U2 B' D
B' U L D' U2 B' D'
B' U L D' U2 B' D2
B' U L D' F U2 B'
B' U L D' F' U2 B'
B' U L D' F2 U2 B'
B' U L D2 U2 B' D
B' U L D2 U2 B' D'
B' U L D2 U2 B' D2
B' U L D2 F U2 B'
B' U L D2 F' U2 B'
B' U L D2 F2 U2 B'
B' U L F U2 D B'
B' U L F U2 D' B'
B' U L F U2 D2 B'
B' U L F U2 B' D
B' U L F U2 B' D'
B' U L F U2 B' D2
B' U L F D U2 B'
B' U L F D' U2 B'
B' U L F D2 U2 B'
B' U L F' U2 D B'
B' U L F' U2 D' B'
B' U L F' U2 D2 B'
B' U L F' U2 B' D
B' U L F' U2 B' D'
B' U L F' U2 B' D2
B' U L F' D U2 B'
B' U L F' D' U2 B'
B' U L F' D2 U2 B'
B' U L F2 U2 D B'
B' U L F2 U2 D' B'
B' U L F2 U2 D2 B'
B' U L F2 U2 B' D
B' U L F2 U2 B' D'
B' U L F2 U2 B' D2
B' U L F2 D U2 B'
B' U L F2 D' U2 B'
B' U L F2 D2 U2 B'
B' U L' D2 F U2 R2
B' U L' F L2 U2 D
B' U L' F L2 U2 D'
B' U L' F L2 U2 D2
B' U L' F L2 D U2
B' U L' F L2 D' U2
B' U L' F L2 D2 U2
B' U L' F U2 D2 R2
B' U L' F D2 U2 R2
B' U L' F' L2 F2 U2
B' U L' F2 L2 F' U2
B' U L2 D L' U2 B'
B' U L2 D' L' U2 B'
B' U L2 D2 L' U2 B'
B' U L2 F2 U2 R B
U2 D L2 F L' B' U
B' U F L U2 D B'
B' U F L U2 D' B'
B' U F L U2 D2 B'
B' U F L U2 B' D
B' U F L U2 B' D'
B' U F L U2 B' D2
B' U F L D U2 B'
B' U F L D' U2 B'
B' U F L D2 U2 B'
B' U F L F U2 B'
B' U F L F' U2 B'
B' U F L F2 U2 B'
B' U F L' F L2 U2
B' U F' L U2 D B'
B' U F' L U2 D' B'
B' U F' L U2 D2 B'
B' U F' L U2 B' D
B' U F' L U2 B' D'
B' U F' L U2 B' D2
B' U F' L D U2 B'
B' U F' L D' U2 B'
B' U F' L D2 U2 B'
B' U F' L F U2 B'
B' U F' L F' U2 B'
B' U F' L F2 U2 B'
B' U F' L' F L2 U2
B' U F2 L U2 D B'
B' U F2 L U2 D' B'
B' U F2 L U2 D2 B'
B' U F2 L U2 B' D
B' U F2 L U2 B' D'
B' U F2 L U2 B' D2
B' U F2 L D U2 B'
B' U F2 L D' U2 B'
B' U F2 L D2 U2 B'
B' U F2 L F U2 B'
B' U F2 L F' U2 B'
B' U F2 L F2 U2 B'
B' U F2 L' F L2 U2
B' U' L B L' B2 R'
B U' L R' D B' L2
B U' L D R' B' L2
B U' L' R' D L2 B'
B U' L' D L2 R' B'
B U' L' D R' L2 B'
B' U' R U2 L U2 B'
B' U' R D2 B2 R' B
B' U' R B2 D2 R' B
B' U' R' U2 L U2 B'
B' U' R' D2 B2 R' B
B' U' R' B2 D2 R' B
B U' R' L D B' L2
B U' R' L' D L2 B'
B' U' R2 U2 L U2 B'
B' U' R2 D2 B2 R' B
B' U' R2 B2 D2 R' B
B' U' D B2 D R' B
B U' D L2 D R' B
B' U' D2 R' B2 R' B'
B' U' D2 B R' B R'
B' U' D2 B2 R' D B
B' U' D2 B2 R' D' B
B' U' D2 B2 R' D2 B
B' U' D2 B2 R' B D
B' U' D2 B2 R' B D'
B' U' D2 B2 R' B D2
B U' D2 R' D' L2 B
B U' D2 R' D' B L2
B U' D2 R' B D' L2
B' U' B' L B' L' R'
B' U' B' L B' R' L'
D U2 L2 F L' B' U
B' U' B' D2 B' R' B
B' U' B2 L R' B' L'
B' U' B2 R' L B' L'
B' U' B2 D2 R' D B
B' U' B2 D2 R' D' B
B' U' B2 D2 R' D2 B
B' U' B2 D2 R' B D
B' U' B2 D2 R' B D'
B' U' B2 D2 R' B D2
B' U2 L' U' L2 U2 B'
B' U2 L' U' F L2 U2
B' U2 D2 B2 U R' B
B U2 D2 F2 U R' B
B' U2 B2 L U R' B'
B' U2 B2 U D2 R' B
B' U2 B2 D2 U R' B
B D L2 D R' F2 B
B D L2 D R' B F2
B D L2 D F2 R' B
R' F B' U L U2 B'
R2 F B' U L U2 B'
B' D U' B2 D R' B
R F B' U L U2 B'
B D U' L2 D R' B
B' D F' R U L U2
B' D F2 U L F U2
B D F' R U' L2 R2
B D F' R U' R2 L2
D2 F' R' B' U' R2 B2
D2 F' R' B' U' B2 R2
D F' D2 R F' B' U'
D F' D2 R B' F' U'
D2 F' B' R' U' B R2
R' F' B' U L U2 B'
D F' D2 B' R F' U'
D2 F' B' U' R' B R2
R2 F' B' U L U2 B'
D F' B' D2 R F' U'
R F' B' U L U2 B'
B2 D' B R' U L U2
B' D2 R U L F' U2
B' D2 R U F' L U2
B' D2 R' U L U2 B
B' D2 R' U' B2 R' B'
R' F2 B' U L U2 B'
U' B L R' D B' L2
R2 F2 B' U L U2 B'
B' D2 U' R' B2 R' B'
U' B L D R' B' L2
B' D2 U' B R' B R'
B' D2 U' B2 R' D B
B' D2 U' B2 R' D' B
B' D2 U' B2 R' D2 B
B' D2 U' B2 R' B D
B' D2 U' B2 R' B D'
B' D2 U' B2 R' B D2
U' B L' R' D L2 B'
U' B L' D L2 R' B'
U' B L' D R' L2 B'
R F2 B' U L U2 B'
B' D2 U2 B2 U R' B
B D2 U' R' D' L2 B
B D2 U' R' D' B L2
B D2 U' R' B D' L2
B' D2 F U' B2 R' B
B D2 U2 F2 U R' B
B' D2 F' U' B2 R' B
U' B R' L D B' L2
D' B R F' R2 B2 U'
D' B R F' B2 R2 U'
U' B R' L' D L2 B'
B' D2 F2 U' B2 R' B
D' B R B2 F' R2 U'
D' B R' B2 U2 B' U
B2 D2 B U' B2 R' B
U' B D L2 D R' B
B' F R U L U2 B'
U' B D2 R' D' L2 B
U' B D2 R' D' B L2
U' B D2 R' B D' L2
B' F R' U L U2 B'
B' F R2 U L U2 B'
U2 B D2 F2 U R' B
B' F U L U2 D B'
B' F U L U2 D' B'
B' F U L U2 D2 B'
B' F U L U2 B' D
B' F U L U2 B' D'
B' F U L U2 B' D2
B' F U L D U2 B'
B' F U L D' U2 B'
B' F U L D2 U2 B'
B' F U L F U2 B'
B' F U L F' U2 B'
B' F U L F2 U2 B'
B' F U L' F L2 U2
B' F U F L U2 B'
B' F U F' L U2 B'
B' F U F2 L U2 B'
B' F U' D2 B2 R' B
B' F U' B2 D2 R' B
R' B' R U L U2 B'
D2 B' R U F' U2 R
D' B' R F' U2 L U
R' B' R' U L U2 B'
D2 B' R' U' D2 B R'
D' B' R' U2 L B U
B' F D2 U' B2 R' B
D2 B' R' D2 U' B R'
R2 B' R U L U2 B'
D2 B' R' F' U' B R
R' B' R2 U L U2 B'
R2 B' R' U L U2 B'
R B' R U L U2 B'
R' B' U L U2 D B'
R' B' U L U2 D' B'
R' B' U L U2 D2 B'
R' B' U L U2 B' D
R' B' U L U2 B' D'
R' B' U L U2 B' D2
R' B' U L D U2 B'
R' B' U L D' U2 B'
R' B' U L D2 U2 B'
R' B' U L F U2 B'
R' B' U L F' U2 B'
R' B' U L F2 U2 B'
R' B' U L' F L2 U2
R' B' U F L U2 B'
R2 B' R2 U L U2 B'
R' B' U F' L U2 B'
R' B' U F2 L U2 B'
R B' R' U L U2 B'
D2 B' U' R' D2 B R'
R2 B' U L U2 D B'
R2 B' U L U2 D' B'
R2 B' U L U2 D2 B'
R2 B' U L U2 B' D
R2 B' U L U2 B' D'
R2 B' U L U2 B' D2
R2 B' U L D U2 B'
R2 B' U L D' U2 B'
R2 B' U L D2 U2 B'
R2 B' U L F U2 B'
R2 B' U L F' U2 B'
R2 B' U L F2 U2 B'
R2 B' U L' F L2 U2
R' B' U' D2 B2 R' B
R B' R2 U L U2 B'
R' B' U' B2 D2 R' B
U2 B' U' L U2 B' L'
R2 B' U F L U2 B'
R2 B' U F' L U2 B'
B' F' R U L U2 B'
R2 B' U F2 L U2 B'
U B' U L B U2 B2
F' B' R U L U2 B'
D' B' U2 D2 L B' U
R B' U L U2 D B'
R B' U L U2 D' B'
R B' U L U2 D2 B'
R B' U L U2 B' D
R B' U L U2 B' D'
R B' U L U2 B' D2
R B' U L D U2 B'
R B' U L D' U2 B'
R B' U L D2 U2 B'
R B' U L F U2 B'
F2 B' R U L U2 B'
R B' U L F' U2 B'
R B' U L F2 U2 B'
R B' U L' F L2 U2
R2 B' U' D2 B2 R' B
B' F' R' U L U2 B'
R B' U F L U2 B'
R2 B' U' B2 D2 R' B
R B' U F' L U2 B'
R B' U F2 L U2 B'
F' B' R' U L U2 B'
F2 B' R' U L U2 B'
B' F' R2 U L U2 B'
F B' R U L U2 B'
R B' U' D2 B2 R' B
F' B' R2 U L U2 B'
R B' U' B2 D2 R' B
F2 B' R2 U L U2 B'
B' F' U L U2 D B'
B' F' U L U2 D' B'
B' F' U L U2 D2 B'
B' F' U L U2 B' D
B' F' U L U2 B' D'
B' F' U L U2 B' D2
B' F' U L D U2 B'
B' F' U L D' U2 B'
B' F' U L D2 U2 B'
B' F' U L F U2 B'
B' F' U L F' U2 B'
B' F' U L F2 U2 B'
B' F' U L' F L2 U2
F B' R' U L U2 B'
F' B' U L U2 D B'
F' B' U L U2 D' B'
