B L D' R F' B2 R'
B L D' R B2 F' R'
B L D' R2 B2 R' F'
B L D' B2 R F' R2
B' L' U' L' R' B' U2
B' L' U' R' L' B' U2
F2 L2 U' L' R B' U'
F2 L2 U' L' B' R U'
F2 L2 U' R L' B' U'
L' U' L' U' B' L' U'
L2 U' L' U2 L2 F U
L2 U' L' D' B' U' B'
L2 U' L' D2 R2 B' U'
L2 U' L' D2 B' R2 U'
L2 U' L' B' U' D' B2
L2 U' L' B' U2 L2 U
L2 U' L' B' D' U' B2
L2 U' L' B' D2 R2 U'
L2 U' B' L' B' R' U'
L2 U' B2 L' R' B' U'
L2 U' B2 R' L' B' U'
L' D B U F2 L R
L' D B U F2 R L
D U F2 L R B U'
D U F2 R L B U'
U D F2 L R B U'
U D F2 R L B U'
D' U B2 L' R' F' U
D' U B2 R' L' F' U
L D' B U' L B R'
U D' B2 L' R' F' U
U D' B2 R' L' F' U
D F2 L R B U' L
D F2 L B R U' L
D F2 R L B U' L
D' B L' B R' U L2
L' B U D F2 L R
L' B U D F2 R L
L' B D U F2 L R
L' B D U F2 R L
L2 B' R' U' L' U' B'
D' B2 R' D L' F U
D' B2 D L' R' F U
D' B2 D L' F R' U
D' B2 D R' L' F U
