B2 R' F L2 U' F
B2 R' F U B' U2
F R' B2 R' U' F'
B U' F B R' U'
B U' B R' F U'
B U' B F R' U'
R' F B2 R' U' F'
R2 F B2 R' U' F2
B2 F L2 R' U' F
B2 F R' L2 U' F
B2 F R' U B' U2
R' B2 R' F U' F2
F B2 L2 R' U' F
F B2 R' L2 U' F
F B2 R' U B' U2
R' B2 F R' U' F'
R2 B2 F R' U' F2
R2 L U D L2 F' R
R2 L U D F' L2 R
R2 L U D F' R L2
F' L U D L2 R2 F'
F' L U D R2 L2 F'
F' L U D R2 F' L2
R2 L D U L2 F' R
R2 L D U F' L2 R
R2 L D U F' R L2
F' L D U L2 R2 F'
F' L D U R2 L2 F'
F' L D U R2 F' L2
F L B2 U B' U2 B
L R2 U D L2 F' R
L R2 U D F' L2 R
L R2 U D F' R L2
L R2 D U L2 F' R
L R2 D U F' L2 R
L R2 D U F' R L2
F L' B2 U2 L2 U F
B2 L2 R' U2 B' U F
L U R2 D L2 F' R
L U R2 D F' L2 R
L U R2 D F' R L2
L U D L2 R2 F' R
L U D R2 L2 F' R
L U D R2 F' L2 R
L U D R2 F' R L2
R2 U F B2 R' U' F2
R2 U B2 F R' U' F2
B2 R F L2 R2 U' F
B2 R F R2 L2 U' F
B2 R F R2 U B' U2
F R B2 R' U B U2
L U' D' B R2 U2 R
B2 R' L2 U2 B' U F
R2 U' F B2 R' U' F2
B2 R' U B' U' F U'
B2 R' D F L2 U' F
B2 R' D F U B' U2
B2 R' D' F L2 U' F
B2 R' D' F U B' U2
R2 U' B2 F R' U' F2
B2 R' D2 F L2 U' F
B2 R' D2 F U B' U2
B2 R' F L2 U' D F
B2 R' F L2 U' D' F
B2 R' F L2 U' D2 F
B2 R' F L2 U' F D
B2 R' F L2 U' F D'
B2 R' F L2 U' F D2
B2 R' F L2 D U' F
B2 R' F L2 D' U' F
B2 R' F L2 D2 U' F
B2 R' F U D B' U2
B2 R' F U D' B' U2
B2 R' F U D2 B' U2
B2 R' F U B' U2 D
B2 R' F U B' U2 D'
B2 R' F U B' U2 D2
B2 R' F U B' D U2
B2 R' F U B' D' U2
B2 R' F U B' D2 U2
B2 R' F U' L2 F L2
B2 R' F D L2 U' F
B2 R' F D U B' U2
B2 R' F D' L2 U' F
B2 R' F D' U B' U2
U' R' F B2 R' U' F'
B2 R' F D2 L2 U' F
B2 R' F D2 U B' U2
U2 R' F B2 R' U' F'
B2 R' F' L2 F2 U' F'
U R' F B2 R' U' F'
B2 R' F2 L2 F' U' F2
F' R' F2 B2 R' U' F'
F' R' B2 R' F2 U' F
U' R' B2 R' F U' F2
U2 R' B2 R' F U' F2
U' R' B2 F R' U' F'
F R' B2 L R' U' F'
F' R' B2 F2 R' U' F'
F R' B2 L' R' U' F'
F R' B2 L2 R' U' F'
F R' B2 R' L U' F'
F R' B2 R' L' U' F'
F R' B2 R' L2 U' F'
F R' B2 R' U' D F'
