F L' B' U' R2 U' L
F L' B' U2 L D B2
F L' B' U2 D L B2
F L' B' D U2 L B2
F L' B' D' F2 U2 L
F' B D B2 L R F
F' B D B2 R L F
F2 B D B2 L F R
B' F' L D R F B2
B' F' L D R B2 F
B' F' L D B2 R F
F' B' L D R F B2
F' B' L D R B2 F
F' B' L D B2 R F
F2 B' L D F R B2
F2 B' L D F B2 R
F2 B' L D B2 F R
F2 B' L F D R B2
F2 B' L F D B2 R
B' F' D L R F B2
B' F' D L R B2 F
B' F' D L B2 R F
B' F' D R L F B2
B' F' D R L B2 F
F' B' D L R F B2
F' B' D L R B2 F
F' B' D L B2 R F
F' B' D R L F B2
F' B' D R L B2 F
F2 B' D L F R B2
F2 B' D L F B2 R
F2 B' D L B2 F R
B F' D B2 L R F
B F' D B2 R L F
B' F2 L D F R B2
B' F2 L D F B2 R
B' F2 L D B2 F R
B' F2 L F D R B2
B' F2 L F D B2 R
B' F2 D L F R B2
B' F2 D L F B2 R
B' F2 D L B2 F R
B F2 D B2 L F R
