R2 L B' L2 U' R B
F2 L' R F L' U R2
D2 L' R2 U' R B L
B L' U2 F U R B
U L' U2 F U R' B'
D L' F R U' L' R2
D L' F R U' R2 L'
F' L' F U2 L' U' R'
F' L' F' R F2 U R2
L R2 B' L2 U' R B
R' U L B' L2 U' B'
R' U L' U2 F U B'
R' U D' L' U' B' L
F2 R L' F L' U R2
F2 R F L' F U R2
D' R' U L' U' B' L
D2 R' U L' B U' B2
D2 R' U B L' U' B'
F2 R' D' L F2 B' L
F2 R' D' L B' L F2
F2 R' D' L B' F2 L
F2 R' D' F2 L B' L
F2 R' D' F2 B' L B'
F2 R' D' B' L F2 B'
F2 R' D' B' L B' F2
F2 R' D' B' F2 L B'
D2 R2 L' U' R B L
L' U2 F U R B R2
D' U L' U' R' B' L
R' D' U L' U' B' L
U D' L' U' R' B' L
L' F R U' R2 D2 L2
L F R B' L2 U' R2
B' D L' F R U' L'
L' F' U2 L' F2 U R'
L' B U2 F U R B
L B' L2 U' R B R'
