F' R2 B2 U' F'
F' L R2 B2 U' F'
F' L' R2 B2 U' F'
F' L2 R2 B2 U' F'
B2 L2 F' R2 U' F2
F' R B2 R U' F'
F' R2 L B2 U' F'
F' R2 L' B2 U' F'
F' R2 L2 B2 U' F'
F' R2 U' D L2 F'
F' R2 U' D F' L2
F' R2 U' F' D L2
F' R2 D U' L2 F'
F' R2 D U' F' L2
F2 R2 F B2 U' F2
F R2 F2 B2 U' F
F' R2 B2 L U' F'
F' R2 B2 L' U' F'
F' R2 B2 L2 U' F'
F' R2 B2 U' D F'
F' R2 B2 U' D' F'
F' R2 B2 U' D2 F'
F' R2 B2 U' F' D
F' R2 B2 U' F' D'
F' R2 B2 U' F' D2
F' R2 B2 D U' F'
F' R2 B2 D' U' F'
F' R2 B2 D2 U' F'
F2 R2 B2 F U' F2
F R2 B2 F2 U' F
F' U' D B2 L2 F
B U' F' B R2 U'
B U' B F' R2 U'
F D L2 R2 F' B2
F D L2 R2 B2 F'
F D R2 L2 F' B2
F D R2 L2 B2 F'
F' D U' B2 L2 F
F D R2 F' L2 B2
F D R2 F' B2 L2
F D R2 B2 L2 F'
F D R2 B2 F' L2
L' F' R2 B2 U' F'
U' F' R2 B2 U' F'
U2 F' R2 B2 U' F'
L2 F' R2 B2 U' F'
L F' R2 B2 U' F'
U F' R2 B2 U' F'
F D B2 L2 R2 F
F D B2 L2 F R2
F D B2 R2 L2 F
D F' U' B2 L2 F
B2 F' L2 R2 U' F
B2 F' R2 L2 U' F
B2 F' R2 U B' U2
R2 B2 L2 F U' F2
F' B2 L2 R2 U' F
D B2 L2 F D R2
F' B2 R2 L2 U' F
F' B2 R2 U B' U2
R2 B2 U2 B' U F'
F' L R B2 R U' F'
F' L R2 U' D L2 F'
F' L R2 U' D F' L2
F' L R2 U' F' D L2
F' L R2 D U' L2 F'
F' L R2 D U' F' L2
F' L R2 B2 L U' F'
F' L R2 B2 L' U' F'
F' L R2 B2 L2 U' F'
F' L R2 B2 U' D F'
F' L R2 B2 U' D' F'
F' L R2 B2 U' D2 F'
F' L R2 B2 U' F' D
F' L R2 B2 U' F' D'
F' L R2 B2 U' F' D2
F' L R2 B2 D U' F'
F' L R2 B2 D' U' F'
F L R2 F2 B2 U' F
F' L R2 B2 D2 U' F'
F L R2 B2 F2 U' F
F' L U' D B2 L2 F
B L U' F' B R2 U'
B L U' B F' R2 U'
F L D L2 R2 F' B2
F L D L2 R2 B2 F'
F' L D U' B2 L2 F
F L D R2 L2 F' B2
F L D R2 L2 B2 F'
F L D R2 F' L2 B2
F L D R2 F' B2 L2
F L D R2 B2 L2 F'
F L D R2 B2 F' L2
F L D B2 L2 R2 F
F L D B2 L2 F R2
F L D B2 R2 L2 F
B2 L F' L R2 U' F
B2 L F' R2 L U' F
U2 L F' R2 B2 U' F'
U' L F' R2 B2 U' F'
U L F' R2 B2 U' F'
F L F2 R2 B2 U' F'
R2 L B2 L2 F U' F2
R2 L B2 U2 B' U F'
F' L B2 L2 R2 U' F
F' L B2 R2 L2 U' F
F' L B2 R2 U B' U2
F' L' R B2 R U' F'
F' L' R2 U' D L2 F'
F' L' R2 U' D F' L2
F' L' R2 U' F' D L2
F' L' R2 D U' L2 F'
F' L' R2 D U' F' L2
F' L' R2 B2 L U' F'
F' L' R2 B2 L' U' F'
F' L' R2 B2 L2 U' F'
F' L' R2 B2 U' D F'
F' L' R2 B2 U' D' F'
F' L' R2 B2 U' D2 F'
F' L' R2 B2 U' F' D
F' L' R2 B2 U' F' D'
F' L' R2 B2 U' F' D2
F' L' R2 B2 D U' F'
F' L' R2 B2 D' U' F'
F' L' R2 B2 D2 U' F'
F L' R2 F2 B2 U' F
F L' R2 B2 F2 U' F
F' L' U' D B2 L2 F
B L' U' F' B R2 U'
B L' U' B F' R2 U'
F L' D L2 R2 F' B2
F L' D L2 R2 B2 F'
F' L' D U' B2 L2 F
F L' D R2 L2 F' B2
F L' D R2 L2 B2 F'
F L' D R2 F' L2 B2
F L' D R2 F' B2 L2
F L' D R2 B2 L2 F'
F L' D R2 B2 F' L2
F L' D B2 L2 R2 F
F L' D B2 L2 F R2
F L' D B2 R2 L2 F
R2 L' B2 L2 F U' F2
R2 L' B2 U2 B' U F'
B2 L' F' L' R2 U' F
U' L' F' R2 B2 U' F'
B2 L' F' R2 L' U' F
U2 L' F' R2 B2 U' F'
U L' F' R2 B2 U' F'
F L' F2 R2 B2 U' F'
F' L' B2 L2 R2 U' F
F' L' B2 R2 L2 U' F
F' L' B2 R2 U B' U2
F' L2 R B2 R U' F'
F' L2 R2 U' D L2 F'
F' L2 R2 U' D F' L2
F' L2 R2 U' F' D L2
F' L2 R2 D U' L2 F'
F' L2 R2 D U' F' L2
B2 L2 R2 U2 B U F
D2 L2 R2 F2 B U F
D2 L2 R2 B F2 U F
F' L2 R2 B2 L U' F'
F' L2 R2 B2 L' U' F'
F' L2 R2 B2 L2 U' F'
F' L2 R2 B2 U' D F'
F' L2 R2 B2 U' D' F'
F' L2 R2 B2 U' D2 F'
F' L2 R2 B2 U' F' D
F' L2 R2 B2 U' F' D'
F' L2 R2 B2 U' F' D2
F' L2 R2 B2 D U' F'
F' L2 R2 B2 D' U' F'
F' L2 R2 B2 D2 U' F'
F L2 R2 F2 B2 U' F
F L2 R2 B2 F2 U' F
F' L2 U' D B2 L2 F
B2 L2 U' F D R2 B2
B2 L2 U' F D B2 R2
B L2 U' F' B R2 U'
B L2 U' B F' R2 U'
F' L2 D U' B2 L2 F
L' R2 B2 L2 F U' F2
F L2 D L2 R2 F' B2
F L2 D L2 R2 B2 F'
F L2 D R2 L2 F' B2
F L2 D R2 L2 B2 F'
F L2 D R2 F' L2 B2
F L2 D R2 F' B2 L2
B2 L2 D F' U' F2 B2
B2 L2 D F' U' B2 F2
F L2 D R2 B2 L2 F'
F L2 D R2 B2 F' L2
L2 R2 B2 L2 F U' F2
R2 L2 B2 L2 F U' F2
L' R2 B2 U2 B' U F'
L R2 B2 L2 F U' F2
L2 R2 B2 U2 B' U F'
F L2 D B2 L2 R2 F
F L2 D B2 L2 F R2
R2 L2 B2 U2 B' U F'
F L2 D B2 R2 L2 F
L R2 B2 U2 B' U F'
B2 L2 F R2 F2 U' F2
B2 L2 F' L R2 U' F2
B2 L2 F' L' R2 U' F2
B2 L2 F' L2 R2 U' F2
U' L2 F' R2 B2 U' F'
B2 L2 F' R2 L U' F2
B2 L2 F' R2 L' U' F2
B2 L2 F' R2 L2 U' F2
B2 L2 F' R2 U' F2 D
B2 L2 F' R2 U' F2 D'
B2 L2 F' R2 U' F2 D2
B2 L2 F' R2 D' L2 U'
U2 L2 F' R2 B2 U' F'
B2 L2 F' U' F2 D B2
U L2 F' R2 B2 U' F'
F L2 F2 R2 B2 U' F'
F' L2 B2 L2 R2 U' F
F' L2 B2 R2 L2 U' F
F' L2 B2 R2 U B' U2
F' R L B2 R U' F'
F' R L' B2 R U' F'
L' U F' R2 B2 U' F'
F' R L2 B2 R U' F'
L2 U F' R2 B2 U' F'
L U F' R2 B2 U' F'
F' R B' R B' U' F'
F' R B2 L R U' F'
F' R B2 L' R U' F'
F' R B2 L2 R U' F'
F' R B2 R L U' F'
F' R B2 R L' U' F'
F' R B2 R L2 U' F'
F' R B2 R U' D F'
F' R B2 R U' D' F'
F' R B2 R U' D2 F'
F' R B2 R U' F' D
F' R B2 R U' F' D'
F' R B2 R U' F' D2
F' R B2 R D U' F'
F' R B2 R D' U' F'
F' R B2 R D2 U' F'
F2 R B2 R F U' F2
F R B2 R F2 U' F
L' U' F' R2 B2 U' F'
L2 U' F' R2 B2 U' F'
L U' F' R2 B2 U' F'
F' R' D R' U' L2 F'
F' R' D R' U' F' L2
F2 R' F R' B2 U' F'
F R' F2 R' B2 U' F'
F' R' B2 U2 L U F
R2 U2 D B U L2 F'
R2 U2 D B U F' L2
F' R2 L U' D L2 F'
F' R2 L U' D F' L2
F' R2 L U' F' D L2
F' R2 L D U' L2 F'
F' R2 L D U' F' L2
F' R2 L B2 L U' F'
F' R2 L B2 L' U' F'
F' R2 L B2 L2 U' F'
F' R2 L B2 U' D F'
F' R2 L B2 U' D' F'
F' R2 L B2 U' D2 F'
F' R2 L B2 U' F' D
F' R2 L B2 U' F' D'
F' R2 L B2 U' F' D2
F' R2 L B2 D U' F'
F' R2 L B2 D' U' F'
F' R2 L B2 D2 U' F'
F' R2 L' U' D L2 F'
F' R2 L' U' D F' L2
F' R2 L' U' F' D L2
F' R2 L' D U' L2 F'
F' R2 L' D U' F' L2
R2 U2 D2 F2 B U F
R2 U2 D2 B F2 U F
F R2 L F2 B2 U' F
F' R2 L' B2 L U' F'
F' R2 L' B2 L' U' F'
F' R2 L' B2 L2 U' F'
F' R2 L' B2 U' D F'
F' R2 L' B2 U' D' F'
F' R2 L' B2 U' D2 F'
F' R2 L' B2 U' F' D
F' R2 L' B2 U' F' D'
F' R2 L' B2 U' F' D2
F' R2 L' B2 D U' F'
F' R2 L' B2 D' U' F'
F' R2 L' B2 D2 U' F'
F R2 L B2 F2 U' F
F' R2 L2 U' D L2 F'
F' R2 L2 U' D F' L2
F' R2 L2 U' F' D L2
F' R2 L2 D U' L2 F'
F' R2 L2 D U' F' L2
B2 R2 L2 U2 B U F
D2 R2 L2 F2 B U F
D2 R2 L2 B F2 U F
F R2 L' F2 B2 U' F
L' U2 F' R2 B2 U' F'
F' R2 L2 B2 L U' F'
F' R2 L2 B2 L' U' F'
F' R2 L2 B2 L2 U' F'
F' R2 L2 B2 U' D F'
F' R2 L2 B2 U' D' F'
F' R2 L2 B2 U' D2 F'
F' R2 L2 B2 U' F' D
F' R2 L2 B2 U' F' D'
F' R2 L2 B2 U' F' D2
F' R2 L2 B2 D U' F'
F' R2 L2 B2 D' U' F'
F' R2 L2 B2 D2 U' F'
F R2 L' B2 F2 U' F
L2 U2 F' R2 B2 U' F'
F' R2 U D' R2 B U2
F R2 L2 F2 B2 U' F
L U2 F' R2 B2 U' F'
F R2 L2 B2 F2 U' F
F' R2 U' L D L2 F'
F' R2 U' L D F' L2
F' R2 U' L F' D L2
B2 R2 U B' U B2 U
F' R2 U' L' D L2 F'
F' R2 U' L' D F' L2
B2 R2 U B' U2 D' R2
B2 R2 U B' D L2 U2
B2 R2 U B' D' U2 R2
F' R2 U' L' F' D L2
F' R2 U' L2 D L2 F'
F' R2 U' L2 D F' L2
F' R2 U' L2 F' D L2
F' R2 U' D L F' L
F' R2 U' D L2 D F'
F' R2 U' D L2 D' F'
F' R2 U' D L2 D2 F'
F' R2 U' D L2 F' D
F' R2 U' D L2 F' D'
F' R2 U' D L2 F' D2
F' R2 U' D F L2 F2
F' R2 U' D F' L2 D
F' R2 U' D F' L2 D'
F' R2 U' D F' L2 D2
F' R2 U' D' F' D2 L2
F' R2 U' F' L D L2
F' R2 U' F' L' D L2
F' R2 U' F' L2 D L2
F' R2 U' F' U B2 U'
F' R2 U' F' D L2 D
F' R2 U' F' D L2 D'
F' R2 U' F' D L2 D2
F' R2 U' F2 D F L2
F2 R2 U' F' D L2 R2
F2 R2 U' F' D R2 L2
F R2 U' D L2 F' R2
F R2 U' D F' L2 R2
F R2 U' D F' R2 L2
F' R2 U2 D2 F2 U F
R2 U2 B U2 B U' F'
F' R2 D L U' L F'
F' R2 D L U' F' L
B2 R2 U2 B U D2 F2
B2 R2 U2 B U' B2 U2
B2 R2 U2 B D' R2 U
B2 R2 U2 B D2 U F2
F' R2 D L' U' L' F'
B R2 U2 F' B U F
F' R2 D U' L F' L
F' R2 D U' L2 D F'
F' R2 D U' L2 D' F'
F' R2 D U' L2 D2 F'
F' R2 D U' L2 F' D
F' R2 D U' L2 F' D'
F' R2 D U' L2 F' D2
F' R2 D U' F L2 F2
F' R2 D U' F' L2 D
F' R2 D U' F' L2 D'
F' R2 D U' F' L2 D2
B R2 U2 B F' U F
F' R2 D B U' L2 F'
F' R2 D B U' F' L2
F2 R2 D F U' L2 F2
F2 R2 D F U' F2 L2
F' R2 D B' U' L2 F'
F' R2 D B' U' F' L2
F' R2 D B2 U' L2 F'
F' R2 D B2 U' F' L2
F R2 D U' L2 F' R2
F' R2 D' U R2 B U2
F R2 D U' F' L2 R2
F R2 D U' F' R2 L2
F' R2 D' U' F' D2 L2
F' R2 D2 U2 F2 U F
F2 R2 F L B2 U' F2
F2 R2 F L' B2 U' F2
F2 R2 F L2 B2 U' F2
F2 R2 F U' F2 D L2
F2 R2 F B2 L U' F2
F2 R2 F B2 L' U' F2
F2 R2 F B2 L2 U' F2
F2 R2 F B2 U' F2 D
F2 R2 F B2 U' F2 D'
F2 R2 F B2 U' F2 D2
F2 R2 F B2 D' L2 U'
D' R2 F2 U B U F
F' R2 B L B U' F'
D2 R2 B L2 F2 U F
F' R2 B L' B U' F'
F' R2 B L2 B U' F'
F R2 F2 U' D F L2
F R2 F2 U' F D L2
F' R2 B D B U' F'
F R2 F2 D U' F L2
F' R2 B D' B U' F'
F' R2 B D2 B U' F'
F R2 F2 B2 U' D F
F R2 F2 B2 U' D' F
F R2 F2 B2 U' D2 F
F R2 F2 B2 U' F D
F R2 F2 B2 U' F D'
F R2 F2 B2 U' F D2
F' R2 B' L U' F' L'
F R2 F2 B2 D U' F
F R2 F2 B2 D' U' F
F R2 F2 B2 D2 U' F
D R2 B U L2 F' B
D R2 B U L2 B F'
D R2 B U F' L2 B
D R2 B U F' B L2
D R2 B U B L2 F'
D R2 B U B F' L2
F' R2 B' D B' U' F'
F' R2 B' D' B' U' F'
