F2 L B' U' R' F2
F2 L B' U' F2 R'
F L B' U' F' R'
U' L' F B' U B
U' L' B' F U B
L F B' U' F' R'
L F' B' U' R' F
L F' B' U' F R'
L F2 B' U' R' F2
L F2 B' U' F2 R'
L B' F U' F' R'
L B' F' U' R' F
L B' F' U' F R'
L B' F2 U' R' F2
L B' F2 U' F2 R'
L R U R' F' B' U'
L R U R' B' F' U'
R L U R' F' B' U'
R L U R' B' F' U'
B' L R' U R B' U'
B' L R' U B' R U'
U' L U F B' U' F'
U' L U B' F U' F'
U L U' B' L' U' R'
F L D B' U' F' R'
F' L D' B' L U' R'
F2 L D' B' L2 U' R'
F L D' B' U' F' R'
F L D2 B' U' F' R'
F2 L F B' U' R' F
F2 L F B' U' F R'
F L F B' U' R' F2
F L F B' U' F2 R'
R2 L B D B2 L2 R'
R2 L B D B2 R' L2
F2 L F' B' U' F' R'
F L F2 B' U' R' F
F L F2 B' U' F R'
F' L B' L' U' R' F
F' L B' L' U' F R'
F2 L B' L U' R' F2
F2 L B' L U' F2 R'
F2 L B' L' U' R' F2
F2 L B' L' U' F2 R'
F L B' L U' F' R'
F2 L B' L2 U' R' F2
F2 L B' L2 U' F2 R'
F L B' L' U' F' R'
F L B' L2 U' F' R'
F2 L B' U' R F2 R2
F2 L B' U' R' F2 D
F2 L B' U' R' F2 D'
F2 L B' U' R' F2 D2
F2 L B' U' F R' F
F2 L B' U' F2 R' D
F2 L B' U' F2 R' D'
F2 L B' U' F2 R' D2
F2 L B' U' F2 D R'
F2 L B' U' F2 D' R'
F2 L B' U' F2 D2 R'
F L B' U' D F' R'
F L B' U' D' F' R'
F L B' U' D2 F' R'
F L B' U' F R' F2
F L B' U' F' R' D
F L B' U' F' R' D'
F L B' U' F' R' D2
F L B' U' F' D R'
F L B' U' F' D' R'
F L B' U' F' D2 R'
F L B' U' F2 R' F
F2 L B' D' L2 U' R'
F L B' D U' F' R'
F L B' D' U' F' R'
F2 L B' F U' R' F
F2 L B' F U' F R'
F2 L B' F' U' F' R'
F L B' D2 U' F' R'
F L B' F U' R' F2
F L B' F U' F2 R'
F L B' F2 U' R' F
F L B' F2 U' F R'
F2 L' U2 F U R F
F L' U2 F U R F2
U' L' D F B' U B
