B R' B' U' F' R
B' L R' U F' L' R
B' L R' U F' R L'
B L R' U' F' L' R
B L R' U' F' R L'
B' L R2 F' U R F'
D' L' R' F U' F2 B
D' L' R' F U' B F2
D' L' F R' U' F' B
D' L' F R' U' B F'
B' R' L U F' L' R
B' R' L U F' R L'
B R' L U' F' L' R
B R' L U' F' R L'
D' R' L' F U' F2 B
D' R' L' F U' B F2
R' U' F' R2 D' R' B
R' U' F' D' R' B R2
R' U' F' B R D B2
D' R' U' D F' B R
D' R' U' D B F' R
D' R' U' D' F' B R'
D' R' U' D' B F' R'
D' R' U' F' D' B R'
D' R' U' B D F' R
R' U' B F' R D B2
D' R' D U' F' B R
D' R' D U' B F' R
D' R' D' U' F' B R'
D' R' D' U' B F' R'
B R' F B' U' F2 R
B R' B' L U' F' R
B R' B' L' U' F' R
B R' B' L2 U' F' R
B R' B' U' F' R D
B R' B' U' F' R D'
B R' B' U' F' R D2
B R' B' U' F' D R
B R' B' U' F' D' R
B R' B' U' F' D2 R
B R' B' F U' F2 R
B' R2 L F' U R F'
R' U2 B' L U F' R
R' U2 B2 U F' R B
B' R2 F' L U R F'
B R2 B' R U' F' R
F' U2 B' L U R F
F2 U2 B' L U R' F
F2 U2 B' L U F R'
D2 F' R U B U2 R'
F' D' R' U' F' B R2
F' D' R' U' B F' R2
L' B R' B' U' F' R
L2 B R' B' U' F' R
L B R' B' U' F' R
U2 B U2 R' U' F' R
U B U' R' U' F' R
F' B R' B' U' F' R2
U2 B' L U F' R F2
U2 B' D' L B' U F
B F' R' B' U' F' R2
