B2 L' U L2 U L
B2 L' U2 D' L' B2
B2 L' U2 D' B2 L'
B2 L' D F2 R U2
B2 L' D' U2 L' B2
B2 L' D' U2 B2 L'
R' U L' B2 U2 L'
R' U B2 L' U2 L'
L' B2 U L U L2
L' B2 U2 L' D' B2
R' L U L2 B2 U2 L'
R' L U B2 L2 R' U2
R' L U B2 R' L2 U2
R' L U' D2 L R2 F2
R' L U' D2 L F2 R2
R' L U' D2 R2 L F2
R' L U' D2 R2 F2 L
R' L U' D2 F2 L R2
R' L U' D2 F2 R2 L
R' L D F2 L2 U' L'
L2 R D B2 R' D F2
L2 R D B2 D R' F2
L2 R D B2 D F2 R'
R' L D2 U' L R2 F2
R' L D2 U' L F2 R2
R' L D2 U' R2 L F2
R' L D2 U' R2 F2 L
R' L D2 U' F2 L R2
R' L D2 U' F2 R2 L
L2 R D2 F2 D' B2 R'
L' R B2 U' R2 U' L'
L' R B2 U2 L' D B2
L' R B2 U2 D L' B2
L' R B2 U2 D B2 L'
L' R B2 D U2 L' B2
L' R B2 D U2 B2 L'
L' R B2 D' F2 R U2
L R' U L2 B2 U2 L'
L R' U B2 L2 R' U2
L R' U B2 R' L2 U2
L R' U' D2 L R2 F2
L R' U' D2 L F2 R2
L R' U' D2 R2 L F2
L R' U' D2 R2 F2 L
L R' U' D2 F2 L R2
L R' U' D2 F2 R2 L
B2 L' R U L2 U L
B2 L' R U2 D' L' B2
B2 L' R U2 D' B2 L'
B2 L' R D F2 R U2
B2 L' R D' U2 L' B2
B2 L' R D' U2 B2 L'
B2 L' R' U L2 U L
B2 L' R' U2 D' L' B2
B2 L' R' U2 D' B2 L'
B2 L' R' D F2 R U2
L R' D F2 L2 U' L'
B2 L' R' D' U2 L' B2
B2 L' R' D' U2 B2 L'
D2 L' R2 U' R U' F2
B2 L' R2 U L2 U L
B2 L' R2 U2 D' L' B2
B2 L' R2 U2 D' B2 L'
B2 L' R2 D F2 R U2
B2 L' R2 D' U2 L' B2
B2 L' R2 D' U2 B2 L'
B2 L' U L2 U L D
B2 L' U L2 U L D'
B2 L' U L2 U L D2
B2 L' U L2 U D L
B2 L' U L2 U D' L
B2 L' U L2 U D2 L
B2 L' U L2 D U L
B2 L' U L2 D' U L
B2 L' U L2 D2 U L
B2 L' U L2 F U L
B2 L' U L2 F' U L
B2 L' U L2 F2 U L
L R' D2 U' L R2 F2
L R' D2 U' L F2 R2
L R' D2 U' R2 L F2
L R' D2 U' R2 F2 L
L R' D2 U' F2 L R2
L R' D2 U' F2 R2 L
D' L' U' R' B2 L U'
B2 L' U' D2 R2 U' L'
B2 L' U2 L' U' L' U
B2 L' U2 D L' D2 B2
B2 L' U2 D' L B2 L2
B2 L' U2 D' L' B2 D
B2 L' U2 D' L' B2 D'
B2 L' U2 D' L' B2 D2
B2 L' U2 D' B L' B
B2 L' U2 D' B2 L' D
B2 L' U2 D' B2 L' D'
B2 L' U2 D' B2 L' D2
B2 L' U2 D' B2 D L'
B2 L' U2 D' B2 D' L'
B2 L' U2 D' B2 D2 L'
B2 L' U2 D2 L' D B2
B2 L' U2 B D' L' B2
B2 L' U2 B D' B2 L'
B2 L' U2 B' D' L' B2
B2 L' U2 B' D' B2 L'
B2 L' U2 B2 D' L' B2
B2 L' U2 B2 D' B2 L'
B2 L' D R F2 R U2
B2 L' D R' F2 R U2
B2 L' D R2 F2 R U2
B2 L' D U2 L' D2 B2
B2 L' D F2 R U2 D
B2 L' D F2 R U2 D'
B2 L' D F2 R U2 D2
B2 L' D F2 R D U2
B2 L' D F2 R D' U2
B2 L' D F2 R D2 U2
B2 L' D F2 D R U2
B2 L' D F2 D' R U2
B2 L' D F2 D2 R U2
B2 L' D' R U2 L' B2
B2 L' D' R U2 B2 L'
B2 L' D' R' U2 L' B2
B2 L' D' R' U2 B2 L'
B2 L' D' R2 U2 L' B2
B2 L' D' R2 U2 B2 L'
B2 L' D' U2 L B2 L2
B2 L' D' U2 L' B2 D
B2 L' D' U2 L' B2 D'
B2 L' D' U2 L' B2 D2
B2 L' D' U2 B L' B
B2 L' D' U2 B2 L' D
B2 L' D' U2 B2 L' D'
B2 L' D' U2 B2 L' D2
B2 L' D' U2 B2 D L'
B2 L' D' U2 B2 D' L'
B2 L' D' U2 B2 D2 L'
B2 L' D' F2 R U2 B2
B2 L' D2 U' R2 U' L'
B2 L' D2 U2 L' D B2
R2 L' B2 U' R U' L'
R L' B2 U' R2 U' L'
R L' B2 U2 L' D B2
R L' B2 U2 D L' B2
R L' B2 U2 D B2 L'
R L' B2 D U2 L' B2
R L' B2 D U2 B2 L'
R L' B2 D' F2 R U2
B2 L' F2 R U L2 U
B2 L' F2 R U2 D' B2
B2 L' F2 R D F2 U2
B2 L' F2 R D' U2 B2
B2 L' F2 D R F2 U2
B2 L' F2 D F2 U2 L'
B2 L' F2 D' R U2 B2
B L' B U L U L2
B L' B U2 L' D' B2
R L2 D B2 R' D F2
R L2 D B2 D R' F2
R L2 D B2 D F2 R'
U' L' B2 U L U L2
U2 L' B2 U L U L2
U' L' B2 U2 L' D' B2
U2 L' B2 U2 L' D' B2
U L' B2 U L U L2
U L' B2 U2 L' D' B2
F2 L2 R D B2 D F2
F2 L2 R D2 F2 D' B2
R L2 D2 F2 D' B2 R'
D' L2 R' B2 L U' R'
D L2 R' D2 B2 U' R'
F2 L2 D R D F2 B2
F2 L2 D R D B2 F2
L' R2 B2 U' R U' L'
B' L2 D' F B2 R' B
B' L2 D' B2 R' F B
B' L2 D' B2 R' B F
B' L2 D' B2 F R' B
R' U L B2 L2 R' U2
R' U L B2 R' L2 U2
R' U L' R B2 U2 L'
R' U L' R' B2 U2 L'
F2 L2 D2 R F2 D B2
R' U L' R2 B2 U2 L'
R' U L' U2 L' D2 F2
R' U L' U2 D2 L' F2
D L2 D2 R' B2 U' R'
R' U L' D2 U2 L' F2
R' U L' B2 R U2 L'
R' U L' B2 R' U2 L'
R' U L' B2 R2 U2 L'
R' U L' B2 U2 L' D
R' U L' B2 U2 L' D'
R' U L' B2 U2 L' D2
R' U L' B2 U2 D L'
R' U L' B2 U2 D' L'
R' U L' B2 U2 D2 L'
R' U L' B2 D U2 L'
R' U L' B2 D' U2 L'
R' U L' B2 D2 U2 L'
B' L2 F D' B2 R' B
R' U R L' B2 U2 L'
R' U R B2 L' U2 L'
R' U R' L' B2 U2 L'
L2 U R' U L B2 U2
L2 U R' U B2 U2 R'
R' U R' B2 L' U2 L'
R' U R2 L' B2 U2 L'
R' U R2 B2 L' U2 L'
R' U D2 L' R2 U2 F2
R' U D2 R2 L' U2 F2
R' U D2 R2 U2 F2 R
B2 R L' U L2 U L
B2 R L' U2 D' L' B2
B2 R L' U2 D' B2 L'
B2 R L' D F2 R U2
B2 R L' D' U2 L' B2
B2 R L' D' U2 B2 L'
F2 R L2 D B2 D F2
F2 R L2 D2 F2 D' B2
R' U B L' B U2 L'
R' U B' L' U2 L' F
R' U B2 L' R U2 L'
R' U B2 L' R' U2 L'
R' U B2 L' R2 U2 L'
R' U B2 L' U2 L' D
R' U B2 L' U2 L' D'
R' U B2 L' U2 L' D2
R' U B2 L' U2 D L'
R' U B2 L' U2 D' L'
R' U B2 L' U2 D2 L'
R' U B2 L' D U2 L'
R' U B2 L' D' U2 L'
R' U B2 L' D2 U2 L'
R' U B2 R L' U2 L'
R' U B2 R' L' U2 L'
R' U B2 R2 L' U2 L'
R' U B2 D2 L' R2 U2
R' U B2 D2 R2 L' U2
R' U' L D2 L R2 F2
R' U' L D2 L F2 R2
R' U' L D2 R2 L F2
R' U' L D2 R2 F2 L
R' U' L D2 F2 L R2
R' U' L D2 F2 R2 L
R' U' L' B2 U2 L' B2
R' U' L' B2 U2 B2 L'
R' U' L2 U2 L B2 U2
R' U' L2 U2 B2 U2 R'
D2 R F2 L' D R B2
D2 R F2 L' D B2 R
D2 R F2 D L' R B2
D2 R F2 D L' B2 R
D2 R F2 D R L' B2
D2 R F2 D R B2 L'
D2 R F2 D B2 L' R
