U' L B' U' F' R
U2 L' F' R D' L2
U2 L' F' D' L2 R
U2 L' F' D' R L2
U' L2 U' F' L' R
U' L2 U' F' R L'
L' U F U F2 R
F' R D' L2 B' L
L U' B' U' F' R
L' U2 F' R D' L2
L' U2 F' D' L2 R
L' U2 F' D' R L2
L' F' R D' L2 B'
L' F' D' L2 R B'
L' F' D' L2 B' R
L' F' D' R L2 B'
F' D' L2 R B' L
F' D' L2 B' L R
F' D' L2 B' R L
F' D' R L2 B' L
U2 F2 D F L' R
U2 F2 D F R L'
D' L U B' U L F'
D' L U B' U F' L
U2 L U B' U' F' R
B' L U' B' U' F' R
B2 L U' B' U' F' R
B L U' B' U' F' R
U' L F B' U' F2 R
U2 L F' R U B' U'
U2 L F' U B' U' R
U' L B' L U' F' R
U' L B' L' U' F' R
U' L B' L2 U' F' R
U' L B' U' F' R D
U' L B' U' F' R D'
U' L B' U' F' R D2
U' L B' U' F' D R
U' L B' U' F' D' R
U' L B' U' F' D2 R
U2 L B' U' F' B R
U2 L B' U' B F' R
U' L B' F U' F2 R
B' L' U F U F2 R
B2 L' U F U F2 R
B L' U F U F2 R
U' L' U' F' R D' L2
U2 L' U' F U F2 R
U' L' U' F' D' L2 R
U' L' U' F' D' R L2
U' L' U2 F U F2 R
B' L' U2 F' R D' L2
B' L' U2 F' D' L2 R
B' L' U2 F' D' R L2
B2 L' U2 F' R D' L2
B2 L' U2 F' D' L2 R
B2 L' U2 F' D' R L2
B L' U2 F' R D' L2
B L' U2 F' D' L2 R
B L' U2 F' D' R L2
U2 L' F' L R D' L2
U2 L' F' L D' L2 R
U2 L' F' L D' R L2
U2 L' F' L' R D' L2
U2 L' F' L' D' L2 R
U2 L' F' L' D' R L2
B' L' F' R D' L2 B'
U2 L' F' L2 R D' L2
U2 L' F' L2 D' L2 R
U2 L' F' L2 D' R L2
U2 L' F' R L D' L2
U2 L' F' R L' D' L2
U2 L' F' R L2 D' L2
U2 L' F' R U' F2 U
U2 L' F' R D' L2 D
U2 L' F' R D' L2 D'
U2 L' F' R D' L2 D2
B2 L' F' R D' L2 B'
U2 L' F' R2 D' L2 R'
U2 L' F' R2 D' R' L2
B L' F' R D' L2 B'
B' L' F' D' L2 R B'
B' L' F' D' L2 B' R
B' L' F' D' R L2 B'
F L' F' U F2 U F
U2 L' F' D' L2 R D
U2 L' F' D' L2 R D'
U2 L' F' D' L2 R D2
U2 L' F' D' L2 D R
U2 L' F' D' L2 D' R
U2 L' F' D' L2 D2 R
U2 L' F' D' R L2 D
U2 L' F' D' R L2 D'
U2 L' F' D' R L2 D2
B2 L' F' D' L2 R B'
B2 L' F' D' L2 B' R
B2 L' F' D' R L2 B'
U2 L' F' D2 R D L2
F L' F' U2 D' L2 F'
F L' F' U2 D' F' L2
B L' F' D' L2 R B'
B L' F' D' L2 B' R
B L' F' D' R L2 B'
F L' F' D R2 B U2
F L' F' D' U2 L2 F'
F L' F' D' U2 F' L2
U' L2 U' L F' L' R
U' L2 U' L F' R L'
U' L2 U' L' F' L' R
U' L2 U' L' F' R L'
U' L2 U' L2 F' L' R
U' L2 U' L2 F' R L'
U' L2 U' F' L' R D
U' L2 U' F' L' R D'
U' L2 U' F' L' R D2
U' L2 U' F' L' D R
U' L2 U' F' L' D' R
U' L2 U' F' L' D2 R
U' L2 U' F' R L' D
U' L2 U' F' R L' D'
U' L2 U' F' R L' D2
U' L2 U' F' R D L'
U' L2 U' F' R D' L'
U' L2 U' F' R D2 L'
U' L2 U' F' D L' R
U' L2 U' F' D R L'
U' L2 U' F' D' L' R
U' L2 U' F' D' R L'
U' L2 U' F' D2 L' R
U' L2 U' F' D2 R L'
U' L2 B U' F' L' R
U' L2 B U' F' R L'
U' L2 B' U' F' L' R
U' L2 B' U' F' R L'
U' L2 B2 U' F' L' R
U' L2 B2 U' F' R L'
L' U F R U F2 R
L' U F R' U F2 R
L' U F R2 U F2 R
L' U F U R F2 R
L' U F U R' F2 R
L' U F U R2 F2 R
L' U F U F2 R D
L' U F U F2 R D'
L' U F U F2 R D2
L' U F U F2 D R
L' U F U F2 D' R
L' U F U F2 D2 R
L' U F U' L' U2 F2
L' U F B U F2 R
L' U F B' U F2 R
L' U F B2 U F2 R
L2 U B U L F' R
L2 U B U F' L R
L2 U B U F' R L
L' U B F U F2 R
F' R U2 D F U2 L'
F' R D L2 D2 B' L
L' U B' F U F2 R
F' R D U2 F U2 L'
F' R D' L B' L B'
F' R D' L2 B' L D
F' R D' L2 B' L D'
F' R D' L2 B' L D2
F' R D' L2 B' D L
F' R D' L2 B' D' L
F' R D' L2 B' D2 L
L' U B2 F U F2 R
F' R D' B' L2 B' L'
F' R D2 L2 D B' L
L U' L U' F' L' R
L U' L U' F' R L'
L' U' L' U' F' L' R
L' U' L' U' F' R L'
L' U' L2 B' U' F' R
F' R B D' L2 B' L
F' R B' D' L2 B' L
F' R B2 D' L2 B' L
L2 U' F U' F2 L' R
L2 U' F U' F2 R L'
L U' F B' U' F2 R
L U' B' L U' F' R
L U' B' L' U' F' R
L U' B' L2 U' F' R
L U' B' U' F' R D
L U' B' U' F' R D'
L U' B' U' F' R D2
L U' B' U' F' D R
L U' B' U' F' D' R
L U' B' U' F' D2 R
L U' B' F U' F2 R
L U2 L2 F' R D' L2
L U2 L2 F' D' L2 R
L U2 L2 F' D' R L2
L' U2 F' L R D' L2
L' U2 F' L D' L2 R
L' U2 F' L D' R L2
L' U2 F' L' R D' L2
L' U2 F' L' D' L2 R
L' U2 F' L' D' R L2
L' U2 F' L2 R D' L2
L' U2 F' L2 D' L2 R
L' U2 F' L2 D' R L2
L' U2 F' R L D' L2
L' U2 F' R L' D' L2
L' U2 F' R L2 D' L2
L' U2 F' R U' F2 U
L' U2 F' R D' L2 D
L' U2 F' R D' L2 D'
L' U2 F' R D' L2 D2
L' U2 F' R2 D' L2 R'
L' U2 F' R2 D' R' L2
L2 U2 F' R U B U'
L' U2 F' D' L2 R D
L' U2 F' D' L2 R D'
L' U2 F' D' L2 R D2
L' U2 F' D' L2 D R
L' U2 F' D' L2 D' R
L' U2 F' D' L2 D2 R
L' U2 F' D' R L2 D
L' U2 F' D' R L2 D'
L' U2 F' D' R L2 D2
L' U2 F' D2 R D L2
L U2 F' R U B' U'
L U2 F' U B' U' R
L U2 B' U' F' B R
L U2 B' U' B F' R
F' R2 D' L2 R' B' L
F' R2 D' R' L2 B' L
B' U' L B' U' F' R
B2 U' L B' U' F' R
B U' L B' U' F' R
B' U' L2 U' F' L' R
B' U' L2 U' F' R L'
B2 U' L2 U' F' L' R
B2 U' L2 U' F' R L'
B U' L2 U' F' L' R
B U' L2 U' F' R L'
B' U2 L' F' R D' L2
B' U2 L' F' D' L2 R
B' U2 L' F' D' R L2
B2 U2 L' F' R D' L2
B2 U2 L' F' D' L2 R
B2 U2 L' F' D' R L2
B U2 L' F' R D' L2
B U2 L' F' D' L2 R
B U2 L' F' D' R L2
B' U2 F2 D F L' R
B' U2 F2 D F R L'
B2 U2 F2 D F L' R
B2 U2 F2 D F R L'
L' F R2 U F2 B R
L' F R2 U B F2 R
B U2 F2 D F L' R
B U2 F2 D F R L'
L' F U R F2 R B
L' F U R2 F2 B R
L' F U R2 B F2 R
L' F U' L' F' U2 F'
L' F U' F' U2 F' R
F' D L2 R D2 B' L
F' D L2 D2 R B' L
F' D L2 D2 B' L R
F' D L2 D2 B' R L
F' D R L2 D2 B' L
F' D R U2 F U2 L'
F' D R D2 L2 B' L
U2 F' L R U B' U'
U2 F' L U B' U' R
U2 F' L' R U' F U
F2 D F L' D R B2
F2 D F L' D B2 R
L' F' L2 R D' B' L2
L' F' L2 R B' D' L2
F' D F U2 L' F' R
F2 D F D L' R B2
F2 D F D L' B2 R
F2 D F D R L' B2
F2 D F D R B2 L'
L' F' L2 D' R B' L2
F2 D F D B2 L' R
F2 D F D B2 R L'
L' F' L2 D' B' L2 R
L' F' L2 D' B' R L2
L2 F' L2 R D' B' L
L' F' L2 B' R D' L2
L' F' L2 B' D' L2 R
L' F' L2 B' D' R L2
L2 F' L2 D' R B' L
L2 F' L2 D' B' L R
L2 F' L2 D' B' R L
L' F' R L2 D' B' L2
L' F' R L2 B' D' L2
L' F' R D' L2 D B'
L' F' R D' L2 D' B'
L' F' R D' L2 D2 B'
L' F' R D' L2 B' D
L' F' R D' L2 B' D'
L' F' R D' L2 B' D2
L' F' R D' B L2 B'
L' F' R D' B' L2 B'
L' F' R D' B2 L2 B'
U2 F' R L U B' U'
U2 F' R L' U' F U
L2 F' R L2 D' B' L
L' F' R B D' L2 B'
L' F' R B' D' L2 B'
U2 F' R D F L' F'
L' F' R B2 D' L2 B'
U2 F' R D' B' L B
U2 F' R F' D F L'
U2 F' R B D' B' L
L' F' R2 D' L2 R' B'
L' F' R2 D' R' L2 B'
L F' R B D L2 B'
F' D' L R B' L B'
F' D' L B' L R B'
F' D' L B' L B' R
F' D' L B' R L B'
F' D' L2 R B' L D
F' D' L2 R B' L D'
F' D' L2 R B' L D2
F' D' L2 R B' D L
F' D' L2 R B' D' L
F' D' L2 R B' D2 L
F' D' L2 R' B' L R2
F' D' L2 R' B' R2 L
U2 F' D R F L' F'
L' F' D' L2 R D B'
L' F' D' L2 R D' B'
L' F' D' L2 R D2 B'
L' F' D' L2 R B' D
L' F' D' L2 R B' D'
L' F' D' L2 R B' D2
L' F' D' L2 R' B' R2
L' F' D' L2 D R B'
L' F' D' L2 D B' R
U2 F' D F L' F' R
L' F' D' L2 D' R B'
L' F' D' L2 D' B' R
L' F' D' L2 D2 R B'
L' F' D' L2 D2 B' R
L' F' D' L2 B R B2
L' F' D' L2 B' R D
L' F' D' L2 B' R D'
L' F' D' L2 B' R D2
L' F' D' L2 B' D R
L' F' D' L2 B' D' R
