D2 L2 D' F R B2
D2 L2 D' F B2 R
D2 L2 D' B2 F R
D2 L2 F R D' B2
D2 L2 F D' R B2
D2 L2 F D' B2 R
U' R2 D B' L U2
F U D2 L2 R F
F U D2 R L2 F
F' U' R2 B' L' U2
F' U' B' L' R2 U2
F' U' B' R2 L' U2
F U' B' R2 U2 R'
D2 F U L2 R F
D2 F U R L2 F
F D2 U L2 R F
F D2 U R L2 F
R2 L U L' B' R' U
B' L R2 U L' B' U
L2 R' D' F B2 L R
L2 R' D' F B2 R L
L2 R' D' B2 F L R
L2 R' D' B2 F R L
L2 R' F D' B2 L R
L2 R' F D' B2 R L
L R2 U L' B' R' U
L2 R2 D F2 U2 F' R
R2 L2 D F2 U2 F' R
R' L2 D' F B2 L R
R' L2 D' F B2 R L
R' L2 D' B2 F L R
R' L2 D' B2 F R L
L2 R2 D' F R B2 L
R2 L2 D' F R B2 L
D2 L2 R D' F R B2
D2 L2 R D' F B2 R
D2 L2 R D' B2 F R
D2 L2 R F R D' B2
D2 L2 R F D' R B2
D2 L2 R F D' B2 R
D2 L2 R' D' F R B2
D2 L2 R' D' F B2 R
D2 L2 R' D' B2 F R
D2 L2 R' F R D' B2
D2 L2 R' F D' R B2
D2 L2 R' F D' B2 R
L2 R2 F R D' B2 L
R2 L2 F R D' B2 L
R' L2 F D' B2 L R
R' L2 F D' B2 R L
L2 R2 F D' R B2 L
D2 L2 R2 D' F R B2
D2 L2 R2 D' F B2 R
D2 L2 R2 D' B2 F R
R2 L2 F D' R B2 L
D2 L2 R2 F R D' B2
D2 L2 R2 F D' R B2
D2 L2 R2 F D' B2 R
D L2 D F L2 R B'
D L2 D F L2 B' R
D L2 D F R L2 B'
D2 L2 D' R F R B2
D2 L2 D' R F B2 R
D2 L2 D' R B2 F R
D2 L2 D' R' F R B2
D2 L2 D' R' F B2 R
D2 L2 D' R' B2 F R
D2 L2 D' R2 F R B2
D2 L2 D' R2 F B2 R
D2 L2 D' R2 B2 F R
D2 L2 D' F R B2 D
D2 L2 D' F R B2 D'
D2 L2 D' F R B2 D2
D2 L2 D' F R' B2 R2
D' L2 D' F L2 R B2
D' L2 D' F L2 B2 R
D' L2 D' F R L2 B2
D' L2 D' F R B2 L2
D2 L2 D' F B' R B'
D2 L2 D' F B2 R D
D2 L2 D' F B2 R D'
D2 L2 D' F B2 R D2
D2 L2 D' F B2 D R
D2 L2 D' F B2 D' R
D2 L2 D' F B2 D2 R
D' L2 D' F B2 L2 R
D' L2 D' F B2 R L2
D2 L2 D' B' F R B'
D2 L2 D' B2 R F R
D2 L2 D' B2 R' F R
D2 L2 D' B2 R2 F R
D2 L2 D' B2 D F R
D2 L2 D' B2 D' F R
D2 L2 D' B2 D2 F R
D2 L2 D' B2 F R D
D2 L2 D' B2 F R D'
D2 L2 D' B2 F R D2
D2 L2 D' B2 F D R
D2 L2 D' B2 F D' R
D2 L2 D' B2 F D2 R
D' L2 D' B2 F L2 R
D' L2 D' B2 F R L2
D2 L2 D2 F D R B2
D2 L2 D2 F D B2 R
D2 L2 F R U' L2 U
D2 L2 F R D' B2 D
D2 L2 F R D' B2 D'
D2 L2 F R D' B2 D2
D2 L2 F R B D' B2
D2 L2 F R B' D' B2
D2 L2 F R B2 D' B2
D2 L2 F R2 D' R' B2
D2 L2 F U' L2 U R
D2 L2 F D R D2 B2
D2 L2 F D' R B2 D
D2 L2 F D' R B2 D'
D2 L2 F D' R B2 D2
D2 L2 F D' R' B2 R2
D2 L2 F D' B' R B'
D2 L2 F D' B2 R D
D2 L2 F D' B2 R D'
D2 L2 F D' B2 R D2
D2 L2 F D' B2 D R
D2 L2 F D' B2 D' R
D2 L2 F D' B2 D2 R
D2 L2 F B R D' B2
D2 L2 F B D' R B2
D2 L2 F B D' B2 R
D2 L2 F B' R D' B2
D2 L2 F B' D' R B2
D2 L2 F B' D' B2 R
D2 L2 F B2 R D' B2
D2 L2 F B2 D' R B2
D2 L2 F B2 D' B2 R
D' L2 F2 L2 U F' R
D2 L2 B D' F R B2
D2 L2 B D' F B2 R
D2 L2 B D' B2 F R
D2 L2 B F R D' B2
D2 L2 B F D' R B2
D2 L2 B F D' B2 R
D2 L2 B' D' F R B2
D2 L2 B' D' F B2 R
D2 L2 B' D' B2 F R
D2 L2 B' F R D' B2
D2 L2 B' F D' R B2
D2 L2 B' F D' B2 R
D2 L2 B2 D' F R B2
D2 L2 B2 D' F B2 R
D2 L2 B2 D' B2 F R
D2 L2 B2 F R D' B2
D2 L2 B2 F D' R B2
D2 L2 B2 F D' B2 R
D2 R L2 D' F R B2
D2 R L2 D' F B2 R
D2 R L2 D' B2 F R
D2 R L2 F R D' B2
D2 R L2 F D' R B2
D2 R L2 F D' B2 R
F' R U' R B' L' U2
F' R U' B' L' R U2
F' R U' B' R L' U2
D2 R F U L2 R F
D2 R F U R L2 F
R U' R B' U B2 U
R' U' R' B' U' F' U'
R U' R B' U2 D' R2
R U' R B' D L2 U2
R U' R B' D' U2 R2
U' R B' R U B2 U
U' R B' R U2 D' R2
U' R B' R D L2 U2
U' R B' R D' U2 R2
U' R B' D L2 R U2
U' R B' D R L2 U2
U' R B' D' R U2 R
D2 R' L2 D' F R B2
D2 R' L2 D' F B2 R
D2 R' L2 D' B2 F R
D2 R' L2 F R D' B2
D2 R' L2 F D' R B2
D2 R' L2 F D' B2 R
F' R' U' R' B' L' U2
R U' B' R U B U
D2 R' F U L2 R F
D2 R' F U R L2 F
B' R2 L U L' B' U
F R' B2 U L R2 F'
F R' B2 U R2 L F'
F R' B2 U R2 F' L
D2 R2 L2 D' F R B2
D2 R2 L2 D' F B2 R
D2 R2 L2 D' B2 F R
D2 R2 L2 F R D' B2
D2 R2 L2 F D' R B2
D2 R2 L2 F D' B2 R
B' R2 U L' B' U B
B' R2 U B U B' R'
U' R2 D B' L U2 D
U' R2 D B' L U2 D'
U' R2 D B' L U2 D2
U' R2 D B' L D U2
U' R2 D B' L D' U2
U' R2 D B' L D2 U2
U' R2 D B' D L U2
U' R2 D B' D' L U2
U' R2 D B' D2 L U2
U2 R2 D B' U2 R' B'
U2 R2 D' F2 B' U2 R'
U2 R2 D' B' F2 U2 R'
D2 R2 F U L2 R F
D2 R2 F U R L2 F
B' R2 F' L' U L U
F' R2 B' L' U L U
U2 R2 B' U' R2 U' R
U2 R2 B' U2 D R' B2
U2 R2 B' D U2 R' B2
U2 R2 B' D' F2 U2 R'
U' R2 B2 D B U2 R'
L2 D F R D L2 B'
F U L' R F2 L' F
L2 D F D L2 R B'
L2 D F D L2 B' R
L2 D F D R L2 B'
D2 U L2 D F' R F2
F U L' D2 L2 R F'
F U L' D2 R L2 F'
F U L' D2 R F' L2
D2 U L2 F2 D F' R
F2 U L2 F' R F2 L'
F U L2 R F2 L' F'
F U L2 D2 R F L2
F U R L' F2 L' F
F U R L2 F2 L' F'
F U R U2 R B' U2
F U R U2 B' R U2
F U R F L2 F L'
F U R F2 L2 F L
F' U R2 B' L' U2 B
F U R2 B' U2 B R'
F U D R D L2 F
F' U D2 F L2 F R
F' U D2 F2 L2 R F
F' U D2 F2 R L2 F
F U D' R D' L2 F
F U D2 L2 R D F
F U D2 L2 R D' F
F U D2 L2 R D2 F
F U D2 L2 R F D
F U D2 L2 R F D'
F U D2 L2 R F D2
F U D2 L2 R' F R2
F U D2 L2 R2 F R'
F U D2 L2 D R F
F U D2 L2 D' R F
F U D2 L2 D2 R F
F U D2 R L2 D F
F U D2 R L2 D' F
F U D2 R L2 D2 F
F U D2 R L2 F D
F U D2 R L2 F D'
F U D2 R L2 F D2
F U D2 R F L2 F
F U D2 R F' L2 F
F U D2 R F2 L2 F
F U D2 R' L2 F R2
F U D2 R2 L2 F R'
F' U F D2 L2 F R
F U D2 F' L2 F R
U' D B' U' B' U' R'
F2 U F' D2 L2 R F
F2 U F' D2 R L2 F
F' U F2 D2 L2 R F
F' U F2 D2 R L2 F
F U F' D2 L2 F R
F2 U F2 D2 L2 F R
U2 D B2 U B U2 R'
F' U B' L' R2 F' U2
F' U B' R2 L' F' U2
F2 U B' R2 F' U2 R
F U B' R2 F' U2 R'
F U' L R2 U2 R' F'
F U' L2 R2 U2 R' F
F U' L2 R2 U2 F R'
F' U' R B' L' R U2
F' U' R B' R L' U2
L2 D' F2 U F' R B2
L2 D' F2 U F' B2 R
L2 D' F2 U B2 F' R
F U' R B' R U2 R'
F' U' R2 D B' L' U2
B2 U' R2 U2 D' F' R
F' U' R2 D' B' L' U2
F' U' R2 D2 B' L' U2
B2 U' R2 D' U2 F' R
F' U' R2 B L' B2 U2
F2 U' R2 D2 B' L U2
F' U' R2 B' L' U2 D
F' U' R2 B' L' U2 D'
F' U' R2 B' L' U2 D2
F' U' R2 B' L' D U2
F' U' R2 B' L' D' U2
F' U' R2 B' L' D2 U2
F' U' R2 B' D L' U2
F' U' R2 B' D' L' U2
F' U' R2 B' D2 L' U2
F' U' R2 B2 L' B U2
F U' R2 L U2 R' F'
F U' R2 L2 U2 R' F
F U' R2 L2 U2 F R'
L2 D' B2 D' F L2 R
L2 D' B2 D' F R L2
F U' R2 B2 L B U2
F' U' D2 L' U2 L' F
F' U' D2 B' L' U2 L'
F2 U' D2 B' L U2 L
D U' B' U' B' U' R'
F U' D2 B' U2 L2 R
F U' D2 B' U2 R L2
F' U' B L' R2 B2 U2
F' U' B L' B2 R2 U2
F' U' B R2 L' B2 U2
F' U' B R2 B2 L' U2
F' U' B' L' R2 U2 D
F' U' B' L' R2 U2 D'
F' U' B' L' R2 U2 D2
F' U' B' L' R2 D U2
F' U' B' L' R2 D' U2
F' U' B' L' R2 D2 U2
F' U' B' L' U2 D2 L2
F' U' B' L' D2 U2 L2
F' U' B' R2 L' U2 D
F' U' B' R2 L' U2 D'
F' U' B' R2 L' U2 D2
F' U' B' R2 L' D U2
F' U' B' R2 L' D' U2
F' U' B' R2 L' D2 U2
F' U' B' R2 D L' U2
F' U' B' R2 D' L' U2
F' U' B' R2 D2 L' U2
F' U' B' D2 L' U2 L'
U D2 L2 D F' R F2
F U' B R2 B2 L U2
F' U' B2 L' R2 U2 F'
F' U' B2 L' B R2 U2
U D2 L2 F2 D F' R
F' U' B2 R2 L' U2 F'
F U' B' L R2 U2 R'
F U' B' L' R2 U2 R'
F U' B' L2 R2 U2 R'
F2 U' B2 R2 U2 F' R
F U' B' R2 L U2 R'
F U' B' R2 L' U2 R'
F U' B' R2 L2 U2 R'
F U' B' R2 U2 R' D
F U' B' R2 U2 R' D'
F U' B' R2 U2 R' D2
F U' B' R2 U2 D R'
F U' B' R2 U2 D' R'
F U' B' R2 U2 D2 R'
