R2 L U' R' F U2
R2 L U' F R' U2
F2 L R2 U L2 B'
R2 L' U B2 L B
R2 L' U' R' U2 B'
D' L' U F2 B' L'
D' L' U B' F2 L'
L' R2 U B2 L B
L' R2 U' R' U2 B'
L2 R2 U B2 L B'
R2 L2 U B2 L B'
L R2 U' R' F U2
L R2 U' F R' U2
F2 L2 R2 U L B'
L' U D' F2 B' L'
L' U D' B' F2 L'
L' U B' D' F2 L'
R2 U B2 D L B'
F2 R2 L U L2 B'
F2 R2 L2 U L B'
L' D' U F2 B' L'
L' D' U B' F2 L'
L' F2 R2 U B' L'
B2 D' F2 L' R2 B'
B2 D' F2 L' B' R2
B2 D' F2 R2 L' B'
L F2 R2 U L' B
L F2 R2 U B L'
L' R U R U R' B'
R2 L U L B2 L B'
R2 L U L2 B2 L B
R2 L U B' L2 B' L
R2 L U B2 L2 B' L'
R2 L U' R F R2 U2
R2 L U' R' D F U2
R2 L U' R' D' F U2
R2 L U' R' D2 F U2
R2 L U' R' F U2 D
R2 L U' R' F U2 D'
R2 L U' R' F U2 D2
R2 L U' R' F D U2
R2 L U' R' F D' U2
R2 L U' R' F D2 U2
R2 L U' D R' F U2
R2 L U' D F R' U2
R2 L U' D' R' F U2
R2 L U' D' F R' U2
R2 L U' D2 R' F U2
R2 L U' D2 F R' U2
R2 L U' F R' U2 D
R2 L U' F R' U2 D'
R2 L U' F R' U2 D2
R2 L U' F R' D U2
R2 L U' F R' D' U2
R2 L U' F R' D2 U2
R2 L U' F D R' U2
R2 L U' F D' R' U2
R2 L U' F D2 R' U2
R2 L U' F' R' F2 U2
F2 L R2 U L2 D B'
F2 L R2 U L2 D' B'
F2 L R2 U L2 D2 B'
F2 L R2 U L2 B' D
F2 L R2 U L2 B' D'
F2 L R2 U L2 B' D2
F2 L R2 U B L2 B'
F2 L R2 U B' L2 B'
F2 L R2 U B2 L2 B'
F2 L R2 U' F U2 L2
F L R2 U' F U2 L'
D' L U L' F2 L' B'
D' L U L2 F2 B' L'
D' L U L2 B' F2 L'
F2 L U L2 D' F2 B'
F2 L U L2 D' B' F2
F2 L U L2 B' D' F2
R2 L D U' R' F U2
R2 L D U' F R' U2
D' L U' R F U2 F
D L U' R F B2 U2
D L U' R B2 F U2
D' L U' F U2 F L'
R2 L D' U' R' F U2
R2 L D' U' F R' U2
D L U' B2 R F U2
R' L D2 R' U L2 B'
R2 L D2 U' R' F U2
R2 L D2 U' F R' U2
B2 L D' F2 L' R2 B
B2 L D' F2 R2 L' B
B2 L D' F2 R2 B L'
R2 L F' U D2 B2 L
R2 L F' U' R' F2 U2
R2 L F' U' F2 R' U2
R2 L F' D2 U B2 L
R2 L F2 U' F' R' U2
F2 L F2 R2 U L2 B
F2 L F2 R2 U B L2
R2 L' U L' B2 L B'
R L' U R U R' B'
R2 L' U D B2 L B
R2 L' U D' B2 L B
R2 L' U D2 B2 L B
R2 L' U B2 L D B
R2 L' U B2 L D' B
R2 L' U B2 L D2 B
R2 L' U B2 L B D
R2 L' U B2 L B D'
R2 L' U B2 L B D2
R2 L' U B2 L' B L2
R2 L' U B2 L2 B L'
R2 L' U B2 D L B
R2 L' U B2 D' L B
R2 L' U B2 D2 L B
R2 L' U' R' U2 D B'
R2 L' U' R' U2 D' B'
R2 L' U' R' U2 D2 B'
R2 L' U' R' U2 B' D
R2 L' U' R' U2 B' D'
R2 L' U' R' U2 B' D2
R2 L' U' R' D U2 B'
R2 L' U' R' D' U2 B'
R2 L' U' R' D2 U2 B'
R2 L' U' R' F U2 B'
R2 L' U' R' F' U2 B'
R2 L' U' R' F2 U2 B'
R2 L' U' D R' U2 B'
R2 L' U' D' R' U2 B'
R2 L' U' D2 R' U2 B'
R2 L' U' F R' U2 B'
R2 L' U' F' R' U2 B'
R2 L' U' F2 R' U2 B'
R2 L' U2 B2 U' L B
R2 L' D U B2 L B
R2 L' D U' R' U2 B'
R' L' D' R' F2 U B'
L' R' D' R' F2 U B'
F L' R2 U D2 B' L
R' L' D' F2 R' U B'
R2 L' D' U B2 L B
R2 L' D' U' R' U2 B'
L' R' D' F2 R' U B'
F' L' R2 F' U B' L'
F L' R2 D2 U B' L
F L' R2 F U B' L'
D' L' U L F2 L' B'
R' L' D2 R' U B' L2
B2 L' R2 B2 U L B
L' R' D2 R' U B' L2
L R' D2 R' U L2 B'
L2 R' D2 R' U L2 B
L2 R' D2 R' U B L2
R2 L' D2 U B2 L B
R2 L' D2 U' R' U2 B'
D' L' U F2 D B' L'
D' L' U F2 D' B' L'
D' L' U F2 D2 B' L'
D L' U D2 F2 B' L'
D' L' U F2 B L' B2
D' L' U F2 B' L' D
D' L' U F2 B' L' D'
D' L' U F2 B' L' D2
D' L' U F2 B' D L'
D' L' U F2 B' D' L'
D' L' U F2 B' D2 L'
D' L' U F2 B2 L' B
D L' U D2 B' F2 L'
D' L' U B F2 L' B2
D' L' U B' L F2 L'
D' L' U B' L' F2 L'
D' L' U B' L2 F2 L'
D' L' U B' F2 L' D
D' L' U B' F2 L' D'
D' L' U B' F2 L' D2
D' L' U B' F2 D L'
D' L' U B' F2 D' L'
D' L' U B' F2 D2 L'
D' L' U B2 F2 L' B
D' L' U' R U2 F2 B'
D' L' U' R U2 B' F2
D L' U' R B2 U2 B
R2 L' F U B2 L B
R2 L' F U' R' U2 B'
R2 L' F' U B2 L B
R2 L' F' U' R' U2 B'
R2 L' F2 U B2 L B
R2 L' F2 U' R' U2 B'
B2 L' D' F2 R2 B' L'
B2 L' D' F2 B' L' R2
B2 L' D' F2 B' R2 L'
B2 L' D' B' F2 L' R2
B2 L' D' B' F2 R2 L'
D L' D2 U F2 B' L'
D L' D2 U B' F2 L'
D' L' F U F B' L'
D' L' F U B' F L'
F L' F R2 U B' L'
L' R2 U L' B2 L B'
R2 L2 U L B2 L B
L2 R2 U L B2 L B
L R2 U L B2 L B'
L' R2 U D B2 L B
F' L' F' R2 U B' L'
L' R2 U D' B2 L B
L R2 U L2 B2 L B
L' R2 U D2 B2 L B
L' R2 U B2 L D B
L' R2 U B2 L D' B
L' R2 U B2 L D2 B
L' R2 U B2 L B D
L' R2 U B2 L B D'
L' R2 U B2 L B D2
L' R2 U B2 L' B L2
L' R2 U B2 L2 B L'
L' R2 U B2 D L B
L' R2 U B2 D' L B
L' R2 U B2 D2 L B
L2 R2 U B' L B' L
R2 L2 U B' L B' L
L R2 U B' L2 B' L
L2 R2 U B2 L D B'
L2 R2 U B2 L D' B'
L2 R2 U B2 L D2 B'
L2 R2 U B2 L B' D
L2 R2 U B2 L B' D'
L2 R2 U B2 L B' D2
R2 L2 U B2 L D B'
R2 L2 U B2 L D' B'
R2 L2 U B2 L D2 B'
R2 L2 U B2 L B' D
R2 L2 U B2 L B' D'
R2 L2 U B2 L B' D2
L' R2 U' R' U2 D B'
L' R2 U' R' U2 D' B'
L' R2 U' R' U2 D2 B'
L' R2 U' R' U2 B' D
L' R2 U' R' U2 B' D'
L' R2 U' R' U2 B' D2
L' R2 U' R' D U2 B'
L R2 U B2 L2 B' L'
L' R2 U' R' D' U2 B'
L' R2 U' R' D2 U2 B'
L' R2 U' R' F U2 B'
L' R2 U' R' F' U2 B'
L' R2 U' R' F2 U2 B'
D2 L' F2 R U B' L'
L' R2 U' D R' U2 B'
L' R2 U' D' R' U2 B'
L' R2 U' D2 R' U2 B'
L R2 U' R F R2 U2
L' R2 U' F R' U2 B'
L R2 U' R' D F U2
L R2 U' R' D' F U2
L R2 U' R' D2 F U2
L R2 U' R' F U2 D
L R2 U' R' F U2 D'
L R2 U' R' F U2 D2
L R2 U' R' F D U2
L R2 U' R' F D' U2
L R2 U' R' F D2 U2
L' R2 U' F' R' U2 B'
L' R2 U' F2 R' U2 B'
L R2 U' D R' F U2
L R2 U' D F R' U2
L R2 U' D' R' F U2
L2 R2 U' D2 R' U2 B
L R2 U' D' F R' U2
R2 L2 U' D2 R' U2 B
L R2 U' D2 R' F U2
L R2 U' D2 F R' U2
L R2 U' F R' U2 D
L R2 U' F R' U2 D'
L R2 U' F R' U2 D2
L R2 U' F R' D U2
L R2 U' F R' D' U2
L R2 U' F R' D2 U2
L R2 U' F D R' U2
L R2 U' F D' R' U2
L R2 U' F D2 R' U2
L R2 U' F' R' F2 U2
B' L' B R2 U B2 L
L' R2 U2 B2 U' L B
L2 R2 U2 B2 U' L B'
R2 L2 U2 B2 U' L B'
L' R2 D U B2 L B
L' R2 D U' R' U2 B'
F2 L' B' U' B R2 U
B' L' B' D' F2 L' R2
B' L' B' D' F2 R2 L'
L R2 D U' R' F U2
L R2 D U' F R' U2
L' R2 D' U B2 L B
L' R2 D' U' R' U2 B'
L R2 D' U' R' F U2
L R2 D' U' F R' U2
F2 L' B2 D' F2 B R2
F2 L' B2 D' B R2 F2
F2 L' B2 D' B F2 R2
R' L2 D2 R' U L2 B
R' L2 D2 R' U B L2
L' R2 D2 U B2 L B
L' R2 D2 U' R' U2 B'
L2 R2 D2 U' R' U2 B
R2 L2 D2 U' R' U2 B
L R2 D2 U' R' F U2
L R2 D2 U' F R' U2
L' R2 F U B2 L B
L' R2 F U' R' U2 B'
L2 R2 F U B2 L B'
R2 L2 F U B2 L B'
F2 L2 R2 U L D B'
F2 L2 R2 U L D' B'
F2 L2 R2 U L D2 B'
F2 L2 R2 U L B' D
F2 L2 R2 U L B' D'
F2 L2 R2 U L B' D2
F2 L2 R2 F U L B'
F2 L2 R2 F' U L B'
L' R2 F' U B2 L B
F2 L2 R2 F2 U L B'
L' R2 F' U' R' U2 B'
D' L2 U L F2 B' L'
D' L2 U L B' F2 L'
D' L2 U L2 F2 L' B'
B2 L2 R2 B2 U L B'
F2 L2 U L D' F2 B'
F2 L2 U L D' B' F2
L2 R2 F' U B2 L B'
F2 L2 U L B' D' F2
R2 L2 F' U B2 L B'
L R2 F' U D2 B2 L
L R2 F' U' R' F2 U2
L R2 F' U' F2 R' U2
L R2 F' D2 U B2 L
D' L2 U F2 L B' L2
L' R2 F2 U B2 L B
