U' R' D B' L2 U'
U' R' D2 B' U' F2
U' R' B' L2 U' F
U' R' B' U B' U2
B2 R2 U L F' U
B2 R2 U F' L U
B2 U L U2 B U'
U' D R' B' L2 U'
D2 U' R' B' U' F2
D U' R' B' L2 U'
B2 U' B2 R' B' U'
U' D2 R' B' U' F2
R' B2 U' B U' B'
R2 B2 U' B R U'
R B2 U' B R2 U'
L2 R' D L2 F2 B' U'
L2 R' D L2 B' F2 U'
U' L' D2 R' B U' F2
R' L2 D L2 F2 B' U'
R' L2 D L2 B' F2 U'
U' L2 R' D L2 B' U'
U' L2 D L2 R' B' U'
U' L2 D R' L2 B' U'
R U D2 L2 F U F
D2 R U' R2 B' U' F2
D2 R U' B' R2 U' F2
D R U' R2 B' L2 U'
B2 R U' B2 R' B U'
D R U' B' L2 R2 U'
D R U' B' R2 L2 U'
U R D2 L2 F U F
R2 U' R D B' L2 U'
R2 U' R D2 B' U' F2
R2 U' R B' L2 U' F
R2 U' R B' U B' U2
U' R B R2 B2 U' F'
U' R B' L2 R2 U' F
U' R B' R2 L2 U' F
U' R B' R2 U B' U2
R U' R2 D B' L2 U'
R U' R2 D2 B' U' F2
R' U' D B' L2 U' B
R U' R2 B' L2 U' F
R U' R2 B' U B' U2
R2 U' D R B' L2 U'
F' R B2 U' B R2 U'
R2 U' D B' L2 R U'
R2 U' D B' R L2 U'
F2 R B2 U' B R2 U'
F R B2 U' B R2 U'
R' U' D2 B' U' F2 B
R' U' D2 B' U' B F2
R2 U' D2 R B' U' F2
R2 U' D2 B' R U' F2
U' R' L2 D L2 B' U'
B2 R' U L F' U L'
B2 R' U F' L U L2
U' R' U B2 U' B U'
D2 R' U' B' U' F2 B
D2 R' U' B' U' B F2
D R' U' B' L2 U' B
R' U' B' L2 U' F B
R' U' B' L2 U' B F
R' U' B' U B' U2 B2
R U' B R2 B2 U' F'
R' U' B' U' B D2 F2
R2 U' B' L2 R U' F
U' R' D L2 U2 F U
R2 U' B' R L2 U' F
R2 U' B' R U B' U2
R U' B' L2 R2 U' F
R U' B' R2 L2 U' F
R U' B' R2 U B' U2
U' R' D B L2 B2 U'
U' R' D B' L2 U' D
U' R' D B' L2 U' D'
U' R' D B' L2 U' D2
U' R' D B' L2 D U'
U' R' D B' L2 D' U'
U' R' D B' L2 D2 U'
U' R' D B' U' D F2
U' R' D B' D U' F2
U' R' D B2 L2 B U'
U2 R' D B' L2 U' R
U' R' D' B' U' D' F2
U' R' D' B' U2 R2 U
U' R' D' B' D' U' F2
U' R' D' B' D2 L2 U'
U' R' D2 B' L U' F2
U' R' D2 B' L' U' F2
U' R' D2 B' L2 U' F2
U' R' D2 B' U' F2 D
U' R' D2 B' U' F2 D'
U' R' D2 B' U' F2 D2
U' R' D2 B' D' L2 U'
U2 R' D2 B' U' R F2
D2 R' B' L U' F2 R
U' R' B' L2 U' D F
U' R' B' L2 U' D' F
U' R' B' L2 U' D2 F
U' R' B' L2 U' F D
U' R' B' L2 U' F D'
U' R' B' L2 U' F D2
U' R' B' L2 D U' F
U' R' B' L2 D' U' F
U' R' B' L2 D2 U' F
D2 R' B' U' F2 D R2
U' R' B' U D B' U2
U' R' B' U D' B' U2
U' R' B' U D2 B' U2
U' R' B' U B' U2 D
U' R' B' U B' U2 D'
U' R' B' U B' U2 D2
U' R' B' U B' D U2
U' R' B' U B' D' U2
U' R' B' U B' D2 U2
U' R' B' U' L2 F L2
U2 R' B' L2 U' R F
U' R' B' D L2 U' F
U' R' B' D U B' U2
U' R' B' D' L2 U' F
U' R' B' D' U B' U2
D R' B' L2 U L2 U2
D R' B' L2 U' D2 R2
D R' B' L2 D F2 U'
U' R' B' D2 L2 U' F
D R' B' L2 D2 U' R2
U' R' B' D2 U B' U2
U2 R' B' U B' U2 R
F' R' B2 U' B U' B'
F2 R' B2 U' B U' B'
F R' B2 U' B U' B'
B2 R2 U L D F' U
B2 R2 U L D' F' U
B2 R2 U L D2 F' U
B2 R2 U L F' U D
B2 R2 U L F' U D'
B2 R2 U L F' U D2
B2 R2 U L F' D U
B2 R2 U L F' D' U
B2 R2 U L F' D2 U
B2 R2 U L' F' L2 U
B2 R2 U D L F' U
B2 R2 U D F' L U
B2 R2 U D' L F' U
B2 R2 U D' F' L U
B2 R2 U D2 L F' U
B2 R2 U D2 F' L U
B2 R2 U F L F2 U
B2 R2 U F' L U D
B2 R2 U F' L U D'
B2 R2 U F' L U D2
B2 R2 U F' L D U
B2 R2 U F' L D' U
B2 R2 U F' L D2 U
B2 R2 U F' D L U
B2 R2 U F' D' L U
B2 R2 U F' D2 L U
D2 R2 U' R B' U' F2
D2 R2 U' B' R U' F2
D R2 U' R B' L2 U'
D R2 U' B' L2 R U'
D R2 U' B' R L2 U'
D' R2 U2 B' R U' R'
U' R2 D R B' L2 U'
R U2 B D B2 L2 F
B2 R2 D U L F' U
B2 R2 D U F' L U
U' R2 D B' L2 R U'
U' R2 D B' R L2 U'
B2 R2 D' U L F' U
B2 R2 D' U F' L U
U' R2 D2 R B' U' F2
B2 R2 D2 U L F' U
B2 R2 D2 U F' L U
U' R2 D2 B' R U' F2
B2 R2 F U L F2 U
B2 R2 F U F2 L U
L2 D L2 R' F2 B' U'
L2 D L2 R' B' F2 U'
B2 R2 F' U L U L'
L2 D L2 F2 R' B' U'
B2 R2 F2 U F L U
L2 D R' L2 F2 B' U'
L2 D R' L2 B' F2 U'
U' R2 B' L2 R U' F
U' R2 B' R L2 U' F
U' R2 B' R U B' U2
F' R2 B2 U' B R U'
R' D U' B' L2 U' B
F2 R2 B2 U' B R U'
R2 D U' R B' L2 U'
B2 U L R2 F' R2 U
B2 U L U2 D B U'
B2 U L U2 D' B U'
B2 U L U2 D2 B U'
B2 U L U2 B U' D
B2 U L U2 B U' D'
