F' R U R U2 R2
F' R U' R' D2 L2
F' R F2 U' L' R'
F' R F2 U' R' L'
D R' B2 U' R B'
D R' B2 U' B' R
F' D B2 R U' R'
F' D2 R U' L2 R'
F' D2 R U' R' L2
D2 B R' U' L2 R
D2 B R' U' R L2
D B2 R' U' B R
L2 R D F2 L' R' B
L2 R D F2 R' L' B
L2 R D F2 R' B L'
D' L U' F2 R U B'
D2 L D L D F2 B'
D2 L D L D B' F2
D2 L D L B' D F2
D' L F2 R U R' B'
D' L B' U' F2 R U
R L2 D F2 L' R' B
R L2 D F2 R' L' B
R L2 D F2 R' B L'
D2 L2 D L B' L' F2
D2 L2 D F2 L B' L'
D2 L2 B U L2 R' U'
D2 L2 B U R' L2 U'
R' U D R' U2 B R2
R U D R U2 R2 B
R U D R F' U2 R2
F' R U L R U2 R2
F' R U L' R U2 R2
F' R U L2 R U2 R2
F' R U R L U2 R2
F' R U R L' U2 R2
F' R U R L2 U2 R2
F' R U R U2 R2 D
F' R U R U2 R2 D'
F' R U R U2 R2 D2
F' R U R D2 L2 U2
F' R U D R U2 R2
F' R U D' R U2 R2
F' R U D2 R U2 R2
F' R U' L R' D2 L2
D2 R U' L2 D' R' B
F' R U' L' R' D2 L2
F' R U' L2 R' D2 L2
F' R U' R' L D2 L2
F' R U' R' L' D2 L2
F' R U' R' L2 D2 L2
F' R U' R' U2 R2 U2
F' R U' R' D2 L2 D
F' R U' R' D2 L2 D'
F' R U' R' D2 L2 D2
F' R U' D R' D2 L2
F' R U' D' R' D2 L2
F' R U' D2 R' D2 L2
F' R U' F2 L' R' F2
F' R U' F2 L' F2 R'
F' R U' F2 R' L' F2
F' R U2 F2 U L' R'
F' R U2 F2 U R' L'
F' R D U R U2 R2
F' R D U' R' D2 L2
F' R D F2 U' L' R'
F' R D F2 U' R' L'
F' R D' U R U2 R2
F' R D' U' R' D2 L2
F' R D' F2 U' L' R'
F' R D' F2 U' R' L'
F' R D2 U R U2 R2
F' R D2 U' R' D2 L2
F' R D2 F2 U' L' R'
F' R D2 F2 U' R' L'
U' R F2 U L' F2 B'
U' R F2 U L' B' F2
F' R F2 U' L' R' D
F' R F2 U' L' R' D'
F' R F2 U' L' R' D2
F' R F2 U' L' D R'
F' R F2 U' L' D' R'
F' R F2 U' L' D2 R'
F' R F2 U' R' L' D
F' R F2 U' R' L' D'
F' R F2 U' R' L' D2
F' R F2 U' R' D L'
F' R F2 U' R' D' L'
F' R F2 U' R' D2 L'
F' R F2 U' D L' R'
F' R F2 U' D R' L'
F' R F2 U' D' L' R'
F' R F2 U' D' R' L'
F' R F2 U' D2 L' R'
F' R F2 U' D2 R' L'
F' R F2 D U' L' R'
F' R F2 D U' R' L'
F' R F2 D' U' L' R'
F' R F2 D' U' R' L'
F' R F2 D2 U' L' R'
F' R F2 D2 U' R' L'
F R F2 R U' L' R2
F R F2 R U' R2 L'
F' R B2 U L R U2
F' R B2 U R L U2
R U' D R' D2 L2 B
R U' D R' D2 B L2
R U' D R' B D2 L2
R' U' D' B2 L R B'
R' U' D' B2 L B' R
R' U' D' B2 R L B'
D R B2 U L F' U2
D R B2 U F' L U2
R2 U' F' R U' R F
F' R' U' D B2 L R
F' R' U' D B2 R L
F2 R' U' R D2 L2 B
F2 R' U' R D2 B L2
F2 R' U' R B D2 L2
D R' U' D L2 B R
D R' U' D B L2 R
D R' U' D B R L2
F2 R' U' B R B L
F2 R' U' B2 L R B
F2 R' U' B2 R L B
R' U' B2 R D' L B'
F' R' D U' B2 L R
F' R' D U' B2 R L
R' U' B2 D' L R B'
R' U' B2 D' L B' R
R' U' B2 D' R L B'
D R' D U' L2 B R
D R' D U' B L2 R
D R' D U' B R L2
D2 R' B R' U' L2 R2
D2 R' B R' U' R2 L2
F' R' B2 R2 U' L R'
F' R' B2 R2 U' R' L
U' R' B2 D' L R2 B'
U' R' B2 D' L B' R2
U' R' B2 D' R2 L B'
F2 R' B2 U' L R B
F2 R' B2 U' R L B
D R' B2 R' U' R2 B'
D R' B2 R' U' B' R2
D R' B2 R2 U' R' B'
D R' B2 U' R D B'
D R' B2 U' R D' B'
D R' B2 U' R D2 B'
D R' B2 U' R B' D
D R' B2 U' R B' D'
D R' B2 U' R B' D2
D R' B2 U' R' B' R2
D R' B2 U' D R B'
D R' B2 U' D B' R
D R' B2 U' D' R B'
D R' B2 U' D' B' R
D R' B2 U' D2 R B'
D R' B2 U' D2 B' R
D R' B2 U' B R B2
D R' B2 U' B' R D
D R' B2 U' B' R D'
D R' B2 U' B' R D2
D R' B2 U' B' D R
D R' B2 U' B' D' R
D R' B2 U' B' D2 R
D R' B2 D U' R B'
D R' B2 D U' B' R
D R' B2 D' U' R B'
D R' B2 D' U' B' R
D R' B2 D2 U' R B'
D R' B2 D2 U' B' R
R2 U2 F L' U L R2
R2 U2 F L' U R2 L
R U2 F2 U L' R' B'
R U2 F2 U R' L' B'
U R2 U' F' R U' R'
F R2 U2 L' U L R2
F R2 U2 L' U R2 L
F' R2 D' R' F2 U' L'
U2 R2 F U L' R2 U
U2 R2 F U R2 L' U
U R2 F' U' R F U'
D2 R2 B R' U' L2 R'
D2 R2 B R' U' R' L2
R' D U R' U2 B R2
D R2 B2 R U' B R
R D U R U2 R2 B
R D U R F' U2 R2
R D U' R' D2 L2 B
R D U' R' D2 B L2
R D U' R' B D2 L2
R D F2 U' L' R' B
R D F2 U' R' L' B
R D F2 U' R' B L'
F' U R2 U' R' U' R
L2 D' L B' D' L2 F
L D' L D' B' L2 F
D2 U B R' U' L2 F
D' U' L F2 U F2 B'
D' U' L F2 U B' F2
U' D' L F2 U F2 B'
U' D' L F2 U B' F2
U2 D' L F2 U R B'
U2 D' L F2 U B' R
R' D' U' B2 L R B'
R' D' U' B2 L B' R
R' D' U' B2 R L B'
F U' L' D' F2 U F2
U' D' F2 L U F2 B'
U' D' F2 L U B' F2
D' U' F2 L U F2 B'
D' U' F2 L U B' F2
R' D' B2 U' L R B'
R' D' B2 U' L B' R
R' D' B2 U' R L B'
F' U' D' F2 L' U F2
F U' D' L' F2 U F2
L D2 L D L F2 B'
L D2 L D L B' F2
L D2 L D F2 L B'
D' U2 L F2 U R B'
D' U2 L F2 U B' R
F U2 L' U' L R2 U2
F U2 L' U' R2 L U2
U D2 B R' U' L2 F
F U2 R2 U L' R2 U
F U2 R2 U R2 L' U
U' F L' U D2 L2 F'
U' F L' U D2 F' L2
U' F L' U F' D2 L2
U' F L' U' R2 B U2
U' F L' D' F2 U F
U' F L' D2 U L2 F'
U' F L' D2 U F' L2
U2 F L' U' L R2 U2
U2 F L' U' R2 L U2
U2 F R2 U L' R2 U
U2 F R2 U R2 L' U
D F R' B2 U' R B'
D F R' B2 U' B' R
U F R2 U L' B U
U F R2 U B L' U
R2 F U2 L' U L R2
R2 F U2 L' U R2 L
U' F D' L' F2 U F
U' F D2 L' U L' F'
F' D R U' R' D L2
F' D R U' D L2 R'
F' D R U' D R' L2
F' D R D U' L2 R'
F' D R D U' R' L2
F' D R B2 U L U2
D2 F B R' U' L2 R
D2 F B R' U' R L2
B' D R' B2 U' R B'
B' D R' B2 U' B' R
F' D R' B2 R2 U' R'
B2 D R' B2 U' R B'
B2 D R' B2 U' B' R
F2 D R' B2 U' R B
B D R' B2 U' R B'
B D R' B2 U' B' R
D F B2 R' U' B R
F2 D F B2 R U' R'
R2 F' R U R' U2 R2
R2 F' R U' R D2 L2
R2 F' R B2 U' L R
R2 F' R B2 U' R L
R F' R F' U' L' R2
R F' R F' U' R2 L'
F D F2 B2 R U' R'
D F' R' B2 U' R B'
D F' R' B2 U' B' R
B' D B2 R' U' B R
F' D B2 R U' R' D
F' D B2 R U' R' D'
F' D B2 R U' R' D2
F' D B2 R U' D R'
F' D B2 R U' D' R'
F' D B2 R U' D2 R'
F' D B2 R D U' R'
F' D B2 R D' U' R'
F' D B2 R D2 U' R'
F' D B2 R F U' R'
F' D B2 R F' U' R'
F' D B2 R F2 U' R'
U F' R2 U' R' F U'
U F' R2 U' F R' U'
B2 D B2 R' U' B R
F2 D B2 R' U' R B
F' D B2 D R U' R'
F' D B2 D' R U' R'
F' D B2 D2 R U' R'
F2 D B2 F R U' R'
B D B2 R' U' B R
F D B2 F2 R U' R'
U' F' D' F2 L' U F'
F' D' R U' R' D' L2
F' D' R U' D' L2 R'
F' D' R U' D' R' L2
F' D' R U2 F2 U R'
F' D' R D' U' L2 R'
F' D' R D' U' R' L2
D2 F' B R' U' L2 R
D2 F' B R' U' R L2
F' D' U' F2 L' U F2
D F' B2 R' U' B R
F D' U' L' F2 U F2
U' F2 R U F2 L' B'
R' F2 U L' R' U2 B'
R' F2 U R' L' U2 B'
D F2 R' B2 U' R B'
D F2 R' B2 U' B' R
R F2 R2 U' L' R B
R F2 R2 U' R L' B
R F2 R2 U' R B L'
R F2 U' L' R B R2
R F2 U' R L' B R2
R F2 U' R B L' R2
R F2 U' R B R2 L'
F' D2 L2 U L2 R U'
F' D2 L2 U R L2 U'
F' D2 R U' L2 R' D
F' D2 R U' L2 R' D'
F' D2 R U' L2 R' D2
F' D2 R U' L2 D R'
F' D2 R U' L2 D' R'
F' D2 R U' L2 D2 R'
F' D2 R U' R' L2 D
F' D2 R U' R' L2 D'
F' D2 R U' R' L2 D2
F' D2 R F U' L2 R'
F' D2 R F U' R' L2
F' D2 R F' U' L2 R'
F' D2 R F' U' R' L2
F' D2 R F2 U' L2 R'
F' D2 R F2 U' R' L2
D2 F2 B R' U' L2 R
D2 F2 B R' U' R L2
F2 D2 R' U' L2 R B
F2 D2 R' U' R L2 B
F2 D2 R' U' R B L2
D F2 B2 R' U' B R
D2 B L2 U L2 R' U'
D2 B L2 U R' L2 U'
F2 D2 F R U' L2 R'
F2 D2 F R U' R' L2
D2 B R' U' L2 R D
D2 B R' U' L2 R D'
D2 B R' U' L2 R D2
D2 B R' U' L2 D R
D2 B R' U' L2 D' R
D2 B R' U' L2 D2 R
D2 B R' U' R L2 D
D2 B R' U' R L2 D'
D2 B R' U' R L2 D2
D2 B R' D' B2 U' R
B' D2 B R' U' L2 R
B' D2 B R' U' R L2
D2 B R' B U' L2 R
D2 B R' B U' R L2
D2 B R' B' U' L2 R
D2 B R' B' U' R L2
F' D2 B R U' L2 R'
F' D2 B R U' R' L2
D2 B R' B2 U' L2 R
D2 B R' B2 U' R L2
B2 D2 B R' U' L2 R
B2 D2 B R' U' R L2
F D2 F2 R U' L2 R'
F D2 F2 R U' R' L2
D B R' U' B L R
D B R' U' B R L
F' D2 B' R U' L2 R'
F' D2 B' R U' R' L2
B D2 B R' U' L2 R
B D2 B R' U' R L2
F' D2 B2 R U' L2 R'
F' D2 B2 R U' R' L2
D2 B D' R' B2 U' R
F' B R U R U2 R2
F' B R U' R' D2 L2
D B D B R' U' R
F' B R F2 U' L' R'
F' B R F2 U' R' L'
D2 B F R' U' L2 R
D2 B F R' U' R L2
D2 B F' R' U' L2 R
D2 B F' R' U' R L2
D2 B F2 R' U' L2 R
D2 B F2 R' U' R L2
F' B D B2 R U' R'
F' B D2 R U' L2 R'
F' B D2 R U' R' L2
D B' R' B' U' R B2
D B' R' B' U' B2 R
B' F' R U R U2 R2
B' F' R U' R' D2 L2
F' B' R U R U2 R2
F' B' R U' R' D2 L2
B' F' R F2 U' L' R'
B' F' R F2 U' R' L'
B2 F' R U R U2 R2
B2 F' R U' R' D2 L2
F' B' R F2 U' L' R'
F' B' R F2 U' R' L'
B2 F' R F2 U' L' R'
B2 F' R F2 U' R' L'
B F' R U R U2 R2
B F' R U' R' D2 L2
B F' R F2 U' L' R'
B F' R F2 U' R' L'
D2 B' D' B2 R' U' R
B' F' D B2 R U' R'
F' B' D B2 R U' R'
B2 F' D B2 R U' R'
B' F' D2 R U' L2 R'
B' F' D2 R U' R' L2
B F' D B2 R U' R'
F' B' D2 R U' L2 R'
F' B' D2 R U' R' L2
B2 F' D2 R U' L2 R'
B2 F' D2 R U' R' L2
B F' D2 R U' L2 R'
B F' D2 R U' R' L2
D B2 R U F' U2 R'
D B2 R U' R2 B R
D B2 R' U' D B R
D B2 R' U' D' B R
D B2 R' U' D2 B R
D B2 R' U' B R D
D B2 R' U' B R D'
D B2 R' U' B R D2
D B2 R' U' B D R
D B2 R' U' B D' R
D B2 R' U' B D2 R
D B2 R' U' B' R B2
D B2 R' U' B2 R B'
F' B2 R U R U2 R2
D B2 R' D U' B R
F' B2 R U' R' D2 L2
D B2 R' D' U' B R
D B2 R' D2 U' B R
F' B2 R F2 U' L' R'
F' B2 R F2 U' R' L'
R' B2 U' R D' L B'
R' B2 U' D' L R B'
R' B2 U' D' L B' R
R' B2 U' D' R L B'
R' B2 D' U' L R B'
R' B2 D' U' L B' R
R' B2 D' U' R L B'
D B2 D' F' R U' R'
F' B2 D B2 R U' R'
D B2 F R' U' B R
F' B2 D2 R U' L2 R'
F' B2 D2 R U' R' L2
D B2 F' R' U' B R
D B2 F2 R' U' B R
