L' U F' R2 U' R' F'
R2 U' L' F' R D' F2
D2 R B L2 U L R'
D2 R B L2 U R' L
R2 U2 D R' B U L'
F' R2 U' R' F L' F2
F' R2 U' F L' R' F'
F' R2 U' F R' L' F'
F' R2 U' F2 R' F' L'
R2 D U2 R' B U L'
L' D2 B R' D' F2 B2
L' D2 B R' D' B2 F2
L' F D F2 R F' B2
L' F D F2 R B2 F'
L' F D F2 B2 R F'
L' F D B2 F2 R F'
L2 F' R2 U' L R' F'
L2 F' R2 U' R' L F'
L2 F' R2 U' R' F' L
L F' R2 U' L2 R' F'
L F' R2 U' R' L2 F'
L F' R2 U' R' F' L2
D' F2 R U' L' F U'
D2 B L2 R U L R2
D2 B L2 R U R2 L
D2 B R L2 U L R2
D2 B R L2 U R2 L
D2 B R' D' L' F2 B2
D2 B R' D' L' B2 F2
D2 B R' D' B2 L' F2
R2 B2 L F' U' L2 R
R2 B2 L F' U' R L2
