B' R D' F' L' F'
B' R F D' F2 L'
B' R F' L' D' F2
B' R F' D' L' F2
B' U' R' F' U R2
B2 D' B R F' L'
R B' U' R' F' U
B' L R D' F' L' F'
B' L R F D' F2 L'
B' L R F' L' D' F2
B' L R F' D' L' F2
B' L U' R' F' U R2
B2 L D' B R F' L'
B' L' R D' F' L' F'
B' L' R F D' F2 L'
B' L' R F' L' D' F2
B' L' R F' D' L' F2
B' L' U' R' F' U R2
B2 L' D' B R F' L'
B' L2 R D' F' L' F'
B' L2 R F D' F2 L'
B' L2 R F' L' D' F2
B' L2 R F' D' L' F2
B' L2 U' R' F' U R2
B2 L2 D' B R F' L'
R U R' U' F' B' L'
R U R' U' B' F' L'
B' R L D' F' L' F'
B' R L F D' F2 L'
B' R L F' L' D' F2
B' R L F' D' L' F2
B' R L' D' F' L' F'
B' R L' F D' F2 L'
B' R L' F' L' D' F2
B' R L' F' D' L' F2
B' R L2 D' F' L' F'
B' R L2 F D' F2 L'
B' R L2 F' L' D' F2
B' R L2 F' D' L' F2
U' R U B L U' B2
B' R U' R' F' R' U
B' R D F D2 F2 L'
B' R D F' L' D2 F2
B' R D F' D2 L' F2
B' R D' L F' L' F'
B' R D' L' F' L' F'
B' R D' L2 F' L' F'
B' R D' F' L F' L2
B' R D' F' L' D F'
B' R D' F' L' D' F'
B' R D' F' L' D2 F'
B' R D' F' L' F' D
B' R D' F' L' F' D'
B' R D' F' L' F' D2
B' R D' F' L2 F' L
B' R D' F' D L' F'
B' R D' F' D' L' F'
B' R D' F' D2 L' F'
B' R D2 F D F2 L'
B' R D2 F' D L' F2
B' R F L D' F2 L'
B' R F L' D' F2 L'
B' R F L2 D' F2 L'
B' R F D' L F2 L'
B' R F D' L' F2 L'
B' R F D' L2 F2 L'
B' R F D' F2 L' D
B' R F D' F2 L' D'
B' R F D' F2 L' D2
B' R F D' F2 D L'
B' R F D' F2 D' L'
B' R F D' F2 D2 L'
B' R F' L' U' R2 U
B' R F' L' D' F2 D
B' R F' L' D' F2 D'
B' R F' L' D' F2 D2
B' R F' L' F D' F2
B' R F' L' F' D' F2
B' R F' L' F2 D' F2
B' R F' L2 D' L F2
B' R F' L2 D' F2 L
B' R F' U' R2 U L'
B' R F' D L' D2 F2
B R F' L' B2 D F2
B' R F' D' L F2 L2
B' R F' D' L' F2 D
B' R F' D' L' F2 D'
B' R F' D' L' F2 D2
B' R F' D' L2 F2 L
