L' U' L' R' B'
L' U' R' L' B'
L' R U' L' R2 B'
L' R U' L' B' R2
L' R U' R2 L' B'
R2 L' U' L' R B'
R2 L' U' L' B' R
R2 L' U' R L' B'
R L' U' L' R2 B'
R L' U' L' B' R2
R L' U' R2 L' B'
U' L' U' R' B' L'
L' R2 U' L' R B'
L' R2 U' L' B' R
L' R2 U' R L' B'
L' U' L' R B' R2
L' U' L' R' D B'
L' U' L' R' D' B'
L' U' L' R' D2 B'
L' U' L' R' B' D
L' U' L' R' B' D'
L' U' L' R' B' D2
L' U' L' R2 B' R
L' U' L' D R' B'
L' U' L' D' R' B'
L' U' L' D2 R' B'
L' U' R L' B' R2
L' U' R' L' D B'
L' U' R' L' D' B'
L' U' R' L' D2 B'
L' U' R' L' B' D
L' U' R' L' B' D'
L' U' R' L' B' D2
L' U' R' D L' B'
L' U' R' D' L' B'
L' U' R' D2 L' B'
L' U' R' B L' B'
L' U' R' B' L' B'
L' U' R' B2 L' B'
L' U' R2 L' B' R
L' U' D L' R' B'
L' U' D R' L' B'
L' U' D' L' R' B'
L' U' D' R' L' B'
L' U' D2 L' R' B'
L' U' D2 R' L' B'
L' U' B L' B' R'
L' D U' L' R' B'
L' D U' R' L' B'
L' D' U' L' R' B'
L' D' U' R' L' B'
L' D2 U' L' R' B'
L' D2 U' R' L' B'
L' R U' L' R B' R
L' R U' L' R2 D B'
L' R U' L' R2 D' B'
L' R U' L' R2 D2 B'
L' R U' L' R2 B' D
L' R U' L' R2 B' D'
L' R U' L' R2 B' D2
L' R U' L' B R2 B2
L' R U' L' B' R2 D
L' R U' L' B' R2 D'
L' R U' L' B' R2 D2
L' R U' R L' B' R
L' R U' R2 L' D B'
L' R U' R2 L' D' B'
L' R U' R2 L' D2 B'
L' R U' R2 L' B' D
L' R U' R2 L' B' D'
L' R U' R2 L' B' D2
L' R U' R2 D L' B'
L' R U' R2 D' L' B'
L' R U' R2 D2 L' B'
L' R U' R2 B L' B'
L' R U' R2 B' L' B'
L' R U' R2 B2 L' B'
L' R U' B L' R2 B'
L' R U' B L' B' R2
L' R U' B R2 L' B'
L' R U' B' L' R2 B'
L' R U' B' L' B' R2
L' R U' B' R2 L' B'
L' R U' B2 L' R2 B'
L' R U' B2 L' B' R2
L' R U' B2 R2 L' B'
B2 L U2 D L F2 B'
B2 L U2 D L B' F2
B2 L U2 D F2 L B'
B2 L D L F2 R B'
B2 L D L F2 B' R
B2 L D L B' F2 R
B2 L D U2 L F2 B'
B2 L D U2 L B' F2
B2 L D U2 F2 L B'
B2 L D' B2 R' U2 B
L' R B' R' U' L' R'
L' R B' R' U' R' L'
L2 R' U L R U' B
L2 R' U R L U' B
R2 L' U' L' R D B'
R2 L' U' L' R D' B'
R2 L' U' L' R D2 B'
R2 L' U' L' R B' D
R2 L' U' L' R B' D'
R2 L' U' L' R B' D2
R2 L' U' L' R' B' R2
R2 L' U' L' D R B'
R2 L' U' L' D B' R
R2 L' U' L' D' R B'
R2 L' U' L' D' B' R
R2 L' U' L' D2 R B'
R2 L' U' L' D2 B' R
R2 L' U' L' B R B2
R2 L' U' L' B' R D
R2 L' U' L' B' R D'
R2 L' U' L' B' R D2
R2 L' U' L' B' D R
R2 L' U' L' B' D' R
R2 L' U' L' B' D2 R
R L' U' L' R B' R
R L' U' L' R2 D B'
R L' U' L' R2 D' B'
R L' U' L' R2 D2 B'
R L' U' L' R2 B' D
R L' U' L' R2 B' D'
R L' U' L' R2 B' D2
R2 L' U' R L' D B'
R2 L' U' R L' D' B'
R2 L' U' R L' D2 B'
R2 L' U' R L' B' D
R2 L' U' R L' B' D'
R2 L' U' R L' B' D2
R L' U' L' B R2 B2
R L' U' L' B' R2 D
R L' U' L' B' R2 D'
R L' U' L' B' R2 D2
R2 L' U' R D L' B'
R2 L' U' R D' L' B'
R2 L' U' R D2 L' B'
R2 L' U' R B L' B'
R2 L' U' R B' L' B'
R2 L' U' R B2 L' B'
R2 L' U' R' L' B' R2
R L' U' R L' B' R
R2 L' U' D L' R B'
R2 L' U' D L' B' R
R2 L' U' D R L' B'
R L' U' R2 L' D B'
R L' U' R2 L' D' B'
R L' U' R2 L' D2 B'
