D' R' B2 U L B'
D' L R' B2 U L B
B2 L U D' L U2 B'
B2 L U' D B2 R' B
B2 L U' B2 D R' B
B2 L D U' B2 R' B
B2 L D' U L U2 B'
B2 L F' R U L U2
B2 L F2 U L F U2
F' L B2 L R U' R2
F' L B2 R L U' R2
F L' R' D2 F2 U R
F L' D2 R' F2 U R
F L' D2 F2 R' U R2
B2 L' F2 L2 U' R B
F' L2 U' B2 L R U'
F' L2 U' B2 R L U'
F L2 U' B2 L R' U'
F L2 U' B2 R' L U'
L2 U D R' U L2 B
L2 U D R' U B L2
D2 R D' R F2 L2 B'
F' R B2 D2 L2 U' R2
D' R' L B2 U L B
F R' L' D2 F2 U R
D2 R' U D' L2 R' B
D2 R' U D' R' L2 B
D2 R' U D' R' B L2
D R' U L2 D B R2
D R' U L2 B D R2
D R' U B L2 D R2
D R' U2 F2 U' L2 B
D R' U2 F2 U' B L2
D R' D F2 U B R2
D2 R' D' U L2 R' B
D2 R' D' U R' L2 B
D2 R' D' U R' B L2
L2 U' B2 D' L U' B'
F' R' D2 L2 F2 U R2
F' R' D2 F2 L2 U R2
F R' D2 L' F2 U R2
D' R' F B2 U L B'
D' R' F' B2 U L B'
D2 R' F2 U D' R' B
D2 R' F2 D' U R' B
D' R' F2 B2 U L B'
D R' F2 U' B L2 F
D' R' B2 L' U L2 B'
D' R' B2 U L D B'
D' R' B2 U L D' B'
D' R' B2 U L D2 B'
D' R' B2 U L B' D
D' R' B2 U L B' D'
D' R' B2 U L B' D2
D' R' B2 F U L B'
D' R' B2 F' U L B'
D' R' B2 F2 U L B'
L2 D U R' U L2 B
L2 D U R' U B L2
D' U R' B2 U L B'
U' D' R' B2 U L B'
D' U' R' B2 U L B'
U2 D' R' B2 U L B'
U D' R' B2 U L B'
D' U2 R' B2 U L B'
R' D2 F2 B' L U R2
R' D2 B' L F2 U R2
R' D2 B' F2 L U R2
R' F L' D2 F2 U R
D' F R' B2 U L B'
B2 D L R' F2 U' B
B2 D L F2 R' U' B
R' F D2 L' F2 U R2
B2 D R' L F2 U' B
B2 D R' F2 L U' B
B2 D F2 L R' U' B
B2 D F2 R' L U' B
B2 D F2 D2 L U' B'
D' F' R' B2 U L B'
B2 D' L U' D' R2 B'
B2 D' L U' D' B' R2
B2 D' L U2 B2 U B
B2 D' L D' U' R2 B'
B2 D' L D' U' B' R2
B2 D' L D2 F2 U' B'
L2 F' U' B2 L R U'
L2 F' U' B2 R L U'
F D' L' R' B2 U L
R' F' D2 F2 L' U R2
F D' R' L' B2 U L
F D' R' B2 L' U L2
L F' B2 L R U' R2
L F' B2 R L U' R2
D2 F2 R' U D' R' B
D2 F2 R' D' U R' B
D' F2 R' B2 U L B'
D F2 R' U' B L2 F
D F2 U2 R' U L2 B
D F2 U2 R' U B L2
F D2 L' R' F2 U R'
F D2 L' F2 R' U R'
F D2 R' L' F2 U R'
L' F2 B2 L U' R B
F' D2 F2 L' R' U R'
F' D2 F2 R' L' U R'
B D2 B L R' U' R'
B D2 B R' L U' R'
B2 F L U' D' B2 R'
B2 F L D' U' B2 R'
B2 F D F2 L R U'
B2 F D F2 R L U'
B2 F' L R U L U2
B2 F' R L U L U2
B2 F' R D L F2 U'
B2 F' R D F2 L U'
B2 F' R D2 L U' R2
B2 F' D L R F2 U'
B2 F' D R L F2 U'
B2 F' D R F2 L U'
L2 B2 L F2 U' R B
B2 F' D2 L R U' R
B2 F' D2 R L U' R
L B2 L U' D R' B
L B2 L D U' R' B
F' B2 L R U L U2
L B2 L F' R U' R2
B2 F2 L U L F U2
F2 B2 L U L F U2
F B2 L U' D' B2 R'
F B2 L D' U' B2 R'
F' B2 R L U L U2
F' B2 R D L F2 U'
F' B2 R D F2 L U'
F' B2 R D2 L U' R2
L B2 D L U' R' B
F' B2 D L R F2 U'
F' B2 D R L F2 U'
F' B2 D R F2 L U'
L B2 D' L U' R' B'
F' B2 D2 L R U' R
L' B2 F2 L U' R B
F' B2 D2 R L U' R
F B2 D F2 L R U'
F B2 D F2 R L U'
L B2 F' L R U' R2
L B2 F' R L U' R2
