U2 L' B' U F
U2 L' R B' U F
U2 L' R' B' U F
U2 L' R2 B' U F
U2 L' D B' U F
U2 L' D' B' U F
U2 L' D2 B' U F
U2 L' B' R U F
U2 L' B' R' U F
U2 L' B' R2 U F
U2 L' B' U D F
U2 L' B' U D' F
U2 L' B' U D2 F
U2 L' B' U F D
U2 L' B' U F D'
U2 L' B' U F D2
U2 L' B' D U F
U2 L' B' D' U F
U2 L' B' D2 U F
U2 R L' B' U F
U2 R' L' B' U F
R U2 L' B U F
U2 R2 L' B' U F
R U2 B L' U F
U2 B L' B' U F
U2 B' L' B' U F
U2 B2 L' B' U F
L R U2 L2 B U F
R L U2 L2 B U F
R' L F' U2 L2 U F
U L D' B' U2 B' R'
L' R B U2 B' U' F
R' L' U' F D R2 B
L' R' U' F D R2 B
F2 L' R U2 B U F
U2 L' R D B' U F
U2 L' R D' B' U F
U2 L' R D2 B' U F
U2 L' R B' R U F
U2 L' R B' R' U F
U2 L' R B' R2 U F
U2 L' R B' U D F
U2 L' R B' U D' F
U2 L' R B' U D2 F
U2 L' R B' U F D
U2 L' R B' U F D'
U2 L' R B' U F D2
U2 L' R B' D U F
U2 L' R B' D' U F
U2 L' R B' D2 U F
U2 L' R' D B' U F
U2 L' R' D' B' U F
F' L' R' F' R U' F2
U2 L' R' D2 B' U F
F2 L' R' F' R2 U' F2
U2 L' R' B' R U F
U2 L' R' B' R' U F
U2 L' R' B' R2 U F
U2 L' R' B' U D F
U2 L' R' B' U D' F
U2 L' R' B' U D2 F
U2 L' R' B' U F D
U2 L' R' B' U F D'
U2 L' R' B' U F D2
U2 L' R' B' D U F
U2 L' R' B' D' U F
U2 L' R' B' D2 U F
U2 L' R2 D B' U F
U2 L' R2 D' B' U F
U2 L' R2 D2 B' U F
U2 L' R2 B' R U F
U2 L' R2 B' R' U F
U2 L' R2 B' R2 U F
U2 L' R2 B' U D F
U2 L' R2 B' U D' F
U2 L' R2 B' U D2 F
U2 L' R2 B' U F D
U2 L' R2 B' U F D'
U2 L' R2 B' U F D2
U2 L' R2 B' D U F
U2 L' R2 B' D' U F
U2 L' R2 B' D2 U F
B2 L' U D F L2 R
B2 L' U D F R L2
B L' U D F L' R
B L' U D F R L'
U2 L' U F U' B' U
B2 L' U F R D L2
B2 L' U F D L2 R
B2 L' U F D R L2
R' L' F' U' F2 D2 B2
L' R' F' U' F2 D2 B2
L R' F' U2 L2 U F
B' L' U2 B U' F R
B2 L' U2 B2 U' F R
U2 L' D R B' U F
U2 L' D R' B' U F
U2 L' D R2 B' U F
B2 L' D U F L2 R
B2 L' D U F R L2
B L' D U F L' R
B L' D U F R L'
U2 L' D B' R U F
U2 L' D B' R' U F
U2 L' D B' R2 U F
U2 L' D B' U D F
U2 L' D B' U D' F
U2 L' D B' U D2 F
U2 L' D B' U F D
U2 L' D B' U F D'
U2 L' D B' U F D2
U2 L' D B' D U F
U2 L' D B' D' U F
U2 L' D B' D2 U F
U2 L' D' R B' U F
U2 L' D' R' B' U F
U2 L' D' R2 B' U F
R L' B U2 B' U' F
U2 L' D' B' R U F
U2 L' D' B' R' U F
U2 L' D' B' R2 U F
U2 L' D' B' U D F
U2 L' D' B' U D' F
U2 L' D' B' U D2 F
U2 L' D' B' U F D
U2 L' D' B' U F D'
U2 L' D' B' U F D2
U2 L' D' B' D U F
U2 L' D' B' D' U F
U2 L' D' B' D2 U F
U2 L' D2 R B' U F
U2 L' D2 R' B' U F
U2 L' D2 R2 B' U F
U2 L' D2 B' R U F
U2 L' D2 B' R' U F
U2 L' D2 B' R2 U F
U2 L' D2 B' U D F
U2 L' D2 B' U D' F
U2 L' D2 B' U D2 F
U2 L' D2 B' U F D
U2 L' D2 B' U F D'
U2 L' D2 B' U F D2
U2 L' D2 B' D U F
U2 L' D2 B' D' U F
U2 L' D2 B' D2 U F
U2 L' B R B2 U F
U2 L' B R' B2 U F
U2 L' B R2 B2 U F
U2 L' B U D' R2 F
U2 L' B U D' F R2
U2 L' B U F D' R2
U2 L' B D' U R2 F
U2 L' B D' U F R2
U2 L' B' R U D F
U2 L' B' R U D' F
U2 L' B' R U D2 F
U2 L' B' R U F D
U2 L' B' R U F D'
U2 L' B' R U F D2
U2 L' B' R D U F
U2 L' B' R D' U F
U2 L' B' R D2 U F
U2 L' B' R' U D F
U2 L' B' R' U D' F
U2 L' B' R' U D2 F
U2 L' B' R' U F D
U2 L' B' R' U F D'
U2 L' B' R' U F D2
U2 L' B' R' D U F
U2 L' B' R' D' U F
U2 L' B' R' D2 U F
U2 L' B' R2 U D F
U2 L' B' R2 U D' F
U2 L' B' R2 U D2 F
U2 L' B' R2 U F D
U2 L' B' R2 U F D'
U2 L' B' R2 U F D2
U2 L' B' R2 D U F
U2 L' B' R2 D' U F
U2 L' B' R2 D2 U F
U2 L' B' U R F R'
U2 L' B' U R2 F R2
U2 L' B' U D F D
U2 L' B' U D F D'
U2 L' B' U D F D2
U2 L' B' U D' F D
U2 L' B' U D' F D'
U2 L' B' U D' F D2
U2 L' B' U D2 F D
U2 L' B' U D2 F D'
U2 L' B' U D2 F D2
