D' L R2 B2 U2 B
D' L B2 R2 F' U2
D L2 R' F2 B R
D L2 R' B F2 R
D L2 R2 F2 R B
B2 L2 U' D R' B
B2 L2 D U' R' B
B2 L2 F' R U' R2
D L2 F2 R' B R2
F' R B2 L2 U' R'
D R' L2 F2 B R
D R' L2 B F2 R
D' R2 L B2 U2 B
D R2 L2 F2 R B
B2 U' D R' F2 B
B2 U' D R' B F2
B2 U' D F2 R' B
B2 D U' R' F2 B
B2 D U' R' B F2
B2 D U' F2 R' B
L2 F2 B2 U' R B
D F2 B2 L2 R' B
D F2 B2 R' L2 B
D F2 B2 R' B L2
B2 F' L2 R U' R2
B2 F' R L2 U' R2
D B2 L2 R' F2 B
D B2 L2 R' B F2
F' B2 L2 R U' R2
D B2 L2 F2 R' B
F' B2 R L2 U' R2
D B2 R' L2 F2 B
D B2 R' L2 B F2
D B2 R' F2 L2 B
D B2 R' F2 B L2
D B2 R' B L2 F2
D B2 R' B F2 L2
L2 B2 F2 U' R B
D B2 F2 L2 R' B
D B2 F2 R' L2 B
D B2 F2 R' B L2
D L R F' U2 L F'
D L R F' U2 F' L
D L R' U2 L F2 B
D L R' U2 L B F2
D L R' U2 F2 L B
D' L R' B2 U2 L B
D' L R2 U2 D2 F2 B'
D' L R2 U2 D2 B' F2
D' L R2 D2 U2 F2 B'
D' L R2 D2 U2 B' F2
D' L R2 F B2 U2 B
D' L R2 F' B2 U2 B
D' L R2 F2 B2 U2 B
D' L R2 B2 U2 D B
D' L R2 B2 U2 D' B
D' L R2 B2 U2 D2 B
D' L R2 B2 U2 B D
D' L R2 B2 U2 B D'
D' L R2 B2 U2 B D2
D' L R2 B2 D U2 B
D' L R2 B2 D' U2 B
D' L R2 B2 D2 U2 B
D' L R2 B2 F U2 B
D' L R2 B2 F' U2 B
D' L R2 B2 F2 U2 B
F' L U' L R B2 U'
F' L U' L B2 R U'
F' L U' R L B2 U'
F L U' L B2 R' U'
D' L U2 D2 F2 B' L2
D' L U2 D2 B' L2 F2
D' L U2 D2 B' F2 L2
D L U2 F2 D2 L B'
D' L U2 B' D2 L2 F
B2 L D L U' R' B
B2 L D' L U' R' B'
D' L D2 U2 F2 B' L2
D' L D2 U2 B' L2 F2
D' L D2 U2 B' F2 L2
D' L F R2 B2 U2 B
L2 R F2 B2 U' R B
D' L F B2 R2 F' U2
B2 L F' L R U' R2
B2 L F' R L U' R2
D' L F' R2 B2 U2 B
D' L F' B2 R2 F' U2
D' L F2 R2 B2 U2 B
D' L F2 B2 R2 F' U2
D' L B R2 U2 F' B2
D' L B R2 U2 B2 F'
L2 R B2 F2 U' R B
D' L B' R2 B' U2 B
D' L B2 R2 D F' U2
D' L B2 R2 D' F' U2
D' L B2 R2 D2 F' U2
D' L B2 R2 F' U2 D
D' L B2 R2 F' U2 D'
D' L B2 R2 F' U2 D2
D' L B2 R2 F' D U2
D' L B2 R2 F' D' U2
D' L B2 R2 F' D2 U2
D L B2 R' U2 F2 B
D L B2 R' U2 B F2
D' L B2 U2 D2 L2 B
D' L B2 U2 D2 B L2
D' L B2 U2 B D2 L2
D' L B2 D2 U2 L2 B
D' L B2 D2 U2 B L2
D' L B2 F R2 F' U2
D' L B2 F' R2 F' U2
D' L B2 F2 R2 F' U2
D L' R' B L' F2 R
D' L' R2 F L2 B2 U2
D' L' R2 F B2 L2 U2
D' L' R2 B2 L2 U2 B'
D' L' R2 B2 F L2 U2
B2 L' D L' U' R' B
L2 R' F2 B2 U' R B
D' L' D2 L2 R2 F2 B'
D' L' D2 L2 R2 B' F2
D' L' D2 L2 F2 R2 B'
D' L' D2 L2 F2 B' R2
D' L' D2 L2 B' R2 F2
D' L' D2 L2 B' F2 R2
D' L' D2 R2 L2 F2 B'
D' L' D2 R2 L2 B' F2
D' L' D2 F2 L2 R2 B
D' L' D2 F2 R2 L2 B
D' L' D2 F2 R2 B L2
F L' D2 F2 R U R
D' L' F L2 R2 B2 U2
D' L' F L2 B2 R2 U2
D' L' F R2 L2 B2 U2
D' L' F R2 B2 L2 U2
D' L' F B2 L2 R2 U2
D' L' F B2 R2 L2 U2
L2 R' B2 F2 U' R B
D' L' B2 L2 R2 U2 B'
D' L' B2 R2 L2 U2 B'
D' L' B2 R2 F L2 U2
D' L' B2 F L2 R2 U2
D' L' B2 F R2 L2 U2
F' L2 R F2 B2 U' R
B2 L2 R F' R U' R
F' L2 R B2 U L' U2
F' L2 R B2 F2 U' R
B2 L2 R' F' R U' R'
D L2 R' F2 D B R
D L2 R' F2 D' B R
D L2 R' F2 D2 B R
D L2 R' F2 B R D
D L2 R' F2 B R D'
D L2 R' F2 B R D2
D L2 R' F2 B D R
D L2 R' F2 B D' R
D L2 R' F2 B D2 R
D L2 R' F2 B' R B2
D L2 R' F2 B2 R B'
D L2 R' B R F2 R
D L2 R' B R' F2 R
D L2 R' B R2 F2 R
D L2 R' B F2 R D
D L2 R' B F2 R D'
D L2 R' B F2 R D2
D L2 R' B F2 D R
D L2 R' B F2 D' R
D L2 R' B F2 D2 R
D L2 R' B' F2 R B2
D L2 R' B2 F2 R B'
D' L2 R2 B2 L' U2 B'
D L2 R2 F2 R D B
D L2 R2 F2 R D' B
D L2 R2 F2 R D2 B
D L2 R2 F2 R B D
D L2 R2 F2 R B D'
D L2 R2 F2 R B D2
D L2 R2 F2 D R B
D L2 R2 F2 D' R B
D L2 R2 F2 D2 R B
D L2 R2 F2 B R B
D L2 R2 F2 B' R B
D L2 R2 F2 B2 R B
D L2 R2 B F2 R B
D L2 R2 B' F2 R B
D L2 R2 B2 F2 R B
R' L2 F2 B2 U' R B
B2 L2 U' D R' D B
B2 L2 U' D R' D' B
B2 L2 U' D R' D2 B
B2 L2 U' D R' B D
B2 L2 U' D R' B D'
B2 L2 U' D R' B D2
L2 R2 F2 B2 U' R B
R2 L2 F2 B2 U' R B
R L2 F2 B2 U' R B
B' L2 U2 F L' U R
B2 L2 D R U' R2 B
B2 L2 D U' R' D B
B2 L2 D U' R' D' B
B2 L2 D U' R' D2 B
B2 L2 D U' R' B D
B2 L2 D U' R' B D'
B2 L2 D U' R' B D2
B2 L2 D F U' R' B
B2 L2 D F' U' R' B
B2 L2 D F2 U' R' B
R' L2 B2 F2 U' R B
L2 R2 B2 F2 U' R B
R2 L2 B2 F2 U' R B
R L2 B2 F2 U' R B
D L2 F R' F B R
D L2 F R' B F R
D L2 F R2 F R B
B2 L2 F U2 L' U R'
B2 L2 F' R U' R2 D
B2 L2 F' R U' R2 D'
B2 L2 F' R U' R2 D2
B2 L2 F' R D' F2 U'
B2 L2 F' R F U' R2
B2 L2 F' R F' U' R2
B2 L2 F' R F2 U' R2
B2 L2 F' U' R' D B2
B2 L2 F' D R U' R2
B2 L2 F' D' R U' R2
B2 L2 F' D2 R U' R2
B L2 F' B R U' R2
B2 L2 F2 R2 U' R B
D L2 F2 R U2 F' U2
B2 L2 F2 U' R B R2
D L2 F2 R' B R2 D
D L2 F2 R' B R2 D'
D L2 F2 R' B R2 D2
D L2 F2 R' B' R2 B2
D L2 F2 R' B2 R2 B'
U' L2 F2 B2 U' R B
U2 L2 F2 B2 U' R B
D L2 F2 B R' B R2
D L2 F2 B' R' B R2
D L2 F2 B2 R' B R2
F L2 F2 B2 R' U' R2
U L2 F2 B2 U' R B
D L2 B R' F2 B R
D L2 B R' B F2 R
D L2 B R2 F2 R B
B L2 B U' D R' B
B L2 B D U' R' B
B L2 B F' R U' R2
D L2 B F2 R' B R2
D L2 B' R' F2 B R
D L2 B' R' B F2 R
D L2 B' R2 F2 R B
D' L2 B2 L' R2 U2 B'
F' L2 B2 R U L' U2
F' L2 B2 R F2 U' R
D' L2 B2 R2 L' U2 B'
D L2 B' F2 R' B R2
F2 L2 B2 U L' U2 B'
L2 U D' L' R2 F U2
D L2 B2 R' F2 B R
D L2 B2 R' B F2 R
L2 U D' L' F R2 U2
D L2 B2 R2 F2 R B
F L2 B2 R' U L' U2
F L2 B2 R' F2 U' R
L2 U D' R2 L' F U2
U' L2 B2 F2 U' R B
U2 L2 B2 F2 U' R B
D L2 B2 F2 R' B R2
F L2 B2 F2 R' U' R2
U L2 B2 F2 U' R B
D R L F' U2 L F'
D R L F' U2 F' L
F' R L2 F2 B2 U' R
B2 R L2 F' R U' R
F' R L2 B2 U L' U2
F' R L2 B2 F2 U' R
F' R U' D L2 F2 R
F' R D U' L2 F2 R
F' R F B2 L2 U' R'
B2 R F' L2 R U' R
B2 R F' R L2 U' R
D R F' L U2 L F'
D R F' L U2 F' L
F' R F' B2 L2 U' R'
F' R F2 B2 L2 U' R'
F' R B L2 B U' R'
D R F2 B' L2 B' R'
D R F2 B2 L2 R' B'
D R F2 B2 R' L2 B'
L2 U' D L2 B2 R' B
