B' U R' B U' R
B L R F' B2 U F
B L R B2 F' U F
B' L U R' B U' R
B L B2 R F' U F
B' L' U R' B U' R
B' L2 U R' B U' R
D' L2 F U' L' F' B'
D' L2 F U' L' B' F'
D2 L2 F U' F' L' B'
B R L F' B2 U F
B R L B2 F' U F
B' R U R2 B U' R2
B R U' L F' B2 U
B R U' L B2 F' U
B R U' F' L B2 U
U R U2 F' B' U B2
B' R D F' U F B2
B' R D F' U B2 F
U R U2 B' F' U B2
B' R D2 L2 F' U F
B' R F' U D F B2
B' R F' U D B2 F
B' R F' U F D B2
B' R F' U2 R2 U' F
B' R F' D U F B2
B' R F' D U B2 F
R U' F' B' L' U B'
R U' B' L' F' U B'
R U' B' F' L' U B'
B' R' B L2 F U' F'
B2 R' B R' F' U' F
U R' B U' D' R2 B
U R' B D' U' R2 B
B' U R' D B U' R
B' U R' D' B U' R
B' U R' D2 B U' R
B' U R' B U' R D
B' U R' B U' R D'
B' U R' B U' R D2
B' U R' B U' D R
B' U R' B U' D' R
B' U R' B U' D2 R
B' U R' B D U' R
B' U R' B D' U' R
B' U R' B D2 U' R
B2 U R' B R' F' U'
B' U F R' B U' R
B' U F' R' B U' R
U' D B' L' U B' L2
B' U F2 R' B U' R
L2 D' F U' L' F' B'
L2 D' F U' L' B' F'
D2 U' B' L' F U B'
D U' B' L' U B' L2
B2 U' B U2 R' B U'
B U' B2 U2 R' B U'
B' U2 R' B L2 U' F
B' U2 R' B U B' U2
U' D2 B' L' F U B'
B2 D L B' L D' R2
B2 D L B' D' L R2
B2 D L B' D' R2 L
B2 D B' L D' R2 B'
B2 D B' L D' B' R2
F2 D' L2 F U' L' B'
R F' B' U2 R' U' F
D B L' D' B2 L R2
D B L' D' B2 R2 L
R B L F' B2 U F
R B L B2 F' U F
R' B U' L B2 U L'
D B U' L B2 U L
R B U' L F' B2 U
R B U' L B2 F' U
R B U' F' L B2 U
U' B' L' U D B' L
U' B' L' D U B' L
D B' L U R' U' R
L2 B' R' F B U' F'
L2 B' R' B F U' F'
U2 B' R2 U F' L' B'
R' B' U R' B2 U' R
L2 B' U R' F B U'
L2 B' U R' B F U'
L2 B' U F R' B U'
D B' U R' U' L R
D B' U R' U' R L
U' B' D L' U B' L
U' B' D2 L' F U B'
B' F' U2 R' B U' F
F' B' U2 R' B U' F
F2 B' U2 R' B U' F2
R B' F' U2 R' U' F
B' F2 U2 R' B U' F2
