B L2 U' B' R' F'
U2 L F B L U' B'
U2 L B F L U' B'
B L' R' F' L' U' B'
B L' F' L' U' B' R'
B L2 U' R' F' B' R'
B L2 U' R' B' F' R'
B L2 U' D B' R' F'
B L2 U' D' B' R' F'
B L2 U' D2 B' R' F'
B L2 U' F B' R' F'
B L2 U' F' B' R' F'
B L2 U' F2 B' R' F'
B L2 U' B' R' D F'
B L2 U' B' R' D' F'
B L2 U' B' R' D2 F'
B L2 U' B' R' F' D
B L2 U' B' R' F' D'
B L2 U' B' R' F' D2
B L2 U' B' D R' F'
B L2 U' B' D' R' F'
B L2 U' B' D2 R' F'
B L2 U' B' F R' F'
B L2 U' B' F' R' F'
B L2 U' B' F2 R' F'
B L2 D U' B' R' F'
B L2 D' U' B' R' F'
B L2 D2 U' B' R' F'
B2 L2 F R B U B2
U' L2 B' R' D L2 F'
U' L2 B' R' D F' L2
U' L2 B' R' F' D L2
U' L2 B' D L2 R' F'
U' L2 B' D R' L2 F'
U' L2 B' D R' F' L2
B R' L' F' L' U' B'
L2 U' B' R' D L2 F'
L2 U' B' R' D F' L2
L2 U' B' R' F' D L2
L2 U' B' D L2 R' F'
L2 U' B' D R' L2 F'
L2 U' B' D R' F' L2
B R' F' L' U F2 U2
B R' F' L' U' D2 B2
B R' F' L' D R2 U'
B R' F' L' D2 U' B2
B R' F' D L' R2 U'
B R' F' D R2 L' U'
B R' F' D2 L' U' B2
F R2 U F' R' B U
L2 U2 B L F U' B2
L U2 B L F U' B'
B U F L U2 R F
B U F L' B' U2 R
B U F U2 R' F' R2
B U F' L' F2 B' U2
B U F' L' B' F2 U2
B U' L2 B' L2 R' F'
B U' L2 B' R' L2 F'
B U' L2 B' R' F' L2
L D' B R' F' L' U'
B' U' D L2 B' R' F'
B U' B' R' F' D2 B2
U' F U' B L F U'
R F U B R F' U
B D L2 U' B' R' F'
B' D U' L2 B' R' F'
B D' L2 U' B' R' F'
L' F' B L' U' B' R'
B D2 L2 U' B' R' F'
L' B L' U' B' R' F'
D2 B L2 U' B' R' F'
D' B L2 U' B' R' F'
L B L U' B' R' F'
D B L2 U' B' R' F'
L' B R' F' L' U' B'
L2 B R' F' L' U' B2
L2 B U' B' R' F' B'
L2 B U' B' R' B' F'
L' B F' L' U' B' R'
U' B' R' D L2 F' B'
U' B' R' D L2 B' F'
U' B' D L2 R' F' B'
U' B' D L2 R' B' F'
U' B' D R' L2 F' B'
U' B' D R' L2 B' F'
